time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (E. Kanter gains possession),,,,Jump ball: S. Adams vs. M. Gasol (E. Kanter gains possession)
11:45.0,R. Westbrook makes 2-pt shot from 14 ft (assist by E. Kanter),2,2-0,,
11:33.0,,,2-0,,Shooting foul by S. Adams (drawn by J. Green)
11:33.0,,,2-1,1,J. Green makes free throw 1 of 2
11:33.0,,,2-1,,J. Green misses free throw 2 of 2
11:32.0,,,2-1,,Offensive rebound by M. Conley
11:24.0,,,2-3,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
11:06.0,,,2-3,,Def 3 sec tech foul by Z. Randolph
11:06.0,R. Westbrook makes technical free throw,1,3-3,,
10:59.0,E. Kanter misses 2-pt shot from 15 ft,,3-3,,
10:58.0,,,3-3,,Defensive rebound by J. Green
10:47.0,,,3-3,,Turnover by M. Gasol (lost ball)
10:33.0,D. Waiters makes 2-pt shot from 19 ft (assist by K. Singler),2,5-3,,
10:17.0,,,5-3,,C. Lee misses 2-pt shot from 20 ft
10:16.0,Defensive rebound by E. Kanter,,5-3,,
10:10.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,7-3,,
10:10.0,Shooting foul by C. Lee (drawn by S. Adams),,7-3,,
10:10.0,S. Adams misses free throw 1 of 1,,7-3,,
10:09.0,,,7-3,,Defensive rebound by M. Conley
9:56.0,,,7-5,2,M. Gasol makes 2-pt shot at rim
9:48.0,Turnover by R. Westbrook (bad pass; steal by Z. Randolph),,7-5,,
9:39.0,,,7-5,,M. Conley misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by K. Singler,,7-5,,
9:32.0,R. Westbrook misses 2-pt shot from 1 ft,,7-5,,
9:32.0,,,7-5,,Defensive rebound by Team
9:31.0,Loose ball foul by E. Kanter (drawn by Z. Randolph),,7-5,,
9:22.0,,,7-5,,M. Conley misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by E. Kanter,,7-5,,
9:10.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,9-5,,
8:48.0,,,9-5,,J. Green misses 3-pt shot from 23 ft
8:47.0,Defensive rebound by E. Kanter,,9-5,,
8:41.0,D. Waiters misses 2-pt shot at rim,,9-5,,
8:39.0,,,9-5,,Defensive rebound by C. Lee
8:34.0,,,9-7,2,C. Lee makes 2-pt shot at rim
8:18.0,R. Westbrook misses 2-pt shot from 13 ft (block by Z. Randolph),,9-7,,
8:18.0,,,9-7,,Defensive rebound by Z. Randolph
8:08.0,,,9-9,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol)
7:54.0,K. Singler makes 2-pt shot at rim,2,11-9,,
7:30.0,,,11-11,2,C. Lee makes 2-pt shot at rim
7:13.0,E. Kanter makes 2-pt shot at rim (assist by D. Waiters),2,13-11,,
6:49.0,,,13-13,2,C. Lee makes 2-pt shot from 19 ft (assist by M. Gasol)
6:36.0,E. Kanter misses 2-pt shot from 16 ft,,13-13,,
6:34.0,Offensive rebound by R. Westbrook,,13-13,,
6:30.0,Shooting foul by M. Conley (drawn by R. Westbrook),,13-13,,
6:30.0,R. Westbrook misses free throw 1 of 2,,13-13,,
6:30.0,Offensive rebound by Team,,13-13,,
6:30.0,A. Morrow enters the game for K. Singler,,13-13,,
6:30.0,R. Westbrook makes free throw 2 of 2,1,14-13,,
6:14.0,,,14-15,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
6:04.0,R. Westbrook misses 2-pt shot from 12 ft (block by M. Gasol),,14-15,,
6:03.0,,,14-15,,Defensive rebound by Team
5:53.0,,,14-15,,M. Conley misses 3-pt shot from 25 ft
5:52.0,,,14-15,,Offensive rebound by J. Green
5:40.0,,,14-15,,Z. Randolph misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by E. Kanter,,14-15,,
5:31.0,D. Waiters misses 2-pt shot from 19 ft,,14-15,,
5:29.0,,,14-15,,Defensive rebound by Z. Randolph
5:22.0,,,14-17,2,Z. Randolph makes 2-pt shot from 1 ft (assist by J. Green)
5:13.0,Oklahoma City full timeout,,14-17,,
5:13.0,,,14-17,,N. Calathes enters the game for J. Green
5:13.0,M. McGary enters the game for S. Adams,,14-17,,
5:08.0,A. Morrow makes 2-pt shot from 4 ft,2,16-17,,
4:46.0,,,16-17,,M. Conley misses 2-pt shot at rim
4:44.0,Defensive rebound by A. Morrow,,16-17,,
4:41.0,,,16-17,,Personal foul by M. Conley (drawn by D. Waiters)
4:41.0,,,16-17,,B. Udrih enters the game for M. Conley
4:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,18-17,,
4:06.0,,,18-17,,B. Udrih misses 2-pt shot from 17 ft
4:05.0,Defensive rebound by E. Kanter,,18-17,,
3:58.0,Turnover by D. Waiters (lost ball; steal by N. Calathes),,18-17,,
3:52.0,,,18-17,,Turnover by N. Calathes (bad pass; steal by E. Kanter)
3:39.0,,,18-17,,Personal foul by N. Calathes (drawn by R. Westbrook)
3:29.0,M. McGary misses 2-pt shot at rim,,18-17,,
3:27.0,Offensive rebound by E. Kanter,,18-17,,
3:27.0,E. Kanter misses 2-pt shot at rim,,18-17,,
3:25.0,,,18-17,,Defensive rebound by Z. Randolph
3:22.0,,,18-17,,Turnover by B. Udrih (bad pass)
3:13.0,A. Morrow misses 2-pt shot from 22 ft,,18-17,,
3:12.0,,,18-17,,Defensive rebound by C. Lee
3:06.0,,,18-17,,Memphis full timeout
2:57.0,Personal foul by A. Morrow (drawn by C. Lee),,18-17,,
2:52.0,Personal foul by A. Morrow (drawn by M. Gasol),,18-17,,
2:37.0,,,18-17,,C. Lee misses 3-pt shot from 23 ft
2:36.0,Defensive rebound by R. Westbrook,,18-17,,
2:32.0,R. Westbrook misses 2-pt shot at rim,,18-17,,
2:31.0,Offensive rebound by Team,,18-17,,
