time,Cleveland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. A. Varejao (N. Robinson gains possession),,,,Jump ball: T. Mozgov vs. A. Varejao (N. Robinson gains possession)
11:44.0,,,0-2,2,N. Robinson makes 2-pt shot from 20 ft
11:24.0,K. Love makes 2-pt shot from 18 ft (assist by L. James),2,2-2,,
11:12.0,,,2-2,,K. Faried misses 2-pt shot from 8 ft
11:10.0,Defensive rebound by A. Varejao,,2-2,,
11:05.0,Shooting foul by N. Robinson (drawn by A. Varejao),,2-2,,
11:05.0,A. Varejao misses free throw 1 of 2,,2-2,,
11:05.0,Offensive rebound by Team,,2-2,,
11:05.0,A. Varejao makes free throw 2 of 2,1,3-2,,
10:43.0,,,3-2,,T. Mozgov misses 2-pt shot from 12 ft
10:41.0,Defensive rebound by S. Marion,,3-2,,
10:24.0,A. Varejao makes 2-pt shot from 2 ft (assist by K. Irving),2,5-2,,
10:24.0,Shooting foul by T. Mozgov (drawn by A. Varejao),,5-2,,
10:24.0,A. Varejao makes free throw 1 of 1,1,6-2,,
10:17.0,,,6-2,,T. Mozgov misses 2-pt shot from 1 ft (block by L. James)
10:16.0,Defensive rebound by Team,,6-2,,
9:56.0,K. Irving misses 3-pt shot from 24 ft,,6-2,,
9:55.0,,,6-2,,Defensive rebound by Team
9:44.0,,,6-2,,N. Robinson misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by Team,,6-2,,
9:26.0,A. Varejao misses 2-pt shot from 2 ft,,6-2,,
9:24.0,,,6-2,,Defensive rebound by W. Chandler
9:19.0,,,6-2,,Turnover by W. Chandler (bad pass; steal by L. James)
9:16.0,A. Varejao makes 2-pt shot at rim (assist by S. Marion),2,8-2,,
9:16.0,,,8-2,,Denver full timeout
9:04.0,,,8-2,,A. Afflalo misses 2-pt shot from 19 ft
9:03.0,Defensive rebound by K. Love,,8-2,,
8:51.0,L. James misses 3-pt shot from 24 ft,,8-2,,
8:50.0,,,8-2,,Defensive rebound by W. Chandler
8:44.0,,,8-2,,A. Afflalo misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by K. Irving,,8-2,,
8:31.0,K. Love misses 3-pt shot from 25 ft,,8-2,,
8:30.0,,,8-2,,Defensive rebound by W. Chandler
8:22.0,,,8-2,,W. Chandler misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by L. James,,8-2,,
8:19.0,Shooting foul by W. Chandler (drawn by S. Marion),,8-2,,
8:19.0,S. Marion misses free throw 1 of 2,,8-2,,
8:19.0,Offensive rebound by Team,,8-2,,
8:19.0,S. Marion makes free throw 2 of 2,1,9-2,,
8:01.0,,,9-2,,A. Afflalo misses 2-pt shot from 15 ft
8:00.0,,,9-2,,Offensive rebound by K. Faried
7:59.0,,,9-2,,K. Faried misses 2-pt shot from 2 ft
7:58.0,,,9-2,,Offensive rebound by K. Faried
7:51.0,,,9-2,,N. Robinson misses 2-pt shot from 3 ft (block by K. Love)
7:50.0,Defensive rebound by A. Varejao,,9-2,,
7:47.0,Turnover by L. James (bad pass; steal by W. Chandler),,9-2,,
7:35.0,,,9-5,3,W. Chandler makes 3-pt shot from 25 ft (assist by N. Robinson)
7:12.0,Shooting foul by T. Mozgov (drawn by A. Varejao),,9-5,,
7:12.0,A. Varejao makes free throw 1 of 2,1,10-5,,
7:12.0,,,10-5,,J. McGee enters the game for T. Mozgov
7:12.0,A. Varejao misses free throw 2 of 2,,10-5,,
7:10.0,,,10-5,,Defensive rebound by J. McGee
7:01.0,,,10-5,,Turnover by N. Robinson (bad pass)
6:43.0,K. Love makes 2-pt shot from 8 ft,2,12-5,,
6:27.0,,,12-7,2,K. Faried makes 2-pt shot from 4 ft
6:07.0,K. Love makes 2-pt shot from 12 ft (assist by L. James),2,14-7,,
5:53.0,,,14-7,,K. Faried misses 2-pt shot from 11 ft
5:51.0,Defensive rebound by L. James,,14-7,,
