time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession)
11:44.0,,,0-0,,Shooting foul by J. Valanciunas (drawn by A. Drummond)
11:44.0,,,0-1,1,A. Drummond makes free throw 1 of 2
11:44.0,,,0-1,,A. Drummond misses free throw 2 of 2
11:43.0,,,0-1,,Offensive rebound by R. Jackson
11:34.0,,,0-4,3,C. Butler makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
11:11.0,J. Valanciunas makes 2-pt shot at rim,2,2-4,,
10:56.0,,,2-4,,R. Jackson misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by D. DeRozan,,2-4,,
10:47.0,Turnover by D. DeRozan (lost ball; steal by A. Drummond),,2-4,,
10:42.0,,,2-6,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Drummond)
10:25.0,J. Valanciunas misses 2-pt shot from 6 ft,,2-6,,
10:23.0,,,2-6,,Defensive rebound by A. Drummond
10:17.0,,,2-8,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:54.0,K. Lowry makes 2-pt shot at rim (assist by D. DeRozan),2,4-8,,
9:44.0,,,4-8,,C. Butler misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by K. Lowry,,4-8,,
9:33.0,,,4-8,,Violation by C. Butler (kicked ball)
9:25.0,,,4-8,,Personal foul by A. Tolliver (drawn by A. Johnson)
9:15.0,T. Ross makes 3-pt shot from 26 ft (assist by J. Valanciunas),3,7-8,,
8:54.0,,,7-8,,K. Caldwell-Pope misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by A. Johnson,,7-8,,
8:35.0,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson),2,9-8,,
8:20.0,,,9-11,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson)
8:09.0,D. DeRozan misses 2-pt shot from 14 ft,,9-11,,
8:07.0,,,9-11,,Defensive rebound by A. Drummond
7:54.0,,,9-11,,Shooting foul by A. Johnson (drawn by A. Tolliver)
7:54.0,,,9-12,1,A. Tolliver makes free throw 1 of 2
7:54.0,,,9-13,1,A. Tolliver makes free throw 2 of 2
7:40.0,T. Ross misses 3-pt shot from 27 ft,,9-13,,
7:39.0,,,9-13,,Defensive rebound by A. Drummond
7:28.0,,,9-13,,Turnover by C. Butler (traveling)
7:14.0,T. Ross makes 2-pt shot from 19 ft (assist by D. DeRozan),2,11-13,,
7:03.0,,,11-16,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson)
6:48.0,A. Johnson makes 2-pt shot from 19 ft (assist by K. Lowry),2,13-16,,
6:32.0,,,13-16,,A. Drummond misses 2-pt shot from 7 ft
6:30.0,Defensive rebound by A. Johnson,,13-16,,
6:27.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,15-16,,
6:03.0,,,15-16,,A. Drummond misses 2-pt shot at rim
6:02.0,Defensive rebound by T. Ross,,15-16,,
5:54.0,K. Lowry misses 3-pt shot from 26 ft,,15-16,,
5:52.0,,,15-16,,Defensive rebound by K. Caldwell-Pope
5:45.0,,,15-16,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:44.0,Defensive rebound by A. Johnson,,15-16,,
5:33.0,J. Valanciunas misses 2-pt shot from 19 ft,,15-16,,
5:32.0,Offensive rebound by A. Johnson,,15-16,,
5:28.0,Toronto full timeout,,15-16,,
5:26.0,,,15-16,,Personal foul by A. Drummond (drawn by J. Valanciunas)
5:17.0,T. Ross makes 2-pt shot at rim (assist by K. Lowry),2,17-16,,
5:09.0,Personal foul by T. Ross (drawn by K. Caldwell-Pope),,17-16,,
5:00.0,,,17-19,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Jackson)
4:45.0,K. Lowry misses 3-pt shot from 26 ft,,17-19,,
4:44.0,,,17-19,,Defensive rebound by C. Butler
4:29.0,,,17-22,3,C. Butler makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
4:13.0,T. Ross misses 2-pt shot at rim,,17-22,,
4:12.0,Offensive rebound by A. Johnson,,17-22,,
4:04.0,A. Johnson makes 2-pt shot at rim,2,19-22,,
3:45.0,,,19-22,,K. Caldwell-Pope misses 2-pt shot at rim
3:44.0,,,19-22,,Offensive rebound by A. Drummond
3:44.0,,,19-24,2,A. Drummond makes 2-pt shot at rim
3:44.0,,,19-24,,Shooting foul by K. Lowry (drawn by A. Drummond)
3:44.0,L. Williams enters the game for K. Lowry,,19-24,,
3:44.0,G. Vasquez enters the game for T. Ross,,19-24,,
3:44.0,,,19-25,1,A. Drummond makes free throw 1 of 1
3:24.0,A. Johnson makes 2-pt shot from 4 ft (assist by G. Vasquez),2,21-25,,
3:06.0,,,21-25,,C. Butler misses 2-pt shot from 21 ft
3:03.0,Defensive rebound by G. Vasquez,,21-25,,
2:51.0,J. Valanciunas misses 2-pt shot from 6 ft,,21-25,,
2:49.0,,,21-25,,Defensive rebound by A. Drummond
2:45.0,,,21-27,2,R. Jackson makes 2-pt shot from 1 ft
2:15.0,G. Vasquez makes 2-pt shot from 1 ft,2,23-27,,
2:08.0,,,23-27,,Detroit full timeout
2:08.0,P. Patterson enters the game for J. Valanciunas,,23-27,,
2:08.0,,,23-27,,J. Meeks enters the game for C. Butler
2:08.0,,,23-27,,S. Dinwiddie enters the game for R. Jackson
1:52.0,,,23-27,,K. Caldwell-Pope misses 2-pt shot from 5 ft
1:50.0,,,23-27,,Offensive rebound by A. Drummond
1:49.0,,,23-29,2,A. Drummond makes 2-pt shot at rim
1:39.0,Shooting foul by A. Drummond (drawn by D. DeRozan),,23-29,,
1:39.0,D. DeRozan makes free throw 1 of 2,1,24-29,,
1:39.0,,,24-29,,J. Anthony enters the game for A. Drummond
1:39.0,D. DeRozan makes free throw 2 of 2,1,25-29,,
1:24.0,,,25-32,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by A. Tolliver)
1:13.0,Turnover by L. Williams (bad pass; steal by S. Dinwiddie),,25-32,,
1:09.0,,,25-34,2,S. Dinwiddie makes 2-pt shot at rim
0:53.0,Shooting foul by J. Anthony (drawn by A. Johnson),,25-34,,
0:53.0,A. Johnson makes free throw 1 of 2,1,26-34,,
0:53.0,K. Lowry enters the game for D. DeRozan,,26-34,,
0:53.0,A. Johnson makes free throw 2 of 2,1,27-34,,
0:41.0,,,27-34,,J. Meeks misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by L. Williams,,27-34,,
0:32.0,L. Williams misses 3-pt shot from 28 ft,,27-34,,
0:31.0,Offensive rebound by K. Lowry,,27-34,,
0:25.0,G. Vasquez misses 3-pt shot from 27 ft,,27-34,,
0:24.0,,,27-34,,Defensive rebound by K. Caldwell-Pope
0:01.0,,,27-37,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by G. Vasquez (lost ball; steal by S. Dinwiddie),,27-37,,
11:42.0,,,27-37,,Shooting foul by K. Lowry (drawn by K. Caldwell-Pope)
11:42.0,,,27-37,,K. Caldwell-Pope misses free throw 1 of 2
11:42.0,,,27-37,,Offensive rebound by Team
11:42.0,,,27-38,1,K. Caldwell-Pope makes free throw 2 of 2
11:26.0,P. Patterson misses 3-pt shot from 25 ft,,27-38,,
11:25.0,,,27-38,,Defensive rebound by Team
11:10.0,,,27-40,2,J. Anthony makes 2-pt shot at rim (assist by J. Meeks)
11:04.0,K. Lowry makes 2-pt shot from 1 ft (assist by G. Vasquez),2,29-40,,
11:04.0,Shooting foul by K. Caldwell-Pope (drawn by K. Lowry),,29-40,,
11:04.0,K. Lowry makes free throw 1 of 1,1,30-40,,
10:46.0,,,30-42,2,T. Prince makes 2-pt shot from 18 ft (assist by S. Dinwiddie)
10:37.0,Toronto full timeout,,30-42,,
10:37.0,T. Ross enters the game for K. Lowry,,30-42,,
10:28.0,L. Williams makes 2-pt shot from 6 ft,2,32-42,,
10:05.0,,,32-42,,T. Prince misses 2-pt shot from 19 ft
10:04.0,,,32-42,,Offensive rebound by K. Caldwell-Pope
10:02.0,,,32-44,2,K. Caldwell-Pope makes 2-pt shot at rim
9:43.0,T. Ross misses 3-pt shot from 23 ft,,32-44,,
9:42.0,Offensive rebound by T. Hansbrough,,32-44,,
9:28.0,T. Ross makes 2-pt shot from 1 ft,2,34-44,,
9:14.0,,,34-44,,Turnover by T. Prince (bad pass)
9:14.0,,,34-44,,S. Williams enters the game for K. Caldwell-Pope
8:56.0,L. Williams makes 2-pt shot at rim,2,36-44,,
8:41.0,,,36-44,,S. Williams misses 3-pt shot from 26 ft
8:40.0,,,36-44,,Offensive rebound by Team
8:27.0,,,36-44,,Turnover by S. Dinwiddie (bad pass; steal by G. Vasquez)
8:18.0,T. Ross misses 2-pt shot from 18 ft,,36-44,,
8:17.0,,,36-44,,Defensive rebound by T. Prince
8:03.0,,,36-44,,J. Meeks misses 2-pt shot from 7 ft
8:02.0,Defensive rebound by P. Patterson,,36-44,,
7:51.0,Shooting foul by T. Prince (drawn by T. Hansbrough),,36-44,,
7:51.0,T. Hansbrough makes free throw 1 of 2,1,37-44,,
7:51.0,T. Hansbrough makes free throw 2 of 2,1,38-44,,
7:37.0,,,38-44,,J. Meeks misses 3-pt shot from 26 ft
7:36.0,,,38-44,,Offensive rebound by S. Williams
7:23.0,,,38-44,,S. Dinwiddie misses 2-pt shot from 10 ft
7:21.0,Defensive rebound by T. Ross,,38-44,,
7:00.0,T. Hansbrough makes 2-pt shot from 3 ft (assist by P. Patterson),2,40-44,,
6:56.0,,,40-44,,Detroit full timeout
6:56.0,D. DeRozan enters the game for G. Vasquez,,40-44,,
6:35.0,,,40-44,,T. Prince misses 2-pt shot from 19 ft
6:33.0,,,40-44,,Offensive rebound by S. Williams
6:32.0,,,40-44,,S. Williams misses 2-pt shot at rim
6:30.0,,,40-44,,Offensive rebound by J. Anthony
6:19.0,,,40-44,,S. Dinwiddie misses 3-pt shot from 25 ft
6:18.0,,,40-44,,Offensive rebound by J. Anthony
6:15.0,,,40-44,,Turnover by J. Anthony (bad pass)
6:15.0,,,40-44,,R. Jackson enters the game for S. Dinwiddie
5:54.0,T. Ross misses 2-pt shot from 16 ft,,40-44,,
5:53.0,Offensive rebound by T. Hansbrough,,40-44,,
5:47.0,L. Williams misses 3-pt shot from 27 ft,,40-44,,
5:46.0,,,40-44,,Defensive rebound by S. Williams
5:32.0,,,40-46,2,S. Williams makes 2-pt shot from 20 ft (assist by R. Jackson)
5:13.0,P. Patterson makes 2-pt shot from 6 ft,2,42-46,,
4:57.0,,,42-46,,R. Jackson misses 2-pt shot at rim
4:55.0,,,42-46,,Offensive rebound by J. Anthony
4:54.0,,,42-48,2,J. Anthony makes 2-pt shot at rim
4:33.0,D. DeRozan misses 2-pt shot at rim,,42-48,,
4:32.0,,,42-48,,Defensive rebound by S. Williams
4:11.0,,,42-48,,S. Williams misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by D. DeRozan,,42-48,,
4:05.0,L. Williams misses 2-pt shot from 3 ft (block by J. Anthony),,42-48,,
4:05.0,Offensive rebound by Team,,42-48,,
4:05.0,J. Valanciunas enters the game for T. Hansbrough,,42-48,,
4:05.0,,,42-48,,A. Drummond enters the game for J. Anthony
3:54.0,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson),2,44-48,,
3:43.0,Personal foul by T. Ross (drawn by J. Meeks),,44-48,,
3:43.0,G. Vasquez enters the game for L. Williams,,44-48,,
3:43.0,,,44-48,,K. Caldwell-Pope enters the game for J. Meeks
3:34.0,,,44-51,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by S. Williams)
3:20.0,D. DeRozan misses 2-pt shot from 15 ft,,44-51,,
3:19.0,,,44-51,,Defensive rebound by T. Prince
3:15.0,,,44-51,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:14.0,,,44-51,,Offensive rebound by A. Drummond
3:13.0,,,44-51,,A. Drummond misses 2-pt shot from 1 ft
