time,Portland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. C. Kaman (T. Sefolosha gains possession),,,,Jump ball: A. Horford vs. C. Kaman (T. Sefolosha gains possession)
11:38.0,,,0-3,3,J. Teague makes 3-pt shot from 22 ft (assist by A. Horford)
11:15.0,C. Kaman makes 2-pt shot from 4 ft (assist by L. Aldridge),2,2-3,,
10:54.0,,,2-3,,T. Sefolosha misses 3-pt shot from 23 ft
10:52.0,Defensive rebound by L. Aldridge,,2-3,,
10:42.0,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Lillard),3,5-3,,
10:26.0,,,5-6,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
10:08.0,Turnover by W. Matthews (bad pass; steal by P. Millsap),,5-6,,
9:59.0,,,5-6,,T. Sefolosha misses 2-pt shot from 2 ft
9:57.0,,,5-6,,Offensive rebound by T. Sefolosha
9:53.0,,,5-6,,K. Korver misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by L. Aldridge,,5-6,,
9:39.0,,,5-6,,Personal take foul by T. Sefolosha (drawn by C. Kaman)
9:39.0,,,5-6,,K. Bazemore enters the game for T. Sefolosha
9:35.0,D. Lillard makes 2-pt shot from 17 ft (assist by N. Batum),2,7-6,,
9:25.0,Personal foul by D. Lillard (drawn by J. Teague),,7-6,,
9:12.0,,,7-6,,P. Millsap misses 2-pt shot from 7 ft
9:11.0,Defensive rebound by C. Kaman,,7-6,,
9:02.0,L. Aldridge makes 2-pt shot from 4 ft,2,9-6,,
8:44.0,,,9-8,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Bazemore)
8:20.0,L. Aldridge misses 2-pt shot from 21 ft,,9-8,,
8:16.0,,,9-8,,Defensive rebound by K. Korver
8:05.0,,,9-8,,A. Horford misses 2-pt shot from 4 ft
8:04.0,Defensive rebound by L. Aldridge,,9-8,,
7:47.0,Turnover by N. Batum (bad pass),,9-8,,
7:37.0,,,9-8,,Turnover by J. Teague (lost ball; steal by D. Lillard)
7:28.0,Turnover by W. Matthews (lost ball; steal by J. Teague),,9-8,,
7:27.0,Personal foul by W. Matthews (drawn by P. Millsap),,9-8,,
7:11.0,,,9-8,,A. Horford misses 2-pt shot from 9 ft
7:09.0,,,9-8,,Offensive rebound by A. Horford
7:02.0,,,9-8,,A. Horford misses 2-pt shot from 4 ft
7:00.0,Defensive rebound by L. Aldridge,,9-8,,
6:48.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,11-8,,
6:29.0,,,11-10,2,J. Teague makes 2-pt shot from 19 ft
6:05.0,L. Aldridge misses 2-pt shot from 4 ft,,11-10,,
6:03.0,,,11-10,,Defensive rebound by K. Korver
5:59.0,,,11-10,,Turnover by J. Teague (bad pass)
5:59.0,,,11-10,,Atlanta full timeout
5:59.0,,,11-10,,P. Antic enters the game for A. Horford
5:59.0,,,11-10,,D. Schroder enters the game for K. Korver
5:59.0,M. Leonard enters the game for C. Kaman,,11-10,,
5:59.0,S. Blake enters the game for W. Matthews,,11-10,,
5:45.0,Turnover by N. Batum (bad pass),,11-10,,
5:26.0,,,11-12,2,P. Millsap makes 2-pt shot from 4 ft
5:11.0,L. Aldridge misses 2-pt shot from 17 ft,,11-12,,
5:11.0,Offensive rebound by Team,,11-12,,
5:02.0,M. Leonard makes 3-pt shot from 24 ft (assist by S. Blake),3,14-12,,
4:46.0,Personal foul by S. Blake (drawn by J. Teague),,14-12,,
