time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: L. Amundson vs. J. Valanciunas (A. Johnson gains possession)
11:40.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 8 ft
11:23.0,L. Amundson misses 2-pt shot from 2 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. DeRozan
11:03.0,,,0-2,,T. Ross misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by A. Bargnani,,0-2,,
10:51.0,Shooting foul by J. Valanciunas (drawn by A. Bargnani),,0-2,,
10:51.0,A. Bargnani makes free throw 1 of 2,1,1-2,,
10:51.0,A. Bargnani makes free throw 2 of 2,1,2-2,,
10:41.0,,,2-2,,Turnover by G. Vasquez (bad pass)
10:31.0,Turnover by A. Bargnani (bad pass),,2-2,,
10:19.0,,,2-4,2,D. DeRozan makes 2-pt shot from 1 ft (assist by A. Johnson)
10:03.0,A. Shved misses 2-pt shot from 2 ft,,2-4,,
10:02.0,,,2-4,,Defensive rebound by D. DeRozan
9:56.0,,,2-7,3,T. Ross makes 3-pt shot from 23 ft (assist by D. DeRozan)
9:41.0,A. Bargnani misses 2-pt shot from 20 ft,,2-7,,
9:39.0,,,2-7,,Defensive rebound by T. Ross
9:29.0,,,2-10,3,A. Johnson makes 3-pt shot from 23 ft (assist by D. DeRozan)
9:13.0,A. Shved makes 2-pt shot from 2 ft,2,4-10,,
8:50.0,,,4-12,2,J. Valanciunas makes 2-pt shot from 6 ft
8:33.0,A. Shved misses 2-pt shot from 19 ft,,4-12,,
8:32.0,,,4-12,,Defensive rebound by J. Valanciunas
8:16.0,,,4-12,,A. Johnson misses 3-pt shot from 24 ft
8:16.0,,,4-12,,Offensive rebound by Team
8:16.0,Loose ball foul by L. Amundson (drawn by J. Valanciunas),,4-12,,
8:16.0,C. Aldrich enters the game for L. Amundson,,4-12,,
8:10.0,,,4-12,,Shooting foul by A. Shved (drawn by T. Ross)
8:10.0,,,4-13,1,T. Ross makes free throw 1 of 2
8:10.0,,,4-13,,T. Ross misses free throw 2 of 2
8:08.0,Defensive rebound by C. Aldrich,,4-13,,
7:50.0,A. Shved makes 2-pt shot from 2 ft,2,6-13,,
7:29.0,,,6-13,,J. Valanciunas misses 2-pt shot from 19 ft
7:28.0,Defensive rebound by L. Galloway,,6-13,,
7:10.0,A. Bargnani makes 2-pt shot from 11 ft (assist by L. Galloway),2,8-13,,
6:52.0,,,8-15,2,D. DeRozan makes 2-pt shot from 18 ft (assist by A. Johnson)
6:32.0,L. Thomas makes 2-pt shot from 1 ft,2,10-15,,
6:11.0,,,10-15,,Shooting foul by C. Aldrich (drawn by D. DeRozan)
6:11.0,,,10-16,1,D. DeRozan makes free throw 1 of 2
6:11.0,,,10-17,1,D. DeRozan makes free throw 2 of 2
5:58.0,L. Galloway misses 2-pt shot from 21 ft,,10-17,,
5:57.0,Offensive rebound by A. Bargnani,,10-17,,
5:52.0,A. Shved misses 3-pt shot from 25 ft,,10-17,,
5:51.0,,,10-17,,Defensive rebound by A. Johnson
5:29.0,,,10-17,,G. Vasquez misses 2-pt shot from 10 ft (block by A. Bargnani)
5:29.0,,,10-17,,Offensive rebound by Team
5:29.0,,,10-17,,Toronto full timeout
5:26.0,,,10-17,,T. Ross misses 2-pt shot from 8 ft
5:25.0,Defensive rebound by C. Aldrich,,10-17,,
5:12.0,A. Bargnani misses 2-pt shot from 7 ft,,10-17,,
5:11.0,Offensive rebound by C. Aldrich,,10-17,,
5:09.0,C. Aldrich makes 2-pt shot from 1 ft,2,12-17,,
5:01.0,Personal foul by L. Thomas (drawn by A. Johnson),,12-17,,
4:48.0,,,12-19,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
4:24.0,A. Shved misses 3-pt shot from 24 ft,,12-19,,
4:23.0,,,12-19,,Defensive rebound by J. Valanciunas
4:10.0,,,12-19,,J. Valanciunas misses 2-pt shot from 12 ft
4:09.0,Defensive rebound by A. Bargnani,,12-19,,
3:58.0,L. Galloway misses 2-pt shot from 3 ft,,12-19,,
3:57.0,Offensive rebound by C. Aldrich,,12-19,,
3:55.0,C. Aldrich misses 2-pt shot at rim,,12-19,,
3:54.0,,,12-19,,Defensive rebound by D. DeRozan
3:48.0,,,12-19,,G. Vasquez misses 2-pt shot from 23 ft
3:47.0,Defensive rebound by C. Aldrich,,12-19,,
3:39.0,A. Bargnani makes 2-pt shot from 18 ft (assist by L. Galloway),2,14-19,,
3:23.0,,,14-21,2,T. Ross makes 2-pt shot from 21 ft
3:09.0,Turnover by A. Shved (lost ball),,14-21,,
3:09.0,,,14-21,,L. Williams enters the game for G. Vasquez
3:09.0,,,14-21,,P. Patterson enters the game for J. Valanciunas
2:51.0,,,14-21,,D. DeRozan misses 2-pt shot from 2 ft
2:50.0,,,14-21,,Offensive rebound by Team
2:50.0,New York full timeout,,14-21,,
2:50.0,J. Smith enters the game for A. Bargnani,,14-21,,
2:50.0,S. Larkin enters the game for L. Galloway,,14-21,,
2:43.0,,,14-23,2,T. Ross makes 2-pt shot from 18 ft (assist by L. Williams)
2:18.0,J. Smith misses 2-pt shot from 20 ft,,14-23,,
2:17.0,,,14-23,,Defensive rebound by Team
2:03.0,,,14-23,,D. DeRozan misses 2-pt shot from 2 ft
2:01.0,Defensive rebound by A. Shved,,14-23,,
1:53.0,A. Shved makes 2-pt shot from 2 ft,2,16-23,,
1:49.0,,,16-23,,D. DeRozan misses 2-pt shot from 1 ft (block by C. Aldrich)
1:49.0,Defensive rebound by Team,,16-23,,
1:49.0,T. Wear enters the game for C. Aldrich,,16-23,,
1:38.0,L. Thomas makes 2-pt shot from 13 ft (assist by A. Shved),2,18-23,,
1:31.0,,,18-25,2,D. DeRozan makes 2-pt shot at rim (assist by L. Williams)
1:07.0,A. Shved misses 2-pt shot from 4 ft,,18-25,,
1:06.0,Offensive rebound by T. Wear,,18-25,,
1:03.0,T. Wear misses 2-pt shot from 1 ft,,18-25,,
1:02.0,Offensive rebound by T. Wear,,18-25,,
1:00.0,T. Wear makes 2-pt shot from 1 ft,2,20-25,,
0:51.0,,,20-25,,A. Johnson misses 2-pt shot at rim
