time,Washington,pts.away,score,pts.home,Cleveland
0:24.0,,,18-31,1,L. James makes free throw 1 of 2
0:24.0,,,18-31,,L. Amundson enters the game for K. Love
0:24.0,,,18-31,,L. James misses free throw 2 of 2
0:23.0,Defensive rebound by D. Gooden,,18-31,,
0:00.0,J. Wall misses 2-pt shot from 18 ft,,18-31,,
0:00.0,Offensive rebound by Team,,18-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,18-33,2,T. Thompson makes 2-pt shot from 17 ft (assist by L. Amundson)
11:18.0,R. Butler makes 2-pt shot from 20 ft (assist by A. Miller),2,20-33,,
10:59.0,,,20-33,,K. Irving misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by Team,,20-33,,
10:59.0,,,20-33,,Loose ball foul by T. Thompson (drawn by K. Seraphin)
10:38.0,K. Seraphin misses 2-pt shot from 8 ft,,20-33,,
10:34.0,Offensive rebound by D. Gooden,,20-33,,
10:34.0,D. Gooden makes 2-pt shot from 1 ft,2,22-33,,
10:22.0,,,22-33,,Turnover by D. Waiters (palming)
10:08.0,O. Porter misses 2-pt shot from 20 ft,,22-33,,
10:07.0,,,22-33,,Defensive rebound by L. Amundson
9:57.0,,,22-35,2,D. Waiters makes 2-pt shot from 17 ft
9:43.0,A. Miller makes 2-pt shot at rim,2,24-35,,
9:33.0,,,24-35,,K. Irving misses 2-pt shot from 23 ft
9:32.0,Defensive rebound by O. Porter,,24-35,,
9:19.0,O. Porter misses 2-pt shot from 7 ft,,24-35,,
9:17.0,,,24-35,,Defensive rebound by K. Irving
9:15.0,,,24-35,,Shooting foul by D. Gooden (drawn by K. Irving)
9:15.0,,,24-35,,K. Irving misses free throw 1 of 2
9:15.0,,,24-35,,Offensive rebound by Team
9:15.0,,,24-35,,K. Love enters the game for L. Amundson
9:15.0,,,24-36,1,K. Irving makes free throw 2 of 2
8:54.0,Shooting foul by D. Waiters (drawn by A. Miller),,24-36,,
8:54.0,Official timeout,,24-36,,
8:54.0,A. Miller makes free throw 1 of 2,1,25-36,,
8:54.0,A. Miller misses free throw 2 of 2,,25-36,,
8:53.0,,,25-36,,Defensive rebound by K. Love
8:32.0,,,25-36,,D. Waiters misses 2-pt shot from 2 ft
8:31.0,Defensive rebound by Team,,25-36,,
8:09.0,D. Gooden misses 3-pt shot from 28 ft,,25-36,,
8:08.0,Offensive rebound by O. Porter,,25-36,,
8:06.0,O. Porter makes 2-pt shot from 5 ft,2,27-36,,
7:57.0,Personal foul by K. Seraphin (drawn by T. Thompson),,27-36,,
7:57.0,,,27-36,,L. James enters the game for D. Waiters
7:50.0,,,27-38,2,K. Love makes 2-pt shot at rim
7:50.0,,,27-38,,Shooting foul by D. Gooden (drawn by K. Love)
7:50.0,K. Humphries enters the game for D. Gooden,,27-38,,
7:50.0,,,27-39,1,K. Love makes free throw 1 of 1
7:30.0,R. Butler makes 2-pt shot from 16 ft (assist by A. Miller),2,29-39,,
7:19.0,,,29-39,,S. Marion misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by Team,,29-39,,
7:02.0,Turnover by R. Butler (bad pass; steal by S. Marion),,29-39,,
6:54.0,,,29-41,2,K. Irving makes 2-pt shot from 14 ft (assist by S. Marion)
6:42.0,A. Miller makes 2-pt shot at rim,2,31-41,,
6:32.0,,,31-41,,Shooting foul by A. Miller (drawn by T. Thompson)
