time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Cousins (D. Williams gains possession),,,,Jump ball: A. Bogut vs. D. Cousins (D. Williams gains possession)
11:39.0,,,0-0,,D. Cousins misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by S. Curry,,0-0,,
11:26.0,K. Thompson misses 3-pt shot from 24 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by R. Gay
11:12.0,,,0-3,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay)
10:47.0,Turnover by K. Thompson (lost ball; steal by B. McLemore),,0-3,,
10:43.0,,,0-5,2,B. McLemore makes 2-pt shot at rim
10:20.0,D. Green misses 2-pt shot from 7 ft,,0-5,,
10:19.0,,,0-5,,Defensive rebound by D. Cousins
10:08.0,,,0-7,2,D. Cousins makes 2-pt shot from 2 ft
9:53.0,S. Curry makes 2-pt shot from 3 ft (assist by A. Bogut),2,2-7,,
9:39.0,,,2-9,2,D. Collison makes 2-pt shot from 16 ft
9:22.0,D. Green makes 2-pt shot from 22 ft (assist by S. Curry),2,4-9,,
9:03.0,,,4-9,,B. McLemore misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by D. Green,,4-9,,
8:57.0,Turnover by K. Thompson (lost ball; steal by B. McLemore),,4-9,,
8:42.0,,,4-9,,R. Gay misses 2-pt shot at rim (block by A. Bogut)
8:39.0,Defensive rebound by H. Barnes,,4-9,,
8:32.0,K. Thompson misses 3-pt shot from 23 ft,,4-9,,
8:31.0,,,4-9,,Defensive rebound by D. Cousins
8:19.0,,,4-9,,D. Cousins misses 2-pt shot from 16 ft
8:18.0,Defensive rebound by H. Barnes,,4-9,,
8:10.0,S. Curry misses 2-pt shot from 3 ft,,4-9,,
8:09.0,,,4-9,,Defensive rebound by D. Cousins
8:02.0,,,4-12,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
7:55.0,H. Barnes makes 2-pt shot from 20 ft (assist by S. Curry),2,6-12,,
7:27.0,,,6-12,,R. Gay misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by A. Bogut,,6-12,,
7:17.0,K. Thompson misses 2-pt shot from 8 ft,,6-12,,
7:16.0,,,6-12,,Defensive rebound by D. Cousins
7:13.0,,,6-12,,Turnover by D. Cousins (bad pass; steal by S. Curry)
7:12.0,S. Curry misses 2-pt shot from 5 ft (block by D. Cousins),,6-12,,
7:09.0,,,6-12,,Defensive rebound by D. Collison
7:01.0,,,6-14,2,D. Williams makes 2-pt shot from 1 ft (assist by D. Collison)
6:53.0,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry),2,8-14,,
6:40.0,,,8-17,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
6:28.0,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson),2,10-17,,
6:28.0,Shooting foul by B. McLemore (drawn by A. Bogut),,10-17,,
6:28.0,A. Bogut misses free throw 1 of 1,,10-17,,
6:27.0,,,10-17,,Defensive rebound by D. Williams
6:06.0,,,10-20,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
5:45.0,S. Curry misses 3-pt shot from 24 ft,,10-20,,
5:44.0,,,10-20,,Defensive rebound by D. Williams
5:32.0,,,10-20,,Turnover by R. Gay (lost ball; steal by K. Thompson)
5:26.0,S. Curry makes 2-pt shot from 4 ft,2,12-20,,
5:17.0,,,12-20,,D. Collison misses 2-pt shot from 4 ft (block by D. Green)
5:16.0,Defensive rebound by D. Green,,12-20,,
5:12.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,14-20,,
5:00.0,,,14-20,,Sacramento full timeout
5:00.0,A. Iguodala enters the game for H. Barnes,,14-20,,
4:43.0,,,14-20,,Shooting foul by A. Bogut (drawn by B. McLemore)
4:43.0,,,14-21,1,B. McLemore makes free throw 1 of 2
4:43.0,,,14-22,1,B. McLemore makes free throw 2 of 2
4:25.0,K. Thompson misses 3-pt shot from 22 ft,,14-22,,
4:24.0,,,14-22,,Defensive rebound by D. Williams
4:07.0,,,14-22,,Turnover by D. Cousins (lost ball; steal by D. Green)
