time,Philadelphia,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. N. Noel (J. Sampson gains possession),,,,Jump ball: K. Faried vs. N. Noel (J. Sampson gains possession)
11:36.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,2-0,,
11:22.0,,,2-0,,Turnover by R. Foye (bad pass; steal by I. Smith)
11:17.0,Turnover by I. Smith (bad pass; steal by K. Faried),,2-0,,
11:09.0,,,2-0,,R. Foye misses 3-pt shot from 22 ft (block by J. Richardson)
11:08.0,Defensive rebound by J. Sampson,,2-0,,
11:07.0,Turnover by J. Sampson (bad pass; steal by R. Foye),,2-0,,
10:49.0,,,2-0,,Turnover by W. Chandler (traveling)
10:35.0,J. Richardson makes 2-pt shot from 2 ft (assist by J. Sampson),2,4-0,,
10:23.0,,,4-0,,Turnover by K. Faried (lost ball; steal by I. Smith)
10:20.0,Shooting foul by K. Faried (drawn by J. Grant),,4-0,,
10:20.0,J. Grant makes free throw 1 of 2,1,5-0,,
10:20.0,J. Grant misses free throw 2 of 2,,5-0,,
10:18.0,,,5-0,,Defensive rebound by W. Chandler
10:06.0,,,5-0,,D. Gallinari misses 2-pt shot from 4 ft (block by N. Noel)
10:03.0,Defensive rebound by I. Smith,,5-0,,
9:59.0,J. Richardson misses 3-pt shot from 24 ft,,5-0,,
9:58.0,,,5-0,,Defensive rebound by D. Gallinari
9:49.0,,,5-0,,W. Chandler misses 3-pt shot from 22 ft
9:47.0,Defensive rebound by J. Grant,,5-0,,
9:33.0,J. Grant makes 3-pt shot from 23 ft (assist by J. Richardson),3,8-0,,
9:24.0,,,8-0,,Denver full timeout
9:12.0,,,8-0,,W. Chandler misses 2-pt shot from 2 ft (block by J. Grant)
9:09.0,Defensive rebound by N. Noel,,8-0,,
8:59.0,J. Sampson misses 3-pt shot from 23 ft,,8-0,,
8:57.0,,,8-0,,Defensive rebound by D. Gallinari
8:57.0,Personal foul by I. Smith (drawn by D. Gallinari),,8-0,,
8:48.0,,,8-0,,R. Foye misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by N. Noel,,8-0,,
8:27.0,J. Richardson misses 2-pt shot from 12 ft,,8-0,,
8:26.0,,,8-0,,Defensive rebound by T. Lawson
8:21.0,,,8-0,,T. Lawson misses 2-pt shot from 1 ft (block by J. Grant)
8:17.0,Defensive rebound by J. Grant,,8-0,,
8:00.0,Turnover by I. Smith (bad pass; steal by D. Gallinari),,8-0,,
7:55.0,,,8-0,,W. Chandler misses 2-pt shot from 2 ft
7:51.0,,,8-0,,Offensive rebound by R. Foye
7:47.0,,,8-3,3,W. Chandler makes 3-pt shot from 23 ft (assist by D. Gallinari)
7:26.0,Turnover by N. Noel (bad pass),,8-3,,
7:15.0,,,8-3,,T. Lawson misses 2-pt shot from 18 ft
