time,Sacramento,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Thompson (E. Kanter gains possession),,,,Jump ball: S. Adams vs. J. Thompson (E. Kanter gains possession)
11:44.0,,,0-2,2,E. Kanter makes 2-pt shot from 6 ft (assist by R. Westbrook)
11:28.0,C. Landry misses 2-pt shot from 14 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by R. Westbrook
11:11.0,,,0-2,,R. Westbrook misses 2-pt shot from 15 ft
11:10.0,,,0-2,,Offensive rebound by A. Roberson
10:59.0,,,0-4,2,D. Waiters makes 2-pt shot from 19 ft
10:53.0,B. McLemore misses 3-pt shot from 24 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by S. Adams
10:38.0,,,0-4,,S. Adams misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by J. Thompson,,0-4,,
10:17.0,B. McLemore misses 2-pt shot from 6 ft,,0-4,,
10:16.0,Offensive rebound by B. McLemore,,0-4,,
10:13.0,Shooting foul by A. Roberson (drawn by O. Casspi),,0-4,,
10:13.0,O. Casspi makes free throw 1 of 2,1,1-4,,
10:13.0,O. Casspi makes free throw 2 of 2,1,2-4,,
9:58.0,,,2-4,,E. Kanter misses 2-pt shot from 1 ft
9:57.0,,,2-4,,Offensive rebound by S. Adams
9:52.0,,,2-6,2,R. Westbrook makes 2-pt shot from 2 ft
9:37.0,J. Thompson makes 2-pt shot from 6 ft,2,4-6,,
9:11.0,,,4-6,,A. Roberson misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by C. Landry,,4-6,,
8:57.0,J. Thompson misses 2-pt shot from 8 ft,,4-6,,
8:56.0,Offensive rebound by C. Landry,,4-6,,
8:55.0,Shooting foul by E. Kanter (drawn by C. Landry),,4-6,,
8:55.0,C. Landry makes free throw 1 of 2,1,5-6,,
8:55.0,C. Landry makes free throw 2 of 2,1,6-6,,
8:40.0,,,6-6,,Shooting foul by B. McLemore (drawn by D. Waiters)
8:40.0,,,6-7,1,D. Waiters makes free throw 1 of 2
