time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. A. Horford (B. Jennings gains possession)
11:43.0,Turnover by G. Monroe (lost ball; steal by D. Carroll),,0-0,,
11:26.0,Violation by A. Drummond (kicked ball),,0-0,,
11:14.0,,,0-2,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
10:51.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by P. Millsap
10:43.0,,,0-2,,K. Korver misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by B. Jennings,,0-2,,
10:31.0,K. Singler misses 2-pt shot from 10 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by A. Horford
10:06.0,,,0-2,,J. Teague misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by G. Monroe,,0-2,,
9:54.0,G. Monroe misses 2-pt shot from 1 ft (block by A. Horford),,0-2,,
9:52.0,,,0-2,,Defensive rebound by K. Korver
9:39.0,,,0-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
9:26.0,B. Jennings misses 2-pt shot from 17 ft,,0-4,,
9:24.0,,,0-4,,Defensive rebound by P. Millsap
9:10.0,,,0-4,,P. Millsap misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by A. Drummond,,0-4,,
9:01.0,Turnover by G. Monroe (bad pass),,0-4,,
8:43.0,,,0-6,2,P. Millsap makes 2-pt shot from 2 ft (assist by K. Korver)
8:27.0,,,0-6,,Personal foul by J. Teague (drawn by K. Caldwell-Pope)
8:18.0,B. Jennings misses 3-pt shot from 24 ft,,0-6,,
8:17.0,,,0-6,,Defensive rebound by K. Korver
8:04.0,,,0-8,2,A. Horford makes 2-pt shot at rim (assist by D. Carroll)
7:50.0,K. Caldwell-Pope misses 2-pt shot from 5 ft,,0-8,,
7:48.0,Offensive rebound by A. Drummond,,0-8,,
7:48.0,A. Drummond misses 2-pt shot at rim,,0-8,,
7:47.0,,,0-8,,Defensive rebound by P. Millsap
7:40.0,Personal foul by B. Jennings (drawn by J. Teague),,0-8,,
7:36.0,,,0-8,,Turnover by K. Korver (bad pass; steal by K. Singler)
7:26.0,A. Drummond makes 2-pt shot at rim (assist by G. Monroe),2,2-8,,
7:12.0,,,2-8,,J. Teague misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by A. Drummond,,2-8,,
7:10.0,Turnover by B. Jennings (traveling),,2-8,,
6:58.0,,,2-8,,K. Korver misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by G. Monroe,,2-8,,
6:43.0,A. Drummond misses 2-pt shot from 10 ft,,2-8,,
6:42.0,,,2-8,,Defensive rebound by P. Millsap
6:33.0,,,2-8,,J. Teague misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by K. Singler,,2-8,,
6:25.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,2-8,,
6:24.0,,,2-8,,Defensive rebound by A. Horford
6:18.0,Personal foul by K. Singler (drawn by J. Teague),,2-8,,
6:10.0,,,2-11,3,P. Millsap makes 3-pt shot from 23 ft (assist by A. Horford)
6:02.0,Detroit full timeout,,2-11,,
6:02.0,,,2-11,,P. Antic enters the game for A. Horford
6:02.0,,,2-11,,T. Sefolosha enters the game for K. Korver
6:02.0,A. Tolliver enters the game for G. Monroe,,2-11,,
5:50.0,K. Singler misses 3-pt shot from 25 ft,,2-11,,
5:49.0,,,2-11,,Defensive rebound by P. Antic
5:45.0,,,2-11,,Turnover by J. Teague (bad pass; steal by K. Caldwell-Pope)
5:36.0,B. Jennings makes 2-pt shot from 19 ft,2,4-11,,
5:25.0,,,4-11,,J. Teague misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by A. Drummond,,4-11,,
5:19.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,6-11,,
4:54.0,,,6-11,,P. Antic misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by A. Tolliver,,6-11,,
4:47.0,C. Butler enters the game for K. Singler,,6-11,,
4:35.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,6-11,,
4:34.0,Offensive rebound by A. Drummond,,6-11,,
4:34.0,A. Drummond misses 2-pt shot from 1 ft,,6-11,,
4:33.0,,,6-11,,Defensive rebound by P. Antic
4:08.0,,,6-11,,P. Antic misses 2-pt shot at rim
4:06.0,Defensive rebound by A. Tolliver,,6-11,,
3:57.0,B. Jennings misses 2-pt shot from 9 ft,,6-11,,
3:55.0,Offensive rebound by A. Drummond,,6-11,,
3:55.0,A. Drummond makes 2-pt shot at rim,2,8-11,,
