time,Milwaukee,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. L. Sanders (C. Paul gains possession),,,,Jump ball: D. Jordan vs. L. Sanders (C. Paul gains possession)
11:41.0,,,0-2,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
11:25.0,O. Mayo misses 2-pt shot from 12 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by M. Barnes
11:14.0,,,0-2,,Turnover by M. Barnes (bad pass; steal by G. Antetokounmpo)
11:10.0,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo),2,2-2,,
10:45.0,,,2-2,,J. Redick misses 3-pt shot from 25 ft
10:44.0,,,2-2,,Offensive rebound by D. Jordan
10:36.0,,,2-2,,Turnover by C. Paul (lost ball)
10:18.0,J. O'Bryant makes 2-pt shot at rim,2,4-2,,
10:09.0,,,4-5,3,C. Paul makes 3-pt shot from 25 ft
9:51.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,4-5,,
9:49.0,,,4-5,,Defensive rebound by B. Griffin
9:42.0,,,4-5,,Shooting foul by J. O'Bryant (drawn by B. Griffin)
9:42.0,,,4-6,1,B. Griffin makes free throw 1 of 2
9:42.0,,,4-7,1,B. Griffin makes free throw 2 of 2
9:25.0,J. O'Bryant misses 2-pt shot from 17 ft,,4-7,,
9:24.0,,,4-7,,Defensive rebound by D. Jordan
9:05.0,,,4-7,,B. Griffin misses 2-pt shot from 2 ft
9:02.0,,,4-7,,Offensive rebound by D. Jordan
9:02.0,,,4-7,,D. Jordan misses 2-pt shot at rim
9:00.0,,,4-7,,Offensive rebound by M. Barnes
9:00.0,,,4-9,2,B. Griffin makes 2-pt shot at rim (assist by M. Barnes)
9:00.0,,,4-9,,Shooting foul by J. O'Bryant (drawn by B. Griffin)
9:00.0,J. Dudley enters the game for J. O'Bryant,,4-9,,
9:00.0,,,4-9,,B. Griffin misses free throw 1 of 1
8:49.0,Defensive rebound by G. Antetokounmpo,,4-9,,
8:44.0,Turnover by O. Mayo (bad pass; steal by B. Griffin),,4-9,,
8:40.0,,,4-9,,B. Griffin misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by B. Knight,,4-9,,
8:30.0,J. Dudley makes 3-pt shot from 23 ft (assist by B. Knight),3,7-9,,
8:20.0,,,7-9,,Shooting foul by L. Sanders (drawn by D. Jordan)
8:20.0,,,7-9,,D. Jordan misses free throw 1 of 2
8:20.0,,,7-9,,Offensive rebound by Team
8:20.0,,,7-9,,D. Jordan misses free throw 2 of 2
8:19.0,Defensive rebound by G. Antetokounmpo,,7-9,,
8:03.0,Turnover by J. Dudley (bad pass; steal by D. Jordan),,7-9,,
7:56.0,,,7-9,,M. Barnes misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by B. Knight,,7-9,,
7:49.0,Turnover by B. Knight (lost ball; steal by C. Paul),,7-9,,
7:42.0,,,7-12,3,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes)
7:25.0,L. Sanders makes 2-pt shot from 1 ft (assist by B. Knight),2,9-12,,
7:08.0,,,9-15,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
6:53.0,L. Sanders makes 2-pt shot at rim (assist by J. Dudley),2,11-15,,
6:53.0,,,11-15,,Violation by B. Griffin (def goaltending)
6:43.0,,,11-17,2,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul)
6:27.0,Turnover by B. Knight (bad pass; steal by J. Redick),,11-17,,
6:15.0,,,11-17,,Turnover by J. Redick (bad pass; steal by G. Antetokounmpo)
6:10.0,,,11-17,,Personal foul by B. Griffin (drawn by J. Dudley)
6:02.0,,,11-17,,LA Clippers full timeout
5:52.0,J. Dudley makes 2-pt shot from 22 ft (assist by G. Antetokounmpo),2,13-17,,
5:39.0,,,13-20,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
5:25.0,O. Mayo misses 2-pt shot from 18 ft,,13-20,,
5:23.0,Offensive rebound by L. Sanders,,13-20,,
5:21.0,Offensive charge foul by J. Dudley,,13-20,,
5:21.0,Turnover by J. Dudley (offensive foul),,13-20,,
