time,Philadelphia,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. H. Sims (T. Parker gains possession),,,,Jump ball: T. Duncan vs. H. Sims (T. Parker gains possession)
11:38.0,,,0-0,,M. Bonner misses 2-pt shot from 20 ft
11:37.0,,,0-0,,Offensive rebound by T. Duncan
11:26.0,,,0-0,,Turnover by T. Parker (offensive foul)
11:26.0,,,0-0,,Offensive charge foul by T. Parker
11:13.0,Turnover by T. Wroten (lost ball; steal by K. Leonard),,0-0,,
11:10.0,,,0-2,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
10:52.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by B. Davies),2,2-2,,
10:27.0,,,2-4,2,M. Bonner makes 2-pt shot from 3 ft (assist by T. Duncan)
10:15.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Davies),2,4-4,,
9:56.0,,,4-4,,M. Bonner misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by H. Thompson,,4-4,,
9:44.0,B. Davies misses 2-pt shot from 9 ft,,4-4,,
9:43.0,,,4-4,,Defensive rebound by T. Duncan
9:28.0,,,4-7,3,M. Bonner makes 3-pt shot from 24 ft (assist by T. Parker)
9:14.0,H. Thompson misses 3-pt shot from 25 ft,,4-7,,
9:12.0,,,4-7,,Defensive rebound by T. Duncan
9:07.0,,,4-7,,D. Green misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by L. Mbah a Moute,,4-7,,
8:53.0,B. Davies misses 2-pt shot from 22 ft,,4-7,,
8:52.0,,,4-7,,Defensive rebound by K. Leonard
8:42.0,,,4-10,3,D. Green makes 3-pt shot from 25 ft (assist by M. Bonner)
8:31.0,,,4-10,,Violation by T. Duncan (kicked ball)
8:31.0,,,4-10,,B. Diaw enters the game for M. Bonner
8:21.0,H. Sims makes 2-pt shot from 1 ft (assist by T. Wroten),2,6-10,,
8:09.0,,,6-10,,T. Parker misses 2-pt shot from 9 ft
8:08.0,,,6-10,,Offensive rebound by Team
7:56.0,,,6-12,2,T. Duncan makes 2-pt shot from 10 ft (assist by D. Green)
7:38.0,T. Wroten misses 2-pt shot at rim,,6-12,,
7:37.0,,,6-12,,Defensive rebound by T. Duncan
7:31.0,,,6-12,,D. Green misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by H. Sims,,6-12,,
7:17.0,Turnover by L. Mbah a Moute (bad pass; steal by T. Parker),,6-12,,
7:14.0,,,6-14,2,T. Parker makes 2-pt shot at rim
7:13.0,Philadelphia full timeout,,6-14,,
7:13.0,M. Carter-Williams enters the game for H. Thompson,,6-14,,
7:00.0,T. Wroten misses 3-pt shot from 26 ft,,6-14,,
6:59.0,,,6-14,,Defensive rebound by K. Leonard
6:51.0,,,6-16,2,D. Green makes 2-pt shot from 17 ft (assist by T. Parker)
6:36.0,M. Carter-Williams misses 2-pt shot from 20 ft,,6-16,,
6:35.0,,,6-16,,Defensive rebound by K. Leonard
6:28.0,,,6-16,,K. Leonard misses 2-pt shot from 13 ft
6:27.0,Defensive rebound by H. Sims,,6-16,,
6:13.0,T. Wroten misses 2-pt shot from 7 ft (block by D. Green),,6-16,,
6:12.0,,,6-16,,Defensive rebound by B. Diaw
5:48.0,,,6-16,,T. Duncan misses 2-pt shot from 13 ft
5:47.0,Defensive rebound by H. Sims,,6-16,,
5:30.0,Turnover by M. Carter-Williams (bad pass; steal by K. Leonard),,6-16,,
5:17.0,,,6-16,,K. Leonard misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by B. Davies,,6-16,,
5:06.0,B. Davies misses 3-pt shot from 25 ft,,6-16,,
5:05.0,,,6-16,,Defensive rebound by K. Leonard
5:00.0,,,6-16,,B. Diaw misses 2-pt shot from 1 ft
4:59.0,,,6-16,,Offensive rebound by K. Leonard
4:56.0,,,6-16,,D. Green misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by H. Sims,,6-16,,
4:39.0,Turnover by M. Carter-Williams (lost ball; steal by T. Parker),,6-16,,
4:36.0,,,6-16,,Turnover by T. Parker (lost ball)
4:36.0,A. Shved enters the game for T. Wroten,,6-16,,
4:36.0,N. Noel enters the game for B. Davies,,6-16,,
4:36.0,K. McDaniels enters the game for H. Sims,,6-16,,
4:36.0,,,6-16,,A. Baynes enters the game for T. Duncan
4:36.0,,,6-16,,M. Ginobili enters the game for D. Green
4:36.0,,,6-16,,C. Joseph enters the game for T. Parker
4:14.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by A. Baynes),,6-16,,
4:12.0,,,6-16,,Defensive rebound by K. Leonard
4:06.0,,,6-16,,B. Diaw misses 2-pt shot at rim
4:05.0,Defensive rebound by L. Mbah a Moute,,6-16,,
3:56.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,6-16,,
3:55.0,,,6-16,,Defensive rebound by K. Leonard
3:49.0,,,6-16,,Turnover by K. Leonard (bad pass; steal by M. Carter-Williams)
3:43.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,6-16,,
3:42.0,,,6-16,,Defensive rebound by A. Baynes
3:39.0,,,6-16,,San Antonio full timeout
3:39.0,,,6-16,,A. Daye enters the game for K. Leonard
3:39.0,H. Thompson enters the game for L. Mbah a Moute,,6-16,,
3:20.0,,,6-16,,Turnover by M. Ginobili (bad pass; steal by H. Thompson)
3:15.0,N. Noel misses 2-pt shot from 1 ft (block by A. Daye),,6-16,,
3:14.0,,,6-16,,Defensive rebound by A. Baynes
3:14.0,Personal foul by K. McDaniels (drawn by A. Baynes),,6-16,,
