time,San Antonio,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Valanciunas (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Valanciunas (T. Parker gains possession)
11:50.0,T. Duncan misses 2-pt shot from 18 ft,,0-0,,
11:49.0,,,0-0,,Defensive rebound by J. Valanciunas
11:30.0,,,0-0,,Shooting foul by T. Duncan (drawn by A. Johnson)
11:30.0,,,0-1,1,A. Johnson makes free throw 1 of 2
11:30.0,,,0-2,1,A. Johnson makes free throw 2 of 2
11:17.0,K. Leonard misses 2-pt shot from 19 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by K. Lowry
11:08.0,,,0-4,2,K. Lowry makes 2-pt shot from 16 ft
10:56.0,T. Parker misses 2-pt shot from 11 ft,,0-4,,
10:55.0,,,0-4,,Defensive rebound by D. DeRozan
10:43.0,,,0-7,3,K. Lowry makes 3-pt shot from 24 ft (assist by A. Johnson)
10:23.0,K. Leonard misses 2-pt shot from 14 ft,,0-7,,
10:20.0,,,0-7,,Defensive rebound by D. DeRozan
10:06.0,,,0-7,,D. DeRozan misses 2-pt shot from 8 ft (block by T. Parker)
10:04.0,Defensive rebound by T. Parker,,0-7,,
10:02.0,,,0-7,,Personal foul by K. Lowry (drawn by T. Parker)
9:48.0,D. Green makes 2-pt shot from 16 ft (assist by T. Duncan),2,2-7,,
9:31.0,,,2-7,,Turnover by D. DeRozan (lost ball; steal by D. Green)
9:28.0,Shooting foul by A. Johnson (drawn by D. Green),,2-7,,
9:28.0,D. Green makes free throw 1 of 2,1,3-7,,
9:28.0,D. Green misses free throw 2 of 2,,3-7,,
9:25.0,Offensive rebound by A. Baynes,,3-7,,
9:20.0,Shooting foul by A. Johnson (drawn by T. Duncan),,3-7,,
9:20.0,T. Duncan makes free throw 1 of 2,1,4-7,,
9:20.0,,,4-7,,P. Patterson enters the game for A. Johnson
9:20.0,T. Duncan makes free throw 2 of 2,1,5-7,,
9:01.0,,,5-7,,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Green)
9:00.0,Defensive rebound by K. Leonard,,5-7,,
8:53.0,D. Green misses 3-pt shot from 24 ft,,5-7,,
8:51.0,,,5-7,,Defensive rebound by J. Valanciunas
8:39.0,,,5-9,2,J. Johnson makes 2-pt shot from 3 ft
8:25.0,T. Duncan makes 2-pt shot from 17 ft,2,7-9,,
8:06.0,,,7-11,2,D. DeRozan makes 2-pt shot from 18 ft
7:47.0,T. Parker misses 2-pt shot from 8 ft,,7-11,,
7:46.0,,,7-11,,Defensive rebound by J. Valanciunas
7:41.0,,,7-11,,Turnover by D. DeRozan (bad pass; steal by T. Duncan)
