time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. H. Whiteside (U. Haslem gains possession),,,,Jump ball: N. Noel vs. H. Whiteside (U. Haslem gains possession)
11:43.0,,,0-0,,Turnover by D. Wade (bad pass; steal by R. Covington)
11:33.0,R. Covington misses 2-pt shot from 1 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by H. Whiteside
11:25.0,,,0-0,,D. Wade misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by H. Sims,,0-0,,
11:07.0,N. Noel misses 2-pt shot from 8 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by U. Haslem
10:51.0,,,0-2,2,D. Wade makes 2-pt shot from 14 ft
10:43.0,N. Noel misses 2-pt shot at rim,,0-2,,
10:42.0,Offensive rebound by N. Noel,,0-2,,
10:40.0,N. Noel misses 2-pt shot from 4 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by H. Whiteside
10:29.0,,,0-2,,U. Haslem misses 2-pt shot from 19 ft
10:28.0,,,0-2,,Offensive rebound by H. Whiteside
10:27.0,,,0-4,2,H. Whiteside makes 2-pt shot from 1 ft
10:06.0,H. Sims makes 2-pt shot from 2 ft (assist by R. Covington),2,2-4,,
9:42.0,,,2-4,,U. Haslem misses 2-pt shot from 2 ft
9:41.0,,,2-4,,Offensive rebound by H. Whiteside
9:38.0,,,2-4,,H. Whiteside misses 2-pt shot from 3 ft (block by N. Noel)
9:37.0,Defensive rebound by L. Mbah a Moute,,2-4,,
9:28.0,H. Sims misses 2-pt shot from 16 ft,,2-4,,
9:27.0,Offensive rebound by N. Noel,,2-4,,
9:19.0,I. Canaan misses 3-pt shot from 25 ft,,2-4,,
9:18.0,,,2-4,,Defensive rebound by G. Dragic
8:54.0,,,2-4,,L. Deng misses 2-pt shot from 18 ft
8:53.0,,,2-4,,Offensive rebound by U. Haslem
8:47.0,,,2-4,,Turnover by D. Wade (bad pass; steal by R. Covington)
8:41.0,R. Covington makes 3-pt shot from 25 ft,3,5-4,,
8:27.0,,,5-4,,Shooting foul by I. Canaan (drawn by L. Deng)
8:27.0,,,5-4,,L. Deng misses free throw 1 of 2
8:27.0,,,5-4,,Offensive rebound by Team
8:27.0,,,5-5,1,L. Deng makes free throw 2 of 2
8:13.0,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by H. Sims),2,7-5,,
8:05.0,,,7-5,,Turnover by D. Wade (bad pass; steal by R. Covington)
7:58.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by H. Sims),2,9-5,,
7:39.0,,,9-8,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
7:28.0,N. Noel makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,11-8,,
7:09.0,,,11-8,,L. Deng misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by H. Sims,,11-8,,
7:02.0,Turnover by I. Canaan (bad pass; steal by G. Dragic),,11-8,,
6:57.0,,,11-10,2,D. Wade makes 2-pt shot from 5 ft (assist by L. Deng)
6:40.0,,,11-10,,Personal foul by U. Haslem (drawn by H. Sims)
6:33.0,R. Covington misses 3-pt shot from 24 ft,,11-10,,
6:32.0,,,11-10,,Defensive rebound by D. Wade
6:31.0,,,11-10,,Shooting foul by L. Mbah a Moute (drawn by L. Deng)
6:31.0,,,11-11,1,L. Deng makes free throw 1 of 2
6:31.0,,,11-12,1,L. Deng makes free throw 2 of 2
