time,New Orleans,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Payne (T. Evans gains possession),,,,Jump ball: A. Davis vs. A. Payne (T. Evans gains possession)
11:44.0,E. Gordon misses 2-pt shot from 18 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by Z. LaVine
11:28.0,,,0-0,,C. Budinger misses 2-pt shot from 2 ft (block by A. Davis)
11:26.0,Defensive rebound by E. Gordon,,0-0,,
11:21.0,T. Evans makes 2-pt shot from 2 ft,2,2-0,,
11:05.0,,,2-0,,Turnover by J. Hamilton (bad pass; steal by T. Evans)
11:01.0,T. Evans makes 2-pt shot from 1 ft,2,4-0,,
10:49.0,,,4-2,2,J. Hamilton makes 2-pt shot from 1 ft
10:22.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,6-2,,
10:07.0,,,6-5,3,Z. LaVine makes 3-pt shot from 26 ft (assist by C. Budinger)
9:47.0,Turnover by E. Gordon (bad pass),,6-5,,
9:34.0,,,6-7,2,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine)
9:20.0,E. Gordon misses 2-pt shot from 1 ft,,6-7,,
9:19.0,Offensive rebound by O. Asik,,6-7,,
9:18.0,O. Asik makes 2-pt shot at rim,2,8-7,,
8:57.0,,,8-7,,Shooting foul by Q. Pondexter (drawn by A. Wiggins)
8:57.0,,,8-7,,A. Wiggins misses free throw 1 of 2
8:57.0,,,8-7,,Offensive rebound by Team
8:57.0,,,8-8,1,A. Wiggins makes free throw 2 of 2
8:45.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,10-8,,
8:24.0,,,10-8,,Z. LaVine misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by Team,,10-8,,
8:23.0,,,10-8,,Loose ball foul by J. Hamilton (drawn by O. Asik)
8:11.0,E. Gordon misses 3-pt shot from 24 ft,,10-8,,
8:09.0,,,10-8,,Defensive rebound by A. Wiggins
7:59.0,,,10-8,,A. Payne misses 2-pt shot from 7 ft
7:58.0,Defensive rebound by E. Gordon,,10-8,,
7:52.0,T. Evans misses 2-pt shot from 1 ft (block by J. Hamilton),,10-8,,
7:51.0,Offensive rebound by Team,,10-8,,
7:40.0,E. Gordon makes 2-pt shot from 18 ft,2,12-8,,
7:17.0,,,12-10,2,C. Budinger makes 2-pt shot from 20 ft
6:54.0,T. Evans makes 2-pt shot from 18 ft,2,14-10,,
6:33.0,,,14-10,,J. Hamilton misses 2-pt shot from 4 ft (block by A. Davis)
6:32.0,Defensive rebound by A. Davis,,14-10,,
6:27.0,Q. Pondexter misses 2-pt shot from 2 ft (block by J. Hamilton),,14-10,,
6:26.0,Offensive rebound by A. Davis,,14-10,,
6:25.0,A. Davis misses 2-pt shot from 1 ft (block by A. Payne),,14-10,,
6:24.0,Offensive rebound by T. Evans,,14-10,,
6:10.0,A. Davis misses 2-pt shot from 17 ft,,14-10,,
6:09.0,,,14-10,,Defensive rebound by J. Hamilton
5:56.0,,,14-12,2,A. Payne makes 2-pt shot at rim (assist by C. Budinger)
5:40.0,E. Gordon misses 2-pt shot from 8 ft,,14-12,,
5:38.0,,,14-12,,Defensive rebound by A. Wiggins
5:32.0,,,14-12,,A. Wiggins misses 2-pt shot from 3 ft (block by Q. Pondexter)
5:31.0,Defensive rebound by A. Davis,,14-12,,
5:22.0,E. Gordon misses 3-pt shot from 25 ft (block by A. Wiggins),,14-12,,
5:20.0,,,14-12,,Defensive rebound by C. Budinger
5:13.0,Personal foul by E. Gordon (drawn by A. Wiggins),,14-12,,
5:13.0,,,14-12,,Minnesota full timeout
5:04.0,,,14-12,,A. Wiggins misses 2-pt shot from 13 ft
5:03.0,Defensive rebound by O. Asik,,14-12,,
4:50.0,Q. Pondexter misses 3-pt shot from 24 ft,,14-12,,
4:49.0,,,14-12,,Defensive rebound by A. Payne
4:40.0,,,14-12,,A. Payne misses 2-pt shot at rim (block by A. Davis)
4:38.0,Defensive rebound by O. Asik,,14-12,,
4:27.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,16-12,,
4:09.0,,,16-12,,A. Wiggins misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by Team,,16-12,,
4:08.0,A. Ajinca enters the game for O. Asik,,16-12,,
4:08.0,D. Cunningham enters the game for E. Gordon,,16-12,,
4:08.0,,,16-12,,R. Hummel enters the game for A. Payne
4:08.0,N. Cole enters the game for Q. Pondexter,,16-12,,
4:00.0,A. Davis misses 2-pt shot from 15 ft,,16-12,,
3:59.0,,,16-12,,Defensive rebound by C. Budinger
3:43.0,,,16-12,,Shooting foul by A. Davis (drawn by A. Wiggins)
3:43.0,,,16-13,1,A. Wiggins makes free throw 1 of 2
3:43.0,,,16-13,,A. Wiggins misses free throw 2 of 2
3:42.0,Defensive rebound by A. Ajinca,,16-13,,
3:20.0,A. Ajinca makes 2-pt shot at rim (assist by T. Evans),2,18-13,,
3:01.0,,,18-13,,R. Hummel misses 2-pt shot from 17 ft
2:59.0,,,18-13,,Offensive rebound by R. Hummel
2:59.0,Personal foul by T. Evans (drawn by R. Hummel),,18-13,,
2:59.0,New Orleans full timeout,,18-13,,
2:40.0,,,18-15,2,J. Hamilton makes 2-pt shot at rim (assist by R. Hummel)
