time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. D. Howard (I. Canaan gains possession),,,,Jump ball: A. Baynes vs. D. Howard (I. Canaan gains possession)
11:44.0,,,0-2,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
11:44.0,,,0-2,,Shooting foul by A. Baynes (drawn by D. Howard)
11:44.0,,,0-2,,D. Howard misses free throw 1 of 1
11:43.0,Defensive rebound by D. Green,,0-2,,
11:26.0,T. Parker misses 2-pt shot from 10 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by D. Motiejunas
11:07.0,,,0-2,,Turnover by J. Harden (bad pass; steal by A. Baynes)
10:58.0,T. Parker misses 2-pt shot from 18 ft,,0-2,,
10:56.0,Offensive rebound by T. Parker,,0-2,,
10:49.0,K. Leonard misses 2-pt shot from 19 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by J. Harden
10:31.0,,,0-2,,T. Ariza misses 2-pt shot from 12 ft
10:30.0,,,0-2,,Offensive rebound by D. Howard
10:29.0,,,0-4,2,D. Howard makes 2-pt shot at rim
10:09.0,M. Bonner misses 3-pt shot from 24 ft,,0-4,,
10:08.0,,,0-4,,Defensive rebound by D. Howard
9:58.0,Def 3 sec tech foul by A. Baynes,,0-4,,
9:58.0,,,0-5,1,J. Harden makes technical free throw
9:48.0,,,0-5,,D. Howard misses 2-pt shot from 4 ft
9:47.0,Defensive rebound by A. Baynes,,0-5,,
9:25.0,T. Parker misses 2-pt shot from 11 ft (block by D. Howard),,0-5,,
9:24.0,Offensive rebound by Team,,0-5,,
9:24.0,Turnover by Team (shot clock),,0-5,,
9:10.0,,,0-5,,Turnover by J. Harden (lost ball; steal by D. Green)
9:04.0,D. Green misses 3-pt shot from 24 ft,,0-5,,
9:03.0,,,0-5,,Defensive rebound by T. Ariza
8:59.0,,,0-5,,Shooting foul by D. Green (drawn by J. Harden)
8:59.0,,,0-5,,J. Harden misses free throw 1 of 2
8:59.0,,,0-5,,Offensive rebound by Team
8:59.0,,,0-5,,J. Harden misses free throw 2 of 2
8:59.0,Defensive rebound by M. Bonner,,0-5,,
8:35.0,K. Leonard misses 2-pt shot from 16 ft,,0-5,,
8:34.0,Offensive rebound by Team,,0-5,,
8:34.0,Turnover by Team (shot clock),,0-5,,
8:18.0,,,0-7,2,D. Howard makes 2-pt shot from 1 ft
8:16.0,San Antonio full timeout,,0-7,,
7:56.0,T. Parker misses 2-pt shot from 1 ft (block by D. Howard),,0-7,,
7:54.0,Offensive rebound by Team,,0-7,,
7:47.0,D. Green misses 2-pt shot from 9 ft,,0-7,,
7:46.0,Offensive rebound by A. Baynes,,0-7,,
7:37.0,K. Leonard misses 2-pt shot from 16 ft,,0-7,,
7:36.0,,,0-7,,Defensive rebound by Team
7:12.0,,,0-7,,D. Howard misses 2-pt shot from 3 ft
7:11.0,Defensive rebound by K. Leonard,,0-7,,
6:54.0,D. Green misses 3-pt shot from 23 ft,,0-7,,
6:52.0,,,0-7,,Defensive rebound by Team
6:31.0,,,0-7,,J. Harden misses 2-pt shot from 13 ft
6:30.0,Defensive rebound by A. Baynes,,0-7,,
6:19.0,,,0-7,,Violation by D. Motiejunas (kicked ball)
6:11.0,D. Green makes 2-pt shot from 7 ft (assist by T. Parker),2,2-7,,
5:52.0,,,2-7,,Shooting foul by D. Green (drawn by D. Howard)
5:52.0,,,2-8,1,D. Howard makes free throw 1 of 2
5:52.0,K. Anderson enters the game for D. Green,,2-8,,
5:52.0,Violation by Team (delay of game),,2-8,,
5:52.0,,,2-9,1,D. Howard makes free throw 2 of 2
5:30.0,K. Anderson misses 2-pt shot from 22 ft,,2-9,,
5:28.0,,,2-9,,Defensive rebound by J. Harden
5:26.0,,,2-9,,Turnover by J. Harden (lost ball; steal by K. Leonard)
5:19.0,M. Bonner makes 2-pt shot at rim (assist by K. Leonard),2,4-9,,
5:00.0,,,4-11,2,D. Howard makes 2-pt shot from 5 ft (assist by T. Ariza)
4:40.0,K. Leonard misses 2-pt shot from 6 ft,,4-11,,
4:39.0,,,4-11,,Defensive rebound by D. Howard
4:25.0,,,4-11,,I. Canaan misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by K. Leonard,,4-11,,
4:13.0,K. Leonard makes 2-pt shot from 15 ft (assist by M. Bonner),2,6-11,,
3:50.0,,,6-13,2,J. Harden makes 2-pt shot from 10 ft
