time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. B. Biyombo (J. Smith gains possession),,,,Jump ball: L. Amundson vs. B. Biyombo (J. Smith gains possession)
11:37.0,L. Thomas misses 2-pt shot from 6 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by C. Zeller
11:19.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft
11:18.0,Defensive rebound by L. Amundson,,0-0,,
11:11.0,L. Galloway misses 2-pt shot from 17 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:03.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Smith)
11:03.0,,,0-0,,Offensive rebound by Team
11:00.0,,,0-0,,B. Roberts misses 2-pt shot from 20 ft
10:58.0,,,0-0,,Offensive rebound by B. Biyombo
10:39.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by L. Thomas)
10:37.0,Defensive rebound by L. Thomas,,0-0,,
10:24.0,L. Galloway makes 2-pt shot from 18 ft (assist by L. Amundson),2,2-0,,
10:06.0,,,2-0,,G. Henderson misses 2-pt shot from 17 ft
10:05.0,Defensive rebound by Team,,2-0,,
10:05.0,,,2-0,,Loose ball foul by C. Zeller (drawn by L. Galloway)
9:48.0,L. Thomas makes 2-pt shot from 16 ft (assist by L. Galloway),2,4-0,,
9:26.0,,,4-0,,B. Biyombo misses 2-pt shot from 1 ft (block by L. Amundson)
9:24.0,Defensive rebound by L. Galloway,,4-0,,
9:20.0,L. Galloway misses 2-pt shot from 2 ft (block by C. Zeller),,4-0,,
9:17.0,,,4-0,,Defensive rebound by M. Kidd-Gilchrist
9:05.0,,,4-0,,Turnover by B. Roberts (bad pass)
8:45.0,Turnover by L. Thomas (lost ball; steal by G. Henderson),,4-0,,
8:42.0,,,4-0,,G. Henderson misses 2-pt shot from 1 ft (block by T. Hardaway)
