time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Freeland (O. Asik gains possession),,,,Jump ball: A. Davis vs. J. Freeland (O. Asik gains possession)
11:45.0,,,0-0,,A. Davis misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by W. Matthews,,0-0,,
11:27.0,W. Matthews misses 3-pt shot from 25 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by O. Asik
11:11.0,,,0-0,,J. Holiday misses 2-pt shot from 15 ft
11:09.0,,,0-0,,Offensive rebound by J. Holiday
10:59.0,,,0-0,,Turnover by T. Evans (lost ball; steal by L. Aldridge)
10:50.0,L. Aldridge makes 2-pt shot from 15 ft,2,2-0,,
10:50.0,Shooting foul by A. Davis (drawn by L. Aldridge),,2-0,,
10:50.0,L. Aldridge makes free throw 1 of 1,1,3-0,,
10:35.0,,,3-0,,A. Davis misses 2-pt shot from 13 ft
10:33.0,Defensive rebound by L. Aldridge,,3-0,,
10:23.0,N. Batum misses 2-pt shot from 21 ft,,3-0,,
10:22.0,,,3-0,,Defensive rebound by O. Asik
10:12.0,,,3-0,,A. Davis misses 2-pt shot from 9 ft (block by L. Aldridge)
10:10.0,Defensive rebound by W. Matthews,,3-0,,
10:04.0,Turnover by W. Matthews (bad pass; steal by T. Evans),,3-0,,
9:59.0,,,3-2,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
9:28.0,L. Aldridge makes 2-pt shot from 18 ft,2,5-2,,
9:18.0,,,5-2,,T. Evans misses 2-pt shot from 6 ft
9:17.0,Defensive rebound by L. Aldridge,,5-2,,
9:05.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,8-2,,
8:55.0,Personal foul by D. Lillard (drawn by J. Holiday),,8-2,,
8:46.0,,,8-4,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
8:30.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,10-4,,
8:27.0,,,10-4,,Turnover by O. Asik (inbound)
8:24.0,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum),2,12-4,,
8:15.0,,,12-4,,J. Holiday misses 3-pt shot from 25 ft
8:13.0,,,12-4,,Offensive rebound by A. Davis
8:12.0,Loose ball foul by J. Freeland (drawn by A. Davis),,12-4,,
8:01.0,,,12-4,,Turnover by A. Davis (traveling)
7:46.0,D. Lillard makes 2-pt shot from 17 ft (assist by N. Batum),2,14-4,,
7:21.0,,,14-4,,A. Davis misses 2-pt shot from 11 ft
7:20.0,,,14-4,,Offensive rebound by T. Evans
7:19.0,,,14-4,,Turnover by Team (shot clock)
7:00.0,L. Aldridge misses 2-pt shot from 18 ft (block by A. Davis),,14-4,,
6:59.0,,,14-4,,Defensive rebound by A. Davis
6:52.0,,,14-4,,T. Evans misses 2-pt shot from 2 ft (block by J. Freeland)
6:50.0,Defensive rebound by D. Lillard,,14-4,,
6:37.0,D. Lillard misses 2-pt shot from 2 ft,,14-4,,
6:35.0,,,14-4,,Defensive rebound by A. Davis
6:30.0,,,14-6,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
6:04.0,N. Batum misses 3-pt shot from 24 ft,,14-6,,
6:03.0,,,14-6,,Defensive rebound by O. Asik
5:56.0,,,14-6,,Turnover by T. Evans (bad pass; steal by N. Batum)
5:49.0,W. Matthews misses 3-pt shot from 25 ft,,14-6,,
5:48.0,Offensive rebound by Team,,14-6,,
5:48.0,,,14-6,,New Orleans full timeout
5:48.0,S. Blake enters the game for W. Matthews,,14-6,,
5:42.0,D. Lillard makes 2-pt shot from 2 ft,2,16-6,,
5:27.0,,,16-8,2,J. Holiday makes 2-pt shot from 12 ft
5:06.0,J. Freeland makes 2-pt shot from 12 ft,2,18-8,,
4:52.0,,,18-8,,A. Davis misses 2-pt shot from 13 ft
4:52.0,,,18-8,,Offensive rebound by O. Asik
4:52.0,Loose ball foul by L. Aldridge (drawn by O. Asik),,18-8,,
4:52.0,,,18-8,,R. Anderson enters the game for O. Asik
4:52.0,C. Kaman enters the game for J. Freeland,,18-8,,
4:44.0,,,18-8,,A. Davis misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by L. Aldridge,,18-8,,
4:31.0,L. Aldridge misses 2-pt shot from 17 ft,,18-8,,
4:30.0,Offensive rebound by N. Batum,,18-8,,
4:23.0,S. Blake misses 3-pt shot from 25 ft,,18-8,,
4:22.0,Offensive rebound by S. Blake,,18-8,,
4:12.0,C. Kaman misses 2-pt shot at rim,,18-8,,
4:07.0,Offensive rebound by C. Kaman,,18-8,,
4:07.0,C. Kaman misses 2-pt shot from 1 ft (block by A. Davis),,18-8,,
4:06.0,Offensive rebound by L. Aldridge,,18-8,,
4:06.0,L. Aldridge makes 2-pt shot from 1 ft,2,20-8,,
3:56.0,,,20-8,,J. Holiday misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by C. Kaman,,20-8,,
3:48.0,S. Blake misses 2-pt shot from 1 ft,,20-8,,
3:46.0,Offensive rebound by S. Blake,,20-8,,
3:43.0,S. Blake makes 3-pt shot from 23 ft,3,23-8,,
3:43.0,,,23-8,,New Orleans full timeout
3:43.0,,,23-8,,D. Cunningham enters the game for L. Babbitt
3:21.0,,,23-8,,Shooting foul by C. Kaman (drawn by A. Davis)
3:21.0,,,23-10,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:21.0,,,23-10,,A. Rivers enters the game for T. Evans
