time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. R. Lopez (G. Dragic gains possession),,,,Jump ball: A. Len vs. R. Lopez (G. Dragic gains possession)
11:39.0,M. Morris misses 2-pt shot from 18 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by W. Matthews
11:29.0,,,0-0,,L. Aldridge misses 3-pt shot from 24 ft
11:28.0,,,0-0,,Offensive rebound by D. Lillard
11:24.0,,,0-0,,D. Lillard misses 3-pt shot from 24 ft
11:22.0,,,0-0,,Offensive rebound by N. Batum
11:19.0,,,0-0,,W. Matthews misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by M. Morris,,0-0,,
11:13.0,P. Tucker misses 2-pt shot from 19 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by L. Aldridge
10:49.0,,,0-0,,R. Lopez misses 2-pt shot from 5 ft (block by A. Len)
10:47.0,Defensive rebound by E. Bledsoe,,0-0,,
10:43.0,E. Bledsoe misses 2-pt shot from 1 ft,,0-0,,
10:42.0,,,0-0,,Defensive rebound by W. Matthews
10:37.0,,,0-2,2,N. Batum makes 2-pt shot at rim (assist by W. Matthews)
10:19.0,M. Morris misses 3-pt shot from 24 ft,,0-2,,
10:17.0,,,0-2,,Defensive rebound by Team
9:54.0,,,0-2,,Turnover by L. Aldridge (bad pass; steal by P. Tucker)
9:46.0,G. Dragic makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,3-2,,
9:22.0,,,3-2,,W. Matthews misses 2-pt shot from 7 ft
9:21.0,Defensive rebound by M. Morris,,3-2,,
9:09.0,M. Morris misses 2-pt shot from 14 ft,,3-2,,
9:08.0,,,3-2,,Defensive rebound by W. Matthews
8:58.0,,,3-2,,L. Aldridge misses 2-pt shot from 13 ft
8:57.0,,,3-2,,Offensive rebound by R. Lopez
8:55.0,,,3-4,2,R. Lopez makes 2-pt shot from 3 ft
8:44.0,Turnover by E. Bledsoe (step out of bounds),,3-4,,
8:35.0,,,3-4,,N. Batum misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by Team,,3-4,,
8:19.0,A. Len makes 2-pt shot from 14 ft (assist by G. Dragic),2,5-4,,
8:00.0,,,5-4,,R. Lopez misses 2-pt shot from 18 ft
7:59.0,Defensive rebound by M. Morris,,5-4,,
7:52.0,Turnover by M. Morris (bad pass),,5-4,,
7:44.0,,,5-4,,L. Aldridge misses 2-pt shot from 1 ft
7:43.0,Defensive rebound by A. Len,,5-4,,
7:34.0,G. Dragic misses 2-pt shot from 1 ft (block by R. Lopez),,5-4,,
7:31.0,Offensive rebound by E. Bledsoe,,5-4,,
7:25.0,Turnover by E. Bledsoe (bad pass),,5-4,,
7:13.0,Personal foul by A. Len (drawn by W. Matthews),,5-4,,
6:58.0,,,5-4,,W. Matthews misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by P. Tucker,,5-4,,
