time,Toronto,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. J. Valanciunas (T. Ross gains possession),,,,Jump ball: A. Len vs. J. Valanciunas (T. Ross gains possession)
11:44.0,,,0-0,,Personal foul by M. Morris (drawn by J. Valanciunas)
11:33.0,K. Lowry misses 2-pt shot from 15 ft,,0-0,,
11:30.0,Offensive rebound by J. Valanciunas,,0-0,,
11:24.0,J. Valanciunas misses 2-pt shot from 13 ft,,0-0,,
11:23.0,Offensive rebound by L. Fields,,0-0,,
11:18.0,K. Lowry misses 3-pt shot from 25 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by G. Dragic
10:59.0,,,0-2,2,M. Morris makes 2-pt shot from 8 ft (assist by E. Bledsoe)
10:38.0,J. Valanciunas makes 2-pt shot from 8 ft,2,2-2,,
10:28.0,,,2-2,,Turnover by G. Dragic (bad pass; steal by L. Fields)
10:12.0,T. Ross misses 2-pt shot from 13 ft,,2-2,,
10:10.0,,,2-2,,Defensive rebound by P. Tucker
9:58.0,,,2-2,,Turnover by M. Morris (lost ball; steal by L. Fields)
9:44.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,4-2,,
9:32.0,,,4-4,2,A. Len makes 2-pt shot at rim (assist by M. Morris)
9:10.0,A. Johnson misses 2-pt shot from 16 ft,,4-4,,
9:08.0,,,4-4,,Defensive rebound by E. Bledsoe
9:02.0,,,4-4,,G. Dragic misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by J. Valanciunas,,4-4,,
8:52.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,6-4,,
8:33.0,,,6-4,,Turnover by M. Morris (lost ball; steal by L. Fields)
8:28.0,Turnover by L. Fields (bad pass; steal by M. Morris),,6-4,,
8:23.0,,,6-6,2,G. Dragic makes 2-pt shot from 13 ft
8:13.0,Turnover by L. Fields (bad pass; steal by P. Tucker),,6-6,,
8:02.0,,,6-9,3,E. Bledsoe makes 3-pt shot from 27 ft
7:45.0,L. Fields makes 2-pt shot at rim (assist by A. Johnson),2,8-9,,
7:36.0,,,8-9,,P. Tucker misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by K. Lowry,,8-9,,
7:32.0,,,8-9,,Personal block foul by E. Bledsoe (drawn by K. Lowry)
7:24.0,,,8-9,,Personal foul by A. Len (drawn by K. Lowry)
7:12.0,K. Lowry makes 2-pt shot from 6 ft,2,10-9,,
7:06.0,,,10-9,,Turnover by E. Bledsoe (lost ball; steal by K. Lowry)
6:59.0,J. Valanciunas misses 2-pt shot from 2 ft,,10-9,,
6:57.0,,,10-9,,Defensive rebound by A. Len
6:52.0,,,10-9,,M. Morris misses 2-pt shot from 1 ft (block by A. Johnson)
6:50.0,Defensive rebound by L. Fields,,10-9,,
6:46.0,T. Ross makes 3-pt shot from 25 ft (assist by L. Fields),3,13-9,,
6:22.0,,,13-11,2,G. Dragic makes 2-pt shot at rim (assist by M. Morris)
5:57.0,K. Lowry misses 3-pt shot from 25 ft,,13-11,,
5:56.0,,,13-11,,Defensive rebound by Team
