time,Sacramento,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: L. Amundson vs. J. Thompson (D. Cousins gains possession)
11:45.0,Turnover by R. Gay (lost ball),,0-0,,
11:24.0,,,0-0,,L. Amundson misses 2-pt shot from 14 ft
11:23.0,Defensive rebound by B. McLemore,,0-0,,
11:17.0,D. Cousins makes 2-pt shot from 1 ft (assist by B. McLemore),2,2-0,,
11:17.0,Shooting foul by L. Amundson (drawn by D. Cousins),,2-0,,
11:17.0,D. Cousins makes free throw 1 of 1,1,3-0,,
11:02.0,,,3-0,,T. Hardaway misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by J. Thompson,,3-0,,
10:53.0,Turnover by R. McCallum (bad pass),,3-0,,
10:39.0,,,3-0,,A. Bargnani misses 2-pt shot from 18 ft
10:38.0,,,3-0,,Offensive rebound by C. Early
10:26.0,,,3-0,,C. Early misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by Team,,3-0,,
10:16.0,,,3-0,,Personal foul by L. Galloway (drawn by D. Cousins)
10:10.0,B. McLemore misses 3-pt shot from 26 ft,,3-0,,
10:09.0,,,3-0,,Defensive rebound by T. Hardaway
10:01.0,,,3-0,,Turnover by T. Hardaway (lost ball; steal by J. Thompson)
9:57.0,Shooting foul by T. Hardaway (drawn by B. McLemore),,3-0,,
9:57.0,B. McLemore misses free throw 1 of 2,,3-0,,
9:57.0,Offensive rebound by Team,,3-0,,
9:57.0,B. McLemore makes free throw 2 of 2,1,4-0,,
9:46.0,,,4-0,,L. Galloway misses 2-pt shot from 1 ft (block by D. Cousins)
9:45.0,Defensive rebound by D. Cousins,,4-0,,
9:38.0,J. Thompson misses 2-pt shot from 1 ft,,4-0,,
9:37.0,Offensive rebound by Team,,4-0,,
9:26.0,J. Thompson misses 2-pt shot from 19 ft,,4-0,,
9:25.0,,,4-0,,Defensive rebound by L. Amundson
9:12.0,,,4-2,2,L. Amundson makes 2-pt shot from 1 ft (assist by T. Hardaway)
8:59.0,Shooting foul by T. Hardaway (drawn by B. McLemore),,4-2,,
8:59.0,B. McLemore makes 2-pt shot from 2 ft (assist by R. McCallum),2,6-2,,
8:59.0,B. McLemore makes free throw 1 of 1,1,7-2,,
8:33.0,,,7-4,2,L. Amundson makes 2-pt shot from 1 ft (assist by A. Bargnani)
8:20.0,D. Cousins makes 3-pt shot from 26 ft (assist by R. Gay),3,10-4,,
8:02.0,,,10-4,,Shooting foul by J. Thompson (drawn by A. Bargnani)
8:02.0,,,10-5,1,A. Bargnani makes free throw 1 of 2
8:02.0,,,10-5,,S. Larkin enters the game for T. Hardaway
8:02.0,,,10-5,,A. Bargnani misses free throw 2 of 2
8:01.0,Defensive rebound by D. Cousins,,10-5,,
7:47.0,R. Gay makes 2-pt shot from 8 ft (assist by R. McCallum),2,12-5,,
7:35.0,,,12-7,2,L. Galloway makes 2-pt shot from 22 ft (assist by A. Bargnani)
7:24.0,R. Gay makes 2-pt shot from 4 ft,2,14-7,,
7:24.0,Shooting foul by C. Early (drawn by R. Gay),,14-7,,
7:24.0,,,14-7,,New York full timeout
7:24.0,,,14-7,,C. Aldrich enters the game for C. Early
7:24.0,,,14-7,,A. Shved enters the game for A. Bargnani
7:24.0,,,14-7,,L. Thomas enters the game for L. Galloway
7:24.0,,,14-7,,J. Smith enters the game for L. Amundson
7:24.0,R. Gay makes free throw 1 of 1,1,15-7,,
7:11.0,,,15-7,,J. Smith misses 3-pt shot from 23 ft
7:10.0,,,15-7,,Offensive rebound by Team
7:10.0,Loose ball foul by J. Thompson (drawn by C. Aldrich),,15-7,,
7:10.0,D. Williams enters the game for J. Thompson,,15-7,,
7:04.0,,,15-9,2,J. Smith makes 2-pt shot from 21 ft (assist by S. Larkin)
6:48.0,B. McLemore misses 2-pt shot from 18 ft,,15-9,,
6:47.0,,,15-9,,Defensive rebound by S. Larkin
6:42.0,,,15-9,,Shooting foul by D. Cousins (drawn by J. Smith)
6:42.0,,,15-9,,J. Smith misses free throw 1 of 2
6:42.0,,,15-9,,Offensive rebound by Team
6:42.0,,,15-10,1,J. Smith makes free throw 2 of 2
6:28.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins),3,18-10,,
6:06.0,,,18-10,,L. Thomas misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by R. McCallum,,18-10,,
5:58.0,R. Gay misses 2-pt shot from 2 ft,,18-10,,
5:57.0,,,18-10,,Defensive rebound by J. Smith
5:44.0,Personal foul by R. Gay (drawn by A. Shved),,18-10,,
5:33.0,,,18-10,,Turnover by A. Shved (bad pass)
5:20.0,R. McCallum misses 2-pt shot from 16 ft,,18-10,,
5:19.0,Offensive rebound by R. Gay,,18-10,,
5:16.0,R. Gay misses 2-pt shot from 3 ft (block by C. Aldrich),,18-10,,
5:15.0,,,18-10,,Defensive rebound by C. Aldrich
5:11.0,,,18-10,,A. Shved misses 2-pt shot from 3 ft (block by D. Cousins)
5:10.0,,,18-10,,Offensive rebound by Team
4:54.0,,,18-10,,L. Thomas misses 2-pt shot from 16 ft
4:53.0,,,18-10,,Offensive rebound by C. Aldrich
4:51.0,,,18-12,2,C. Aldrich makes 2-pt shot from 1 ft
4:33.0,R. Gay makes 2-pt shot from 5 ft,2,20-12,,
4:32.0,Violation by Team (delay of game),,20-12,,
4:16.0,,,20-12,,A. Shved misses 2-pt shot from 20 ft
4:15.0,Defensive rebound by D. Cousins,,20-12,,
4:03.0,N. Stauskas enters the game for B. McLemore,,20-12,,
4:03.0,Jump ball: C. Aldrich vs. D. Cousins (J. Smith gains possession),,,,Jump ball: C. Aldrich vs. D. Cousins (J. Smith gains possession)
4:03.0,Turnover by D. Cousins (lost ball; steal by C. Aldrich),,20-12,,
3:44.0,Personal foul by N. Stauskas (drawn by L. Thomas),,20-12,,
3:44.0,,,20-12,,L. Thomas misses free throw 1 of 2
3:44.0,,,20-12,,Offensive rebound by Team
3:44.0,,,20-13,1,L. Thomas makes free throw 2 of 2
3:33.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. McCallum),2,22-13,,
3:15.0,,,22-15,2,J. Smith makes 2-pt shot from 17 ft (assist by S. Larkin)
2:58.0,,,22-15,,Personal foul by S. Larkin (drawn by D. Cousins)
2:58.0,Sacramento full timeout,,22-15,,
2:58.0,A. Miller enters the game for R. McCallum,,22-15,,
2:58.0,D. Cousins makes free throw 1 of 2,1,23-15,,
2:58.0,D. Cousins makes free throw 2 of 2,1,24-15,,
2:43.0,,,24-15,,Shooting foul by R. Gay (drawn by S. Larkin)
2:43.0,,,24-16,1,S. Larkin makes free throw 1 of 2
2:43.0,,,24-17,1,S. Larkin makes free throw 2 of 2
2:31.0,Turnover by D. Cousins (bad pass),,24-17,,
2:31.0,O. Casspi enters the game for R. Gay,,24-17,,
2:19.0,,,24-17,,S. Larkin misses 2-pt shot from 21 ft
2:18.0,Defensive rebound by D. Cousins,,24-17,,
2:09.0,D. Williams makes 3-pt shot from 24 ft (assist by D. Cousins),3,27-17,,
1:54.0,,,27-19,2,A. Shved makes 2-pt shot from 1 ft
1:39.0,,,27-19,,Personal foul by S. Larkin (drawn by N. Stauskas)
1:39.0,N. Stauskas makes free throw 1 of 2,1,28-19,,
1:39.0,,,28-19,,T. Hardaway enters the game for S. Larkin
1:39.0,N. Stauskas makes free throw 2 of 2,1,29-19,,
1:21.0,,,29-19,,L. Thomas misses 2-pt shot from 18 ft
1:19.0,Defensive rebound by Team,,29-19,,
1:10.0,,,29-19,,L. Galloway enters the game for T. Hardaway
1:08.0,Shooting foul by J. Smith (drawn by D. Cousins),,29-19,,
1:08.0,D. Cousins makes free throw 1 of 2,1,30-19,,
1:08.0,D. Cousins makes free throw 2 of 2,1,31-19,,
0:56.0,,,31-19,,Turnover by L. Thomas (bad pass; steal by D. Cousins)
0:49.0,Shooting foul by C. Aldrich (drawn by N. Stauskas),,31-19,,
0:49.0,N. Stauskas makes free throw 1 of 2,1,32-19,,
0:49.0,,,32-19,,A. Bargnani enters the game for C. Aldrich
0:49.0,N. Stauskas makes free throw 2 of 2,1,33-19,,
0:35.0,,,33-19,,L. Galloway misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by D. Cousins,,33-19,,
0:14.0,D. Williams misses 2-pt shot from 1 ft (block by L. Thomas),,33-19,,
0:12.0,Offensive rebound by Team,,33-19,,
0:10.0,D. Williams makes 2-pt shot from 13 ft (assist by N. Stauskas),2,35-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,35-19,,Shooting foul by D. Williams (drawn by A. Shved)
11:48.0,,,35-20,1,A. Shved makes free throw 1 of 2
11:48.0,,,35-21,1,A. Shved makes free throw 2 of 2
11:32.0,N. Stauskas makes 2-pt shot from 2 ft,2,37-21,,
11:25.0,,,37-21,,New York full timeout
11:19.0,,,37-21,,A. Shved misses 3-pt shot from 25 ft
11:18.0,,,37-21,,Offensive rebound by L. Galloway
11:01.0,,,37-21,,L. Thomas misses 2-pt shot from 3 ft
11:00.0,,,37-21,,Offensive rebound by J. Smith
10:59.0,,,37-23,2,J. Smith makes 2-pt shot from 1 ft
10:45.0,D. Williams misses 2-pt shot at rim,,37-23,,
10:44.0,,,37-23,,Defensive rebound by A. Shved
10:30.0,,,37-25,2,A. Shved makes 2-pt shot from 1 ft
10:17.0,J. Thompson makes 2-pt shot from 5 ft (assist by O. Casspi),2,39-25,,
9:58.0,,,39-27,2,L. Thomas makes 2-pt shot from 20 ft (assist by A. Bargnani)
9:42.0,D. Williams makes 2-pt shot from 4 ft,2,41-27,,
9:29.0,,,41-27,,J. Smith misses 2-pt shot from 19 ft
9:28.0,Defensive rebound by Team,,41-27,,
9:10.0,D. Williams makes 3-pt shot from 26 ft (assist by J. Thompson),3,44-27,,
8:46.0,,,44-27,,L. Galloway misses 2-pt shot from 21 ft
8:45.0,Defensive rebound by Team,,44-27,,
8:45.0,,,44-27,,Loose ball foul by J. Smith (drawn by J. Thompson)
8:45.0,Official timeout,,44-27,,
8:45.0,,,44-27,,Q. Acy enters the game for A. Bargnani
8:45.0,,,44-27,,L. Amundson enters the game for A. Shved
8:45.0,,,44-27,,C. Early enters the game for L. Thomas
8:45.0,,,44-27,,T. Hardaway enters the game for J. Smith
8:30.0,D. Williams makes 2-pt shot from 16 ft (assist by N. Stauskas),2,46-27,,
8:05.0,,,46-27,,L. Galloway misses 3-pt shot from 27 ft
8:04.0,Defensive rebound by A. Miller,,46-27,,
7:54.0,O. Casspi misses 2-pt shot from 4 ft,,46-27,,
7:53.0,,,46-27,,Defensive rebound by C. Early
7:37.0,,,46-27,,C. Early misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by J. Thompson,,46-27,,
7:23.0,B. McLemore enters the game for N. Stauskas,,46-27,,
7:13.0,A. Miller misses 2-pt shot from 13 ft,,46-27,,
7:12.0,,,46-27,,Defensive rebound by L. Amundson
6:55.0,,,46-27,,L. Galloway misses 2-pt shot from 3 ft
6:54.0,Defensive rebound by J. Thompson,,46-27,,
6:48.0,Shooting foul by L. Amundson (drawn by O. Casspi),,46-27,,
6:48.0,O. Casspi makes free throw 1 of 2,1,47-27,,
6:48.0,O. Casspi makes free throw 2 of 2,1,48-27,,
6:33.0,,,48-27,,Turnover by C. Early (bad pass; steal by D. Williams)
6:28.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Williams),2,50-27,,
6:11.0,,,50-27,,T. Hardaway misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by A. Miller,,50-27,,
6:06.0,Shooting foul by T. Hardaway (drawn by B. McLemore),,50-27,,
6:06.0,B. McLemore makes 2-pt shot from 4 ft (assist by A. Miller),2,52-27,,
6:06.0,R. Gay enters the game for O. Casspi,,52-27,,
6:06.0,,,52-27,,A. Shved enters the game for T. Hardaway
6:06.0,B. McLemore makes free throw 1 of 1,1,53-27,,
5:55.0,,,53-27,,Q. Acy misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by J. Thompson,,53-27,,
5:47.0,B. McLemore misses 2-pt shot from 3 ft (block by Q. Acy),,53-27,,
5:46.0,Offensive rebound by R. Gay,,53-27,,
5:41.0,R. Gay makes 3-pt shot from 26 ft,3,56-27,,
5:35.0,,,56-27,,New York full timeout
5:35.0,D. Cousins enters the game for D. Williams,,56-27,,
5:20.0,,,56-29,2,C. Early makes 2-pt shot at rim
5:01.0,B. McLemore misses 2-pt shot from 4 ft,,56-29,,
5:00.0,,,56-29,,Defensive rebound by L. Amundson
4:49.0,,,56-29,,A. Shved misses 3-pt shot from 26 ft
4:47.0,,,56-29,,Offensive rebound by Team
4:47.0,R. McCallum enters the game for A. Miller,,56-29,,
4:33.0,,,56-29,,L. Amundson misses 2-pt shot from 4 ft
4:32.0,Defensive rebound by J. Thompson,,56-29,,
4:26.0,Shooting foul by C. Early (drawn by B. McLemore),,56-29,,
4:26.0,B. McLemore makes free throw 1 of 3,1,57-29,,
4:26.0,B. McLemore makes free throw 2 of 3,1,58-29,,
4:26.0,B. McLemore makes free throw 3 of 3,1,59-29,,
4:02.0,,,59-29,,A. Shved misses 2-pt shot from 3 ft
4:01.0,Defensive rebound by D. Cousins,,59-29,,
3:44.0,R. McCallum misses 2-pt shot from 10 ft,,59-29,,
3:43.0,,,59-29,,Defensive rebound by L. Amundson
3:35.0,,,59-29,,Shooting foul by J. Thompson (drawn by C. Early)
3:35.0,,,59-30,1,C. Early makes free throw 1 of 2
3:35.0,,,59-30,,S. Larkin enters the game for A. Shved
3:35.0,,,59-30,,A. Bargnani enters the game for L. Amundson
3:35.0,D. Williams enters the game for J. Thompson,,59-30,,
3:35.0,,,59-31,1,C. Early makes free throw 2 of 2
3:24.0,D. Cousins misses 2-pt shot from 19 ft,,59-31,,
3:23.0,,,59-31,,Defensive rebound by Q. Acy
3:04.0,,,59-31,,C. Early misses 2-pt shot from 19 ft
3:03.0,Defensive rebound by D. Cousins,,59-31,,
2:47.0,R. Gay makes 2-pt shot from 23 ft,2,61-31,,
2:36.0,,,61-31,,Shooting foul by D. Cousins (drawn by L. Galloway)
2:36.0,Sacramento full timeout,,61-31,,
2:36.0,,,61-31,,L. Thomas enters the game for C. Early
2:36.0,,,61-31,,J. Smith enters the game for Q. Acy
2:36.0,,,61-32,1,L. Galloway makes free throw 1 of 2
2:36.0,,,61-33,1,L. Galloway makes free throw 2 of 2
2:28.0,Turnover by D. Cousins (bad pass; steal by L. Thomas),,61-33,,
2:17.0,,,61-33,,A. Bargnani misses 2-pt shot from 7 ft
2:16.0,Defensive rebound by R. Gay,,61-33,,
2:06.0,Turnover by R. Gay (bad pass; steal by L. Galloway),,61-33,,
1:59.0,,,61-33,,L. Thomas misses 2-pt shot from 20 ft
1:58.0,Defensive rebound by B. McLemore,,61-33,,
1:54.0,Shooting foul by L. Galloway (drawn by R. McCallum),,61-33,,
1:54.0,R. McCallum makes free throw 1 of 2,1,62-33,,
1:54.0,R. McCallum makes free throw 2 of 2,1,63-33,,
1:35.0,,,63-33,,S. Larkin misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by D. Cousins,,63-33,,
1:29.0,,,63-33,,Personal foul by L. Galloway (drawn by D. Williams)
1:29.0,D. Williams misses free throw 1 of 2,,63-33,,
1:29.0,Offensive rebound by Team,,63-33,,
1:29.0,,,63-33,,A. Shved enters the game for L. Galloway
1:29.0,D. Williams misses free throw 2 of 2,,63-33,,
1:28.0,,,63-33,,Defensive rebound by L. Thomas
1:10.0,,,63-33,,S. Larkin misses 2-pt shot from 1 ft
1:09.0,Defensive rebound by D. Cousins,,63-33,,
1:05.0,R. McCallum misses 2-pt shot from 3 ft,,63-33,,
1:04.0,,,63-33,,Defensive rebound by J. Smith
1:00.0,,,63-33,,Shooting foul by R. Gay (drawn by A. Shved)
1:00.0,,,63-34,1,A. Shved makes free throw 1 of 2
1:00.0,N. Stauskas enters the game for R. Gay,,63-34,,
1:00.0,,,63-34,,A. Shved misses free throw 2 of 2
0:59.0,,,63-34,,Offensive rebound by A. Shved
0:48.0,,,63-36,2,A. Bargnani makes 2-pt shot from 7 ft
0:37.0,N. Stauskas misses 2-pt shot from 3 ft,,63-36,,
0:36.0,Offensive rebound by D. Williams,,63-36,,
0:36.0,D. Williams makes 2-pt shot at rim,2,65-36,,
0:26.0,,,65-36,,J. Smith misses 2-pt shot from 22 ft
0:25.0,,,65-36,,Offensive rebound by L. Thomas
0:23.0,,,65-36,,Shooting foul by B. McLemore (drawn by L. Thomas)
0:23.0,,,65-38,2,L. Thomas makes 2-pt shot from 1 ft
