time,Sacramento,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Horford (R. Gay gains possession),,,,Jump ball: D. Cousins vs. A. Horford (R. Gay gains possession)
11:41.0,D. Cousins misses 2-pt shot from 20 ft (block by A. Horford),,0-0,,
11:39.0,,,0-0,,Defensive rebound by P. Millsap
11:31.0,,,0-0,,D. Carroll misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by D. Cousins,,0-0,,
11:19.0,B. McLemore misses 3-pt shot from 23 ft,,0-0,,
11:17.0,Offensive rebound by D. Cousins,,0-0,,
11:16.0,D. Cousins misses 2-pt shot from 2 ft (block by A. Horford),,0-0,,
11:14.0,Offensive rebound by R. McCallum,,0-0,,
11:09.0,R. Gay makes 2-pt shot from 15 ft (assist by R. McCallum),2,2-0,,
10:56.0,Personal foul by B. McLemore (drawn by P. Millsap),,2-0,,
10:45.0,,,2-3,3,D. Carroll makes 3-pt shot from 25 ft (assist by P. Millsap)
10:23.0,R. Gay makes 3-pt shot from 23 ft (assist by B. McLemore),3,5-3,,
10:10.0,,,5-5,2,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap)
9:56.0,Turnover by R. Gay (bad pass; steal by D. Carroll),,5-5,,
9:52.0,,,5-5,,D. Carroll misses 2-pt shot at rim
9:50.0,,,5-5,,Offensive rebound by A. Horford
9:50.0,,,5-7,2,A. Horford makes 2-pt shot at rim
9:26.0,B. McLemore makes 2-pt shot from 17 ft (assist by R. Gay),2,7-7,,
9:07.0,,,7-10,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
8:50.0,C. Landry misses 2-pt shot from 1 ft (block by A. Horford),,7-10,,
8:49.0,,,7-10,,Defensive rebound by A. Horford
8:43.0,,,7-13,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
8:20.0,Turnover by R. Gay (bad pass),,7-13,,
8:11.0,,,7-13,,K. Korver misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by D. Cousins,,7-13,,
7:54.0,B. McLemore misses 3-pt shot from 24 ft,,7-13,,
7:52.0,,,7-13,,Defensive rebound by J. Teague
7:46.0,,,7-13,,J. Teague misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by D. Cousins,,7-13,,
7:34.0,R. McCallum makes 2-pt shot from 16 ft,2,9-13,,
7:15.0,,,9-13,,J. Teague misses 2-pt shot from 4 ft
7:13.0,,,9-13,,Offensive rebound by P. Millsap
7:10.0,,,9-16,3,K. Korver makes 3-pt shot from 22 ft (assist by P. Millsap)
6:44.0,Turnover by R. McCallum (lost ball; steal by P. Millsap),,9-16,,
6:38.0,,,9-18,2,D. Carroll makes 2-pt shot at rim (assist by J. Teague)
6:37.0,Sacramento full timeout,,9-18,,
6:15.0,B. McLemore misses 3-pt shot from 23 ft,,9-18,,
6:13.0,Offensive rebound by C. Landry,,9-18,,
6:12.0,C. Landry makes 2-pt shot at rim,2,11-18,,
5:46.0,,,11-20,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
5:35.0,B. McLemore misses 3-pt shot from 24 ft,,11-20,,
5:33.0,,,11-20,,Defensive rebound by J. Teague
5:27.0,,,11-20,,K. Korver misses 3-pt shot from 23 ft
5:26.0,Defensive rebound by R. Gay,,11-20,,
5:20.0,,,11-20,,Personal foul by D. Carroll (drawn by R. Gay)
5:20.0,,,11-20,,K. Bazemore enters the game for K. Korver
5:20.0,,,11-20,,E. Brand enters the game for A. Horford
5:20.0,A. Miller enters the game for R. McCallum,,11-20,,
5:12.0,R. Gay misses 2-pt shot from 9 ft,,11-20,,
5:10.0,Offensive rebound by R. Gay,,11-20,,
5:10.0,R. Gay makes 2-pt shot at rim,2,13-20,,
4:54.0,,,13-20,,J. Teague misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by C. Landry,,13-20,,
4:40.0,Shooting foul by K. Bazemore (drawn by C. Landry),,13-20,,
4:40.0,C. Landry makes free throw 1 of 2,1,14-20,,
4:40.0,O. Casspi enters the game for B. McLemore,,14-20,,
4:40.0,C. Landry makes free throw 2 of 2,1,15-20,,
