time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Noel (D. West gains possession),,,,Jump ball: R. Hibbert vs. N. Noel (D. West gains possession)
11:36.0,R. Hibbert misses 2-pt shot from 5 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by R. Covington
11:29.0,,,0-0,,K. McDaniels misses 2-pt shot from 2 ft
11:27.0,,,0-0,,Offensive rebound by N. Noel
11:27.0,Jump ball: R. Hibbert vs. N. Noel (S. Hill gains possession),,,,Jump ball: R. Hibbert vs. N. Noel (S. Hill gains possession)
11:08.0,R. Stuckey makes 2-pt shot from 13 ft,2,2-0,,
10:56.0,,,2-0,,N. Noel misses 2-pt shot from 13 ft
10:54.0,Defensive rebound by R. Stuckey,,2-0,,
10:35.0,S. Hill misses 3-pt shot from 26 ft,,2-0,,
10:33.0,Offensive rebound by D. West,,2-0,,
10:31.0,D. West makes 2-pt shot from 18 ft,2,4-0,,
10:14.0,,,4-0,,Offensive foul by N. Noel
10:14.0,,,4-0,,Turnover by N. Noel (offensive foul)
9:50.0,C. Watson misses 2-pt shot from 18 ft,,4-0,,
9:49.0,Offensive rebound by D. West,,4-0,,
9:48.0,D. West misses 2-pt shot from 1 ft,,4-0,,
9:46.0,Offensive rebound by R. Hibbert,,4-0,,
9:46.0,R. Hibbert misses 2-pt shot from 1 ft,,4-0,,
9:46.0,Offensive rebound by R. Hibbert,,4-0,,
9:46.0,,,4-0,,Personal foul by R. Covington (drawn by R. Hibbert)
9:37.0,Offensive foul by R. Stuckey,,4-0,,
9:37.0,Turnover by R. Stuckey (offensive foul),,4-0,,
9:29.0,,,4-0,,Offensive foul by M. Carter-Williams
9:29.0,,,4-0,,Turnover by M. Carter-Williams (offensive foul)
9:06.0,D. West makes 2-pt shot from 16 ft (assist by S. Hill),2,6-0,,
8:48.0,,,6-2,2,M. Carter-Williams makes 2-pt shot from 18 ft
8:24.0,Turnover by D. West (traveling),,6-2,,
8:13.0,,,6-2,,R. Covington misses 2-pt shot from 5 ft (block by R. Hibbert)
8:12.0,Defensive rebound by S. Hill,,6-2,,
8:07.0,S. Hill misses 2-pt shot from 2 ft (block by K. McDaniels),,6-2,,
8:06.0,Offensive rebound by Team,,6-2,,
8:04.0,R. Stuckey makes 2-pt shot from 16 ft (assist by S. Hill),2,8-2,,
7:47.0,,,8-2,,L. Mbah a Moute misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by D. West,,8-2,,
7:38.0,R. Stuckey misses 3-pt shot from 24 ft,,8-2,,
7:36.0,,,8-2,,Defensive rebound by Team
7:36.0,Loose ball foul by D. West (drawn by N. Noel),,8-2,,
7:21.0,Personal foul by R. Hibbert (drawn by N. Noel),,8-2,,
7:11.0,,,8-2,,M. Carter-Williams misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by R. Hibbert,,8-2,,
7:00.0,D. West makes 2-pt shot from 13 ft (assist by C. Watson),2,10-2,,
6:52.0,,,10-2,,L. Mbah a Moute misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by R. Hibbert,,10-2,,
6:43.0,C. Watson misses 3-pt shot from 26 ft,,10-2,,
6:41.0,,,10-2,,Defensive rebound by N. Noel
6:35.0,,,10-5,3,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
6:14.0,R. Hibbert misses 2-pt shot from 7 ft,,10-5,,
6:12.0,,,10-5,,Defensive rebound by M. Carter-Williams
6:07.0,,,10-7,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
5:52.0,C. Watson misses 2-pt shot from 3 ft (block by N. Noel),,10-7,,
5:49.0,Offensive rebound by R. Hibbert,,10-7,,
5:41.0,Turnover by C. Watson (bad pass; steal by L. Mbah a Moute),,10-7,,
5:39.0,Personal foul by D. West (drawn by R. Covington),,10-7,,
5:39.0,,,10-7,,Philadelphia full timeout
5:39.0,L. Scola enters the game for D. West,,10-7,,
5:35.0,Personal foul by L. Scola (drawn by M. Carter-Williams),,10-7,,
5:35.0,,,10-7,,H. Sims enters the game for N. Noel
5:35.0,,,10-7,,T. Wroten enters the game for K. McDaniels
5:17.0,,,10-10,3,T. Wroten makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
4:54.0,C. Watson makes 3-pt shot from 24 ft (assist by R. Stuckey),3,13-10,,
4:44.0,,,13-10,,R. Covington misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by L. Scola,,13-10,,
