time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (K. Caldwell-Pope gains possession)
11:36.0,J. Smith misses 2-pt shot from 7 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by M. Gortat
11:30.0,,,0-0,,N. Hilario misses 2-pt shot at rim (block by G. Monroe)
11:27.0,Defensive rebound by J. Smith,,0-0,,
11:23.0,Turnover by B. Jennings (bad pass; steal by G. Temple),,0-0,,
11:19.0,,,0-0,,J. Wall misses 2-pt shot at rim (block by K. Caldwell-Pope)
11:19.0,,,0-0,,Offensive rebound by Team
11:17.0,,,0-0,,G. Temple misses 2-pt shot from 5 ft (block by A. Drummond)
11:17.0,,,0-0,,Offensive rebound by Team
11:13.0,,,0-2,2,P. Pierce makes 2-pt shot from 20 ft (assist by G. Temple)
10:50.0,G. Monroe misses 2-pt shot from 3 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by M. Gortat
10:44.0,,,0-2,,Turnover by J. Wall (discontinued dribble)
10:22.0,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by A. Drummond),2,2-2,,
10:00.0,,,2-2,,N. Hilario misses 2-pt shot from 4 ft
9:59.0,Defensive rebound by A. Drummond,,2-2,,
9:51.0,Shooting foul by N. Hilario (drawn by G. Monroe),,2-2,,
9:51.0,G. Monroe makes free throw 1 of 2,1,3-2,,
9:51.0,G. Monroe makes free throw 2 of 2,1,4-2,,
9:39.0,,,4-4,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
9:25.0,,,4-4,,Personal foul by G. Temple (drawn by K. Caldwell-Pope)
9:17.0,B. Jennings misses 2-pt shot from 1 ft (block by M. Gortat),,4-4,,
9:17.0,Offensive rebound by Team,,4-4,,
9:14.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,4-4,,
9:13.0,,,4-4,,Defensive rebound by M. Gortat
9:11.0,,,4-4,,Turnover by M. Gortat (bad pass; steal by B. Jennings)
9:08.0,B. Jennings makes 3-pt shot from 25 ft,3,7-4,,
8:55.0,,,7-4,,N. Hilario misses 2-pt shot from 5 ft
8:53.0,Defensive rebound by A. Drummond,,7-4,,
8:45.0,B. Jennings makes 3-pt shot from 25 ft (assist by G. Monroe),3,10-4,,
8:33.0,,,10-4,,Shooting foul by A. Drummond (drawn by M. Gortat)
8:33.0,,,10-4,,M. Gortat misses free throw 1 of 2
8:33.0,,,10-4,,Offensive rebound by Team
8:33.0,,,10-4,,M. Gortat misses free throw 2 of 2
8:32.0,Defensive rebound by G. Monroe,,10-4,,
8:09.0,A. Drummond misses 2-pt shot from 2 ft (block by M. Gortat),,10-4,,
8:08.0,,,10-4,,Defensive rebound by P. Pierce
8:01.0,,,10-7,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall)
7:38.0,K. Caldwell-Pope makes 2-pt shot from 15 ft,2,12-7,,
7:25.0,,,12-9,2,M. Gortat makes 2-pt shot from 17 ft
7:11.0,B. Jennings makes 2-pt shot from 17 ft,2,14-9,,
6:57.0,,,14-9,,P. Pierce misses 2-pt shot from 17 ft
6:56.0,,,14-9,,Offensive rebound by M. Gortat
6:44.0,,,14-9,,Shooting foul by A. Drummond (drawn by J. Wall)
6:44.0,,,14-10,1,J. Wall makes free throw 1 of 2
6:44.0,C. Butler enters the game for A. Drummond,,14-10,,
6:44.0,,,14-11,1,J. Wall makes free throw 2 of 2
6:33.0,J. Smith misses 2-pt shot from 7 ft,,14-11,,
6:31.0,,,14-11,,Defensive rebound by M. Gortat
6:20.0,,,14-11,,J. Wall misses 2-pt shot at rim
6:19.0,Defensive rebound by J. Smith,,14-11,,
6:12.0,B. Jennings makes 3-pt shot from 23 ft,3,17-11,,
6:12.0,Shooting foul by P. Pierce (drawn by B. Jennings),,17-11,,
6:12.0,B. Jennings makes free throw 1 of 1,1,18-11,,
5:59.0,,,18-11,,Turnover by M. Gortat (bad pass)
5:59.0,,,18-11,,Washington full timeout
5:39.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by J. Smith),3,21-11,,
5:21.0,,,21-11,,G. Temple misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by Team,,21-11,,
5:06.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,21-11,,
5:05.0,,,21-11,,Defensive rebound by P. Pierce
4:59.0,,,21-13,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
4:59.0,,,21-13,,Shooting foul by C. Butler (drawn by N. Hilario)
4:59.0,,,21-13,,N. Hilario misses free throw 1 of 1
4:58.0,Defensive rebound by G. Monroe,,21-13,,
4:44.0,J. Smith misses 2-pt shot from 22 ft,,21-13,,
4:43.0,,,21-13,,Defensive rebound by M. Gortat
4:37.0,,,21-13,,G. Temple misses 3-pt shot from 23 ft
4:35.0,,,21-13,,Offensive rebound by N. Hilario
4:32.0,,,21-13,,J. Wall misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by J. Smith,,21-13,,
4:21.0,J. Smith makes 2-pt shot from 3 ft (assist by B. Jennings),2,23-13,,
4:12.0,,,23-13,,Shooting foul by K. Caldwell-Pope (drawn by J. Wall)
4:12.0,,,23-14,1,J. Wall makes free throw 1 of 2
4:12.0,,,23-14,,K. Humphries enters the game for N. Hilario
4:12.0,,,23-14,,O. Porter enters the game for P. Pierce
4:12.0,,,23-15,1,J. Wall makes free throw 2 of 2
3:58.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Wall),,23-15,,
3:53.0,,,23-15,,J. Wall misses 2-pt shot from 2 ft (block by J. Smith)
3:52.0,,,23-15,,Offensive rebound by Team
3:52.0,J. Anthony enters the game for G. Monroe,,23-15,,
3:45.0,,,23-17,2,K. Humphries makes 2-pt shot from 19 ft (assist by J. Wall)
3:27.0,B. Jennings makes 2-pt shot from 15 ft,2,25-17,,
3:12.0,,,25-17,,Turnover by M. Gortat (bad pass; steal by B. Jennings)
3:01.0,Turnover by J. Smith (lost ball; steal by G. Temple),,25-17,,
3:00.0,Personal foul by J. Smith (drawn by G. Temple),,25-17,,
3:00.0,,,25-18,1,G. Temple makes free throw 1 of 2
3:00.0,,,25-19,1,G. Temple makes free throw 2 of 2
2:47.0,Detroit full timeout,,25-19,,
2:38.0,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by B. Jennings),2,27-19,,
2:22.0,,,27-19,,K. Humphries misses 2-pt shot from 15 ft
2:21.0,,,27-19,,Offensive rebound by M. Gortat
2:19.0,,,27-19,,Shooting foul by J. Anthony (drawn by K. Humphries)
2:19.0,,,27-19,,K. Humphries misses free throw 1 of 2
2:19.0,,,27-19,,Offensive rebound by Team
2:19.0,K. Singler enters the game for K. Caldwell-Pope,,27-19,,
2:19.0,J. Jerebko enters the game for J. Smith,,27-19,,
2:19.0,,,27-20,1,K. Humphries makes free throw 2 of 2
2:08.0,K. Singler misses 3-pt shot from 26 ft,,27-20,,
2:06.0,Offensive rebound by J. Anthony,,27-20,,
2:03.0,,,27-20,,R. Butler enters the game for G. Temple
1:41.0,K. Singler makes 2-pt shot from 16 ft (assist by C. Butler),2,29-20,,
1:19.0,,,29-20,,M. Gortat misses 2-pt shot from 1 ft (block by J. Anthony)
1:18.0,Defensive rebound by J. Anthony,,29-20,,
1:11.0,C. Butler makes 3-pt shot from 26 ft (assist by B. Jennings),3,32-20,,
0:59.0,,,32-20,,Shooting foul by J. Anthony (drawn by J. Wall)
0:59.0,,,32-20,,J. Wall misses free throw 1 of 2
0:59.0,,,32-20,,Offensive rebound by Team
0:59.0,,,32-20,,K. Seraphin enters the game for M. Gortat
0:59.0,,,32-21,1,J. Wall makes free throw 2 of 2
0:39.0,B. Jennings makes 2-pt shot at rim,2,34-21,,
0:31.0,,,34-21,,Shooting foul by J. Jerebko (drawn by J. Wall)
0:31.0,,,34-22,1,J. Wall makes free throw 1 of 2
0:31.0,,,34-23,1,J. Wall makes free throw 2 of 2
0:18.0,B. Jennings misses 3-pt shot from 26 ft (block by J. Wall),,34-23,,
0:16.0,,,34-23,,Defensive rebound by K. Humphries
0:03.0,,,34-23,,Shooting foul by B. Jennings (drawn by J. Wall)
0:03.0,,,34-24,1,J. Wall makes free throw 1 of 2
0:03.0,,,34-24,,J. Wall misses free throw 2 of 2
0:02.0,Defensive rebound by J. Anthony,,34-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,34-24,,O. Porter misses 2-pt shot from 15 ft
11:44.0,Defensive rebound by C. Butler,,34-24,,
11:33.0,Turnover by K. Singler (lost ball; steal by R. Butler),,34-24,,
11:22.0,,,34-26,2,K. Seraphin makes 2-pt shot from 3 ft (assist by A. Miller)
11:08.0,C. Butler misses 2-pt shot from 17 ft,,34-26,,
11:07.0,Offensive rebound by K. Singler,,34-26,,
10:48.0,K. Singler misses 2-pt shot from 13 ft (block by O. Porter),,34-26,,
10:46.0,,,34-26,,Defensive rebound by K. Humphries
10:37.0,,,34-26,,Offensive foul by K. Seraphin
10:37.0,,,34-26,,Turnover by K. Seraphin (offensive foul)
10:23.0,J. Jerebko makes 2-pt shot from 2 ft,2,36-26,,
10:08.0,,,36-28,2,R. Butler makes 2-pt shot from 1 ft (assist by K. Humphries)
9:55.0,D. Augustin makes 2-pt shot from 2 ft,2,38-28,,
9:37.0,,,38-30,2,K. Humphries makes 2-pt shot from 13 ft (assist by R. Butler)
9:23.0,D. Augustin misses 2-pt shot from 21 ft,,38-30,,
9:22.0,,,38-30,,Defensive rebound by O. Porter
