time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. Z. Pachulia (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. Z. Pachulia (B. Jennings gains possession)
11:47.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by E. Ilyasova
11:32.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by Z. Pachulia)
11:18.0,Turnover by A. Drummond (bad pass; steal by B. Knight),,0-2,,
11:13.0,,,0-2,,B. Knight misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by A. Drummond,,0-2,,
10:47.0,A. Drummond misses 2-pt shot from 13 ft,,0-2,,
10:46.0,,,0-2,,Defensive rebound by K. Middleton
10:34.0,,,0-2,,Turnover by E. Ilyasova (lost ball; steal by G. Monroe)
10:31.0,Turnover by B. Jennings (bad pass),,0-2,,
10:17.0,,,0-4,2,K. Middleton makes 2-pt shot from 14 ft
10:05.0,Shooting foul by Z. Pachulia (drawn by K. Singler),,0-4,,
10:05.0,K. Singler makes free throw 1 of 2,1,1-4,,
10:05.0,K. Singler makes free throw 2 of 2,1,2-4,,
9:57.0,,,2-6,2,B. Knight makes 2-pt shot at rim
9:42.0,A. Drummond misses 2-pt shot from 8 ft,,2-6,,
9:41.0,Offensive rebound by G. Monroe,,2-6,,
9:41.0,G. Monroe misses 2-pt shot from 1 ft,,2-6,,
9:40.0,,,2-6,,Defensive rebound by K. Middleton
9:31.0,,,2-6,,Turnover by K. Middleton (bad pass; steal by K. Caldwell-Pope)
9:27.0,B. Jennings misses 2-pt shot from 3 ft,,2-6,,
9:23.0,Offensive rebound by G. Monroe,,2-6,,
9:20.0,A. Drummond makes 2-pt shot from 9 ft,2,4-6,,
9:09.0,,,4-6,,E. Ilyasova misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by K. Singler,,4-6,,
9:03.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,6-6,,
8:47.0,,,6-8,2,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton)
8:26.0,B. Jennings misses 2-pt shot from 14 ft,,6-8,,
8:23.0,Offensive rebound by A. Drummond,,6-8,,
8:02.0,K. Singler misses 3-pt shot from 25 ft,,6-8,,
8:01.0,,,6-8,,Defensive rebound by B. Knight
7:52.0,,,6-8,,Z. Pachulia misses 2-pt shot at rim
7:51.0,,,6-8,,Offensive rebound by B. Knight
7:51.0,,,6-8,,B. Knight misses 2-pt shot at rim
7:50.0,Defensive rebound by K. Singler,,6-8,,
7:46.0,B. Jennings misses 2-pt shot at rim (block by E. Ilyasova),,6-8,,
7:46.0,Offensive rebound by Team,,6-8,,
7:39.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,6-8,,
7:37.0,,,6-8,,Defensive rebound by Z. Pachulia
7:21.0,,,6-8,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Drummond)
7:19.0,Defensive rebound by K. Caldwell-Pope,,6-8,,
7:15.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,8-8,,
6:58.0,,,8-8,,Z. Pachulia misses 2-pt shot from 14 ft
6:57.0,,,8-8,,Offensive rebound by E. Ilyasova
6:56.0,,,8-10,2,E. Ilyasova makes 2-pt shot from 1 ft
6:46.0,Turnover by G. Monroe (bad pass),,8-10,,
6:32.0,,,8-10,,B. Knight misses 2-pt shot from 14 ft
6:31.0,,,8-10,,Offensive rebound by Z. Pachulia
6:27.0,,,8-13,3,B. Knight makes 3-pt shot from 25 ft (assist by Z. Pachulia)
6:13.0,K. Singler misses 2-pt shot from 9 ft (block by G. Antetokounmpo),,8-13,,
6:10.0,,,8-13,,Defensive rebound by G. Antetokounmpo
6:07.0,,,8-13,,Turnover by G. Antetokounmpo (bad pass; steal by K. Singler)
5:56.0,,,8-13,,Milwaukee full timeout
5:55.0,Offensive foul by A. Drummond,,8-13,,
5:55.0,Turnover by A. Drummond (offensive foul),,8-13,,
5:45.0,,,8-13,,K. Middleton misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by K. Singler,,8-13,,
5:35.0,G. Monroe makes 2-pt shot from 5 ft,2,10-13,,
5:21.0,,,10-13,,Turnover by G. Antetokounmpo (traveling)
