time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. G. Dieng (D. Green gains possession),,,,Jump ball: A. Bogut vs. G. Dieng (D. Green gains possession)
11:49.0,A. Bogut misses 2-pt shot from 9 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by G. Dieng
11:31.0,,,0-0,,T. Young misses 2-pt shot from 3 ft (block by A. Bogut)
11:29.0,,,0-0,,Offensive rebound by T. Young
11:24.0,,,0-0,,A. Wiggins misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by A. Bogut,,0-0,,
11:18.0,Turnover by A. Bogut (traveling),,0-0,,
11:04.0,,,0-0,,Z. LaVine misses 2-pt shot at rim
11:03.0,Defensive rebound by A. Bogut,,0-0,,
10:49.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,3-0,,
10:36.0,,,3-0,,Turnover by Z. LaVine (bad pass; steal by S. Curry)
10:32.0,S. Curry makes 2-pt shot at rim,2,5-0,,
10:14.0,,,5-0,,A. Wiggins misses 2-pt shot from 1 ft (block by A. Bogut)
10:13.0,Defensive rebound by A. Bogut,,5-0,,
10:03.0,A. Bogut misses 2-pt shot at rim,,5-0,,
10:02.0,,,5-0,,Defensive rebound by G. Dieng
9:49.0,,,5-0,,T. Young misses 2-pt shot from 6 ft
9:48.0,Defensive rebound by A. Bogut,,5-0,,
9:44.0,S. Curry misses 3-pt shot from 25 ft,,5-0,,
9:42.0,,,5-0,,Defensive rebound by T. Young
9:32.0,,,5-0,,Shooting foul by H. Barnes (drawn by A. Wiggins)
9:32.0,,,5-1,1,A. Wiggins makes free throw 1 of 2
9:32.0,F. Ezeli enters the game for A. Bogut,,5-1,,
9:32.0,,,5-1,,A. Wiggins misses free throw 2 of 2
9:31.0,Defensive rebound by H. Barnes,,5-1,,
9:14.0,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson),2,7-1,,
8:58.0,,,7-3,2,T. Young makes 2-pt shot from 17 ft (assist by Z. LaVine)
8:48.0,K. Thompson misses 2-pt shot from 11 ft,,7-3,,
8:47.0,,,7-3,,Defensive rebound by G. Dieng
8:41.0,,,7-3,,Z. LaVine misses 2-pt shot from 20 ft
8:39.0,,,7-3,,Offensive rebound by Team
8:34.0,,,7-3,,T. Young misses 2-pt shot from 18 ft
8:33.0,Defensive rebound by F. Ezeli,,7-3,,
8:25.0,K. Thompson misses 3-pt shot from 24 ft,,7-3,,
8:24.0,,,7-3,,Defensive rebound by Team
8:11.0,,,7-3,,A. Wiggins misses 2-pt shot from 9 ft
8:10.0,Defensive rebound by F. Ezeli,,7-3,,
8:04.0,H. Barnes misses 2-pt shot from 20 ft,,7-3,,
8:02.0,,,7-3,,Defensive rebound by G. Dieng
7:53.0,,,7-3,,Turnover by A. Wiggins (bad pass)
7:31.0,S. Curry misses 2-pt shot from 18 ft,,7-3,,
7:30.0,,,7-3,,Defensive rebound by G. Dieng
7:25.0,,,7-5,2,T. Young makes 2-pt shot from 1 ft (assist by Z. LaVine)
7:25.0,,,7-5,,Shooting foul by D. Green (drawn by T. Young)
7:25.0,,,7-6,1,T. Young makes free throw 1 of 1
7:09.0,K. Thompson makes 2-pt shot at rim,2,9-6,,
6:53.0,,,9-6,,C. Brewer misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by F. Ezeli,,9-6,,
6:43.0,D. Green misses 3-pt shot from 25 ft,,9-6,,
6:42.0,,,9-6,,Defensive rebound by A. Wiggins
6:27.0,,,9-6,,C. Brewer misses 3-pt shot from 24 ft
6:26.0,,,9-6,,Offensive rebound by T. Young
6:19.0,,,9-6,,Z. LaVine misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by K. Thompson,,9-6,,
6:08.0,K. Thompson misses 2-pt shot from 7 ft,,9-6,,
6:07.0,Offensive rebound by F. Ezeli,,9-6,,
6:06.0,F. Ezeli misses 2-pt shot from 1 ft,,9-6,,
6:05.0,,,9-6,,Defensive rebound by G. Dieng
5:58.0,,,9-6,,C. Brewer misses 2-pt shot from 1 ft
5:57.0,Defensive rebound by D. Green,,9-6,,
5:43.0,K. Thompson misses 3-pt shot from 23 ft,,9-6,,
