time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: J. Hill vs. T. Mozgov (T. Lawson gains possession)
11:47.0,,,0-0,,K. Faried misses 2-pt shot from 4 ft
11:45.0,,,0-0,,Offensive rebound by T. Mozgov
11:41.0,,,0-2,2,T. Mozgov makes 2-pt shot at rim
11:19.0,R. Price makes 3-pt shot from 23 ft (assist by W. Johnson),3,3-2,,
11:05.0,,,3-5,3,W. Chandler makes 3-pt shot from 24 ft (assist by A. Afflalo)
10:41.0,E. Davis makes 2-pt shot from 1 ft (assist by K. Bryant),2,5-5,,
10:21.0,,,5-7,2,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson)
10:04.0,Turnover by K. Bryant (bad pass; steal by T. Lawson),,5-7,,
9:58.0,,,5-7,,Turnover by A. Afflalo (bad pass; steal by R. Price)
9:53.0,R. Price makes 2-pt shot from 1 ft (assist by K. Bryant),2,7-7,,
9:38.0,,,7-10,3,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson)
9:23.0,W. Johnson makes 3-pt shot from 23 ft (assist by K. Bryant),3,10-10,,
9:06.0,,,10-12,2,A. Afflalo makes 2-pt shot from 17 ft (assist by T. Lawson)
8:42.0,W. Johnson makes 3-pt shot from 25 ft (assist by E. Davis),3,13-12,,
8:24.0,,,13-12,,K. Faried misses 2-pt shot from 17 ft
8:23.0,,,13-12,,Offensive rebound by T. Mozgov
8:20.0,,,13-12,,T. Mozgov misses 2-pt shot from 3 ft
8:18.0,Defensive rebound by K. Bryant,,13-12,,
8:00.0,J. Hill makes 2-pt shot from 1 ft (assist by R. Price),2,15-12,,
7:57.0,,,15-12,,Denver full timeout
7:40.0,,,15-12,,W. Chandler misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by K. Bryant,,15-12,,
7:31.0,J. Hill makes 2-pt shot from 5 ft (assist by K. Bryant),2,17-12,,
7:15.0,,,17-14,2,T. Lawson makes 2-pt shot from 13 ft
6:55.0,,,17-14,,Personal foul by K. Faried (drawn by E. Davis)
6:49.0,W. Johnson misses 3-pt shot from 26 ft,,17-14,,
6:47.0,,,17-14,,Defensive rebound by T. Mozgov
6:35.0,,,17-14,,A. Afflalo misses 2-pt shot from 20 ft
