time,Miami,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Pekovic vs. H. Whiteside (R. Rubio gains possession),,,,Jump ball: N. Pekovic vs. H. Whiteside (R. Rubio gains possession)
11:51.0,,,0-2,2,N. Pekovic makes 2-pt shot from 4 ft (assist by R. Rubio)
11:33.0,L. Deng misses 2-pt shot at rim,,0-2,,
11:32.0,,,0-2,,Defensive rebound by A. Wiggins
11:15.0,,,0-2,,K. Martin misses 2-pt shot from 21 ft
11:14.0,Defensive rebound by C. Bosh,,0-2,,
11:11.0,Turnover by C. Bosh (bad pass; steal by R. Rubio),,0-2,,
11:06.0,,,0-2,,K. Martin misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by H. Whiteside,,0-2,,
10:59.0,Turnover by M. Chalmers (bad pass; steal by T. Young),,0-2,,
10:56.0,,,0-4,2,K. Martin makes 2-pt shot at rim (assist by R. Rubio)
10:30.0,,,0-4,,Personal foul by R. Rubio (drawn by M. Chalmers)
10:23.0,H. Whiteside makes 2-pt shot at rim (assist by M. Chalmers),2,2-4,,
10:04.0,,,2-4,,A. Wiggins misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by H. Whiteside,,2-4,,
9:53.0,C. Bosh misses 2-pt shot from 20 ft,,2-4,,
9:52.0,,,2-4,,Defensive rebound by A. Wiggins
9:47.0,,,2-6,2,R. Rubio makes 2-pt shot from 20 ft
9:25.0,M. Chalmers misses 2-pt shot from 20 ft,,2-6,,
9:24.0,,,2-6,,Defensive rebound by N. Pekovic
9:08.0,,,2-6,,Turnover by N. Pekovic (lost ball; steal by H. Whiteside)
9:03.0,Turnover by M. Chalmers (lost ball),,2-6,,
8:50.0,,,2-8,2,T. Young makes 2-pt shot from 1 ft (assist by R. Rubio)
8:33.0,Offensive foul by C. Bosh,,2-8,,
8:33.0,Turnover by C. Bosh (offensive foul),,2-8,,
8:24.0,,,2-8,,Turnover by R. Rubio (bad pass; steal by H. Whiteside)
8:21.0,C. Bosh makes 2-pt shot at rim (assist by S. Napier),2,4-8,,
8:03.0,,,4-10,2,N. Pekovic makes 2-pt shot from 1 ft (assist by R. Rubio)
7:36.0,Turnover by H. Whiteside (traveling),,4-10,,
7:25.0,,,4-10,,K. Martin misses 2-pt shot from 17 ft
7:24.0,Defensive rebound by S. Napier,,4-10,,
7:22.0,L. Deng makes 2-pt shot from 4 ft (assist by S. Napier),2,6-10,,
7:22.0,Shooting foul by A. Wiggins (drawn by L. Deng),,6-10,,
7:22.0,L. Deng misses free throw 1 of 1,,6-10,,
7:22.0,,,6-10,,Defensive rebound by K. Martin
7:09.0,,,6-12,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
7:05.0,Miami full timeout,,6-12,,
7:05.0,D. Granger enters the game for C. Bosh,,6-12,,
6:57.0,H. Whiteside makes 2-pt shot at rim (assist by S. Napier),2,8-12,,
6:44.0,,,8-12,,A. Wiggins misses 2-pt shot from 8 ft
6:43.0,Defensive rebound by S. Napier,,8-12,,
6:37.0,,,8-12,,Personal block foul by R. Rubio (drawn by S. Napier)
6:37.0,,,8-12,,M. Williams enters the game for R. Rubio
6:23.0,Turnover by H. Whiteside (bad pass; steal by T. Young),,8-12,,
6:19.0,,,8-14,2,T. Young makes 2-pt shot from 2 ft (assist by K. Martin)
5:58.0,S. Napier misses 2-pt shot from 15 ft,,8-14,,
5:57.0,,,8-14,,Defensive rebound by A. Wiggins
5:47.0,,,8-16,2,N. Pekovic makes 2-pt shot from 3 ft (assist by A. Wiggins)
5:21.0,D. Granger makes 3-pt shot from 23 ft (assist by S. Napier),3,11-16,,
4:55.0,,,11-16,,N. Pekovic misses 2-pt shot from 4 ft (block by H. Whiteside)
4:54.0,Defensive rebound by L. Deng,,11-16,,
4:50.0,M. Chalmers makes 2-pt shot at rim (assist by L. Deng),2,13-16,,
4:50.0,,,13-16,,Minnesota full timeout
4:50.0,,,13-16,,G. Dieng enters the game for N. Pekovic
4:50.0,N. Cole enters the game for S. Napier,,13-16,,
4:32.0,,,13-16,,G. Dieng misses 2-pt shot from 15 ft
4:30.0,Jump ball: H. Whiteside vs. T. Young (L. Deng gains possession),,,,Jump ball: H. Whiteside vs. T. Young (L. Deng gains possession)
4:30.0,Offensive rebound by Team,,13-16,,
4:09.0,M. Chalmers makes 2-pt shot from 1 ft,2,15-16,,
3:50.0,,,15-19,3,K. Martin makes 3-pt shot from 22 ft (assist by M. Williams)
3:30.0,,,15-19,,Personal foul by T. Young (drawn by D. Granger)
3:18.0,D. Granger makes 2-pt shot from 16 ft (assist by N. Cole),2,17-19,,
3:03.0,,,17-21,2,K. Martin makes 2-pt shot from 10 ft
2:46.0,M. Chalmers misses 2-pt shot from 5 ft,,17-21,,
2:45.0,Offensive rebound by H. Whiteside,,17-21,,
2:44.0,H. Whiteside makes 2-pt shot at rim,2,19-21,,
2:31.0,,,19-23,2,M. Williams makes 2-pt shot from 6 ft
2:21.0,,,19-23,,Personal foul by M. Williams (drawn by N. Cole)
2:21.0,N. Cole misses free throw 1 of 2,,19-23,,
2:21.0,Offensive rebound by Team,,19-23,,
2:21.0,C. Bosh enters the game for L. Deng,,19-23,,
2:21.0,,,19-23,,A. Bennett enters the game for T. Young
2:21.0,N. Cole misses free throw 2 of 2,,19-23,,
2:21.0,,,19-23,,Defensive rebound by A. Bennett
2:07.0,,,19-23,,A. Bennett misses 2-pt shot from 17 ft
2:06.0,Defensive rebound by N. Cole,,19-23,,
2:04.0,Shooting foul by M. Williams (drawn by N. Cole),,19-23,,
2:04.0,N. Cole misses free throw 1 of 2,,19-23,,
2:04.0,Offensive rebound by Team,,19-23,,
2:04.0,N. Cole makes free throw 2 of 2,1,20-23,,
1:48.0,,,20-25,2,G. Dieng makes 2-pt shot at rim (assist by K. Martin)
1:46.0,Miami full timeout,,20-25,,
1:46.0,T. Johnson enters the game for M. Chalmers,,20-25,,
1:30.0,C. Bosh makes 2-pt shot from 1 ft,2,22-25,,
1:30.0,Shooting foul by A. Bennett (drawn by C. Bosh),,22-25,,
1:30.0,C. Bosh misses free throw 1 of 1,,22-25,,
1:30.0,,,22-25,,Defensive rebound by G. Dieng
1:14.0,,,22-27,2,K. Martin makes 2-pt shot from 18 ft (assist by M. Williams)
0:57.0,D. Granger misses 2-pt shot from 20 ft,,22-27,,
0:56.0,Offensive rebound by H. Whiteside,,22-27,,
0:56.0,H. Whiteside makes 2-pt shot at rim,2,24-27,,
0:42.0,,,24-27,,A. Wiggins misses 2-pt shot from 14 ft
0:41.0,Defensive rebound by H. Whiteside,,24-27,,
0:29.0,Turnover by D. Granger (lost ball; steal by K. Martin),,24-27,,
0:28.0,Personal foul by D. Granger (drawn by K. Martin),,24-27,,
0:28.0,C. Andersen enters the game for H. Whiteside,,24-27,,
0:16.0,,,24-27,,M. Williams misses 2-pt shot from 15 ft
0:15.0,Defensive rebound by C. Bosh,,24-27,,
0:01.0,C. Bosh misses 2-pt shot from 6 ft,,24-27,,
0:00.0,,,24-27,,Defensive rebound by K. Martin
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,C. Bosh misses 2-pt shot from 20 ft,,24-27,,
11:36.0,,,24-27,,Defensive rebound by Team
11:17.0,,,24-29,2,G. Dieng makes 2-pt shot from 15 ft (assist by M. Williams)
10:52.0,N. Cole misses 2-pt shot from 20 ft,,24-29,,
10:51.0,,,24-29,,Defensive rebound by G. Dieng
10:43.0,,,24-29,,Turnover by M. Williams (bad pass; steal by C. Andersen)
10:40.0,,,24-29,,T. Young enters the game for A. Wiggins
10:24.0,N. Cole makes 2-pt shot from 9 ft,2,26-29,,
10:04.0,Personal foul by D. Granger (drawn by T. Young),,26-29,,
9:58.0,,,26-31,2,A. Bennett makes 2-pt shot from 19 ft (assist by M. Williams)
9:42.0,T. Johnson misses 2-pt shot from 1 ft,,26-31,,
9:41.0,,,26-31,,Defensive rebound by G. Dieng
9:36.0,,,26-31,,Z. LaVine misses 2-pt shot from 1 ft (block by C. Andersen)
