time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Thompson,,,,Jump ball: A. Bogut vs. J. Thompson
11:43.0,,,0-0,,D. Cousins misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by S. Curry,,0-0,,
11:35.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by R. Gay
11:27.0,,,0-0,,D. Cousins misses 2-pt shot from 3 ft (block by A. Bogut)
11:25.0,,,0-0,,Offensive rebound by D. Cousins
11:23.0,,,0-0,,D. Cousins misses 2-pt shot from 4 ft
11:22.0,Defensive rebound by A. Bogut,,0-0,,
11:16.0,H. Barnes misses 3-pt shot from 24 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by R. Gay
11:06.0,,,0-0,,R. Gay misses 2-pt shot from 12 ft
11:05.0,,,0-0,,Offensive rebound by J. Thompson
11:05.0,,,0-0,,J. Thompson misses 2-pt shot at rim
11:04.0,,,0-0,,Offensive rebound by J. Thompson
11:02.0,,,0-0,,Turnover by J. Thompson (lost ball; steal by S. Curry)
10:49.0,D. Green misses 2-pt shot from 6 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by D. Cousins
10:43.0,,,0-2,2,D. Collison makes 2-pt shot from 2 ft
10:25.0,,,0-2,,Personal foul by D. Collison (drawn by A. Bogut)
10:19.0,,,0-2,,Def 3 sec tech foul by J. Thompson
10:19.0,S. Curry makes technical free throw,1,1-2,,
10:06.0,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green),2,3-2,,
9:53.0,Personal foul by A. Bogut (drawn by D. Cousins),,3-2,,
9:38.0,,,3-2,,Turnover by B. McLemore (lost ball; steal by K. Thompson)
9:31.0,Turnover by S. Curry (bad pass; steal by D. Collison),,3-2,,
9:21.0,,,3-2,,Shooting foul by S. Curry (drawn by D. Cousins)
9:21.0,,,3-2,,D. Cousins misses free throw 1 of 2
9:21.0,,,3-2,,Offensive rebound by Team
9:21.0,,,3-3,1,D. Cousins makes free throw 2 of 2
9:17.0,H. Barnes misses 2-pt shot from 2 ft (block by R. Gay),,3-3,,
9:15.0,,,3-3,,Defensive rebound by B. McLemore
9:02.0,,,3-5,2,J. Thompson makes 2-pt shot from 12 ft (assist by D. Collison)
8:49.0,Turnover by K. Thompson (bad pass; steal by D. Collison),,3-5,,
8:44.0,,,3-7,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Collison)
8:31.0,Turnover by D. Green (bad pass; steal by R. Gay),,3-7,,
8:23.0,,,3-7,,Turnover by J. Thompson (offensive foul)
8:23.0,,,3-7,,Offensive charge foul by J. Thompson
8:11.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,5-7,,
7:56.0,,,5-7,,R. Gay misses 2-pt shot from 22 ft
7:56.0,Defensive rebound by K. Thompson,,5-7,,
7:53.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,7-7,,
7:39.0,,,7-7,,D. Cousins misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by D. Green,,7-7,,
7:29.0,S. Curry makes 2-pt shot from 10 ft (assist by H. Barnes),2,9-7,,
7:15.0,,,9-7,,D. Cousins misses 2-pt shot from 1 ft (block by A. Bogut)
7:14.0,Defensive rebound by A. Bogut,,9-7,,
7:06.0,K. Thompson makes 3-pt shot from 24 ft,3,12-7,,
7:06.0,,,12-7,,Sacramento full timeout
6:50.0,,,12-7,,B. McLemore misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by A. Bogut,,12-7,,
6:32.0,H. Barnes misses 2-pt shot from 8 ft,,12-7,,
6:31.0,,,12-7,,Defensive rebound by J. Thompson
6:28.0,,,12-9,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
6:07.0,K. Thompson misses 2-pt shot from 15 ft,,12-9,,
6:06.0,,,12-9,,Defensive rebound by J. Thompson
6:00.0,,,12-9,,Turnover by D. Collison (lost ball)
6:00.0,F. Ezeli enters the game for A. Bogut,,12-9,,
5:40.0,Shooting foul by B. McLemore (drawn by K. Thompson),,12-9,,
5:40.0,K. Thompson makes free throw 1 of 2,1,13-9,,
5:40.0,K. Thompson misses free throw 2 of 2,,13-9,,
5:38.0,,,13-9,,Defensive rebound by Team
5:29.0,,,13-11,2,D. Collison makes 2-pt shot from 2 ft
5:16.0,,,13-11,,Personal foul by R. Gay (drawn by K. Thompson)
