time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (J. Noah gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (J. Noah gains possession)
11:38.0,A. Brooks misses 2-pt shot from 19 ft,,0-0,,
11:38.0,Offensive rebound by Team,,0-0,,
11:38.0,,,0-0,,Personal foul by A. Johnson (drawn by J. Noah)
11:23.0,J. Butler makes 2-pt shot from 17 ft (assist by P. Gasol),2,2-0,,
11:03.0,,,2-0,,A. Johnson misses 2-pt shot from 3 ft (block by J. Noah)
11:01.0,Defensive rebound by A. Brooks,,2-0,,
10:52.0,Turnover by M. Dunleavy (bad pass; steal by J. Valanciunas),,2-0,,
10:47.0,,,2-2,2,D. DeRozan makes 2-pt shot from 1 ft (assist by T. Ross)
10:36.0,P. Gasol misses 2-pt shot from 2 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by J. Valanciunas
10:23.0,,,2-4,2,T. Ross makes 2-pt shot from 10 ft
10:04.0,P. Gasol makes 2-pt shot from 2 ft (assist by J. Noah),2,4-4,,
9:41.0,,,4-4,,G. Vasquez misses 2-pt shot from 8 ft
9:40.0,Defensive rebound by J. Noah,,4-4,,
9:27.0,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler),2,6-4,,
9:08.0,,,6-7,3,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan)
8:47.0,P. Gasol misses 2-pt shot from 18 ft,,6-7,,
8:46.0,Offensive rebound by J. Butler,,6-7,,
8:37.0,P. Gasol misses 2-pt shot from 18 ft,,6-7,,
8:36.0,,,6-7,,Defensive rebound by A. Johnson
8:24.0,,,6-7,,J. Valanciunas misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by J. Noah,,6-7,,
8:15.0,M. Dunleavy misses 2-pt shot from 2 ft,,6-7,,
8:14.0,,,6-7,,Defensive rebound by A. Johnson
8:07.0,,,6-7,,G. Vasquez misses 3-pt shot from 26 ft (block by P. Gasol)
8:06.0,,,6-7,,Offensive rebound by G. Vasquez
7:55.0,,,6-9,2,J. Valanciunas makes 2-pt shot from 1 ft
7:38.0,Shooting foul by J. Valanciunas (drawn by P. Gasol),,6-9,,
7:38.0,P. Gasol makes free throw 1 of 2,1,7-9,,
7:38.0,P. Gasol makes free throw 2 of 2,1,8-9,,
7:21.0,,,8-12,3,G. Vasquez makes 3-pt shot from 25 ft
6:50.0,A. Brooks misses 3-pt shot from 26 ft,,8-12,,
6:49.0,,,8-12,,Defensive rebound by J. Valanciunas
6:36.0,,,8-12,,T. Ross misses 2-pt shot from 11 ft
6:35.0,Defensive rebound by M. Dunleavy,,8-12,,
6:23.0,P. Gasol misses 2-pt shot from 10 ft,,8-12,,
6:22.0,,,8-12,,Defensive rebound by J. Valanciunas
6:03.0,,,8-15,3,T. Ross makes 3-pt shot from 23 ft (assist by G. Vasquez)
5:42.0,J. Butler misses 3-pt shot from 27 ft,,8-15,,
5:41.0,,,8-15,,Defensive rebound by J. Valanciunas
5:29.0,,,8-15,,G. Vasquez misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by P. Gasol,,8-15,,
5:22.0,Turnover by A. Brooks (bad pass; steal by T. Ross),,8-15,,
5:21.0,Personal foul by M. Dunleavy (drawn by D. DeRozan),,8-15,,
5:21.0,,,8-15,,Toronto full timeout
5:21.0,T. Gibson enters the game for J. Noah,,8-15,,
5:07.0,,,8-17,2,T. Ross makes 2-pt shot from 16 ft
4:40.0,J. Butler makes 2-pt shot from 16 ft,2,10-17,,
4:21.0,,,10-20,3,G. Vasquez makes 3-pt shot from 26 ft
4:04.0,P. Gasol misses 2-pt shot from 15 ft,,10-20,,
4:03.0,,,10-20,,Defensive rebound by A. Johnson
3:55.0,,,10-20,,Turnover by G. Vasquez (lost ball)
3:55.0,K. Hinrich enters the game for A. Brooks,,10-20,,
3:55.0,N. Mirotic enters the game for M. Dunleavy,,10-20,,
3:45.0,Turnover by K. Hinrich (bad pass; steal by G. Vasquez),,10-20,,
3:28.0,,,10-20,,A. Johnson misses 2-pt shot from 5 ft
3:27.0,,,10-20,,Offensive rebound by J. Valanciunas
3:25.0,,,10-20,,J. Valanciunas misses 2-pt shot from 1 ft
3:24.0,,,10-20,,Offensive rebound by J. Valanciunas
3:21.0,,,10-22,2,J. Valanciunas makes 2-pt shot from 2 ft
3:02.0,Shooting foul by T. Ross (drawn by N. Mirotic),,10-22,,
3:02.0,N. Mirotic makes free throw 1 of 2,1,11-22,,
3:02.0,,,11-22,,P. Patterson enters the game for A. Johnson
3:02.0,N. Mirotic makes free throw 2 of 2,1,12-22,,
2:47.0,,,12-25,3,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan)
2:25.0,P. Gasol makes 2-pt shot from 13 ft,2,14-25,,
2:09.0,,,14-27,2,T. Ross makes 2-pt shot from 13 ft (assist by D. DeRozan)
1:43.0,N. Mirotic makes 2-pt shot from 17 ft,2,16-27,,
1:23.0,,,16-27,,T. Ross misses 3-pt shot from 27 ft
1:22.0,Defensive rebound by K. Hinrich,,16-27,,
1:10.0,Turnover by N. Mirotic (bad pass; steal by D. DeRozan),,16-27,,
1:04.0,,,16-27,,Shooting foul by T. Gibson (drawn by D. DeRozan)
1:04.0,Chicago full timeout,,16-27,,
1:04.0,,,16-27,,J. Johnson enters the game for T. Ross
1:04.0,,,16-27,,L. Williams enters the game for J. Valanciunas
1:04.0,,,16-27,,T. Hansbrough enters the game for G. Vasquez
1:04.0,,,16-28,1,D. DeRozan makes free throw 1 of 2
1:04.0,,,16-29,1,D. DeRozan makes free throw 2 of 2
0:50.0,N. Mirotic makes 2-pt shot from 11 ft,2,18-29,,
0:28.0,,,18-29,,D. DeRozan misses 2-pt shot from 17 ft
0:27.0,Defensive rebound by K. Hinrich,,18-29,,
0:15.0,P. Gasol makes 2-pt shot from 4 ft,2,20-29,,
0:00.0,,,20-29,,T. Hansbrough misses 2-pt shot from 3 ft
0:00.0,,,20-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,20-29,,P. Patterson misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by M. Dunleavy,,20-29,,
11:24.0,J. Noah makes 2-pt shot from 3 ft (assist by M. Dunleavy),2,22-29,,
11:06.0,,,22-31,2,L. Williams makes 2-pt shot from 19 ft (assist by J. Johnson)
10:53.0,K. Hinrich makes 3-pt shot from 23 ft (assist by J. Noah),3,25-31,,
10:37.0,,,25-31,,L. Williams misses 2-pt shot from 13 ft
10:36.0,Defensive rebound by M. Dunleavy,,25-31,,
10:23.0,Offensive charge foul by M. Dunleavy,,25-31,,
10:23.0,Turnover by M. Dunleavy (offensive foul),,25-31,,
10:08.0,,,25-31,,T. Hansbrough misses 2-pt shot from 2 ft
10:07.0,Defensive rebound by M. Dunleavy,,25-31,,
9:59.0,T. Snell makes 3-pt shot from 26 ft (assist by J. Noah),3,28-31,,
9:42.0,,,28-33,2,D. DeRozan makes 2-pt shot from 2 ft
9:26.0,T. Snell makes 2-pt shot from 19 ft,2,30-33,,
