time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (D. West gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (D. West gains possession)
11:43.0,,,0-0,,R. Stuckey misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by M. Dunleavy,,0-0,,
11:29.0,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose),2,2-0,,
11:08.0,,,2-2,2,R. Hibbert makes 2-pt shot at rim (assist by R. Stuckey)
10:40.0,P. Gasol misses 2-pt shot from 17 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by R. Stuckey
10:32.0,,,2-2,,Turnover by R. Stuckey (bad pass; steal by J. Noah)
10:26.0,D. Rose misses 3-pt shot from 26 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by D. West
10:03.0,,,2-4,2,R. Stuckey makes 2-pt shot from 18 ft (assist by D. West)
9:46.0,J. Butler misses 2-pt shot from 10 ft (block by D. West),,2-4,,
9:45.0,,,2-4,,Defensive rebound by R. Hibbert
9:42.0,,,2-4,,R. Stuckey misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by M. Dunleavy,,2-4,,
9:31.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,4-4,,
9:09.0,,,4-4,,R. Hibbert misses 2-pt shot from 5 ft (block by P. Gasol)
9:07.0,Defensive rebound by M. Dunleavy,,4-4,,
8:59.0,Shooting foul by D. West (drawn by D. Rose),,4-4,,
8:59.0,D. Rose makes free throw 1 of 2,1,5-4,,
8:59.0,D. Rose makes free throw 2 of 2,1,6-4,,
8:46.0,,,6-4,,R. Hibbert misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by J. Noah,,6-4,,
8:36.0,M. Dunleavy misses 2-pt shot from 20 ft,,6-4,,
8:35.0,,,6-4,,Defensive rebound by G. Hill
8:27.0,,,6-6,2,G. Hill makes 2-pt shot from 10 ft
8:10.0,P. Gasol misses 2-pt shot from 8 ft,,6-6,,
8:09.0,,,6-6,,Defensive rebound by G. Hill
8:04.0,,,6-6,,G. Hill misses 2-pt shot at rim
8:02.0,Defensive rebound by P. Gasol,,6-6,,
7:56.0,J. Noah makes 2-pt shot at rim (assist by J. Butler),2,8-6,,
7:34.0,,,8-6,,S. Hill misses 2-pt shot from 17 ft (block by M. Dunleavy)
7:31.0,Defensive rebound by M. Dunleavy,,8-6,,
7:18.0,J. Butler makes 2-pt shot from 16 ft (assist by J. Noah),2,10-6,,
7:03.0,,,10-8,2,D. West makes 2-pt shot from 20 ft (assist by G. Hill)
6:37.0,Turnover by Team (shot clock),,10-8,,
6:37.0,,,10-8,,Indiana full timeout
6:26.0,,,10-8,,G. Hill misses 3-pt shot from 26 ft
6:25.0,,,10-8,,Offensive rebound by R. Stuckey
6:14.0,,,10-8,,G. Hill misses 2-pt shot from 19 ft (block by D. Rose)
6:12.0,,,10-8,,Offensive rebound by S. Hill
6:06.0,,,10-10,2,D. West makes 2-pt shot from 4 ft
5:48.0,M. Dunleavy misses 3-pt shot from 26 ft,,10-10,,
5:45.0,Offensive rebound by Team,,10-10,,
5:37.0,J. Butler misses 2-pt shot from 18 ft,,10-10,,
5:36.0,,,10-10,,Defensive rebound by D. West
5:20.0,,,10-10,,Turnover by R. Stuckey (lost ball; steal by J. Butler)
5:11.0,Shooting foul by R. Hibbert (drawn by P. Gasol),,10-10,,
5:11.0,P. Gasol makes free throw 1 of 2,1,11-10,,
5:11.0,,,11-10,,C. Miles enters the game for R. Stuckey
5:11.0,,,11-10,,L. Scola enters the game for D. West
5:11.0,P. Gasol makes free throw 2 of 2,1,12-10,,
4:52.0,,,12-12,2,R. Hibbert makes 2-pt shot from 7 ft
4:25.0,D. Rose makes 2-pt shot from 9 ft (assist by J. Noah),2,14-12,,
4:04.0,,,14-12,,R. Hibbert misses 2-pt shot from 10 ft
4:03.0,,,14-12,,Offensive rebound by Team
4:03.0,Loose ball foul by M. Dunleavy (drawn by L. Scola),,14-12,,
4:03.0,T. Gibson enters the game for J. Noah,,14-12,,
3:58.0,,,14-14,2,C. Miles makes 2-pt shot from 13 ft (assist by L. Scola)
3:43.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,16-14,,
3:27.0,,,16-14,,R. Hibbert misses 2-pt shot from 18 ft
3:26.0,Defensive rebound by T. Gibson,,16-14,,
3:18.0,D. Rose misses 3-pt shot from 26 ft,,16-14,,
3:17.0,,,16-14,,Defensive rebound by C. Miles
3:09.0,,,16-16,2,S. Hill makes 2-pt shot from 1 ft
2:46.0,D. Rose misses 3-pt shot from 29 ft,,16-16,,
2:45.0,,,16-16,,Defensive rebound by R. Hibbert
2:29.0,,,16-16,,G. Hill misses 2-pt shot from 15 ft
2:29.0,Defensive rebound by Team,,16-16,,
2:29.0,,,16-16,,Loose ball foul by R. Hibbert (drawn by P. Gasol)
2:29.0,Chicago full timeout,,16-16,,
2:29.0,,,16-16,,L. Allen enters the game for R. Hibbert
2:29.0,,,16-16,,C. Watson enters the game for G. Hill
2:29.0,A. Brooks enters the game for D. Rose,,16-16,,
2:10.0,T. Gibson misses 2-pt shot from 1 ft (block by C. Watson),,16-16,,
2:08.0,,,16-16,,Defensive rebound by L. Scola
2:05.0,Technical foul by Team,,16-16,,
2:05.0,,,16-17,1,C. Miles makes technical free throw
1:55.0,,,16-17,,L. Scola misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by T. Gibson,,16-17,,
1:40.0,J. Butler makes 2-pt shot from 1 ft,2,18-17,,
1:23.0,,,18-17,,C. Miles misses 2-pt shot from 12 ft
1:22.0,Defensive rebound by P. Gasol,,18-17,,
1:15.0,,,18-17,,Personal foul by L. Scola (drawn by T. Gibson)
0:59.0,T. Gibson makes 2-pt shot from 15 ft (assist by M. Dunleavy),2,20-17,,
0:45.0,,,20-17,,L. Allen misses 2-pt shot from 17 ft
0:44.0,Defensive rebound by M. Dunleavy,,20-17,,
0:39.0,Turnover by A. Brooks (bad pass),,20-17,,
0:24.0,,,20-17,,C. Watson misses 2-pt shot from 17 ft
0:23.0,Defensive rebound by M. Dunleavy,,20-17,,
0:03.0,Shooting foul by C. Watson (drawn by A. Brooks),,20-17,,
0:03.0,A. Brooks makes free throw 1 of 2,1,21-17,,
0:03.0,A. Brooks makes free throw 2 of 2,1,22-17,,
0:00.0,,,22-17,,S. Hill misses 3-pt shot from 35 ft
0:00.0,,,22-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Gibson misses 2-pt shot from 1 ft (block by L. Allen),,22-17,,
11:43.0,Offensive rebound by Team,,22-17,,
11:39.0,T. Gibson makes 2-pt shot from 2 ft (assist by N. Mirotic),2,24-17,,
