time,Boston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. G. Dieng (J. Sullinger gains possession),,,,Jump ball: B. Bass vs. G. Dieng (J. Sullinger gains possession)
11:46.0,A. Bradley makes 2-pt shot from 20 ft,2,2-0,,
11:26.0,,,2-0,,Turnover by A. Wiggins (lost ball; steal by A. Bradley)
11:20.0,A. Bradley misses 3-pt shot from 24 ft,,2-0,,
11:19.0,Offensive rebound by J. Crowder,,2-0,,
11:13.0,J. Sullinger misses 3-pt shot from 24 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by G. Dieng
11:01.0,,,2-0,,G. Dieng misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by B. Bass,,2-0,,
10:47.0,Turnover by A. Bradley (bad pass; steal by Z. LaVine),,2-0,,
10:35.0,,,2-0,,T. Young misses 2-pt shot from 11 ft
10:34.0,,,2-0,,Offensive rebound by G. Dieng
10:32.0,,,2-2,2,G. Dieng makes 2-pt shot from 1 ft
10:18.0,A. Bradley makes 2-pt shot from 20 ft,2,4-2,,
9:48.0,,,4-2,,G. Dieng misses 2-pt shot from 20 ft
9:47.0,Defensive rebound by J. Sullinger,,4-2,,
9:32.0,B. Bass makes 2-pt shot from 4 ft,2,6-2,,
9:11.0,,,6-2,,N. Pekovic misses 2-pt shot from 5 ft (block by J. Sullinger)
9:09.0,Defensive rebound by J. Crowder,,6-2,,
9:05.0,A. Bradley misses 3-pt shot from 22 ft,,6-2,,
9:03.0,Offensive rebound by E. Turner,,6-2,,
9:00.0,Turnover by B. Bass (bad pass; steal by Z. LaVine),,6-2,,
8:58.0,,,6-2,,Turnover by Z. LaVine (lost ball; steal by J. Sullinger)
8:53.0,A. Bradley misses 3-pt shot from 23 ft,,6-2,,
8:52.0,,,6-2,,Defensive rebound by G. Dieng
8:52.0,,,6-2,,Minnesota full timeout
8:33.0,,,6-4,2,T. Young makes 2-pt shot from 2 ft (assist by A. Wiggins)
8:14.0,E. Turner misses 2-pt shot from 18 ft,,6-4,,
8:13.0,,,6-4,,Defensive rebound by Z. LaVine
7:57.0,,,6-4,,A. Wiggins misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by J. Sullinger,,6-4,,
7:36.0,B. Bass misses 2-pt shot from 19 ft,,6-4,,
7:34.0,,,6-4,,Defensive rebound by G. Dieng
7:20.0,,,6-6,2,N. Pekovic makes 2-pt shot from 6 ft (assist by Z. LaVine)
7:04.0,,,6-6,,Personal foul by G. Dieng (drawn by B. Bass)
6:59.0,J. Crowder misses 2-pt shot from 14 ft,,6-6,,
6:58.0,,,6-6,,Defensive rebound by N. Pekovic
6:52.0,Personal foul by J. Crowder (drawn by Z. LaVine),,6-6,,
6:45.0,,,6-8,2,N. Pekovic makes 2-pt shot from 3 ft (assist by Z. LaVine)
6:31.0,J. Sullinger misses 2-pt shot from 13 ft,,6-8,,
6:30.0,,,6-8,,Defensive rebound by G. Dieng
6:24.0,,,6-8,,Turnover by Z. LaVine (lost ball; steal by A. Bradley)
6:21.0,A. Bradley misses 2-pt shot at rim (block by A. Wiggins),,6-8,,
6:20.0,Offensive rebound by B. Bass,,6-8,,
6:19.0,B. Bass makes 2-pt shot at rim,2,8-8,,
6:00.0,,,8-8,,T. Young misses 2-pt shot from 21 ft
5:59.0,Defensive rebound by E. Turner,,8-8,,
5:51.0,,,8-8,,Personal foul by N. Pekovic (drawn by J. Sullinger)
5:51.0,M. Smart enters the game for E. Turner,,8-8,,
5:37.0,J. Sullinger misses 3-pt shot from 25 ft,,8-8,,
5:36.0,,,8-8,,Defensive rebound by T. Young
5:21.0,,,8-8,,A. Wiggins misses 2-pt shot from 8 ft
5:20.0,,,8-8,,Offensive rebound by T. Young
5:19.0,,,8-8,,T. Young misses 2-pt shot from 2 ft
5:18.0,Defensive rebound by J. Sullinger,,8-8,,
5:11.0,,,8-8,,K. Martin enters the game for N. Pekovic
5:09.0,J. Sullinger misses 2-pt shot from 15 ft,,8-8,,
5:08.0,,,8-8,,Defensive rebound by G. Dieng
4:55.0,,,8-10,2,K. Martin makes 2-pt shot from 16 ft
4:39.0,Shooting foul by T. Young (drawn by J. Sullinger),,8-10,,
4:39.0,J. Sullinger makes 2-pt shot from 2 ft,2,10-10,,
4:39.0,,,10-10,,L. Brown enters the game for Z. LaVine
4:39.0,T. Zeller enters the game for B. Bass,,10-10,,
4:39.0,J. Sullinger makes free throw 1 of 1,1,11-10,,
4:22.0,Shooting block foul by M. Smart (drawn by T. Young),,11-10,,
4:22.0,,,11-11,1,T. Young makes free throw 1 of 2
4:22.0,M. Thornton enters the game for J. Crowder,,11-11,,
4:22.0,,,11-12,1,T. Young makes free throw 2 of 2
4:07.0,T. Zeller misses 2-pt shot from 11 ft,,11-12,,
4:05.0,,,11-12,,Defensive rebound by T. Young
3:55.0,,,11-12,,Shooting foul by M. Thornton (drawn by K. Martin)
3:55.0,,,11-14,2,K. Martin makes 2-pt shot from 15 ft
3:55.0,,,11-15,1,K. Martin makes free throw 1 of 1
3:47.0,Turnover by J. Sullinger (traveling),,11-15,,
3:35.0,,,11-17,2,A. Wiggins makes 2-pt shot from 15 ft
3:13.0,A. Bradley misses 2-pt shot from 21 ft,,11-17,,
3:12.0,,,11-17,,Defensive rebound by T. Young
3:06.0,,,11-19,2,G. Dieng makes 2-pt shot at rim (assist by K. Martin)
3:06.0,Boston full timeout,,11-19,,
3:06.0,G. Wallace enters the game for J. Sullinger,,11-19,,
3:06.0,T. Prince enters the game for A. Bradley,,11-19,,
2:53.0,M. Thornton makes 2-pt shot from 21 ft (assist by T. Prince),2,13-19,,
2:38.0,,,13-19,,K. Martin misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by G. Wallace,,13-19,,
2:23.0,M. Smart makes 3-pt shot from 25 ft (assist by M. Thornton),3,16-19,,
2:23.0,Shooting foul by L. Brown (drawn by M. Smart),,16-19,,
2:23.0,M. Smart misses free throw 1 of 1,,16-19,,
2:23.0,,,16-19,,Defensive rebound by T. Young
2:10.0,,,16-19,,K. Martin misses 2-pt shot from 8 ft (block by M. Thornton)
2:09.0,,,16-19,,Offensive rebound by K. Martin
2:02.0,,,16-22,3,L. Brown makes 3-pt shot from 24 ft
1:44.0,T. Prince makes 2-pt shot from 21 ft (assist by M. Smart),2,18-22,,
1:22.0,,,18-22,,Turnover by K. Martin (bad pass; steal by T. Prince)
1:12.0,T. Zeller makes 2-pt shot from 3 ft (assist by M. Smart),2,20-22,,
0:57.0,,,20-24,2,K. Martin makes 2-pt shot from 7 ft
0:46.0,M. Thornton misses 2-pt shot from 20 ft,,20-24,,
0:45.0,Offensive rebound by T. Zeller,,20-24,,
0:44.0,,,20-24,,Violation by G. Dieng (def goaltending)
0:44.0,T. Zeller makes 2-pt shot at rim,2,22-24,,
0:26.0,,,22-26,2,T. Young makes 2-pt shot from 8 ft
0:04.0,M. Thornton misses 3-pt shot from 25 ft,,22-26,,
0:03.0,,,22-26,,Defensive rebound by T. Young
0:01.0,,,22-26,,L. Brown misses 3-pt shot from 43 ft
0:00.0,,,22-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,22-26,,K. Martin misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by T. Zeller,,22-26,,
11:37.0,M. Thornton misses 3-pt shot from 24 ft,,22-26,,
11:35.0,,,22-26,,Defensive rebound by K. Martin
11:23.0,Personal foul by T. Prince (drawn by C. Budinger),,22-26,,
11:23.0,,,22-27,1,C. Budinger makes free throw 1 of 2
11:23.0,,,22-28,1,C. Budinger makes free throw 2 of 2
11:10.0,M. Smart makes 3-pt shot from 23 ft (assist by M. Thornton),3,25-28,,
10:55.0,,,25-30,2,N. Pekovic makes 2-pt shot from 1 ft
10:55.0,,,25-30,,Shooting foul by T. Zeller (drawn by N. Pekovic)
10:55.0,E. Turner enters the game for M. Thornton,,25-30,,
10:55.0,,,25-31,1,N. Pekovic makes free throw 1 of 1
10:35.0,G. Wallace misses 2-pt shot at rim,,25-31,,
10:34.0,,,25-31,,Defensive rebound by A. Bennett
10:12.0,,,25-31,,K. Martin misses 2-pt shot from 20 ft
10:11.0,Defensive rebound by T. Zeller,,25-31,,
10:03.0,T. Zeller makes 2-pt shot from 7 ft (assist by M. Smart),2,27-31,,
9:49.0,Personal foul by T. Zeller (drawn by N. Pekovic),,27-31,,
9:49.0,,,27-31,,A. Wiggins enters the game for K. Martin
9:38.0,,,27-31,,N. Pekovic misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by G. Wallace,,27-31,,
9:31.0,Turnover by T. Prince (bad pass),,27-31,,
9:21.0,,,27-34,3,L. Brown makes 3-pt shot from 24 ft
9:00.0,M. Smart misses 2-pt shot from 19 ft,,27-34,,
8:59.0,,,27-34,,Defensive rebound by A. Bennett
8:50.0,,,27-34,,A. Bennett misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by T. Zeller,,27-34,,
8:38.0,T. Prince makes 2-pt shot from 16 ft (assist by E. Turner),2,29-34,,
8:24.0,,,29-36,2,N. Pekovic makes 2-pt shot from 2 ft (assist by L. Brown)
8:00.0,T. Prince misses 2-pt shot from 20 ft,,29-36,,
7:58.0,,,29-36,,Defensive rebound by Team
7:58.0,,,29-36,,Minnesota full timeout
7:58.0,,,29-36,,T. Young enters the game for A. Bennett
7:58.0,A. Bradley enters the game for M. Smart,,29-36,,
7:58.0,J. Sullinger enters the game for T. Zeller,,29-36,,
7:58.0,J. Young enters the game for G. Wallace,,29-36,,
7:36.0,,,29-38,2,L. Brown makes 2-pt shot from 6 ft
7:15.0,T. Prince makes 2-pt shot from 8 ft,2,31-38,,
7:01.0,,,31-38,,A. Wiggins misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by J. Young,,31-38,,
6:42.0,E. Turner misses 2-pt shot from 11 ft,,31-38,,
6:41.0,,,31-38,,Defensive rebound by C. Budinger
6:28.0,,,31-40,2,T. Young makes 2-pt shot at rim
6:06.0,J. Sullinger makes 2-pt shot from 18 ft,2,33-40,,
5:42.0,,,33-40,,T. Young misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by J. Young,,33-40,,
5:30.0,T. Prince makes 2-pt shot from 1 ft,2,35-40,,
5:30.0,,,35-40,,Minnesota full timeout
5:30.0,,,35-40,,Z. LaVine enters the game for L. Brown
5:30.0,,,35-40,,G. Dieng enters the game for N. Pekovic
5:30.0,B. Bass enters the game for T. Prince,,35-40,,
5:07.0,,,35-40,,A. Wiggins misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by Team,,35-40,,
4:53.0,A. Bradley makes 2-pt shot from 16 ft,2,37-40,,
4:34.0,,,37-42,2,C. Budinger makes 2-pt shot from 4 ft (assist by Z. LaVine)
4:18.0,Turnover by J. Sullinger (lost ball),,37-42,,
4:18.0,,,37-42,,K. Martin enters the game for C. Budinger
4:11.0,,,37-42,,Turnover by Z. LaVine (lost ball; steal by A. Bradley)
3:58.0,Shooting foul by Z. LaVine (drawn by A. Bradley),,37-42,,
3:58.0,A. Bradley makes free throw 1 of 2,1,38-42,,
3:58.0,A. Bradley makes free throw 2 of 2,1,39-42,,
3:47.0,,,39-42,,K. Martin misses 2-pt shot from 7 ft
3:45.0,,,39-42,,Offensive rebound by G. Dieng
3:38.0,,,39-42,,G. Dieng misses 2-pt shot from 1 ft
3:37.0,Defensive rebound by B. Bass,,39-42,,
3:30.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,41-42,,
3:08.0,,,41-44,2,A. Wiggins makes 2-pt shot at rim
2:51.0,A. Bradley misses 3-pt shot from 24 ft,,41-44,,
2:50.0,,,41-44,,Defensive rebound by G. Dieng
2:45.0,,,41-46,2,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins)
2:45.0,Boston full timeout,,41-46,,
2:45.0,J. Crowder enters the game for J. Young,,41-46,,
2:32.0,J. Sullinger misses 2-pt shot from 1 ft,,41-46,,
2:30.0,,,41-46,,Defensive rebound by G. Dieng
2:17.0,,,41-46,,A. Wiggins misses 2-pt shot from 7 ft
2:15.0,,,41-46,,Offensive rebound by Z. LaVine
2:15.0,,,41-48,2,Z. LaVine makes 2-pt shot at rim
1:58.0,J. Crowder misses 2-pt shot from 21 ft,,41-48,,
1:57.0,Offensive rebound by B. Bass,,41-48,,
1:51.0,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner),2,43-48,,
1:36.0,,,43-48,,K. Martin misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by B. Bass,,43-48,,
1:17.0,J. Sullinger makes 2-pt shot from 2 ft,2,45-48,,
0:55.0,,,45-48,,K. Martin misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by Team,,45-48,,
0:38.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,47-48,,
0:29.0,,,47-48,,Z. LaVine misses 2-pt shot from 16 ft
0:27.0,Defensive rebound by E. Turner,,47-48,,
0:01.0,E. Turner makes 2-pt shot from 14 ft,2,49-48,,
0:00.0,,,49-48,,G. Dieng misses 3-pt shot from 56 ft
0:00.0,,,49-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-48,,Turnover by N. Pekovic (bad pass; steal by J. Crowder)
11:29.0,Turnover by B. Bass (back court),,49-48,,
11:15.0,,,49-50,2,Z. LaVine makes 2-pt shot from 21 ft
10:49.0,B. Bass misses 2-pt shot from 17 ft,,49-50,,
10:48.0,,,49-50,,Defensive rebound by Z. LaVine
10:42.0,,,49-50,,Shooting foul by J. Sullinger (drawn by Z. LaVine)
10:42.0,,,49-51,1,Z. LaVine makes free throw 1 of 2
10:42.0,,,49-52,1,Z. LaVine makes free throw 2 of 2
10:32.0,Turnover by E. Turner (bad pass; steal by N. Pekovic),,49-52,,
10:23.0,,,49-54,2,Z. LaVine makes 2-pt shot at rim
10:21.0,Boston full timeout,,49-54,,
10:09.0,A. Bradley misses 2-pt shot from 20 ft,,49-54,,
10:07.0,Offensive rebound by J. Sullinger,,49-54,,
10:06.0,J. Sullinger misses 2-pt shot at rim (block by G. Dieng),,49-54,,
10:05.0,,,49-54,,Defensive rebound by G. Dieng
9:50.0,,,49-56,2,G. Dieng makes 2-pt shot at rim (assist by N. Pekovic)
9:32.0,B. Bass misses 2-pt shot from 1 ft,,49-56,,
9:31.0,Offensive rebound by J. Sullinger,,49-56,,
9:26.0,J. Crowder misses 3-pt shot from 25 ft,,49-56,,
9:24.0,,,49-56,,Defensive rebound by G. Dieng
9:15.0,,,49-56,,Shooting foul by J. Crowder (drawn by T. Young)
9:15.0,,,49-57,1,T. Young makes free throw 1 of 2
9:15.0,,,49-58,1,T. Young makes free throw 2 of 2
9:04.0,Shooting foul by N. Pekovic (drawn by J. Sullinger),,49-58,,
9:04.0,J. Sullinger makes free throw 1 of 2,1,50-58,,
9:04.0,J. Sullinger misses free throw 2 of 2,,50-58,,
9:03.0,Offensive rebound by Team,,50-58,,
8:57.0,E. Turner makes 2-pt shot from 19 ft (assist by J. Sullinger),2,52-58,,
8:42.0,,,52-58,,Z. LaVine misses 2-pt shot from 20 ft
