time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,G. Henderson misses 2-pt shot from 17 ft,,0-0,,
12:00.0,Jump ball: B. Biyombo vs. T. Mozgov (C. Zeller gains possession),,,,Jump ball: B. Biyombo vs. T. Mozgov (C. Zeller gains possession)
11:46.0,,,0-0,,Defensive rebound by K. Irving
11:29.0,,,0-2,2,K. Love makes 2-pt shot at rim (assist by L. James)
11:13.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by T. Mozgov
11:00.0,,,0-2,,L. James misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
10:58.0,,,0-2,,Offensive rebound by L. James
10:55.0,,,0-5,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
10:36.0,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller),2,2-5,,
10:23.0,Personal foul by C. Zeller (drawn by K. Love),,2-5,,
10:15.0,,,2-5,,K. Love misses 2-pt shot from 14 ft
10:12.0,Defensive rebound by M. Kidd-Gilchrist,,2-5,,
10:06.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,5-5,,
9:49.0,,,5-5,,Turnover by K. Love (bad pass)
9:25.0,G. Henderson misses 3-pt shot from 28 ft,,5-5,,
9:24.0,,,5-5,,Defensive rebound by T. Mozgov
9:03.0,,,5-8,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
8:51.0,K. Walker misses 3-pt shot from 26 ft,,5-8,,
8:50.0,,,5-8,,Defensive rebound by J. Smith
8:31.0,,,5-8,,L. James misses 3-pt shot from 24 ft
8:30.0,,,5-8,,Offensive rebound by K. Irving
8:15.0,,,5-10,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
7:53.0,Turnover by K. Walker (traveling),,5-10,,
7:35.0,,,5-10,,Turnover by L. James (bad pass; steal by K. Walker)
7:31.0,K. Walker misses 2-pt shot from 1 ft (block by K. Irving),,5-10,,
7:28.0,,,5-10,,Defensive rebound by J. Smith
7:24.0,,,5-10,,Shooting foul by C. Zeller (drawn by K. Love)
7:24.0,,,5-11,1,K. Love makes free throw 1 of 2
7:24.0,M. Williams enters the game for C. Zeller,,5-11,,
7:24.0,,,5-11,,T. Thompson enters the game for T. Mozgov
7:24.0,,,5-11,,K. Love misses free throw 2 of 2
7:23.0,Defensive rebound by M. Williams,,5-11,,
6:59.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker),2,7-11,,
6:48.0,,,7-13,2,K. Irving makes 2-pt shot from 1 ft
6:48.0,,,7-13,,Shooting foul by B. Biyombo (drawn by K. Irving)
6:48.0,,,7-14,1,K. Irving makes free throw 1 of 1
6:35.0,G. Henderson makes 2-pt shot at rim,2,9-14,,
6:13.0,,,9-16,2,K. Love makes 2-pt shot from 17 ft
5:53.0,G. Henderson misses 2-pt shot from 4 ft,,9-16,,
5:49.0,,,9-16,,Defensive rebound by T. Thompson
5:40.0,,,9-16,,K. Love misses 2-pt shot from 7 ft
5:36.0,Defensive rebound by M. Kidd-Gilchrist,,9-16,,
5:22.0,Turnover by G. Henderson (traveling),,9-16,,
5:22.0,,,9-16,,Cleveland full timeout
5:22.0,L. Stephenson enters the game for G. Henderson,,9-16,,
5:22.0,,,9-16,,S. Marion enters the game for L. James
5:07.0,,,9-19,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
4:48.0,M. Williams misses 3-pt shot from 25 ft,,9-19,,
4:47.0,,,9-19,,Defensive rebound by S. Marion
4:39.0,,,9-22,3,K. Irving makes 3-pt shot from 25 ft
4:26.0,M. Williams misses 2-pt shot from 15 ft,,9-22,,
4:25.0,,,9-22,,Defensive rebound by T. Thompson
4:14.0,,,9-22,,K. Irving misses 2-pt shot from 2 ft
4:13.0,,,9-22,,Offensive rebound by T. Thompson
4:13.0,,,9-22,,T. Thompson misses 2-pt shot at rim
4:12.0,,,9-22,,Offensive rebound by T. Thompson
4:12.0,,,9-24,2,T. Thompson makes 2-pt shot at rim
4:07.0,Charlotte full timeout,,9-24,,
4:07.0,A. Jefferson enters the game for M. Kidd-Gilchrist,,9-24,,
4:07.0,G. Neal enters the game for B. Biyombo,,9-24,,
3:58.0,A. Jefferson misses 2-pt shot from 5 ft,,9-24,,
3:57.0,,,9-24,,Defensive rebound by T. Thompson
3:42.0,,,9-24,,S. Marion misses 2-pt shot from 6 ft
3:40.0,,,9-24,,Offensive rebound by T. Thompson
3:40.0,,,9-26,2,T. Thompson makes 2-pt shot at rim
3:21.0,L. Stephenson misses 2-pt shot from 14 ft,,9-26,,
3:20.0,,,9-26,,Defensive rebound by K. Love
3:12.0,Personal foul by G. Neal (drawn by T. Thompson),,9-26,,
3:12.0,,,9-26,,I. Shumpert enters the game for K. Love
3:12.0,,,9-26,,T. Mozgov enters the game for J. Smith
3:12.0,,,9-26,,L. James enters the game for K. Irving
3:06.0,,,9-26,,T. Mozgov misses 2-pt shot from 14 ft
3:05.0,Defensive rebound by A. Jefferson,,9-26,,
2:42.0,K. Walker misses 2-pt shot from 12 ft,,9-26,,
2:38.0,,,9-26,,Defensive rebound by T. Mozgov
2:33.0,,,9-28,2,L. James makes 2-pt shot at rim
2:19.0,K. Walker makes 2-pt shot from 19 ft (assist by L. Stephenson),2,11-28,,
2:00.0,,,11-28,,T. Thompson misses 2-pt shot from 8 ft
1:59.0,Defensive rebound by A. Jefferson,,11-28,,
1:54.0,K. Walker misses 2-pt shot from 5 ft,,11-28,,
1:51.0,,,11-28,,Defensive rebound by T. Thompson
1:44.0,,,11-28,,Shooting foul by L. Stephenson (drawn by L. James)
1:44.0,,,11-29,1,L. James makes free throw 1 of 3
1:44.0,,,11-30,1,L. James makes free throw 2 of 3
1:44.0,,,11-31,1,L. James makes free throw 3 of 3
1:24.0,A. Jefferson makes 2-pt shot from 12 ft (assist by K. Walker),2,13-31,,
1:04.0,,,13-31,,Turnover by T. Thompson (3 sec)
0:50.0,K. Walker misses 3-pt shot from 24 ft,,13-31,,
0:49.0,,,13-31,,Defensive rebound by S. Marion
0:35.0,,,13-31,,S. Marion misses 2-pt shot from 2 ft (block by M. Williams)
0:33.0,Defensive rebound by L. Stephenson,,13-31,,
0:18.0,M. Williams misses 3-pt shot from 26 ft,,13-31,,
0:16.0,,,13-31,,Defensive rebound by T. Mozgov
0:01.0,,,13-33,2,L. James makes 2-pt shot from 5 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,13-36,3,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova)
11:29.0,Turnover by L. Stephenson (bad pass),,13-36,,
11:19.0,,,13-38,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
11:12.0,Charlotte full timeout,,13-38,,
11:02.0,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson),2,15-38,,
10:54.0,Personal foul by L. Stephenson (drawn by L. James),,15-38,,
10:48.0,,,15-40,2,M. Dellavedova makes 2-pt shot from 10 ft
10:38.0,L. Stephenson makes 2-pt shot from 7 ft (assist by G. Neal),2,17-40,,
10:38.0,Shooting foul by T. Mozgov (drawn by L. Stephenson),,17-40,,
10:38.0,,,17-40,,K. Irving enters the game for I. Shumpert
10:38.0,L. Stephenson misses free throw 1 of 1,,17-40,,
10:37.0,,,17-40,,Defensive rebound by T. Mozgov
10:19.0,,,17-42,2,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova)
9:59.0,G. Neal makes 2-pt shot from 7 ft (assist by A. Jefferson),2,19-42,,
9:49.0,,,19-44,2,K. Irving makes 2-pt shot from 5 ft
9:32.0,A. Jefferson makes 2-pt shot at rim,2,21-44,,
9:11.0,,,21-44,,T. Thompson misses 2-pt shot at rim
9:11.0,,,21-44,,Offensive rebound by T. Mozgov
9:11.0,,,21-44,,Shooting foul by M. Williams (drawn by T. Mozgov)
9:11.0,,,21-45,1,T. Mozgov makes free throw 1 of 2
9:11.0,,,21-45,,K. Love enters the game for T. Thompson
9:11.0,,,21-45,,T. Mozgov misses free throw 2 of 2
9:10.0,Defensive rebound by A. Jefferson,,21-45,,
8:58.0,A. Jefferson makes 2-pt shot from 15 ft (assist by L. Stephenson),2,23-45,,
8:42.0,,,23-45,,K. Irving misses 2-pt shot from 1 ft
8:40.0,,,23-45,,Offensive rebound by K. Love
8:28.0,,,23-47,2,L. James makes 2-pt shot from 5 ft
8:13.0,G. Neal misses 2-pt shot from 16 ft,,23-47,,
8:12.0,,,23-47,,Defensive rebound by M. Dellavedova
8:06.0,,,23-47,,K. Irving misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by B. Roberts,,23-47,,
8:00.0,,,23-47,,Personal foul by M. Dellavedova (drawn by B. Roberts)
8:00.0,,,23-47,,J. Smith enters the game for M. Dellavedova
7:55.0,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson),2,25-47,,
7:51.0,,,25-49,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:51.0,,,25-49,,Shooting foul by B. Roberts (drawn by L. James)
7:51.0,,,25-49,,L. James misses free throw 1 of 1
7:50.0,Defensive rebound by A. Jefferson,,25-49,,
7:37.0,Turnover by G. Neal (lost ball; steal by L. James),,25-49,,
7:36.0,Personal foul by L. Stephenson (drawn by L. James),,25-49,,
7:36.0,G. Henderson enters the game for L. Stephenson,,25-49,,
7:22.0,,,25-51,2,L. James makes 2-pt shot at rim (assist by K. Irving)
7:03.0,B. Roberts misses 3-pt shot from 25 ft,,25-51,,
7:01.0,,,25-51,,Defensive rebound by K. Irving
6:56.0,,,25-51,,Shooting foul by M. Williams (drawn by L. James)
6:56.0,,,25-52,1,L. James makes free throw 1 of 2
6:56.0,C. Zeller enters the game for M. Williams,,25-52,,
6:56.0,,,25-53,1,L. James makes free throw 2 of 2
6:48.0,Turnover by B. Roberts (bad pass; steal by L. James),,25-53,,
6:46.0,,,25-55,2,L. James makes 2-pt shot at rim
6:29.0,A. Jefferson makes 2-pt shot from 14 ft (assist by B. Roberts),2,27-55,,
6:22.0,,,27-58,3,K. Irving makes 3-pt shot from 26 ft
6:11.0,Turnover by G. Henderson (bad pass; steal by K. Irving),,27-58,,
6:07.0,,,27-60,2,L. James makes 2-pt shot at rim (assist by J. Smith)
6:07.0,Charlotte full timeout,,27-60,,
6:07.0,M. Kidd-Gilchrist enters the game for G. Neal,,27-60,,
6:07.0,K. Walker enters the game for B. Roberts,,27-60,,
5:54.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by L. James),,27-60,,
5:48.0,,,27-62,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
5:29.0,K. Walker misses 2-pt shot from 12 ft,,27-62,,
5:27.0,Offensive rebound by A. Jefferson,,27-62,,
5:25.0,A. Jefferson misses 2-pt shot from 12 ft,,27-62,,
5:21.0,Offensive rebound by M. Kidd-Gilchrist,,27-62,,
5:21.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,27-62,,
5:20.0,Offensive rebound by C. Zeller,,27-62,,
5:20.0,C. Zeller misses 2-pt shot at rim (block by L. James),,27-62,,
5:17.0,Offensive rebound by M. Kidd-Gilchrist,,27-62,,
5:16.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Mozgov),,27-62,,
5:15.0,,,27-62,,Defensive rebound by K. Irving
5:10.0,,,27-65,3,K. Irving makes 3-pt shot from 25 ft
4:52.0,C. Zeller makes 2-pt shot from 19 ft (assist by G. Henderson),2,29-65,,
4:34.0,,,29-65,,Turnover by J. Smith (bad pass; steal by M. Kidd-Gilchrist)
4:29.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,29-65,,
4:29.0,Offensive rebound by C. Zeller,,29-65,,
4:29.0,C. Zeller misses 2-pt shot at rim,,29-65,,
4:28.0,,,29-65,,Defensive rebound by L. James
4:22.0,,,29-67,2,T. Mozgov makes 2-pt shot at rim (assist by K. Love)
4:22.0,,,29-67,,Shooting foul by K. Walker (drawn by T. Mozgov)
4:22.0,Technical foul by K. Walker (drawn by T. Mozgov),,29-67,,
4:22.0,B. Biyombo enters the game for A. Jefferson,,29-67,,
4:22.0,,,29-67,,S. Marion enters the game for L. James
4:22.0,,,29-67,,K. Irving misses technical free throw
4:22.0,,,29-67,,Offensive rebound by Team
4:22.0,,,29-68,1,T. Mozgov makes free throw 1 of 1
4:12.0,Shooting foul by K. Love (drawn by C. Zeller),,29-68,,
4:12.0,C. Zeller makes free throw 1 of 2,1,30-68,,
4:12.0,,,30-68,,T. Thompson enters the game for T. Mozgov
4:12.0,C. Zeller misses free throw 2 of 2,,30-68,,
4:11.0,,,30-68,,Defensive rebound by T. Thompson
3:59.0,,,30-68,,K. Irving misses 2-pt shot from 16 ft
3:58.0,Defensive rebound by C. Zeller,,30-68,,
3:45.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,32-68,,
3:31.0,,,32-68,,J. Smith misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by C. Zeller,,32-68,,
3:20.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,34-68,,
2:59.0,,,34-68,,J. Smith misses 2-pt shot from 19 ft
2:58.0,Defensive rebound by M. Kidd-Gilchrist,,34-68,,
2:55.0,Shooting foul by K. Irving (drawn by M. Kidd-Gilchrist),,34-68,,
2:55.0,Official timeout,,34-68,,
2:55.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,35-68,,
2:55.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,36-68,,
2:35.0,,,36-68,,J. Smith misses 2-pt shot from 15 ft
2:34.0,,,36-68,,Offensive rebound by S. Marion
2:22.0,,,36-70,2,S. Marion makes 2-pt shot from 8 ft (assist by J. Smith)
2:00.0,Shooting foul by S. Marion (drawn by M. Kidd-Gilchrist),,36-70,,
2:00.0,M. Kidd-Gilchrist misses free throw 1 of 2,,36-70,,
2:00.0,Offensive rebound by Team,,36-70,,
2:00.0,M. Kidd-Gilchrist misses free throw 2 of 2,,36-70,,
1:59.0,,,36-70,,Defensive rebound by T. Thompson
1:36.0,,,36-72,2,S. Marion makes 2-pt shot from 8 ft (assist by J. Smith)
1:13.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker),2,38-72,,
1:06.0,,,38-72,,Offensive foul by T. Thompson
1:06.0,,,38-72,,Turnover by T. Thompson (offensive foul)
0:47.0,,,38-72,,Personal foul by K. Irving (drawn by G. Henderson)
0:47.0,G. Henderson makes free throw 1 of 2,1,39-72,,
0:47.0,,,39-72,,M. Dellavedova enters the game for K. Irving
0:47.0,G. Henderson makes free throw 2 of 2,1,40-72,,
0:36.0,Personal foul by B. Biyombo (drawn by T. Thompson),,40-72,,
0:36.0,,,40-72,,T. Thompson misses free throw 1 of 2
0:36.0,,,40-72,,Offensive rebound by Team
0:36.0,,,40-73,1,T. Thompson makes free throw 2 of 2
0:28.0,K. Walker misses 3-pt shot from 25 ft,,40-73,,
0:27.0,,,40-73,,Defensive rebound by Team
