time,Dallas,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: T. Chandler vs. N. Vucevic (E. Payton gains possession)
11:43.0,,,0-2,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
11:19.0,T. Chandler misses 2-pt shot from 16 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by N. Vucevic
11:05.0,,,0-2,,A. Gordon misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by T. Chandler,,0-2,,
10:46.0,,,0-2,,Personal foul by T. Harris (drawn by R. Jefferson)
10:39.0,R. Jefferson makes 3-pt shot from 23 ft (assist by M. Ellis),3,3-2,,
10:32.0,,,3-2,,Turnover by E. Payton (lost ball; steal by D. Nowitzki)
10:22.0,Dallas full timeout,,3-2,,
10:22.0,D. Harris enters the game for R. Rondo,,3-2,,
10:08.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,5-2,,
9:57.0,,,5-4,2,E. Fournier makes 2-pt shot at rim (assist by N. Vucevic)
9:48.0,M. Ellis misses 2-pt shot from 5 ft,,5-4,,
9:46.0,,,5-4,,Defensive rebound by N. Vucevic
9:43.0,,,5-4,,Shooting foul by D. Nowitzki (drawn by T. Harris)
9:43.0,,,5-5,1,T. Harris makes free throw 1 of 2
9:43.0,,,5-5,,T. Harris misses free throw 2 of 2
9:42.0,Defensive rebound by D. Nowitzki,,5-5,,
9:25.0,D. Nowitzki misses 2-pt shot from 17 ft,,5-5,,
9:24.0,,,5-5,,Defensive rebound by E. Fournier
9:21.0,,,5-5,,Offensive charge foul by T. Harris
9:21.0,,,5-5,,Turnover by T. Harris (offensive foul)
9:21.0,,,5-5,,C. Frye enters the game for T. Harris
9:21.0,G. Smith enters the game for T. Chandler,,5-5,,
9:02.0,G. Smith makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,7-5,,
8:45.0,,,7-5,,C. Frye misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by G. Smith,,7-5,,
8:29.0,M. Ellis makes 2-pt shot from 16 ft,2,9-5,,
8:09.0,,,9-5,,N. Vucevic misses 2-pt shot at rim (block by R. Jefferson)
8:06.0,Defensive rebound by G. Smith,,9-5,,
7:58.0,Shooting foul by A. Gordon (drawn by R. Jefferson),,9-5,,
7:58.0,R. Jefferson misses free throw 1 of 2,,9-5,,
7:58.0,Offensive rebound by Team,,9-5,,
7:58.0,R. Jefferson makes free throw 2 of 2,1,10-5,,
7:46.0,,,10-5,,Shooting foul by R. Jefferson (drawn by A. Gordon)
7:46.0,,,10-6,1,A. Gordon makes free throw 1 of 2
7:46.0,,,10-7,1,A. Gordon makes free throw 2 of 2
7:30.0,M. Ellis misses 2-pt shot from 21 ft,,10-7,,
7:29.0,Offensive rebound by Team,,10-7,,
7:29.0,,,10-7,,Loose ball foul by C. Frye (drawn by D. Nowitzki)
7:24.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,13-7,,
7:08.0,,,13-7,,E. Payton misses 2-pt shot from 8 ft
7:06.0,,,13-7,,Offensive rebound by E. Payton
7:06.0,,,13-7,,E. Payton misses 2-pt shot at rim
7:04.0,,,13-7,,Offensive rebound by N. Vucevic
7:04.0,,,13-7,,N. Vucevic misses 2-pt shot from 2 ft
7:02.0,,,13-7,,Offensive rebound by N. Vucevic
7:02.0,,,13-9,2,N. Vucevic makes 2-pt shot from 1 ft
6:47.0,D. Harris makes 2-pt shot from 8 ft,2,15-9,,
6:38.0,,,15-9,,E. Fournier misses 2-pt shot from 15 ft
6:36.0,Defensive rebound by G. Smith,,15-9,,
6:28.0,G. Smith makes 2-pt shot from 2 ft (assist by M. Ellis),2,17-9,,
6:21.0,,,17-9,,A. Gordon misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by D. Nowitzki,,17-9,,
6:10.0,M. Ellis makes 2-pt shot from 2 ft,2,19-9,,
6:04.0,,,19-9,,Orlando full timeout
6:04.0,,,19-9,,M. Harkless enters the game for A. Gordon
6:04.0,T. Chandler enters the game for D. Nowitzki,,19-9,,
6:04.0,C. Villanueva enters the game for G. Smith,,19-9,,
5:49.0,Personal block foul by M. Ellis (drawn by E. Fournier),,19-9,,
5:43.0,,,19-9,,E. Payton misses 2-pt shot from 2 ft
5:41.0,,,19-9,,Offensive rebound by E. Payton
5:35.0,,,19-9,,C. Frye misses 2-pt shot from 7 ft
5:31.0,,,19-9,,Offensive rebound by E. Payton
5:31.0,,,19-9,,E. Payton misses 2-pt shot from 1 ft
5:29.0,Defensive rebound by T. Chandler,,19-9,,
5:25.0,D. Harris makes 3-pt shot from 25 ft (assist by T. Chandler),3,22-9,,
5:04.0,,,22-9,,C. Frye misses 2-pt shot from 21 ft
5:03.0,Defensive rebound by C. Villanueva,,22-9,,
4:55.0,D. Harris misses 3-pt shot from 27 ft,,22-9,,
4:53.0,,,22-9,,Defensive rebound by N. Vucevic
4:43.0,,,22-11,2,E. Payton makes 2-pt shot from 1 ft
4:27.0,T. Chandler makes 2-pt shot from 16 ft (assist by R. Jefferson),2,24-11,,
4:12.0,,,24-11,,Turnover by C. Frye (bad pass; steal by R. Jefferson)
4:12.0,,,24-11,,Personal take foul by E. Payton (drawn by R. Jefferson)
4:12.0,J. Barea enters the game for D. Harris,,24-11,,
4:12.0,,,24-11,,W. Green enters the game for E. Payton
4:12.0,A. Aminu enters the game for R. Jefferson,,24-11,,
3:49.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. Ellis),2,26-11,,
3:31.0,,,26-13,2,E. Fournier makes 2-pt shot from 5 ft (assist by N. Vucevic)
3:12.0,A. Aminu misses 3-pt shot from 25 ft,,26-13,,
3:10.0,,,26-13,,Defensive rebound by C. Frye
2:54.0,,,26-13,,E. Fournier misses 2-pt shot from 8 ft (block by M. Ellis)
2:54.0,,,26-13,,Offensive rebound by Team
2:51.0,,,26-13,,C. Frye misses 2-pt shot from 8 ft
2:50.0,,,26-13,,Offensive rebound by C. Frye
2:47.0,,,26-15,2,C. Frye makes 2-pt shot from 7 ft
2:33.0,C. Villanueva misses 3-pt shot from 23 ft,,26-15,,
2:32.0,,,26-15,,Defensive rebound by M. Harkless
2:20.0,,,26-17,2,C. Frye makes 2-pt shot from 21 ft (assist by M. Harkless)
2:19.0,Dallas full timeout,,26-17,,
2:19.0,,,26-17,,D. Dedmon enters the game for N. Vucevic
2:19.0,D. Harris enters the game for M. Ellis,,26-17,,
2:06.0,C. Villanueva misses 2-pt shot from 20 ft,,26-17,,
2:04.0,,,26-17,,Defensive rebound by W. Green
1:58.0,,,26-17,,C. Frye misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by A. Aminu,,26-17,,
1:47.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,28-17,,
1:33.0,,,28-17,,C. Frye misses 3-pt shot from 25 ft
1:32.0,,,28-17,,Offensive rebound by W. Green
1:28.0,,,28-17,,W. Green misses 2-pt shot from 17 ft
1:27.0,Defensive rebound by T. Chandler,,28-17,,
1:21.0,,,28-17,,Personal foul by D. Dedmon (drawn by J. Barea)
1:21.0,J. Barea makes free throw 1 of 2,1,29-17,,
1:21.0,G. Smith enters the game for T. Chandler,,29-17,,
1:21.0,,,29-17,,B. Gordon enters the game for E. Fournier
1:21.0,J. Barea misses free throw 2 of 2,,29-17,,
1:20.0,,,29-17,,Defensive rebound by B. Gordon
1:11.0,,,29-17,,Turnover by B. Gordon (offensive foul)
1:11.0,,,29-17,,Offensive foul by B. Gordon
0:55.0,A. Aminu makes 2-pt shot from 8 ft,2,31-17,,
0:55.0,Shooting foul by M. Harkless (drawn by A. Aminu),,31-17,,
0:55.0,A. Aminu makes free throw 1 of 1,1,32-17,,
0:35.0,,,32-17,,B. Gordon misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by A. Aminu,,32-17,,
0:12.0,J. Barea makes 2-pt shot from 8 ft,2,34-17,,
0:02.0,,,34-17,,M. Harkless misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by D. Harris,,34-17,,
