time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Jones (D. Exum gains possession),,,,Jump ball: R. Gobert vs. T. Jones (D. Exum gains possession)
11:33.0,,,0-2,2,D. Exum makes 2-pt shot from 21 ft
11:18.0,Turnover by J. Harden (bad pass; steal by R. Hood),,0-2,,
11:12.0,,,0-4,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
11:05.0,T. Ariza misses 2-pt shot from 2 ft (block by D. Favors),,0-4,,
11:03.0,Offensive rebound by T. Ariza,,0-4,,
10:59.0,D. Motiejunas misses 3-pt shot from 25 ft,,0-4,,
10:57.0,,,0-4,,Defensive rebound by R. Gobert
10:43.0,,,0-7,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors)
10:25.0,D. Motiejunas misses 2-pt shot from 5 ft,,0-7,,
10:23.0,Offensive rebound by T. Jones,,0-7,,
10:12.0,J. Harden misses 2-pt shot from 3 ft (block by D. Favors),,0-7,,
10:12.0,Offensive rebound by Team,,0-7,,
10:07.0,T. Jones misses 2-pt shot from 7 ft,,0-7,,
10:06.0,,,0-7,,Defensive rebound by R. Gobert
9:53.0,,,0-7,,D. Favors misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by T. Jones,,0-7,,
9:32.0,T. Jones makes 2-pt shot from 4 ft,2,2-7,,
9:06.0,,,2-9,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
8:45.0,P. Beverley makes 2-pt shot from 5 ft,2,4-9,,
8:38.0,,,4-9,,Turnover by D. Exum (step out of bounds)
8:26.0,T. Ariza misses 3-pt shot from 24 ft,,4-9,,
8:24.0,,,4-9,,Defensive rebound by Team
8:24.0,Loose ball foul by D. Motiejunas (drawn by R. Gobert),,4-9,,
8:10.0,,,4-9,,G. Hayward misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by T. Jones,,4-9,,
8:02.0,T. Jones misses 2-pt shot from 6 ft (block by R. Gobert),,4-9,,
8:01.0,,,4-9,,Defensive rebound by G. Hayward
7:52.0,,,4-9,,R. Hood misses 3-pt shot from 23 ft
7:50.0,,,4-9,,Offensive rebound by D. Favors
7:44.0,,,4-11,2,G. Hayward makes 2-pt shot at rim
7:43.0,Houston full timeout,,4-11,,
7:31.0,D. Motiejunas makes 2-pt shot from 12 ft (assist by P. Beverley),2,6-11,,
7:08.0,,,6-13,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
7:01.0,P. Beverley misses 3-pt shot from 24 ft,,6-13,,
6:59.0,Offensive rebound by J. Harden,,6-13,,
6:48.0,D. Motiejunas makes 3-pt shot from 24 ft (assist by J. Harden),3,9-13,,
6:28.0,,,9-13,,G. Hayward misses 2-pt shot from 6 ft
6:26.0,,,9-13,,Offensive rebound by R. Gobert
6:26.0,,,9-15,2,R. Gobert makes 2-pt shot at rim
6:07.0,D. Motiejunas misses 3-pt shot from 23 ft,,9-15,,
6:06.0,,,9-15,,Defensive rebound by R. Hood
5:55.0,,,9-15,,G. Hayward misses 2-pt shot from 18 ft
5:54.0,,,9-15,,Offensive rebound by D. Favors
5:51.0,,,9-15,,Shooting foul by P. Beverley (drawn by G. Hayward)
5:51.0,,,9-16,1,G. Hayward makes free throw 1 of 2
5:51.0,,,9-16,,E. Millsap enters the game for R. Hood
5:51.0,,,9-17,1,G. Hayward makes free throw 2 of 2
5:39.0,Shooting foul by E. Millsap (drawn by J. Harden),,9-17,,
5:39.0,J. Harden makes free throw 1 of 2,1,10-17,,
5:39.0,J. Harden misses free throw 2 of 2,,10-17,,
5:38.0,,,10-17,,Defensive rebound by D. Favors
5:24.0,,,10-17,,Turnover by R. Gobert (lost ball; steal by T. Jones)
5:20.0,,,10-17,,Personal foul by G. Hayward (drawn by D. Motiejunas)
5:20.0,Houston full timeout,,10-17,,
5:09.0,J. Harden misses 3-pt shot from 24 ft,,10-17,,
5:05.0,Offensive rebound by P. Beverley,,10-17,,
5:01.0,P. Beverley misses 3-pt shot from 23 ft,,10-17,,
4:58.0,,,10-17,,Defensive rebound by E. Millsap
4:41.0,,,10-17,,D. Exum misses 3-pt shot from 23 ft
4:39.0,Defensive rebound by T. Jones,,10-17,,
4:34.0,Turnover by J. Harden (bad pass; steal by G. Hayward),,10-17,,
4:09.0,,,10-17,,D. Favors misses 2-pt shot from 2 ft
4:08.0,,,10-17,,Offensive rebound by R. Gobert
4:08.0,,,10-19,2,R. Gobert makes 2-pt shot from 1 ft
3:52.0,J. Harden misses 3-pt shot from 23 ft,,10-19,,
3:50.0,,,10-19,,Defensive rebound by R. Gobert
3:46.0,,,10-22,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Exum)
3:30.0,J. Harden makes 2-pt shot from 11 ft,2,12-22,,
3:12.0,,,12-22,,D. Exum misses 2-pt shot from 2 ft
3:11.0,,,12-22,,Offensive rebound by R. Gobert
3:11.0,,,12-22,,R. Gobert misses 2-pt shot from 2 ft
3:08.0,,,12-22,,Offensive rebound by R. Gobert
3:08.0,,,12-24,2,R. Gobert makes 2-pt shot from 1 ft
2:53.0,T. Jones makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,15-24,,
2:44.0,,,15-24,,Utah full timeout
2:44.0,J. Terry enters the game for T. Ariza,,15-24,,
2:44.0,J. Smith enters the game for D. Motiejunas,,15-24,,
2:44.0,C. Brewer enters the game for T. Jones,,15-24,,
2:44.0,J. Dorsey enters the game for P. Beverley,,15-24,,
2:44.0,,,15-24,,T. Burke enters the game for D. Exum
2:44.0,,,15-24,,T. Booker enters the game for D. Favors
2:32.0,,,15-24,,G. Hayward misses 2-pt shot from 6 ft
2:31.0,Defensive rebound by J. Harden,,15-24,,
2:17.0,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden),2,17-24,,
2:06.0,,,17-24,,Turnover by G. Hayward (lost ball; steal by J. Harden)
1:59.0,C. Brewer makes 2-pt shot from 3 ft (assist by J. Harden),2,19-24,,
1:46.0,,,19-24,,E. Millsap misses 2-pt shot from 15 ft
1:44.0,,,19-24,,Offensive rebound by R. Gobert
1:36.0,Personal foul by J. Terry (drawn by E. Millsap),,19-24,,
1:36.0,,,19-24,,J. Ingles enters the game for G. Hayward
1:30.0,,,19-24,,T. Burke misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by J. Smith,,19-24,,
1:19.0,J. Harden makes 2-pt shot from 3 ft,2,21-24,,
0:55.0,,,21-24,,T. Burke misses 2-pt shot from 16 ft
0:52.0,,,21-24,,Offensive rebound by R. Gobert
0:52.0,,,21-24,,R. Gobert misses 2-pt shot from 1 ft
0:51.0,,,21-24,,Offensive rebound by T. Booker
0:51.0,,,21-26,2,T. Booker makes 2-pt shot from 2 ft
0:51.0,,,21-26,,Shooting foul by J. Dorsey (drawn by T. Booker)
0:51.0,,,21-26,,T. Booker misses free throw 1 of 1
0:48.0,Defensive rebound by J. Dorsey,,21-26,,
0:36.0,J. Smith misses 3-pt shot from 22 ft,,21-26,,
0:35.0,,,21-26,,Defensive rebound by R. Gobert
0:22.0,,,21-26,,Shooting foul by J. Dorsey (drawn by R. Gobert)
0:22.0,,,21-27,1,R. Gobert makes free throw 1 of 2
0:22.0,,,21-28,1,R. Gobert makes free throw 2 of 2
0:07.0,,,21-28,,Personal foul by E. Millsap (drawn by J. Harden)
0:01.0,Shooting foul by R. Gobert (drawn by J. Harden),,21-28,,
0:01.0,J. Harden makes free throw 1 of 2,1,22-28,,
0:01.0,J. Harden makes free throw 2 of 2,1,23-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Brewer makes 2-pt shot from 9 ft (assist by J. Terry),2,25-28,,
11:22.0,,,25-31,3,T. Booker makes 3-pt shot from 23 ft (assist by D. Favors)
11:05.0,Shooting foul by D. Favors (drawn by T. Ariza),,25-31,,
11:05.0,T. Ariza makes free throw 1 of 2,1,26-31,,
11:05.0,T. Ariza misses free throw 2 of 2,,26-31,,
11:03.0,,,26-31,,Defensive rebound by D. Favors
10:51.0,,,26-33,2,D. Favors makes 2-pt shot from 2 ft (assist by T. Booker)
10:51.0,,,26-33,,Shooting foul by T. Ariza (drawn by D. Favors)
10:51.0,,,26-33,,D. Favors misses free throw 1 of 1
10:49.0,,,26-33,,Offensive rebound by T. Booker
10:25.0,,,26-33,,J. Ingles misses 3-pt shot from 26 ft
10:25.0,,,26-33,,Offensive rebound by Team
10:25.0,,,26-33,,Turnover by Team (shot clock)
10:11.0,J. Smith misses 3-pt shot from 24 ft,,26-33,,
10:09.0,,,26-33,,Defensive rebound by J. Ingles
9:58.0,,,26-33,,R. Hood misses 2-pt shot from 3 ft (block by J. Smith)
9:55.0,Defensive rebound by J. Terry,,26-33,,
9:52.0,C. Brewer makes 2-pt shot at rim (assist by J. Terry),2,28-33,,
9:36.0,,,28-35,2,D. Favors makes 2-pt shot from 16 ft (assist by T. Burke)
9:24.0,Turnover by C. Brewer (bad pass; steal by T. Booker),,28-35,,
9:17.0,,,28-35,,T. Burke misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by J. Dorsey,,28-35,,
9:03.0,J. Terry misses 3-pt shot from 24 ft,,28-35,,
9:02.0,,,28-35,,Defensive rebound by D. Favors
8:46.0,,,28-35,,J. Ingles misses 2-pt shot from 20 ft
8:44.0,,,28-35,,Offensive rebound by J. Ingles
8:41.0,,,28-35,,J. Ingles misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by J. Dorsey,,28-35,,
8:33.0,Shooting foul by D. Favors (drawn by C. Brewer),,28-35,,
8:33.0,Official timeout,,28-35,,
8:33.0,D. Motiejunas enters the game for J. Dorsey,,28-35,,
8:33.0,,,28-35,,R. Gobert enters the game for D. Favors
8:33.0,C. Brewer makes free throw 1 of 2,1,29-35,,
8:33.0,C. Brewer misses free throw 2 of 2,,29-35,,
8:31.0,Offensive rebound by D. Motiejunas,,29-35,,
8:19.0,D. Motiejunas makes 2-pt shot from 8 ft (assist by T. Ariza),2,31-35,,
7:59.0,,,31-35,,Shooting foul by T. Ariza (drawn by R. Hood)
7:59.0,,,31-36,1,R. Hood makes free throw 1 of 2
7:59.0,,,31-36,,D. Exum enters the game for J. Ingles
7:59.0,,,31-36,,R. Hood misses free throw 2 of 2
7:57.0,Defensive rebound by J. Smith,,31-36,,
7:41.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Terry),3,34-36,,
7:18.0,,,34-36,,T. Burke misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by C. Brewer,,34-36,,
7:06.0,C. Brewer misses 3-pt shot from 22 ft,,34-36,,
7:05.0,,,34-36,,Defensive rebound by T. Booker
6:40.0,,,34-36,,T. Burke misses 2-pt shot from 2 ft
6:39.0,,,34-36,,Offensive rebound by R. Gobert
6:39.0,,,34-36,,R. Gobert misses 2-pt shot from 2 ft
6:35.0,,,34-36,,Offensive rebound by R. Gobert
6:35.0,,,34-38,2,R. Gobert makes 2-pt shot from 2 ft
6:26.0,Shooting foul by R. Gobert (drawn by D. Motiejunas),,34-38,,
6:26.0,D. Motiejunas misses free throw 1 of 2,,34-38,,
6:26.0,Offensive rebound by Team,,34-38,,
6:26.0,J. Harden enters the game for J. Smith,,34-38,,
6:26.0,P. Beverley enters the game for J. Terry,,34-38,,
6:26.0,T. Jones enters the game for T. Ariza,,34-38,,
6:26.0,,,34-38,,J. Evans enters the game for T. Booker
6:26.0,,,34-38,,G. Hayward enters the game for R. Hood
6:26.0,D. Motiejunas misses free throw 2 of 2,,34-38,,
6:25.0,,,34-38,,Defensive rebound by R. Gobert
6:09.0,,,34-38,,T. Burke misses 2-pt shot from 21 ft
6:07.0,Defensive rebound by T. Jones,,34-38,,
5:55.0,D. Motiejunas misses 2-pt shot from 10 ft,,34-38,,
5:55.0,Offensive rebound by Team,,34-38,,
5:55.0,,,34-38,,Utah full timeout
5:55.0,,,34-38,,J. Ingles enters the game for J. Evans
5:53.0,Turnover by C. Brewer (bad pass; steal by J. Ingles),,34-38,,
5:48.0,,,34-38,,G. Hayward misses 2-pt shot from 1 ft
5:47.0,,,34-38,,Offensive rebound by R. Gobert
5:47.0,Personal foul by P. Beverley (drawn by R. Gobert),,34-38,,
5:36.0,,,34-40,2,J. Ingles makes 2-pt shot from 20 ft
5:11.0,D. Motiejunas misses 3-pt shot from 24 ft,,34-40,,
5:10.0,,,34-40,,Defensive rebound by J. Ingles
4:52.0,,,34-40,,Turnover by G. Hayward (bad pass; steal by J. Harden)
4:43.0,D. Motiejunas misses 2-pt shot from 1 ft (block by R. Gobert),,34-40,,
4:42.0,Offensive rebound by T. Jones,,34-40,,
4:39.0,T. Jones misses 2-pt shot from 2 ft,,34-40,,
4:38.0,Offensive rebound by D. Motiejunas,,34-40,,
4:28.0,,,34-40,,Shooting block foul by D. Exum (drawn by J. Harden)
4:28.0,,,34-40,,Technical foul by Team
4:28.0,J. Harden misses technical free throw,,34-40,,
4:28.0,Offensive rebound by Team,,34-40,,
4:28.0,,,34-40,,E. Millsap enters the game for T. Burke
4:28.0,J. Harden makes free throw 1 of 2,1,35-40,,
4:28.0,J. Harden makes free throw 2 of 2,1,36-40,,
4:20.0,Personal foul by C. Brewer (drawn by G. Hayward),,36-40,,
4:11.0,,,36-40,,E. Millsap misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by T. Jones,,36-40,,
3:51.0,T. Jones makes 2-pt shot from 6 ft,2,38-40,,
3:34.0,,,38-40,,J. Ingles misses 2-pt shot from 22 ft
3:33.0,,,38-40,,Offensive rebound by R. Gobert
3:29.0,,,38-43,3,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward)
3:12.0,Offensive foul by T. Jones,,38-43,,
3:12.0,Turnover by T. Jones (offensive foul),,38-43,,
3:12.0,T. Ariza enters the game for C. Brewer,,38-43,,
3:12.0,,,38-43,,R. Hood enters the game for E. Millsap
3:00.0,,,38-45,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
2:40.0,J. Harden misses 2-pt shot from 15 ft,,38-45,,
2:38.0,,,38-45,,Defensive rebound by R. Gobert
2:30.0,,,38-45,,Shooting foul by T. Ariza (drawn by G. Hayward)
2:30.0,,,38-47,2,G. Hayward makes 2-pt shot from 8 ft
2:30.0,Houston full timeout,,38-47,,
2:30.0,C. Brewer enters the game for T. Ariza,,38-47,,
2:30.0,,,38-47,,G. Hayward misses free throw 1 of 1
2:29.0,Defensive rebound by T. Jones,,38-47,,
2:10.0,P. Beverley makes 2-pt shot from 6 ft,2,40-47,,
1:45.0,,,40-49,2,J. Ingles makes 2-pt shot from 19 ft
1:16.0,T. Jones misses 2-pt shot from 13 ft,,40-49,,
1:15.0,,,40-49,,Defensive rebound by R. Gobert
1:07.0,,,40-49,,G. Hayward misses 2-pt shot from 20 ft
1:05.0,,,40-49,,Offensive rebound by R. Gobert
1:05.0,,,40-49,,Utah full timeout
0:55.0,,,40-51,2,G. Hayward makes 2-pt shot from 15 ft
0:38.0,T. Jones misses 2-pt shot at rim (block by R. Gobert),,40-51,,
0:37.0,,,40-51,,Defensive rebound by G. Hayward
0:32.0,,,40-51,,G. Hayward misses 2-pt shot from 1 ft
0:31.0,,,40-51,,Offensive rebound by D. Exum
0:27.0,,,40-51,,D. Exum misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by T. Jones,,40-51,,
0:05.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,43-51,,
0:00.0,,,43-51,,Shooting foul by D. Motiejunas (drawn by G. Hayward)
0:00.0,,,43-52,1,G. Hayward makes free throw 1 of 2
0:00.0,,,43-52,,T. Booker enters the game for R. Gobert
0:00.0,,,43-53,1,G. Hayward makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Motiejunas makes 2-pt shot from 3 ft,2,45-53,,
11:16.0,,,45-56,3,D. Exum makes 3-pt shot from 24 ft (assist by D. Favors)
10:55.0,T. Jones makes 2-pt shot from 5 ft,2,47-56,,
10:35.0,Violation by D. Motiejunas (kicked ball),,47-56,,
10:24.0,,,47-58,2,R. Hood makes 2-pt shot from 2 ft
10:11.0,T. Ariza misses 3-pt shot from 25 ft,,47-58,,
10:10.0,,,47-58,,Defensive rebound by Team
9:45.0,,,47-58,,D. Exum misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by D. Motiejunas,,47-58,,
9:32.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by J. Harden),2,49-58,,
9:15.0,,,49-61,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
8:56.0,P. Beverley makes 2-pt shot from 3 ft,2,51-61,,
8:30.0,,,51-61,,D. Favors misses 2-pt shot from 15 ft
8:29.0,Defensive rebound by T. Ariza,,51-61,,
8:20.0,P. Beverley misses 3-pt shot from 23 ft,,51-61,,
8:19.0,,,51-61,,Defensive rebound by R. Gobert
8:09.0,,,51-63,2,G. Hayward makes 2-pt shot from 7 ft
7:47.0,D. Motiejunas makes 2-pt shot from 6 ft,2,53-63,,
7:32.0,,,53-65,2,D. Exum makes 2-pt shot from 20 ft
7:07.0,Turnover by J. Harden (bad pass),,53-65,,
6:51.0,,,53-67,2,G. Hayward makes 2-pt shot from 12 ft
6:27.0,P. Beverley misses 2-pt shot from 8 ft (block by D. Exum),,53-67,,
6:25.0,,,53-67,,Defensive rebound by D. Exum
6:20.0,,,53-67,,Turnover by G. Hayward (bad pass; steal by T. Jones)
6:13.0,Shooting foul by G. Hayward (drawn by T. Jones),,53-67,,
6:13.0,T. Jones makes free throw 1 of 2,1,54-67,,
6:13.0,C. Brewer enters the game for D. Motiejunas,,54-67,,
6:13.0,T. Jones makes free throw 2 of 2,1,55-67,,
6:13.0,,,55-67,,Utah full timeout
6:04.0,Personal foul by P. Beverley (drawn by D. Exum),,55-67,,
5:58.0,,,55-69,2,R. Hood makes 2-pt shot at rim (assist by R. Gobert)
5:47.0,Turnover by C. Brewer (discontinued dribble),,55-69,,
5:37.0,Personal foul by J. Harden (drawn by D. Favors),,55-69,,
5:21.0,,,55-69,,D. Exum misses 3-pt shot from 27 ft
5:19.0,Defensive rebound by T. Ariza,,55-69,,
