time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Jones (D. Motiejunas gains possession),,,,Jump ball: M. Gasol vs. T. Jones (D. Motiejunas gains possession)
11:43.0,,,0-2,2,P. Beverley makes 2-pt shot from 6 ft
11:16.0,M. Gasol makes 2-pt shot from 16 ft (assist by Z. Randolph),2,2-2,,
10:56.0,,,2-2,,T. Jones misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by J. Green,,2-2,,
10:48.0,J. Green makes 2-pt shot at rim,2,4-2,,
10:42.0,,,4-2,,Turnover by T. Ariza (lost ball)
10:24.0,J. Green makes 3-pt shot from 25 ft (assist by M. Conley),3,7-2,,
10:07.0,,,7-2,,T. Ariza misses 3-pt shot from 23 ft
10:05.0,,,7-2,,Offensive rebound by J. Harden
10:03.0,,,7-4,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden)
9:50.0,Turnover by J. Green (bad pass; steal by T. Jones),,7-4,,
9:43.0,,,7-7,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
9:29.0,Z. Randolph misses 2-pt shot from 6 ft,,7-7,,
9:28.0,,,7-7,,Defensive rebound by P. Beverley
9:21.0,,,7-7,,P. Beverley misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by Team,,7-7,,
9:19.0,,,7-7,,Loose ball foul by D. Motiejunas (drawn by Z. Randolph)
9:05.0,Z. Randolph misses 2-pt shot from 4 ft,,7-7,,
9:03.0,,,7-7,,Defensive rebound by T. Jones
8:49.0,,,7-7,,D. Motiejunas misses 2-pt shot from 8 ft
8:46.0,Defensive rebound by M. Conley,,7-7,,
8:40.0,J. Green misses 2-pt shot from 2 ft,,7-7,,
8:38.0,,,7-7,,Defensive rebound by D. Motiejunas
8:30.0,,,7-7,,T. Ariza misses 2-pt shot from 3 ft
8:28.0,Defensive rebound by Z. Randolph,,7-7,,
8:21.0,M. Conley makes 2-pt shot from 19 ft,2,9-7,,
8:13.0,,,9-9,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
7:58.0,Turnover by M. Conley (bad pass; steal by T. Ariza),,9-9,,
7:55.0,,,9-11,2,J. Harden makes 2-pt shot at rim (assist by T. Ariza)
7:33.0,M. Conley misses 2-pt shot from 4 ft,,9-11,,
7:31.0,,,9-11,,Defensive rebound by P. Beverley
7:25.0,,,9-14,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by P. Beverley)
7:20.0,Memphis full timeout,,9-14,,
7:10.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,11-14,,
6:59.0,,,11-16,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden)
6:46.0,C. Lee makes 2-pt shot from 20 ft (assist by M. Gasol),2,13-16,,
6:32.0,,,13-19,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Jones)
6:20.0,C. Lee misses 2-pt shot from 17 ft (block by J. Harden),,13-19,,
6:18.0,,,13-19,,Defensive rebound by T. Jones
6:10.0,,,13-19,,J. Harden misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by M. Gasol,,13-19,,
5:55.0,Z. Randolph misses 2-pt shot from 6 ft,,13-19,,
5:54.0,,,13-19,,Defensive rebound by D. Motiejunas
5:33.0,,,13-22,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by T. Jones)
5:09.0,J. Green misses 3-pt shot from 25 ft,,13-22,,
5:07.0,,,13-22,,Defensive rebound by J. Harden
5:00.0,,,13-25,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
4:48.0,C. Lee makes 2-pt shot from 20 ft (assist by M. Conley),2,15-25,,
4:29.0,,,15-25,,J. Harden misses 2-pt shot from 4 ft
4:28.0,Defensive rebound by Z. Randolph,,15-25,,
4:09.0,J. Green makes 2-pt shot from 21 ft (assist by M. Gasol),2,17-25,,
3:48.0,,,17-27,2,D. Motiejunas makes 2-pt shot from 5 ft (assist by P. Beverley)
3:21.0,M. Gasol misses 2-pt shot from 4 ft (block by T. Jones),,17-27,,
3:21.0,Offensive rebound by Team,,17-27,,
3:21.0,,,17-27,,Houston full timeout
3:21.0,,,17-27,,C. Brewer enters the game for T. Ariza
3:21.0,,,17-27,,J. Smith enters the game for T. Jones
3:21.0,B. Udrih enters the game for J. Green,,17-27,,
3:21.0,J. Leuer enters the game for Z. Randolph,,17-27,,
3:21.0,T. Allen enters the game for M. Conley,,17-27,,
3:16.0,Shooting foul by D. Motiejunas (drawn by M. Gasol),,17-27,,
3:16.0,M. Gasol makes free throw 1 of 2,1,18-27,,
3:16.0,,,18-27,,T. Jones enters the game for D. Motiejunas
3:16.0,,,18-27,,J. Terry enters the game for P. Beverley
3:16.0,M. Gasol misses free throw 2 of 2,,18-27,,
3:16.0,,,18-27,,Defensive rebound by J. Smith
2:57.0,Violation by M. Gasol (kicked ball),,18-27,,
2:44.0,,,18-27,,J. Smith misses 2-pt shot from 5 ft
2:42.0,Defensive rebound by M. Gasol,,18-27,,
2:27.0,B. Udrih misses 2-pt shot from 2 ft,,18-27,,
2:26.0,Offensive rebound by T. Allen,,18-27,,
2:26.0,T. Allen makes 2-pt shot from 2 ft,2,20-27,,
2:09.0,,,20-27,,J. Terry misses 3-pt shot from 23 ft
2:08.0,Defensive rebound by J. Leuer,,20-27,,
1:58.0,M. Gasol misses 2-pt shot from 9 ft,,20-27,,
1:56.0,Offensive rebound by T. Allen,,20-27,,
1:55.0,T. Allen misses 2-pt shot from 2 ft,,20-27,,
1:53.0,,,20-27,,Defensive rebound by J. Smith
1:49.0,Personal foul by J. Leuer (drawn by T. Jones),,20-27,,
1:37.0,,,20-29,2,T. Jones makes 2-pt shot at rim (assist by J. Smith)
1:22.0,M. Gasol makes 2-pt shot from 6 ft (assist by C. Lee),2,22-29,,
1:05.0,,,22-29,,J. Smith misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by T. Allen,,22-29,,
0:46.0,Memphis full timeout,,22-29,,
0:44.0,Turnover by M. Gasol (bad pass; steal by J. Terry),,22-29,,
0:41.0,,,22-31,2,J. Terry makes 2-pt shot from 2 ft
0:29.0,B. Udrih makes 2-pt shot from 20 ft,2,24-31,,
0:05.0,,,24-31,,J. Harden misses 2-pt shot from 20 ft
0:04.0,,,24-31,,Offensive rebound by T. Jones
0:04.0,,,24-31,,T. Jones misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by J. Leuer,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Leuer misses 3-pt shot from 24 ft,,24-31,,
11:42.0,,,24-31,,Defensive rebound by J. Smith
11:36.0,,,24-31,,Shooting foul by T. Allen (drawn by J. Smith)
11:36.0,,,24-32,1,J. Smith makes free throw 1 of 2
11:36.0,,,24-33,1,J. Smith makes free throw 2 of 2
11:18.0,Shooting foul by J. Smith (drawn by N. Calathes),,24-33,,
11:18.0,N. Calathes makes free throw 1 of 2,1,25-33,,
11:18.0,N. Calathes makes free throw 2 of 2,1,26-33,,
11:01.0,,,26-33,,Turnover by C. Brewer (lost ball; steal by N. Calathes)
10:52.0,Shooting foul by J. Dorsey (drawn by J. Leuer),,26-33,,
10:52.0,J. Leuer makes free throw 1 of 2,1,27-33,,
10:52.0,J. Leuer makes free throw 2 of 2,1,28-33,,
10:41.0,,,28-35,2,T. Ariza makes 2-pt shot from 19 ft
10:25.0,N. Calathes misses 3-pt shot from 24 ft,,28-35,,
10:23.0,,,28-35,,Defensive rebound by J. Smith
10:09.0,,,28-35,,J. Smith misses 2-pt shot from 5 ft
10:08.0,,,28-35,,Offensive rebound by J. Smith
10:02.0,,,28-35,,T. Ariza misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by N. Calathes,,28-35,,
9:55.0,N. Calathes makes 2-pt shot from 12 ft,2,30-35,,
9:36.0,,,30-35,,J. Smith misses 2-pt shot from 21 ft
9:35.0,,,30-35,,Offensive rebound by J. Dorsey
9:33.0,,,30-35,,Turnover by J. Dorsey (lost ball; steal by N. Calathes)
9:28.0,J. Leuer misses 2-pt shot from 3 ft (block by J. Smith),,30-35,,
9:28.0,Offensive rebound by Team,,30-35,,
9:28.0,,,30-35,,D. Motiejunas enters the game for J. Dorsey
9:28.0,J. Green enters the game for J. Leuer,,30-35,,
9:21.0,B. Udrih misses 2-pt shot from 13 ft,,30-35,,
9:19.0,,,30-35,,Defensive rebound by J. Smith
9:07.0,,,30-35,,C. Brewer misses 2-pt shot from 3 ft (block by K. Koufos)
9:06.0,Defensive rebound by N. Calathes,,30-35,,
9:00.0,T. Allen makes 2-pt shot at rim (assist by N. Calathes),2,32-35,,
8:46.0,,,32-38,3,J. Terry makes 3-pt shot from 24 ft
8:29.0,K. Koufos misses 2-pt shot from 9 ft,,32-38,,
8:27.0,,,32-38,,Defensive rebound by T. Ariza
8:25.0,,,32-38,,Turnover by T. Ariza (bad pass; steal by N. Calathes)
8:21.0,,,32-38,,Shooting block foul by D. Motiejunas (drawn by K. Koufos)
8:21.0,Official timeout,,32-38,,
8:21.0,,,32-38,,J. Dorsey enters the game for D. Motiejunas
8:21.0,,,32-38,,J. Harden enters the game for C. Brewer
8:21.0,,,32-38,,T. Jones enters the game for J. Smith
8:21.0,K. Koufos misses free throw 1 of 2,,32-38,,
8:21.0,Offensive rebound by Team,,32-38,,
8:21.0,K. Koufos makes free throw 2 of 2,1,33-38,,
