time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (K. Love gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (K. Love gains possession)
11:37.0,,,0-3,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
11:15.0,A. Brooks makes 2-pt shot from 13 ft (assist by P. Gasol),2,2-3,,
10:59.0,,,2-3,,J. Smith misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by Team,,2-3,,
10:36.0,A. Brooks misses 2-pt shot from 9 ft,,2-3,,
10:33.0,,,2-3,,Defensive rebound by T. Mozgov
10:22.0,,,2-3,,K. Love misses 2-pt shot from 16 ft
10:21.0,Defensive rebound by M. Dunleavy,,2-3,,
10:17.0,Turnover by A. Brooks (bad pass; steal by K. Irving),,2-3,,
10:09.0,,,2-3,,Turnover by K. Love (lost ball; steal by A. Brooks)
10:03.0,Turnover by J. Noah (lost ball; steal by K. Love),,2-3,,
9:46.0,,,2-3,,K. Irving misses 2-pt shot from 13 ft
9:44.0,Defensive rebound by J. Noah,,2-3,,
9:37.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah),3,5-3,,
9:21.0,,,5-3,,K. Love misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by J. Butler,,5-3,,
9:05.0,P. Gasol makes 2-pt shot from 15 ft,2,7-3,,
8:42.0,,,7-6,3,L. James makes 3-pt shot from 25 ft (assist by T. Mozgov)
8:28.0,M. Dunleavy makes 2-pt shot from 18 ft (assist by J. Noah),2,9-6,,
8:12.0,,,9-6,,K. Irving misses 2-pt shot from 16 ft
8:11.0,,,9-6,,Offensive rebound by T. Mozgov
7:59.0,,,9-6,,L. James misses 2-pt shot from 3 ft
7:58.0,Defensive rebound by A. Brooks,,9-6,,
7:43.0,P. Gasol makes 2-pt shot from 12 ft (assist by M. Dunleavy),2,11-6,,
7:27.0,,,11-8,2,K. Love makes 2-pt shot at rim (assist by J. Smith)
7:11.0,,,11-8,,Personal foul by K. Love (drawn by J. Noah)
6:58.0,A. Brooks makes 3-pt shot from 24 ft (assist by P. Gasol),3,14-8,,
6:33.0,Loose ball foul by M. Dunleavy (drawn by J. Smith),,14-8,,
6:23.0,Personal foul by P. Gasol (drawn by T. Mozgov),,14-8,,
6:08.0,,,14-8,,L. James misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by P. Gasol,,14-8,,
