time,New York,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. D. Dedmon (L. Galloway gains possession),,,,Jump ball: C. Aldrich vs. D. Dedmon (L. Galloway gains possession)
11:41.0,J. Smith makes 2-pt shot from 16 ft,2,2-0,,
11:18.0,,,2-0,,V. Oladipo misses 2-pt shot from 20 ft
11:16.0,Defensive rebound by J. Smith,,2-0,,
11:01.0,C. Aldrich misses 2-pt shot from 8 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by N. Vucevic
10:48.0,,,2-0,,T. Harris misses 3-pt shot from 27 ft
10:46.0,Defensive rebound by C. Aldrich,,2-0,,
10:40.0,L. Galloway misses 2-pt shot from 16 ft,,2-0,,
10:37.0,,,2-0,,Defensive rebound by D. Dedmon
10:24.0,,,2-2,2,T. Harris makes 2-pt shot from 2 ft (assist by D. Dedmon)
10:10.0,T. Hardaway misses 2-pt shot from 19 ft,,2-2,,
10:08.0,,,2-2,,Defensive rebound by D. Dedmon
9:55.0,,,2-2,,D. Dedmon misses 2-pt shot from 8 ft
9:53.0,Defensive rebound by C. Aldrich,,2-2,,
9:39.0,C. Aldrich makes 2-pt shot from 3 ft (assist by T. Hardaway),2,4-2,,
9:16.0,,,4-2,,T. Harris misses 2-pt shot from 13 ft
9:15.0,,,4-2,,Offensive rebound by Team
9:11.0,,,4-2,,V. Oladipo misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by C. Aldrich,,4-2,,
9:00.0,L. Galloway misses 2-pt shot from 18 ft,,4-2,,
8:59.0,Offensive rebound by C. Aldrich,,4-2,,
8:56.0,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Aldrich),3,7-2,,
8:43.0,,,7-2,,Shooting foul by J. Smith (drawn by T. Harris)
8:43.0,,,7-3,1,T. Harris makes free throw 1 of 2
8:43.0,,,7-4,1,T. Harris makes free throw 2 of 2
8:31.0,L. Thomas misses 3-pt shot from 23 ft,,7-4,,
8:30.0,Offensive rebound by J. Smith,,7-4,,
8:27.0,T. Hardaway misses 3-pt shot from 25 ft,,7-4,,
8:25.0,Offensive rebound by L. Thomas,,7-4,,
8:25.0,L. Thomas misses 2-pt shot from 1 ft,,7-4,,
8:22.0,Offensive rebound by J. Smith,,7-4,,
8:22.0,J. Smith misses 2-pt shot from 2 ft (block by N. Vucevic),,7-4,,
8:22.0,,,7-4,,Defensive rebound by N. Vucevic
8:22.0,Personal foul by L. Thomas (drawn by N. Vucevic),,7-4,,
8:06.0,,,7-7,3,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Harris)
7:46.0,C. Aldrich makes 2-pt shot from 9 ft (assist by J. Smith),2,9-7,,
