time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Favors (E. Kanter gains possession),,,,Jump ball: A. Davis vs. D. Favors (E. Kanter gains possession)
11:43.0,,,0-0,,D. Favors misses 2-pt shot from 2 ft (block by A. Ajinca)
11:42.0,Defensive rebound by A. Davis,,0-0,,
11:37.0,T. Evans makes 2-pt shot from 2 ft,2,2-0,,
11:16.0,,,2-0,,A. Burks misses 3-pt shot from 24 ft
11:15.0,,,2-0,,Offensive rebound by G. Hayward
11:09.0,,,2-0,,Shooting foul by T. Evans (drawn by G. Hayward)
11:09.0,,,2-0,,G. Hayward misses free throw 1 of 2
11:09.0,,,2-0,,Offensive rebound by Team
11:09.0,,,2-1,1,G. Hayward makes free throw 2 of 2
11:00.0,,,2-1,,Personal foul by A. Burks (drawn by E. Gordon)
10:54.0,J. Holiday misses 2-pt shot from 18 ft,,2-1,,
10:52.0,,,2-1,,Defensive rebound by G. Hayward
10:37.0,,,2-1,,G. Hayward misses 2-pt shot from 3 ft
10:35.0,Defensive rebound by A. Davis,,2-1,,
10:25.0,A. Ajinca makes 2-pt shot from 18 ft (assist by E. Gordon),2,4-1,,
10:12.0,Violation by A. Davis (kicked ball),,4-1,,
10:04.0,,,4-4,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
9:43.0,A. Davis makes 2-pt shot from 1 ft,2,6-4,,
9:23.0,,,6-7,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
9:00.0,T. Evans misses 2-pt shot from 21 ft,,6-7,,
8:59.0,,,6-7,,Defensive rebound by D. Favors
8:44.0,,,6-7,,E. Kanter misses 2-pt shot from 8 ft
8:43.0,Defensive rebound by Team,,6-7,,
8:34.0,J. Holiday makes 2-pt shot from 13 ft,2,8-7,,
8:16.0,,,8-9,2,A. Burks makes 2-pt shot from 4 ft
