time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Hill (D. Green gains possession),,,,Jump ball: A. Bogut vs. J. Hill (D. Green gains possession)
11:44.0,,,0-0,,S. Curry misses 2-pt shot from 22 ft
11:43.0,Defensive rebound by W. Johnson,,0-0,,
11:26.0,W. Ellington misses 2-pt shot from 3 ft (block by A. Bogut),,0-0,,
11:24.0,,,0-0,,Defensive rebound by K. Thompson
11:11.0,,,0-2,2,K. Thompson makes 2-pt shot from 7 ft
11:11.0,,,0-2,,Shooting foul by J. Clarkson (drawn by K. Thompson)
11:11.0,,,0-3,1,K. Thompson makes free throw 1 of 1
10:58.0,Turnover by W. Johnson (bad pass; steal by D. Green),,0-3,,
10:54.0,,,0-5,2,D. Green makes 2-pt shot from 1 ft
10:34.0,Turnover by J. Clarkson (bad pass; steal by S. Curry),,0-5,,
10:25.0,,,0-5,,Turnover by S. Curry (bad pass; steal by J. Clarkson)
10:20.0,J. Clarkson makes 2-pt shot at rim (assist by W. Ellington),2,2-5,,
9:58.0,,,2-5,,A. Bogut misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by Team,,2-5,,
9:40.0,W. Ellington makes 3-pt shot from 25 ft (assist by W. Johnson),3,5-5,,
9:36.0,,,5-5,,Turnover by S. Curry (bad pass; steal by W. Johnson)
9:30.0,J. Clarkson makes 3-pt shot from 25 ft (assist by W. Johnson),3,8-5,,
9:25.0,,,8-5,,Shooting foul by T. Black (drawn by H. Barnes)
9:25.0,,,8-7,1,H. Barnes makes free throw 2 of 2
9:25.0,,,8-6,1,H. Barnes makes free throw 1 of 2
9:02.0,J. Hill misses 2-pt shot from 18 ft,,8-7,,
9:01.0,,,8-7,,Defensive rebound by A. Bogut
8:52.0,,,8-7,,Turnover by A. Bogut (bad pass; steal by W. Johnson)
8:48.0,W. Johnson makes 2-pt shot at rim,2,10-7,,
8:36.0,,,10-10,3,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson)
8:17.0,J. Hill makes 3-pt shot from 22 ft (assist by J. Clarkson),3,13-10,,
8:08.0,,,13-12,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
7:53.0,Turnover by J. Clarkson (lost ball; steal by H. Barnes),,13-12,,
7:49.0,,,13-14,2,H. Barnes makes 2-pt shot at rim
7:29.0,W. Johnson makes 2-pt shot from 19 ft,2,15-14,,
7:16.0,,,15-14,,H. Barnes misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by J. Hill,,15-14,,
7:02.0,W. Ellington makes 2-pt shot from 20 ft (assist by J. Hill),2,17-14,,
6:53.0,,,17-14,,K. Thompson misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by J. Clarkson,,17-14,,
6:43.0,Turnover by J. Clarkson (bad pass; steal by S. Curry),,17-14,,
6:39.0,,,17-16,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
6:39.0,,,17-16,,Shooting foul by J. Hill (drawn by D. Green)
6:39.0,,,17-17,1,D. Green makes free throw 1 of 1
6:15.0,W. Johnson misses 2-pt shot from 18 ft,,17-17,,
6:14.0,,,17-17,,Defensive rebound by K. Thompson
6:05.0,,,17-17,,K. Thompson misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by J. Hill,,17-17,,
5:51.0,W. Ellington makes 2-pt shot from 2 ft (assist by J. Hill),2,19-17,,
5:29.0,,,19-17,,S. Curry misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by W. Johnson,,19-17,,
5:19.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Hill),3,22-17,,
5:04.0,,,22-17,,D. Green misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by J. Clarkson,,22-17,,
5:02.0,,,22-17,,Personal foul by A. Bogut (drawn by J. Clarkson)
5:02.0,,,22-17,,Golden State full timeout
5:02.0,J. Lin enters the game for T. Black,,22-17,,
5:02.0,,,22-17,,A. Iguodala enters the game for H. Barnes
5:02.0,,,22-17,,F. Ezeli enters the game for A. Bogut
5:02.0,C. Boozer enters the game for J. Clarkson,,22-17,,
4:41.0,J. Hill misses 2-pt shot from 20 ft,,22-17,,
4:40.0,,,22-17,,Defensive rebound by S. Curry
4:25.0,,,22-19,2,K. Thompson makes 2-pt shot from 9 ft (assist by S. Curry)
4:08.0,W. Johnson misses 2-pt shot from 20 ft,,22-19,,
4:07.0,,,22-19,,Personal foul by S. Curry (drawn by J. Hill)
4:07.0,Offensive rebound by J. Hill,,22-19,,
4:07.0,J. Brown enters the game for W. Ellington,,22-19,,
4:03.0,Turnover by J. Lin (lost ball; steal by D. Green),,22-19,,
3:59.0,,,22-19,,D. Green misses 2-pt shot from 1 ft (block by J. Lin)
3:58.0,,,22-19,,Offensive rebound by Team
3:50.0,,,22-21,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
3:41.0,W. Johnson makes 2-pt shot from 13 ft (assist by J. Lin),2,24-21,,
3:25.0,,,24-24,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
3:08.0,Turnover by C. Boozer (lost ball; steal by D. Green),,24-24,,
3:02.0,,,24-26,2,K. Thompson makes 2-pt shot from 8 ft
2:44.0,J. Hill makes 2-pt shot from 9 ft (assist by J. Lin),2,26-26,,
2:30.0,LA Lakers full timeout,,26-26,,
2:30.0,E. Davis enters the game for J. Hill,,26-26,,
2:30.0,,,26-26,,S. Livingston enters the game for S. Curry
2:24.0,,,26-26,,F. Ezeli misses 2-pt shot from 1 ft (block by E. Davis)
2:22.0,Defensive rebound by C. Boozer,,26-26,,
2:09.0,Turnover by E. Davis (lost ball; steal by S. Livingston),,26-26,,
2:06.0,,,26-26,,S. Livingston misses 2-pt shot from 2 ft
2:04.0,,,26-26,,Shooting foul by J. Lin (drawn by F. Ezeli)
2:04.0,,,26-27,1,F. Ezeli makes free throw 1 of 2
