time,Sacramento,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Thompson (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. J. Thompson (B. Jennings gains possession)
11:41.0,,,0-0,,Turnover by G. Monroe (traveling)
11:24.0,D. Collison makes 2-pt shot from 16 ft (assist by D. Cousins),2,2-0,,
11:15.0,,,2-0,,B. Jennings misses 2-pt shot at rim
11:12.0,Defensive rebound by R. Gay,,2-0,,
11:10.0,Turnover by R. Gay (bad pass; steal by K. Caldwell-Pope),,2-0,,
11:07.0,,,2-2,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings)
10:56.0,D. Cousins misses 2-pt shot from 15 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by G. Monroe
10:47.0,,,2-2,,K. Singler misses 2-pt shot from 4 ft
10:44.0,,,2-2,,Offensive rebound by A. Drummond
10:43.0,,,2-2,,A. Drummond misses 2-pt shot from 1 ft
10:42.0,,,2-2,,Offensive rebound by A. Drummond
10:41.0,,,2-4,2,A. Drummond makes 2-pt shot at rim
10:28.0,J. Thompson misses 2-pt shot at rim,,2-4,,
10:27.0,,,2-4,,Defensive rebound by A. Drummond
10:25.0,Personal foul by D. Collison (drawn by B. Jennings),,2-4,,
10:08.0,,,2-4,,G. Monroe misses 2-pt shot from 3 ft (block by J. Thompson)
10:06.0,Defensive rebound by J. Thompson,,2-4,,
9:58.0,D. Cousins misses 2-pt shot from 18 ft,,2-4,,
9:57.0,,,2-4,,Defensive rebound by G. Monroe
9:38.0,,,2-4,,A. Drummond misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by D. Cousins,,2-4,,
9:30.0,Shooting foul by K. Singler (drawn by D. Cousins),,2-4,,
9:30.0,D. Cousins makes free throw 1 of 2,1,3-4,,
9:30.0,D. Cousins makes free throw 2 of 2,1,4-4,,
9:09.0,,,4-4,,Turnover by K. Caldwell-Pope (bad pass)
9:01.0,R. Gay makes 2-pt shot at rim,2,6-4,,
8:41.0,,,6-4,,K. Caldwell-Pope misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by D. Cousins,,6-4,,
8:28.0,J. Thompson makes 2-pt shot at rim (assist by R. Gay),2,8-4,,
8:28.0,Shooting foul by A. Drummond (drawn by J. Thompson),,8-4,,
8:28.0,J. Thompson makes free throw 1 of 1,1,9-4,,
8:23.0,,,9-4,,Detroit full timeout
8:13.0,,,9-4,,A. Drummond misses 2-pt shot from 9 ft
8:11.0,Defensive rebound by D. Cousins,,9-4,,
8:03.0,B. McLemore misses 3-pt shot from 23 ft,,9-4,,
8:02.0,,,9-4,,Defensive rebound by G. Monroe
7:52.0,,,9-4,,Shooting foul by D. Collison (drawn by G. Monroe)
7:52.0,,,9-5,1,G. Monroe makes free throw 1 of 2
7:52.0,R. McCallum enters the game for D. Collison,,9-5,,
7:52.0,,,9-6,1,G. Monroe makes free throw 2 of 2
7:32.0,D. Cousins makes 2-pt shot at rim,2,11-6,,
7:19.0,,,11-8,2,B. Jennings makes 2-pt shot from 20 ft
7:01.0,D. Cousins misses 2-pt shot from 18 ft,,11-8,,
7:00.0,Offensive rebound by Team,,11-8,,
6:54.0,R. Gay misses 2-pt shot from 1 ft,,11-8,,
6:53.0,,,11-8,,Defensive rebound by A. Drummond
6:40.0,,,11-8,,G. Monroe misses 2-pt shot at rim (block by J. Thompson)
6:39.0,Defensive rebound by J. Thompson,,11-8,,
6:21.0,R. Gay misses 2-pt shot from 7 ft,,11-8,,
