time,Oklahoma City,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Hibbert (D. Waiters gains possession),,,,Jump ball: S. Adams vs. R. Hibbert (D. Waiters gains possession)
11:45.0,E. Kanter misses 2-pt shot from 15 ft (block by D. West),,0-0,,
11:44.0,,,0-0,,Defensive rebound by S. Hill
11:40.0,,,0-2,2,S. Hill makes 2-pt shot from 1 ft
11:25.0,Turnover by S. Adams (lost ball),,0-2,,
11:03.0,,,0-4,2,R. Hibbert makes 2-pt shot from 12 ft (assist by G. Hill)
10:50.0,D. Waiters makes 2-pt shot from 22 ft,2,2-4,,
10:36.0,,,2-4,,G. Hill misses 2-pt shot from 9 ft
10:35.0,Defensive rebound by E. Kanter,,2-4,,
10:28.0,R. Westbrook misses 2-pt shot from 21 ft,,2-4,,
10:27.0,,,2-4,,Defensive rebound by R. Hibbert
10:16.0,,,2-4,,Shooting foul by S. Adams (drawn by R. Hibbert)
10:16.0,,,2-4,,R. Hibbert misses free throw 1 of 2
10:16.0,,,2-4,,Offensive rebound by Team
10:16.0,,,2-5,1,R. Hibbert makes free throw 2 of 2
10:04.0,R. Westbrook makes 3-pt shot from 26 ft (assist by E. Kanter),3,5-5,,
9:43.0,,,5-7,2,D. West makes 2-pt shot from 12 ft
9:31.0,S. Adams misses 2-pt shot from 5 ft,,5-7,,
9:29.0,,,5-7,,Defensive rebound by R. Hibbert
9:15.0,,,5-7,,Turnover by R. Hibbert (traveling)
9:06.0,R. Westbrook makes 2-pt shot from 1 ft,2,7-7,,
8:49.0,,,7-9,2,R. Hibbert makes 2-pt shot from 8 ft
8:38.0,D. Waiters misses 3-pt shot from 27 ft,,7-9,,
8:36.0,Offensive rebound by S. Adams,,7-9,,
8:29.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,9-9,,
8:14.0,,,9-9,,Turnover by S. Hill (lost ball; steal by D. Waiters)
8:09.0,D. Waiters makes 2-pt shot from 1 ft (assist by R. Westbrook),2,11-9,,
7:47.0,,,11-11,2,R. Hibbert makes 2-pt shot at rim (assist by D. West)
7:31.0,,,11-11,,Def 3 sec tech foul by D. West
7:31.0,R. Westbrook makes technical free throw,1,12-11,,
7:23.0,R. Westbrook makes 2-pt shot from 15 ft,2,14-11,,
7:23.0,Shooting foul by S. Hill (drawn by R. Westbrook),,14-11,,
7:23.0,R. Westbrook makes free throw 1 of 1,1,15-11,,
7:07.0,Personal foul by E. Kanter (drawn by R. Hibbert),,15-11,,
6:58.0,,,15-11,,D. West misses 2-pt shot from 6 ft
6:56.0,,,15-11,,Offensive rebound by S. Hill
6:55.0,,,15-13,2,S. Hill makes 2-pt shot from 1 ft
6:36.0,R. Westbrook makes 2-pt shot at rim,2,17-13,,
6:21.0,,,17-16,3,G. Hill makes 3-pt shot from 26 ft (assist by R. Hibbert)
6:08.0,R. Westbrook makes 2-pt shot from 12 ft,2,19-16,,
6:06.0,,,19-16,,Indiana full timeout
6:06.0,,,19-16,,P. George enters the game for S. Hill
5:51.0,,,19-18,2,R. Hibbert makes 2-pt shot at rim (assist by D. West)
5:36.0,E. Kanter misses 2-pt shot from 19 ft,,19-18,,
5:33.0,,,19-18,,Defensive rebound by Team
5:20.0,,,19-18,,Offensive foul by D. West
5:20.0,,,19-18,,Turnover by D. West (offensive foul)
5:11.0,R. Westbrook misses 3-pt shot from 25 ft,,19-18,,
5:08.0,Offensive rebound by R. Westbrook,,19-18,,
4:59.0,R. Westbrook makes 2-pt shot at rim,2,21-18,,
4:43.0,,,21-20,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
4:33.0,D. Waiters misses 2-pt shot from 20 ft,,21-20,,
4:32.0,,,21-20,,Defensive rebound by C. Miles
4:27.0,,,21-22,2,C. Miles makes 2-pt shot at rim
4:18.0,Oklahoma City full timeout,,21-22,,
4:18.0,N. Collison enters the game for A. Roberson,,21-22,,
4:18.0,A. Morrow enters the game for S. Adams,,21-22,,
4:18.0,,,21-22,,I. Mahinmi enters the game for R. Hibbert
4:18.0,,,21-22,,R. Stuckey enters the game for C. Miles
4:03.0,R. Westbrook misses 3-pt shot from 25 ft,,21-22,,
4:02.0,,,21-22,,Defensive rebound by P. George
3:44.0,,,21-22,,Shooting foul by E. Kanter (drawn by I. Mahinmi)
3:44.0,,,21-22,,I. Mahinmi misses free throw 1 of 2
3:44.0,,,21-22,,Offensive rebound by Team
3:44.0,M. McGary enters the game for E. Kanter,,21-22,,
3:44.0,,,21-22,,Turnover by D. West (lane violation.)
3:30.0,N. Collison misses 2-pt shot from 21 ft,,21-22,,
3:28.0,,,21-22,,Defensive rebound by R. Stuckey
3:23.0,Personal block foul by N. Collison (drawn by R. Stuckey),,21-22,,
3:22.0,,,21-22,,Shooting foul by M. McGary (drawn by P. George)
3:22.0,,,21-22,,P. George misses free throw 1 of 2
3:22.0,,,21-22,,Offensive rebound by Team
3:22.0,,,21-23,1,P. George makes free throw 2 of 2
3:06.0,R. Westbrook makes 2-pt shot from 13 ft,2,23-23,,
