time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (T. Ariza gains possession),,,,Jump ball: D. Howard vs. D. Jordan (T. Ariza gains possession)
11:39.0,,,0-0,,T. Jones misses 2-pt shot from 2 ft (block by D. Jordan)
11:37.0,,,0-0,,Offensive rebound by T. Jones
11:35.0,,,0-0,,T. Jones misses 2-pt shot from 8 ft
11:34.0,Defensive rebound by B. Griffin,,0-0,,
11:12.0,M. Barnes misses 3-pt shot from 26 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by T. Jones
11:02.0,,,0-0,,J. Harden misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by B. Griffin,,0-0,,
10:54.0,B. Griffin misses 2-pt shot from 6 ft (block by D. Howard),,0-0,,
10:52.0,,,0-0,,Defensive rebound by J. Harden
10:48.0,,,0-0,,Turnover by J. Harden (bad pass; steal by A. Rivers)
10:43.0,A. Rivers misses 2-pt shot from 4 ft (block by T. Jones),,0-0,,
10:43.0,Offensive rebound by Team,,0-0,,
10:36.0,A. Rivers makes 3-pt shot from 24 ft (assist by D. Jordan),3,3-0,,
10:23.0,,,3-2,2,J. Terry makes 2-pt shot from 2 ft (assist by J. Harden)
10:09.0,J. Redick misses 3-pt shot from 25 ft,,3-2,,
10:08.0,,,3-2,,Defensive rebound by D. Howard
9:56.0,,,3-2,,T. Jones misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by B. Griffin,,3-2,,
9:50.0,Turnover by B. Griffin (lost ball),,3-2,,
9:35.0,,,3-2,,D. Howard misses 2-pt shot from 2 ft
9:34.0,,,3-2,,Offensive rebound by T. Ariza
9:34.0,,,3-4,2,T. Ariza makes 2-pt shot from 2 ft
9:12.0,Turnover by M. Barnes (bad pass; steal by J. Harden),,3-4,,
9:08.0,,,3-6,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
9:08.0,,,3-6,,Shooting foul by A. Rivers (drawn by T. Ariza)
9:08.0,,,3-7,1,T. Ariza makes free throw 1 of 1
8:50.0,B. Griffin misses 2-pt shot from 6 ft,,3-7,,
8:49.0,,,3-7,,Defensive rebound by J. Terry
8:43.0,,,3-7,,Turnover by J. Terry (bad pass; steal by D. Jordan)
8:39.0,M. Barnes makes 2-pt shot from 2 ft (assist by D. Jordan),2,5-7,,
8:39.0,Shooting foul by J. Harden (drawn by M. Barnes),,5-7,,
8:39.0,M. Barnes makes free throw 1 of 1,1,6-7,,
8:29.0,,,6-7,,Turnover by T. Ariza (bad pass; steal by D. Jordan)
8:25.0,Turnover by A. Rivers (lost ball),,6-7,,
8:12.0,,,6-9,2,J. Harden makes 2-pt shot at rim
7:55.0,A. Rivers misses 2-pt shot from 12 ft,,6-9,,
7:54.0,Offensive rebound by D. Jordan,,6-9,,
7:54.0,D. Jordan misses 2-pt shot from 2 ft,,6-9,,
7:53.0,,,6-9,,Defensive rebound by D. Howard
7:31.0,,,6-9,,Turnover by J. Harden (lost ball; steal by B. Griffin)
7:26.0,M. Barnes makes 2-pt shot from 1 ft (assist by D. Jordan),2,8-9,,
7:11.0,,,8-9,,D. Howard misses 2-pt shot from 5 ft
7:10.0,Defensive rebound by B. Griffin,,8-9,,
6:49.0,,,8-9,,Personal foul by T. Ariza (drawn by B. Griffin)
6:41.0,B. Griffin makes 2-pt shot from 8 ft,2,10-9,,
6:26.0,,,10-9,,Turnover by T. Jones (3 sec)
6:11.0,A. Rivers misses 3-pt shot from 25 ft,,10-9,,
6:10.0,,,10-9,,Defensive rebound by J. Terry
6:03.0,,,10-9,,J. Harden misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by J. Redick,,10-9,,
5:56.0,M. Barnes misses 3-pt shot from 24 ft,,10-9,,
5:55.0,,,10-9,,Defensive rebound by D. Howard
5:50.0,,,10-9,,Houston full timeout
5:50.0,J. Crawford enters the game for A. Rivers,,10-9,,
5:50.0,,,10-9,,J. Smith enters the game for T. Jones
5:32.0,,,10-12,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
5:07.0,J. Crawford misses 3-pt shot from 29 ft (block by T. Ariza),,10-12,,
5:06.0,,,10-12,,Defensive rebound by D. Howard
5:04.0,,,10-12,,Turnover by D. Howard (bad pass)
