time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. T. Mozgov,,,,Jump ball: L. Amundson vs. T. Mozgov
11:52.0,Turnover by J. Smith (bad pass; steal by L. Amundson),,0-0,,
11:41.0,,,0-0,,Turnover by J. Calderon (bad pass; steal by L. James)
11:38.0,L. James makes 2-pt shot at rim,2,2-0,,
11:20.0,Personal foul by K. Irving (drawn by J. Smith),,2-0,,
11:17.0,,,2-0,,L. Galloway misses 2-pt shot from 22 ft (block by J. Smith)
11:14.0,,,2-0,,Offensive rebound by J. Smith
11:11.0,,,2-2,2,L. Amundson makes 2-pt shot from 1 ft (assist by L. Galloway)
10:58.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,4-2,,
10:45.0,,,4-2,,L. Thomas misses 2-pt shot from 17 ft
10:43.0,,,4-2,,Offensive rebound by L. Amundson
10:41.0,,,4-2,,L. Amundson misses 2-pt shot from 11 ft
10:39.0,,,4-2,,Offensive rebound by L. Thomas
10:39.0,,,4-4,2,L. Thomas makes 2-pt shot from 1 ft
10:27.0,L. James makes 2-pt shot at rim (assist by K. Love),2,6-4,,
10:03.0,,,6-6,2,L. Amundson makes 2-pt shot from 4 ft
9:49.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,9-6,,
9:34.0,,,9-8,2,J. Smith makes 2-pt shot from 15 ft (assist by L. Galloway)
9:24.0,,,9-8,,Personal foul by L. Amundson (drawn by T. Mozgov)
9:17.0,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Smith),2,11-8,,
9:10.0,,,11-8,,New York full timeout
9:02.0,,,11-8,,J. Calderon misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by J. Smith,,11-8,,
8:53.0,J. Smith misses 2-pt shot from 18 ft,,11-8,,
8:50.0,,,11-8,,Defensive rebound by J. Calderon
8:39.0,,,11-8,,J. Smith misses 2-pt shot from 16 ft
8:38.0,,,11-8,,Offensive rebound by L. Thomas
8:38.0,,,11-8,,Shooting foul by J. Smith (drawn by L. Thomas)
8:38.0,,,11-8,,L. Thomas misses free throw 1 of 2
8:38.0,,,11-8,,Offensive rebound by Team
8:38.0,,,11-9,1,L. Thomas makes free throw 2 of 2
8:23.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,14-9,,
8:07.0,,,14-9,,J. Calderon misses 2-pt shot from 16 ft
8:05.0,Defensive rebound by K. Love,,14-9,,
7:41.0,L. James makes 2-pt shot from 15 ft,2,16-9,,
7:22.0,,,16-9,,J. Calderon misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by K. Love,,16-9,,
7:17.0,J. Smith misses 2-pt shot from 3 ft,,16-9,,
7:15.0,Offensive rebound by J. Smith,,16-9,,
7:15.0,J. Smith makes 2-pt shot from 1 ft,2,18-9,,
6:55.0,,,18-9,,L. Thomas misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by K. Love,,18-9,,
6:34.0,L. James misses 2-pt shot from 15 ft,,18-9,,
6:32.0,,,18-9,,Defensive rebound by J. Smith
6:21.0,,,18-9,,L. Thomas misses 2-pt shot from 4 ft
6:19.0,Defensive rebound by K. Love,,18-9,,
6:03.0,K. Love misses 3-pt shot from 25 ft,,18-9,,
6:02.0,Offensive rebound by T. Mozgov,,18-9,,
6:00.0,T. Mozgov makes 2-pt shot at rim,2,20-9,,
5:52.0,,,20-9,,J. Smith misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by T. Mozgov,,20-9,,
5:39.0,K. Love misses 2-pt shot from 2 ft,,20-9,,
5:37.0,Offensive rebound by K. Irving,,20-9,,
5:36.0,K. Irving misses 3-pt shot from 24 ft,,20-9,,
5:35.0,,,20-9,,Defensive rebound by Team
5:35.0,,,20-9,,New York full timeout
5:35.0,I. Shumpert enters the game for L. James,,20-9,,
5:35.0,,,20-9,,T. Hardaway enters the game for J. Smith
5:35.0,,,20-9,,A. Bargnani enters the game for L. Galloway
5:19.0,,,20-11,2,J. Calderon makes 2-pt shot from 17 ft
5:07.0,Offensive foul by T. Mozgov,,20-11,,
5:07.0,Turnover by T. Mozgov (offensive foul),,20-11,,
5:07.0,,,20-11,,C. Early enters the game for L. Thomas
5:07.0,T. Thompson enters the game for T. Mozgov,,20-11,,
4:51.0,,,20-11,,C. Early misses 2-pt shot from 22 ft
4:48.0,,,20-11,,Offensive rebound by L. Amundson
4:42.0,,,20-11,,A. Bargnani misses 2-pt shot from 22 ft
4:40.0,Defensive rebound by K. Love,,20-11,,
4:29.0,Shooting foul by J. Calderon (drawn by K. Irving),,20-11,,
4:29.0,K. Irving makes free throw 1 of 2,1,21-11,,
4:29.0,,,21-11,,Q. Acy enters the game for L. Amundson
4:29.0,K. Irving makes free throw 2 of 2,1,22-11,,
4:17.0,,,22-11,,C. Early misses 3-pt shot from 23 ft
4:14.0,,,22-11,,Offensive rebound by A. Bargnani
4:00.0,,,22-11,,Q. Acy misses 2-pt shot from 4 ft
3:57.0,,,22-11,,Offensive rebound by Q. Acy
3:57.0,,,22-11,,Q. Acy misses 2-pt shot from 1 ft
3:56.0,,,22-11,,Offensive rebound by Team
3:51.0,,,22-11,,Q. Acy misses 2-pt shot from 18 ft
3:49.0,,,22-11,,Offensive rebound by Q. Acy
3:32.0,,,22-13,2,Q. Acy makes 2-pt shot from 7 ft (assist by A. Bargnani)
3:06.0,K. Irving makes 2-pt shot from 1 ft,2,24-13,,
2:52.0,,,24-13,,Q. Acy misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by J. Smith,,24-13,,
2:41.0,J. Smith makes 2-pt shot from 5 ft,2,26-13,,
2:19.0,,,26-13,,J. Calderon misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by K. Love,,26-13,,
2:17.0,,,26-13,,Personal foul by A. Bargnani (drawn by K. Love)
2:17.0,Cleveland full timeout,,26-13,,
2:17.0,,,26-13,,L. Galloway enters the game for J. Calderon
2:17.0,L. James enters the game for K. Irving,,26-13,,
2:17.0,M. Dellavedova enters the game for J. Smith,,26-13,,
2:07.0,K. Love makes 2-pt shot at rim (assist by L. James),2,28-13,,
1:46.0,,,28-13,,Q. Acy misses 2-pt shot from 6 ft
1:45.0,Defensive rebound by L. James,,28-13,,
1:36.0,I. Shumpert makes 2-pt shot from 9 ft (assist by L. James),2,30-13,,
1:20.0,,,30-13,,Turnover by Q. Acy (bad pass; steal by L. James)
1:17.0,L. James makes 2-pt shot at rim,2,32-13,,
0:59.0,,,32-15,2,T. Hardaway makes 2-pt shot from 20 ft
0:49.0,Turnover by L. James (bad pass; steal by Q. Acy),,32-15,,
0:43.0,Personal foul by T. Thompson (drawn by T. Hardaway),,32-15,,
0:43.0,T. Mozgov enters the game for K. Love,,32-15,,
0:36.0,,,32-17,2,C. Early makes 2-pt shot from 5 ft (assist by A. Bargnani)
0:33.0,Shooting foul by Q. Acy (drawn by L. James),,32-17,,
0:33.0,L. James makes free throw 1 of 2,1,33-17,,
0:33.0,L. James misses free throw 2 of 2,,33-17,,
0:32.0,,,33-17,,Defensive rebound by C. Early
0:17.0,,,33-17,,T. Hardaway misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by T. Thompson,,33-17,,
0:01.0,L. James makes 3-pt shot from 26 ft,3,36-17,,
0:00.0,,,36-17,,T. Hardaway misses 3-pt shot from 79 ft
0:00.0,,,36-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,36-17,,L. Galloway misses 2-pt shot from 18 ft
11:41.0,,,36-17,,Offensive rebound by T. Wear
11:30.0,,,36-17,,L. Galloway misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by T. Mozgov,,36-17,,
11:19.0,I. Shumpert misses 2-pt shot from 18 ft,,36-17,,
11:17.0,,,36-17,,Defensive rebound by T. Wear
11:08.0,,,36-17,,T. Hardaway misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by T. Mozgov,,36-17,,
11:02.0,L. James misses 3-pt shot from 25 ft,,36-17,,
11:00.0,,,36-17,,Defensive rebound by T. Hardaway
10:59.0,Personal foul by T. Thompson (drawn by T. Hardaway),,36-17,,
10:49.0,,,36-17,,T. Wear misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by L. James,,36-17,,
10:30.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by L. James),3,39-17,,
10:09.0,,,39-17,,L. Amundson misses 2-pt shot from 3 ft
10:07.0,Defensive rebound by L. James,,39-17,,
10:01.0,Shooting foul by A. Bargnani (drawn by T. Thompson),,39-17,,
10:01.0,T. Thompson makes free throw 1 of 2,1,40-17,,
10:01.0,,,40-17,,J. Smith enters the game for A. Bargnani
10:01.0,,,40-17,,C. Aldrich enters the game for L. Amundson
10:01.0,T. Thompson misses free throw 2 of 2,,40-17,,
9:59.0,,,40-17,,Defensive rebound by C. Aldrich
9:38.0,,,40-19,2,J. Smith makes 2-pt shot from 2 ft
9:26.0,,,40-19,,Violation by C. Aldrich (kicked ball)
9:19.0,L. James misses 2-pt shot from 22 ft,,40-19,,
9:18.0,,,40-19,,Defensive rebound by Team
8:56.0,,,40-21,2,T. Wear makes 2-pt shot from 1 ft (assist by C. Aldrich)
8:41.0,Turnover by L. James (lost ball; steal by T. Wear),,40-21,,
8:37.0,,,40-23,2,L. Galloway makes 2-pt shot from 2 ft
8:11.0,L. James misses 3-pt shot from 25 ft,,40-23,,
8:09.0,Offensive rebound by T. Mozgov,,40-23,,
8:09.0,,,40-23,,Loose ball foul by C. Aldrich (drawn by T. Mozgov)
8:09.0,Official timeout,,40-23,,
8:09.0,K. Irving enters the game for L. James,,40-23,,
8:09.0,K. Love enters the game for T. Mozgov,,40-23,,
8:09.0,J. Smith enters the game for M. Dellavedova,,40-23,,
7:58.0,K. Love makes 2-pt shot from 17 ft (assist by J. Smith),2,42-23,,
7:46.0,,,42-23,,Turnover by T. Wear (lost ball)
7:37.0,K. Irving misses 2-pt shot from 2 ft,,42-23,,
7:35.0,,,42-23,,Defensive rebound by T. Hardaway
7:32.0,,,42-23,,Turnover by T. Hardaway (lost ball; steal by J. Smith)
7:30.0,I. Shumpert misses 3-pt shot from 24 ft,,42-23,,
7:28.0,Offensive rebound by T. Thompson,,42-23,,
7:20.0,Turnover by K. Irving (traveling),,42-23,,
6:59.0,,,42-23,,T. Hardaway misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by K. Irving,,42-23,,
6:50.0,I. Shumpert makes 2-pt shot from 15 ft,2,44-23,,
6:37.0,Personal foul by J. Smith (drawn by T. Wear),,44-23,,
6:37.0,,,44-23,,J. Calderon enters the game for T. Hardaway
6:33.0,,,44-23,,L. Galloway misses 3-pt shot from 24 ft
6:31.0,,,44-23,,Offensive rebound by T. Wear
6:30.0,,,44-23,,T. Wear misses 2-pt shot from 1 ft (block by J. Smith)
6:28.0,,,44-23,,Offensive rebound by L. Galloway
6:18.0,,,44-23,,T. Wear misses 2-pt shot from 15 ft
6:16.0,Defensive rebound by K. Love,,44-23,,
6:07.0,,,44-23,,Personal foul by L. Galloway (drawn by I. Shumpert)
5:59.0,K. Love misses 2-pt shot from 20 ft,,44-23,,
5:57.0,,,44-23,,Defensive rebound by T. Wear
5:49.0,,,44-23,,Turnover by J. Smith (lost ball; steal by K. Irving)
5:39.0,J. Smith misses 3-pt shot from 24 ft,,44-23,,
5:37.0,Offensive rebound by K. Love,,44-23,,
5:35.0,K. Love makes 2-pt shot at rim,2,46-23,,
5:18.0,,,46-23,,L. Galloway misses 2-pt shot from 15 ft
5:16.0,,,46-23,,Offensive rebound by T. Wear
5:12.0,,,46-25,2,T. Wear makes 2-pt shot from 13 ft
4:55.0,T. Thompson misses 2-pt shot from 1 ft,,46-25,,
4:53.0,Offensive rebound by T. Thompson,,46-25,,
4:53.0,T. Thompson makes 2-pt shot at rim,2,48-25,,
4:38.0,,,48-25,,Turnover by J. Calderon (back court)
4:38.0,,,48-25,,New York full timeout
4:38.0,T. Mozgov enters the game for T. Thompson,,48-25,,
4:24.0,,,48-25,,Personal foul by T. Wear (drawn by T. Mozgov)
4:24.0,,,48-25,,A. Bargnani enters the game for C. Aldrich
4:24.0,,,48-25,,L. Amundson enters the game for J. Smith
4:13.0,K. Irving makes 2-pt shot from 4 ft,2,50-25,,
3:58.0,,,50-25,,T. Wear misses 2-pt shot from 10 ft
3:56.0,Defensive rebound by I. Shumpert,,50-25,,
3:53.0,Shooting foul by J. Calderon (drawn by K. Irving),,50-25,,
3:53.0,K. Irving makes free throw 1 of 2,1,51-25,,
3:53.0,L. James enters the game for I. Shumpert,,51-25,,
3:53.0,,,51-25,,L. Thomas enters the game for T. Wear
3:53.0,K. Irving makes free throw 2 of 2,1,52-25,,
3:37.0,,,52-25,,L. Thomas misses 2-pt shot from 19 ft
3:35.0,Defensive rebound by K. Love,,52-25,,
3:21.0,J. Smith misses 3-pt shot from 23 ft,,52-25,,
3:18.0,Offensive rebound by Team,,52-25,,
3:14.0,Turnover by L. James (bad pass; steal by L. Amundson),,52-25,,
3:10.0,,,52-27,2,L. Amundson makes 2-pt shot from 1 ft
2:57.0,,,52-27,,Personal foul by L. Thomas (drawn by L. James)
2:57.0,Cleveland full timeout,,52-27,,
2:57.0,,,52-27,,T. Hardaway enters the game for L. Galloway
2:57.0,L. James makes free throw 1 of 2,1,53-27,,
2:57.0,L. James makes free throw 2 of 2,1,54-27,,
2:40.0,,,54-29,2,A. Bargnani makes 2-pt shot from 18 ft (assist by L. Thomas)
2:25.0,K. Love makes 2-pt shot from 10 ft (assist by J. Smith),2,56-29,,
2:11.0,,,56-31,2,L. Thomas makes 2-pt shot from 11 ft
1:51.0,L. James misses 2-pt shot from 1 ft,,56-31,,
