time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (P. Millsap gains possession),,,,Jump ball: P. Gasol vs. A. Horford (P. Millsap gains possession)
11:42.0,,,0-0,,K. Korver misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by T. Gibson,,0-0,,
11:28.0,Turnover by D. Rose (bad pass; steal by A. Horford),,0-0,,
11:23.0,,,0-2,2,A. Horford makes 2-pt shot at rim (assist by D. Carroll)
11:02.0,D. Rose misses 3-pt shot from 25 ft (block by J. Teague),,0-2,,
10:59.0,Offensive rebound by D. Rose,,0-2,,
10:57.0,D. Rose misses 2-pt shot from 12 ft,,0-2,,
10:56.0,Offensive rebound by Team,,0-2,,
10:49.0,J. Butler makes 3-pt shot from 23 ft (assist by D. Rose),3,3-2,,
10:28.0,,,3-5,3,D. Carroll makes 3-pt shot from 24 ft (assist by K. Korver)
10:08.0,P. Gasol makes 2-pt shot from 9 ft,2,5-5,,
9:43.0,,,5-5,,D. Carroll misses 2-pt shot from 3 ft (block by T. Gibson)
9:42.0,,,5-5,,Offensive rebound by Team
9:42.0,,,5-5,,Turnover by Team (shot clock)
9:26.0,D. Rose misses 2-pt shot from 19 ft,,5-5,,
9:25.0,,,5-5,,Defensive rebound by P. Millsap
9:08.0,,,5-5,,P. Millsap misses 2-pt shot at rim (block by P. Gasol)
9:06.0,Defensive rebound by T. Gibson,,5-5,,
9:02.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Butler),2,7-5,,
8:41.0,,,7-5,,P. Millsap misses 2-pt shot from 2 ft (block by T. Gibson)
8:40.0,Defensive rebound by J. Butler,,7-5,,
8:29.0,T. Gibson makes 2-pt shot from 1 ft,2,9-5,,
8:12.0,,,9-7,2,A. Horford makes 2-pt shot from 16 ft
7:50.0,D. Rose misses 3-pt shot from 24 ft,,9-7,,
7:49.0,,,9-7,,Defensive rebound by D. Carroll
7:44.0,,,9-7,,K. Korver misses 3-pt shot from 26 ft
7:42.0,Defensive rebound by T. Gibson,,9-7,,
7:23.0,P. Gasol misses 2-pt shot from 16 ft,,9-7,,
7:21.0,,,9-7,,Defensive rebound by P. Millsap
7:17.0,,,9-9,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
6:58.0,Turnover by D. Rose (bad pass; steal by P. Millsap),,9-9,,
6:53.0,,,9-11,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
6:30.0,J. Butler misses 2-pt shot from 6 ft,,9-11,,
6:29.0,,,9-11,,Defensive rebound by A. Horford
6:22.0,,,9-13,2,J. Teague makes 2-pt shot from 10 ft
6:09.0,,,9-13,,Personal foul by D. Carroll (drawn by J. Butler)
5:56.0,P. Gasol misses 2-pt shot from 7 ft,,9-13,,
5:54.0,,,9-13,,Defensive rebound by A. Horford
5:45.0,,,9-16,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague)
5:38.0,Chicago full timeout,,9-16,,
5:29.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Rose),3,12-16,,
5:07.0,,,12-19,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
4:51.0,J. Butler makes 2-pt shot from 19 ft (assist by D. Rose),2,14-19,,
4:32.0,,,14-19,,P. Millsap misses 2-pt shot from 7 ft
4:31.0,,,14-19,,Offensive rebound by A. Horford
4:30.0,,,14-19,,Turnover by A. Horford (lost ball; steal by J. Butler)
4:21.0,D. Rose misses 2-pt shot from 19 ft,,14-19,,
4:20.0,Offensive rebound by J. Butler,,14-19,,
4:18.0,M. Dunleavy misses 3-pt shot from 26 ft,,14-19,,
4:16.0,Offensive rebound by T. Gibson,,14-19,,
4:09.0,J. Butler misses 3-pt shot from 24 ft,,14-19,,
4:08.0,,,14-19,,Defensive rebound by A. Horford
4:04.0,Personal foul by D. Rose (drawn by J. Teague),,14-19,,
4:04.0,,,14-19,,T. Sefolosha enters the game for D. Carroll
4:04.0,,,14-19,,E. Brand enters the game for A. Horford
4:04.0,K. Hinrich enters the game for T. Gibson,,14-19,,
4:04.0,N. Mirotic enters the game for D. Rose,,14-19,,
3:56.0,,,14-19,,J. Teague misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by J. Butler,,14-19,,
3:47.0,K. Hinrich misses 2-pt shot from 20 ft,,14-19,,
3:45.0,,,14-19,,Defensive rebound by T. Sefolosha
3:38.0,,,14-21,2,J. Teague makes 2-pt shot from 5 ft
3:12.0,P. Gasol misses 2-pt shot from 13 ft (block by E. Brand),,14-21,,
3:10.0,,,14-21,,Defensive rebound by E. Brand
3:04.0,,,14-21,,J. Teague misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by P. Gasol,,14-21,,
2:55.0,N. Mirotic misses 3-pt shot from 25 ft,,14-21,,
2:54.0,,,14-21,,Defensive rebound by K. Korver
2:46.0,,,14-23,2,E. Brand makes 2-pt shot from 16 ft (assist by K. Korver)
2:23.0,K. Hinrich misses 3-pt shot from 24 ft,,14-23,,
2:21.0,,,14-23,,Defensive rebound by J. Teague
2:16.0,,,14-23,,J. Teague misses 2-pt shot from 3 ft
2:14.0,Defensive rebound by K. Hinrich,,14-23,,
2:10.0,Shooting foul by K. Korver (drawn by J. Butler),,14-23,,
2:10.0,,,14-23,,Atlanta full timeout
2:10.0,A. Brooks enters the game for M. Dunleavy,,14-23,,
2:10.0,,,14-23,,D. Schroder enters the game for J. Teague
2:10.0,J. Butler makes free throw 1 of 2,1,15-23,,
2:10.0,J. Butler makes free throw 2 of 2,1,16-23,,
