time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (D. Green gains possession)
11:43.0,,,0-2,2,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green)
11:19.0,Turnover by M. Gasol (bad pass; steal by K. Thompson),,0-2,,
11:03.0,,,0-5,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
10:43.0,C. Lee misses 3-pt shot from 24 ft,,0-5,,
10:41.0,Offensive rebound by Z. Randolph,,0-5,,
10:33.0,Z. Randolph misses 2-pt shot from 4 ft (block by A. Bogut),,0-5,,
10:33.0,Offensive rebound by Team,,0-5,,
10:29.0,,,0-5,,Personal foul by H. Barnes (drawn by J. Green)
10:19.0,J. Green makes 2-pt shot from 17 ft (assist by B. Udrih),2,2-5,,
10:09.0,,,2-5,,H. Barnes misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by M. Gasol,,2-5,,
9:52.0,C. Lee makes 2-pt shot from 1 ft (assist by J. Green),2,4-5,,
9:39.0,,,4-7,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
9:22.0,C. Lee misses 2-pt shot from 2 ft,,4-7,,
9:21.0,,,4-7,,Defensive rebound by A. Bogut
9:14.0,,,4-7,,D. Green misses 2-pt shot from 15 ft
9:14.0,Defensive rebound by C. Lee,,4-7,,
9:00.0,Z. Randolph makes 2-pt shot from 17 ft (assist by B. Udrih),2,6-7,,
8:43.0,Personal foul by B. Udrih (drawn by S. Curry),,6-7,,
8:38.0,,,6-9,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
8:18.0,Z. Randolph makes 2-pt shot from 16 ft (assist by C. Lee),2,8-9,,
8:06.0,,,8-11,2,S. Curry makes 2-pt shot from 21 ft
7:53.0,B. Udrih misses 2-pt shot from 21 ft,,8-11,,
7:51.0,,,8-11,,Defensive rebound by A. Bogut
7:42.0,,,8-11,,Shooting foul by C. Lee (drawn by K. Thompson)
7:42.0,,,8-12,1,K. Thompson makes free throw 1 of 2
7:42.0,,,8-13,1,K. Thompson makes free throw 2 of 2
7:26.0,B. Udrih makes 2-pt shot from 13 ft (assist by M. Gasol),2,10-13,,
7:07.0,,,10-15,2,S. Curry makes 2-pt shot from 1 ft
6:56.0,Turnover by J. Green (lost ball; steal by H. Barnes),,10-15,,
6:52.0,,,10-17,2,H. Barnes makes 2-pt shot at rim
6:42.0,Memphis full timeout,,10-17,,
6:36.0,Turnover by J. Green (bad pass; steal by D. Green),,10-17,,
6:29.0,,,10-20,3,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes)
