time,San Antonio,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. T. Duncan (G. Dragic gains possession),,,,Jump ball: C. Andersen vs. T. Duncan (G. Dragic gains possession)
11:39.0,,,0-0,,J. Ennis misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by T. Duncan,,0-0,,
11:27.0,T. Splitter makes 2-pt shot from 1 ft (assist by T. Parker),2,2-0,,
11:14.0,,,2-0,,Turnover by D. Wade (bad pass; steal by K. Leonard)
11:06.0,D. Green misses 3-pt shot from 24 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by C. Andersen
10:49.0,,,2-0,,D. Wade misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by T. Duncan,,2-0,,
10:33.0,T. Duncan makes 2-pt shot from 17 ft (assist by D. Green),2,4-0,,
10:21.0,,,4-0,,Turnover by G. Dragic (bad pass; steal by K. Leonard)
10:11.0,K. Leonard misses 2-pt shot from 6 ft,,4-0,,
10:10.0,Offensive rebound by T. Duncan,,4-0,,
10:07.0,D. Green misses 3-pt shot from 23 ft,,4-0,,
10:06.0,,,4-0,,Defensive rebound by C. Andersen
9:50.0,,,4-0,,G. Dragic misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by T. Splitter,,4-0,,
9:33.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan),2,6-0,,
9:18.0,,,6-0,,C. Andersen misses 2-pt shot from 20 ft
9:17.0,Defensive rebound by T. Duncan,,6-0,,
8:57.0,T. Parker misses 2-pt shot from 9 ft,,6-0,,
8:56.0,,,6-0,,Defensive rebound by J. Ennis
8:52.0,,,6-0,,Shooting foul by D. Green (drawn by G. Dragic)
8:52.0,,,6-1,1,G. Dragic makes free throw 1 of 2
8:52.0,,,6-2,1,G. Dragic makes free throw 2 of 2
8:40.0,Turnover by D. Green (bad pass; steal by J. Ennis),,6-2,,
8:36.0,,,6-2,,Shooting foul by D. Green (drawn by G. Dragic)
8:36.0,,,6-3,1,G. Dragic makes free throw 1 of 2
8:36.0,M. Ginobili enters the game for D. Green,,6-3,,
8:36.0,,,6-4,1,G. Dragic makes free throw 2 of 2
8:16.0,T. Duncan misses 2-pt shot from 17 ft,,6-4,,
8:15.0,,,6-4,,Defensive rebound by D. Wade
8:05.0,,,6-4,,D. Wade misses 2-pt shot from 11 ft
8:04.0,Defensive rebound by Team,,6-4,,
7:43.0,T. Parker makes 2-pt shot at rim,2,8-4,,
7:20.0,,,8-4,,J. Ennis misses 2-pt shot from 1 ft (block by T. Splitter)
7:19.0,Defensive rebound by T. Splitter,,8-4,,
7:01.0,K. Leonard misses 2-pt shot from 17 ft,,8-4,,
7:00.0,,,8-4,,Defensive rebound by C. Andersen
6:51.0,,,8-4,,M. Chalmers enters the game for G. Dragic
6:50.0,,,8-4,,Turnover by M. Chalmers (bad pass; steal by T. Splitter)
6:44.0,Turnover by T. Parker (lost ball; steal by M. Chalmers),,8-4,,
6:33.0,,,8-4,,J. Ennis misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by T. Duncan,,8-4,,
6:27.0,,,8-4,,Personal foul by H. Walker (drawn by T. Splitter)
6:27.0,B. Diaw enters the game for T. Splitter,,8-4,,
6:24.0,M. Ginobili makes 2-pt shot from 18 ft (assist by K. Leonard),2,10-4,,
6:08.0,,,10-4,,C. Andersen misses 2-pt shot from 1 ft (block by T. Duncan)
6:07.0,,,10-4,,Offensive rebound by Team
6:04.0,,,10-4,,C. Andersen misses 2-pt shot at rim (block by T. Duncan)
6:03.0,,,10-4,,Offensive rebound by C. Andersen
5:56.0,,,10-4,,D. Wade misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by T. Parker,,10-4,,
5:47.0,,,10-4,,Miami full timeout
5:33.0,T. Parker misses 2-pt shot from 19 ft,,10-4,,
5:32.0,,,10-4,,Defensive rebound by J. Ennis
5:26.0,,,10-6,2,D. Wade makes 2-pt shot from 15 ft
5:06.0,M. Ginobili misses 3-pt shot from 24 ft,,10-6,,
5:05.0,,,10-6,,Defensive rebound by J. Ennis
4:54.0,P. Mills enters the game for T. Parker,,10-6,,
4:44.0,,,10-8,2,M. Chalmers makes 2-pt shot from 16 ft
4:35.0,Turnover by M. Ginobili (bad pass),,10-8,,
4:35.0,A. Baynes enters the game for T. Duncan,,10-8,,
4:16.0,,,10-10,2,M. Chalmers makes 2-pt shot from 2 ft
3:58.0,B. Diaw misses 2-pt shot from 8 ft,,10-10,,
3:57.0,Offensive rebound by Team,,10-10,,
3:57.0,,,10-10,,Loose ball foul by J. Ennis (drawn by A. Baynes)
3:57.0,,,10-10,,H. Whiteside enters the game for C. Andersen
3:57.0,,,10-10,,G. Dragic enters the game for D. Wade
3:57.0,C. Joseph enters the game for P. Mills,,10-10,,
3:42.0,K. Leonard makes 3-pt shot from 23 ft (assist by B. Diaw),3,13-10,,
3:24.0,,,13-10,,Offensive charge foul by G. Dragic
3:24.0,,,13-10,,Turnover by G. Dragic (offensive foul)
3:24.0,M. Belinelli enters the game for K. Leonard,,13-10,,
3:10.0,,,13-10,,Personal foul by J. Ennis (drawn by M. Ginobili)
3:10.0,,,13-10,,T. Johnson enters the game for J. Ennis
3:05.0,,,13-10,,Personal foul by H. Walker (drawn by A. Baynes)
2:57.0,Turnover by M. Ginobili (bad pass),,13-10,,
2:57.0,San Antonio full timeout,,13-10,,
2:57.0,,,13-10,,M. Beasley enters the game for H. Walker
2:39.0,,,13-10,,G. Dragic misses 2-pt shot from 10 ft
2:38.0,Defensive rebound by M. Belinelli,,13-10,,
2:33.0,Turnover by M. Ginobili (bad pass; steal by T. Johnson),,13-10,,
2:32.0,Personal foul by M. Belinelli (drawn by T. Johnson),,13-10,,
2:13.0,,,13-12,2,H. Whiteside makes 2-pt shot from 4 ft (assist by M. Chalmers)
1:56.0,B. Diaw misses 2-pt shot from 1 ft (block by H. Whiteside),,13-12,,
1:55.0,Offensive rebound by Team,,13-12,,
1:52.0,Turnover by C. Joseph (bad pass; steal by T. Johnson),,13-12,,
1:48.0,,,13-14,2,G. Dragic makes 2-pt shot from 1 ft
1:48.0,San Antonio full timeout,,13-14,,
1:36.0,M. Ginobili misses 2-pt shot from 1 ft (block by H. Whiteside),,13-14,,
1:35.0,Offensive rebound by Team,,13-14,,
1:32.0,M. Belinelli misses 2-pt shot from 15 ft,,13-14,,
1:30.0,Offensive rebound by B. Diaw,,13-14,,
1:23.0,M. Belinelli makes 3-pt shot from 24 ft (assist by M. Ginobili),3,16-14,,
1:00.0,,,16-16,2,M. Beasley makes 2-pt shot from 9 ft
0:47.0,B. Diaw makes 3-pt shot from 25 ft (assist by M. Belinelli),3,19-16,,
0:32.0,,,19-18,2,H. Whiteside makes 2-pt shot from 13 ft (assist by G. Dragic)
0:13.0,Turnover by M. Ginobili (lost ball; steal by H. Whiteside),,19-18,,
0:09.0,,,19-20,2,G. Dragic makes 2-pt shot from 2 ft (assist by H. Whiteside)
0:01.0,B. Diaw misses 3-pt shot from 24 ft,,19-20,,
0:00.0,Offensive rebound by Team,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Turnover by T. Splitter (bad pass),,19-20,,
11:39.0,,,19-20,,G. Dragic misses 2-pt shot from 8 ft
11:38.0,,,19-20,,Offensive rebound by H. Whiteside
11:38.0,Personal foul by K. Leonard (drawn by H. Whiteside),,19-20,,
11:30.0,,,19-20,,Turnover by M. Chalmers (bad pass)
11:14.0,T. Splitter makes 2-pt shot at rim (assist by M. Belinelli),2,21-20,,
10:55.0,,,21-20,,M. Beasley misses 2-pt shot from 16 ft
10:54.0,Defensive rebound by M. Bonner,,21-20,,
10:42.0,Turnover by T. Parker (bad pass; steal by T. Johnson),,21-20,,
10:24.0,,,21-20,,G. Dragic misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by K. Leonard,,21-20,,
10:10.0,T. Parker makes 2-pt shot from 1 ft,2,23-20,,
9:51.0,,,23-20,,Turnover by M. Beasley (traveling)
9:51.0,,,23-20,,Violation by Team (delay of game)
9:40.0,M. Bonner makes 3-pt shot from 24 ft (assist by T. Parker),3,26-20,,
9:40.0,,,26-20,,Miami full timeout
9:40.0,D. Green enters the game for K. Leonard,,26-20,,
9:19.0,,,26-22,2,T. Johnson makes 2-pt shot from 12 ft (assist by M. Chalmers)
8:59.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Parker),3,29-22,,
8:42.0,,,29-25,3,M. Chalmers makes 3-pt shot from 24 ft (assist by G. Dragic)
8:29.0,Shooting foul by M. Beasley (drawn by T. Splitter),,29-25,,
8:29.0,T. Splitter misses free throw 1 of 2,,29-25,,
8:29.0,Offensive rebound by Team,,29-25,,
8:29.0,K. Leonard enters the game for D. Green,,29-25,,
8:29.0,,,29-25,,D. Wade enters the game for G. Dragic
8:29.0,T. Splitter makes free throw 2 of 2,1,30-25,,
8:13.0,,,30-25,,T. Johnson misses 3-pt shot from 23 ft
8:12.0,Defensive rebound by T. Splitter,,30-25,,
8:02.0,T. Parker misses 2-pt shot from 12 ft,,30-25,,
8:00.0,,,30-25,,Defensive rebound by H. Whiteside
7:52.0,,,30-25,,D. Wade misses 2-pt shot from 9 ft (block by K. Leonard)
7:51.0,Defensive rebound by M. Belinelli,,30-25,,
7:40.0,M. Belinelli misses 2-pt shot from 10 ft,,30-25,,
7:39.0,,,30-25,,Defensive rebound by H. Whiteside
7:33.0,,,30-27,2,T. Johnson makes 2-pt shot from 2 ft (assist by M. Chalmers)
7:24.0,Shooting foul by D. Wade (drawn by K. Leonard),,30-27,,
7:24.0,K. Leonard makes free throw 1 of 2,1,31-27,,
7:24.0,,,31-27,,J. Ennis enters the game for T. Johnson
7:24.0,T. Duncan enters the game for T. Splitter,,31-27,,
7:24.0,K. Leonard misses free throw 2 of 2,,31-27,,
7:23.0,,,31-27,,Defensive rebound by M. Beasley
7:06.0,,,31-29,2,D. Wade makes 2-pt shot from 11 ft
6:34.0,K. Leonard makes 2-pt shot from 13 ft,2,33-29,,
6:22.0,,,33-31,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
6:22.0,San Antonio full timeout,,33-31,,
6:22.0,,,33-31,,G. Dragic enters the game for M. Chalmers
6:04.0,T. Duncan misses 2-pt shot from 16 ft,,33-31,,
6:03.0,,,33-31,,Defensive rebound by D. Wade
5:55.0,,,33-33,2,D. Wade makes 2-pt shot from 13 ft
5:34.0,,,33-33,,Personal foul by H. Whiteside (drawn by T. Duncan)
5:30.0,T. Parker misses 2-pt shot from 11 ft,,33-33,,
5:29.0,,,33-33,,Defensive rebound by H. Whiteside
5:18.0,,,33-33,,H. Whiteside misses 2-pt shot from 6 ft (block by T. Duncan)
5:17.0,Defensive rebound by K. Leonard,,33-33,,
5:11.0,K. Leonard makes 2-pt shot from 18 ft,2,35-33,,
4:42.0,,,35-33,,G. Dragic misses 2-pt shot from 12 ft
4:41.0,,,35-33,,Offensive rebound by G. Dragic
4:38.0,Personal foul by T. Parker (drawn by H. Whiteside),,35-33,,
4:38.0,,,35-33,,C. Andersen enters the game for H. Whiteside
4:38.0,,,35-33,,H. Walker enters the game for M. Beasley
4:38.0,C. Joseph enters the game for T. Parker,,35-33,,
4:38.0,B. Diaw enters the game for M. Bonner,,35-33,,
4:32.0,,,35-35,2,D. Wade makes 2-pt shot from 16 ft
4:17.0,T. Duncan makes 2-pt shot from 1 ft (assist by C. Joseph),2,37-35,,
3:55.0,,,37-35,,J. Ennis misses 2-pt shot from 20 ft
3:54.0,Defensive rebound by T. Duncan,,37-35,,
3:35.0,K. Leonard makes 2-pt shot from 11 ft,2,39-35,,
3:16.0,,,39-37,2,H. Walker makes 2-pt shot from 12 ft
2:52.0,C. Joseph misses 2-pt shot from 1 ft (block by C. Andersen),,39-37,,
2:51.0,,,39-37,,Defensive rebound by D. Wade
2:51.0,Official timeout,,39-37,,
2:35.0,,,39-37,,Turnover by C. Andersen (3 sec)
2:14.0,T. Duncan misses 2-pt shot from 8 ft,,39-37,,
2:13.0,,,39-37,,Defensive rebound by D. Wade
2:05.0,,,39-37,,D. Wade misses 2-pt shot from 12 ft
2:04.0,,,39-37,,Offensive rebound by D. Wade
2:01.0,Jump ball: T. Duncan vs. D. Wade (H. Walker gains possession),,,,Jump ball: T. Duncan vs. D. Wade (H. Walker gains possession)
1:56.0,,,39-37,,Turnover by J. Ennis (bad pass; steal by C. Joseph)
1:52.0,C. Joseph makes 2-pt shot from 2 ft,2,41-37,,
1:36.0,,,41-37,,D. Wade misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by T. Duncan,,41-37,,
1:30.0,B. Diaw makes 2-pt shot at rim (assist by K. Leonard),2,43-37,,
1:28.0,,,43-37,,Miami full timeout
1:28.0,,,43-37,,M. Chalmers enters the game for J. Ennis
1:03.0,,,43-37,,C. Andersen misses 2-pt shot from 14 ft
1:02.0,Defensive rebound by T. Duncan,,43-37,,
0:49.0,B. Diaw makes 2-pt shot from 8 ft,2,45-37,,
0:33.0,,,45-39,2,D. Wade makes 2-pt shot from 2 ft
0:08.0,M. Belinelli misses 3-pt shot from 24 ft,,45-39,,
0:07.0,Offensive rebound by K. Leonard,,45-39,,
0:03.0,T. Duncan makes 2-pt shot from 1 ft (assist by C. Joseph),2,47-39,,
0:00.0,,,47-42,3,M. Chalmers makes 3-pt shot from 53 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by T. Splitter (bad pass; steal by C. Andersen),,47-42,,
11:29.0,,,47-42,,Offensive foul by C. Andersen
11:29.0,,,47-42,,Turnover by C. Andersen (offensive foul)
11:17.0,Turnover by K. Leonard (bad pass; steal by C. Andersen),,47-42,,
11:12.0,,,47-42,,C. Andersen misses 2-pt shot at rim
11:11.0,Defensive rebound by T. Duncan,,47-42,,
10:55.0,T. Parker makes 2-pt shot at rim,2,49-42,,
10:37.0,,,49-45,3,G. Dragic makes 3-pt shot from 23 ft (assist by C. Andersen)
10:19.0,T. Splitter misses 2-pt shot from 5 ft,,49-45,,
10:18.0,Offensive rebound by T. Duncan,,49-45,,
10:17.0,T. Duncan makes 2-pt shot at rim,2,51-45,,
9:56.0,,,51-48,3,J. Ennis makes 3-pt shot from 24 ft (assist by G. Dragic)
9:50.0,San Antonio full timeout,,51-48,,
9:50.0,B. Diaw enters the game for T. Splitter,,51-48,,
9:36.0,Turnover by B. Diaw (3 sec),,51-48,,
9:15.0,,,51-48,,J. Ennis misses 3-pt shot from 25 ft
9:14.0,,,51-48,,Offensive rebound by C. Andersen
9:13.0,,,51-48,,C. Andersen misses 2-pt shot from 1 ft
9:12.0,,,51-48,,Offensive rebound by J. Ennis
9:11.0,,,51-48,,Shooting foul by T. Duncan (drawn by J. Ennis)
9:11.0,,,51-49,1,J. Ennis makes free throw 1 of 2
9:11.0,M. Bonner enters the game for B. Diaw,,51-49,,
9:11.0,,,51-50,1,J. Ennis makes free throw 2 of 2
8:50.0,M. Bonner makes 3-pt shot from 24 ft (assist by T. Parker),3,54-50,,
8:35.0,,,54-50,,Turnover by D. Wade (bad pass; steal by T. Duncan)
8:18.0,Turnover by T. Parker (offensive foul),,54-50,,
8:18.0,Offensive charge foul by T. Parker,,54-50,,
7:59.0,,,54-50,,D. Wade misses 2-pt shot from 14 ft
7:58.0,Defensive rebound by K. Leonard,,54-50,,
7:57.0,,,54-50,,Personal foul by J. Ennis (drawn by K. Leonard)
7:46.0,T. Parker makes 2-pt shot from 18 ft,2,56-50,,
7:35.0,,,56-52,2,G. Dragic makes 2-pt shot at rim
7:22.0,T. Duncan misses 2-pt shot from 4 ft (block by C. Andersen),,56-52,,
7:21.0,,,56-52,,Defensive rebound by C. Andersen
7:14.0,,,56-52,,Turnover by C. Andersen (lost ball; steal by T. Parker)
7:11.0,,,56-52,,Shooting block foul by G. Dragic (drawn by T. Parker)
7:11.0,T. Parker makes free throw 1 of 2,1,57-52,,
7:11.0,,,57-52,,H. Whiteside enters the game for C. Andersen
7:11.0,,,57-52,,M. Chalmers enters the game for G. Dragic
7:11.0,T. Parker makes free throw 2 of 2,1,58-52,,
