time,Memphis,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Valanciunas (M. Conley gains possession),,,,Jump ball: M. Gasol vs. J. Valanciunas (M. Conley gains possession)
11:42.0,Z. Randolph misses 2-pt shot from 5 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Valanciunas
11:26.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by K. Lowry)
10:57.0,T. Prince misses 2-pt shot from 13 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by K. Lowry
10:38.0,,,0-5,3,K. Lowry makes 3-pt shot from 24 ft
10:26.0,M. Conley misses 2-pt shot from 7 ft,,0-5,,
10:25.0,,,0-5,,Defensive rebound by J. Valanciunas
10:22.0,,,0-5,,Turnover by J. Valanciunas (bad pass; steal by Z. Randolph)
10:10.0,Z. Randolph misses 2-pt shot from 5 ft (block by J. Valanciunas),,0-5,,
10:09.0,,,0-5,,Defensive rebound by D. DeRozan
9:59.0,,,0-5,,Shooting foul by M. Gasol (drawn by J. Valanciunas)
9:59.0,,,0-6,1,J. Valanciunas makes free throw 1 of 2
9:59.0,,,0-7,1,J. Valanciunas makes free throw 2 of 2
9:37.0,Q. Pondexter misses 3-pt shot from 26 ft,,0-7,,
9:36.0,,,0-7,,Defensive rebound by D. DeRozan
9:20.0,,,0-9,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry)
8:59.0,M. Gasol makes 2-pt shot from 5 ft,2,2-9,,
8:34.0,,,2-9,,A. Johnson misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by M. Gasol,,2-9,,
8:20.0,Z. Randolph makes 2-pt shot from 5 ft (assist by Q. Pondexter),2,4-9,,
8:00.0,,,4-9,,J. Valanciunas misses 2-pt shot from 4 ft
7:59.0,Defensive rebound by Z. Randolph,,4-9,,
7:52.0,Q. Pondexter misses 3-pt shot from 22 ft,,4-9,,
7:51.0,,,4-9,,Defensive rebound by K. Lowry
7:39.0,,,4-9,,T. Ross misses 2-pt shot from 15 ft (block by Q. Pondexter)
7:37.0,Defensive rebound by T. Prince,,4-9,,
7:32.0,M. Conley makes 2-pt shot from 17 ft (assist by T. Prince),2,6-9,,
7:08.0,,,6-9,,D. DeRozan misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by M. Conley,,6-9,,
6:57.0,Q. Pondexter makes 2-pt shot at rim (assist by M. Gasol),2,8-9,,
6:38.0,,,8-11,2,D. DeRozan makes 2-pt shot from 18 ft (assist by A. Johnson)
6:15.0,M. Gasol misses 2-pt shot from 11 ft,,8-11,,
6:14.0,,,8-11,,Defensive rebound by D. DeRozan
6:06.0,,,8-11,,T. Ross misses 3-pt shot from 22 ft
6:05.0,Defensive rebound by M. Gasol,,8-11,,
6:00.0,M. Conley misses 2-pt shot from 4 ft (block by J. Valanciunas),,8-11,,
5:58.0,Offensive rebound by M. Conley,,8-11,,
5:54.0,Turnover by T. Prince (lost ball),,8-11,,
5:54.0,,,8-11,,Toronto full timeout
5:37.0,,,8-11,,K. Lowry misses 2-pt shot from 15 ft
5:36.0,Defensive rebound by M. Conley,,8-11,,
5:27.0,T. Prince makes 2-pt shot at rim (assist by M. Conley),2,10-11,,
5:08.0,,,10-13,2,D. DeRozan makes 2-pt shot from 13 ft (assist by K. Lowry)
4:43.0,Q. Pondexter misses 2-pt shot from 10 ft,,10-13,,
4:41.0,,,10-13,,Defensive rebound by A. Johnson
4:30.0,Personal foul by M. Conley (drawn by D. DeRozan),,10-13,,
4:30.0,V. Carter enters the game for Q. Pondexter,,10-13,,
4:23.0,,,10-15,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
4:01.0,T. Prince makes 2-pt shot at rim (assist by V. Carter),2,12-15,,
3:30.0,,,12-15,,T. Ross misses 3-pt shot from 22 ft
3:29.0,Defensive rebound by Z. Randolph,,12-15,,
3:22.0,Turnover by M. Conley (bad pass; steal by D. DeRozan),,12-15,,
3:10.0,,,12-15,,K. Lowry misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by M. Gasol,,12-15,,
2:56.0,M. Gasol makes 2-pt shot from 16 ft (assist by M. Conley),2,14-15,,
2:39.0,,,14-15,,J. Valanciunas misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by M. Conley,,14-15,,
2:23.0,M. Gasol makes 2-pt shot from 5 ft,2,16-15,,
2:14.0,,,16-15,,Toronto full timeout
2:14.0,Memphis full timeout,,16-15,,
2:14.0,,,16-15,,G. Vasquez enters the game for T. Ross
2:14.0,,,16-15,,P. Patterson enters the game for J. Valanciunas
2:14.0,K. Lucas enters the game for M. Conley,,16-15,,
2:00.0,,,16-17,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
1:42.0,M. Gasol misses 2-pt shot from 5 ft,,16-17,,
1:41.0,Offensive rebound by Z. Randolph,,16-17,,
1:40.0,Z. Randolph makes 2-pt shot from 1 ft,2,18-17,,
1:28.0,,,18-17,,G. Vasquez misses 3-pt shot from 25 ft (block by V. Carter)
1:27.0,Defensive rebound by Z. Randolph,,18-17,,
1:11.0,T. Prince makes 2-pt shot from 19 ft (assist by V. Carter),2,20-17,,
0:49.0,,,20-19,2,D. DeRozan makes 2-pt shot from 14 ft
0:32.0,K. Lucas misses 2-pt shot from 14 ft,,20-19,,
0:32.0,Offensive rebound by Team,,20-19,,
0:32.0,,,20-19,,Loose ball foul by G. Vasquez (drawn by Z. Randolph)
0:32.0,,,20-19,,L. Williams enters the game for K. Lowry
0:32.0,M. Conley enters the game for K. Lucas,,20-19,,
0:32.0,J. Adams enters the game for T. Prince,,20-19,,
0:32.0,,,20-19,,T. Hansbrough enters the game for A. Johnson
0:16.0,Z. Randolph misses 2-pt shot from 20 ft,,20-19,,
0:15.0,,,20-19,,Defensive rebound by L. Williams
0:00.0,,,20-22,3,G. Vasquez makes 3-pt shot from 27 ft (assist by L. Williams)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-25,3,P. Patterson makes 3-pt shot from 26 ft (assist by G. Vasquez)
11:28.0,V. Carter misses 3-pt shot from 27 ft,,20-25,,
11:27.0,,,20-25,,Defensive rebound by L. Williams
11:21.0,Personal foul by J. Adams (drawn by L. Williams),,20-25,,
11:08.0,,,20-25,,G. Vasquez misses 2-pt shot from 8 ft
11:07.0,Defensive rebound by M. Gasol,,20-25,,
