time,Minnesota,pts.away,score,pts.home,Detroit
7:48.0,N. Pekovic makes 2-pt shot from 6 ft (assist by T. Young),2,15-8,,
7:38.0,,,15-8,,Offensive foul by A. Drummond
7:38.0,,,15-8,,Turnover by A. Drummond (offensive foul)
7:38.0,,,15-8,,A. Tolliver enters the game for A. Drummond
7:26.0,K. Martin makes 2-pt shot from 16 ft (assist by M. Williams),2,17-8,,
7:05.0,,,17-8,,D. Augustin misses 2-pt shot at rim
7:03.0,Defensive rebound by A. Wiggins,,17-8,,
6:49.0,N. Pekovic misses 2-pt shot from 7 ft,,17-8,,
6:49.0,Offensive rebound by Team,,17-8,,
6:49.0,,,17-8,,Loose ball foul by D. Augustin (drawn by A. Wiggins)
6:41.0,N. Pekovic misses 2-pt shot from 2 ft,,17-8,,
6:41.0,Offensive rebound by N. Pekovic,,17-8,,
6:41.0,Shooting foul by A. Tolliver (drawn by N. Pekovic),,17-8,,
6:41.0,N. Pekovic makes free throw 1 of 2,1,18-8,,
6:41.0,N. Pekovic makes free throw 2 of 2,1,19-8,,
6:27.0,,,19-8,,D. Augustin misses 2-pt shot from 4 ft
6:26.0,Defensive rebound by K. Martin,,19-8,,
6:22.0,K. Martin misses 3-pt shot from 26 ft,,19-8,,
6:19.0,,,19-8,,Defensive rebound by G. Monroe
6:10.0,,,19-11,3,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Augustin)
5:48.0,A. Wiggins misses 2-pt shot from 6 ft,,19-11,,
5:47.0,,,19-11,,Defensive rebound by G. Monroe
5:39.0,,,19-11,,D. Augustin misses 2-pt shot from 3 ft (block by A. Wiggins)
5:37.0,,,19-11,,Offensive rebound by G. Monroe
5:37.0,,,19-13,2,G. Monroe makes 2-pt shot at rim
5:37.0,Minnesota full timeout,,19-13,,
5:19.0,N. Pekovic makes 2-pt shot at rim (assist by M. Williams),2,21-13,,
5:00.0,,,21-16,3,A. Tolliver makes 3-pt shot from 23 ft (assist by K. Singler)
4:41.0,Turnover by T. Young (lost ball; steal by K. Caldwell-Pope),,21-16,,
4:35.0,,,21-16,,D. Augustin misses 2-pt shot at rim
4:32.0,Defensive rebound by A. Wiggins,,21-16,,
4:29.0,T. Young makes 2-pt shot from 1 ft (assist by A. Wiggins),2,23-16,,
4:15.0,Personal foul by A. Wiggins (drawn by K. Singler),,23-16,,
4:15.0,Z. LaVine enters the game for K. Martin,,23-16,,
4:15.0,A. Bennett enters the game for T. Young,,23-16,,
4:07.0,,,23-19,3,D. Augustin makes 3-pt shot from 26 ft
3:48.0,Turnover by A. Bennett (traveling),,23-19,,
3:35.0,,,23-22,3,K. Singler makes 3-pt shot from 26 ft (assist by D. Augustin)
3:22.0,M. Williams makes 3-pt shot from 28 ft,3,26-22,,
3:06.0,,,26-22,,K. Caldwell-Pope misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by M. Williams,,26-22,,
2:51.0,A. Wiggins makes 2-pt shot at rim,2,28-22,,
2:37.0,,,28-22,,Turnover by G. Monroe (lost ball; steal by N. Pekovic)
2:29.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,30-22,,
2:09.0,,,30-22,,J. Meeks enters the game for K. Caldwell-Pope
2:09.0,G. Dieng enters the game for N. Pekovic,,30-22,,
2:06.0,,,30-22,,D. Augustin misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by Z. LaVine,,30-22,,
1:39.0,Turnover by A. Wiggins (bad pass; steal by G. Monroe),,30-22,,
