time,Minnesota,pts.away,score,pts.home,Detroit
1:16.0,,,105-95,1,A. Tolliver makes free throw 3 of 3
1:16.0,Minnesota full timeout,,105-95,,
1:10.0,Turnover by M. Williams (bad pass; steal by K. Caldwell-Pope),,105-95,,
1:09.0,,,105-97,2,K. Caldwell-Pope makes 2-pt shot at rim
1:03.0,,,105-97,,Personal foul by A. Drummond (drawn by N. Pekovic)
1:02.0,,,105-97,,Personal foul by K. Singler (drawn by N. Pekovic)
1:02.0,N. Pekovic makes free throw 1 of 2,1,106-97,,
1:02.0,,,106-97,,G. Monroe enters the game for A. Tolliver
1:02.0,N. Pekovic makes free throw 2 of 2,1,107-97,,
1:02.0,,,107-97,,Detroit full timeout
0:59.0,,,107-97,,K. Caldwell-Pope misses 3-pt shot from 27 ft
0:58.0,Defensive rebound by A. Wiggins,,107-97,,
0:54.0,,,107-97,,Personal foul by K. Caldwell-Pope (drawn by K. Martin)
0:54.0,K. Martin makes free throw 1 of 2,1,108-97,,
0:54.0,K. Martin makes free throw 2 of 2,1,109-97,,
0:54.0,,,109-97,,Detroit full timeout
0:49.0,,,109-99,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by K. Singler)
0:45.0,Minnesota full timeout,,109-99,,
0:45.0,Minnesota full timeout,,109-99,,
0:37.0,,,109-99,,Personal foul by D. Augustin (drawn by M. Williams)
0:37.0,M. Williams misses free throw 1 of 2,,109-99,,
0:37.0,Offensive rebound by Team,,109-99,,
0:37.0,M. Williams makes free throw 2 of 2,1,110-99,,
0:23.0,,,110-99,,D. Augustin misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by K. Martin,,110-99,,
0:23.0,,,110-99,,Personal foul by A. Drummond (drawn by K. Martin)
0:23.0,,,110-99,,A. Tolliver enters the game for A. Drummond
0:23.0,K. Martin makes free throw 1 of 2,1,111-99,,
0:23.0,Z. LaVine enters the game for M. Williams,,111-99,,
0:23.0,A. Bennett enters the game for N. Pekovic,,111-99,,
0:23.0,K. Martin makes free throw 2 of 2,1,112-99,,
0:13.0,,,112-101,2,D. Augustin makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
