time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Duncan (D. Green gains possession),,,,Jump ball: A. Davis vs. T. Duncan (D. Green gains possession)
11:39.0,,,0-2,2,D. Green makes 2-pt shot from 18 ft
11:17.0,T. Evans makes 3-pt shot from 23 ft (assist by J. Holiday),3,3-2,,
10:53.0,,,3-2,,T. Duncan misses 2-pt shot from 16 ft
10:52.0,Defensive rebound by A. Davis,,3-2,,
10:36.0,A. Davis misses 2-pt shot from 3 ft,,3-2,,
10:35.0,,,3-2,,Defensive rebound by K. Leonard
10:27.0,,,3-4,2,T. Parker makes 2-pt shot from 6 ft
10:09.0,T. Evans misses 2-pt shot from 3 ft (block by K. Leonard),,3-4,,
10:08.0,Offensive rebound by Team,,3-4,,
10:05.0,A. Davis makes 2-pt shot from 9 ft (assist by T. Evans),2,5-4,,
9:42.0,,,5-7,3,D. Green makes 3-pt shot from 26 ft (assist by T. Parker)
9:26.0,A. Davis makes 2-pt shot from 16 ft (assist by E. Gordon),2,7-7,,
9:11.0,,,7-10,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
8:55.0,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday),2,9-10,,
8:41.0,,,9-10,,B. Diaw misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by T. Evans,,9-10,,
8:30.0,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans),2,11-10,,
8:18.0,,,11-12,2,T. Parker makes 2-pt shot from 15 ft
7:59.0,J. Holiday makes 2-pt shot from 9 ft,2,13-12,,
7:47.0,,,13-12,,Turnover by B. Diaw (lost ball; steal by J. Holiday)
7:42.0,E. Gordon makes 2-pt shot from 2 ft (assist by J. Holiday),2,15-12,,
7:27.0,,,15-12,,Turnover by T. Parker (lost ball)
7:17.0,J. Holiday misses 2-pt shot from 16 ft,,15-12,,
7:16.0,,,15-12,,Defensive rebound by K. Leonard
7:03.0,,,15-12,,T. Parker misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by O. Asik,,15-12,,
6:48.0,A. Davis misses 2-pt shot from 9 ft (block by B. Diaw),,15-12,,
6:47.0,,,15-12,,Defensive rebound by B. Diaw
6:42.0,,,15-12,,D. Green misses 3-pt shot from 26 ft (block by A. Davis)
6:40.0,,,15-12,,Offensive rebound by B. Diaw
6:38.0,,,15-14,2,D. Green makes 2-pt shot from 1 ft (assist by B. Diaw)
6:38.0,New Orleans full timeout,,15-14,,
6:25.0,T. Evans misses 3-pt shot from 25 ft,,15-14,,
6:23.0,Offensive rebound by O. Asik,,15-14,,
6:16.0,J. Holiday makes 2-pt shot from 13 ft,2,17-14,,
6:16.0,,,17-14,,B. Diaw misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by O. Asik,,17-14,,
5:49.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,20-14,,
5:32.0,,,20-16,2,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan)
5:20.0,Shooting foul by T. Parker (drawn by A. Davis),,20-16,,
5:20.0,A. Davis makes free throw 1 of 2,1,21-16,,
5:20.0,,,21-16,,M. Ginobili enters the game for K. Leonard
5:20.0,A. Davis makes free throw 2 of 2,1,22-16,,
5:07.0,,,22-16,,Turnover by T. Parker (lost ball)
4:46.0,A. Davis misses 2-pt shot from 12 ft,,22-16,,
4:45.0,,,22-16,,Defensive rebound by T. Duncan
4:36.0,,,22-16,,D. Green misses 3-pt shot from 26 ft
4:35.0,,,22-16,,Offensive rebound by T. Duncan
4:29.0,,,22-19,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
4:15.0,J. Holiday misses 2-pt shot from 15 ft,,22-19,,
4:14.0,,,22-19,,Defensive rebound by T. Parker
4:06.0,,,22-19,,Turnover by T. Parker (bad pass; steal by A. Davis)
4:01.0,T. Evans misses 2-pt shot from 1 ft (block by D. Green),,22-19,,
4:00.0,Offensive rebound by E. Gordon,,22-19,,
4:00.0,E. Gordon makes 2-pt shot at rim,2,24-19,,
3:45.0,,,24-19,,Turnover by M. Ginobili (bad pass)
3:45.0,A. Rivers enters the game for T. Evans,,24-19,,
3:45.0,R. Anderson enters the game for O. Asik,,24-19,,
3:45.0,,,24-19,,A. Daye enters the game for B. Diaw
3:25.0,R. Anderson misses 2-pt shot from 19 ft,,24-19,,
3:24.0,,,24-19,,Defensive rebound by D. Green
3:11.0,,,24-21,2,T. Parker makes 2-pt shot from 17 ft
2:44.0,A. Rivers misses 2-pt shot from 4 ft (block by D. Green),,24-21,,
2:43.0,,,24-21,,Defensive rebound by T. Parker
2:42.0,,,24-21,,Turnover by T. Parker (lost ball; steal by E. Gordon)
2:40.0,Turnover by A. Davis (bad pass),,24-21,,
2:40.0,,,24-21,,San Antonio full timeout
2:40.0,,,24-21,,C. Joseph enters the game for T. Parker
2:22.0,,,24-21,,C. Joseph misses 2-pt shot at rim (block by A. Davis)
2:21.0,Defensive rebound by A. Davis,,24-21,,
2:13.0,J. Holiday makes 2-pt shot from 5 ft,2,26-21,,
1:59.0,,,26-21,,M. Ginobili misses 2-pt shot from 6 ft
1:57.0,Defensive rebound by A. Davis,,26-21,,
1:48.0,Shooting foul by C. Joseph (drawn by A. Davis),,26-21,,
1:48.0,A. Davis makes free throw 1 of 2,1,27-21,,
1:48.0,J. Fredette enters the game for J. Holiday,,27-21,,
1:48.0,J. Salmons enters the game for E. Gordon,,27-21,,
1:48.0,A. Davis makes free throw 2 of 2,1,28-21,,
1:37.0,,,28-21,,Turnover by A. Daye (bad pass; steal by R. Anderson)
1:19.0,A. Rivers makes 2-pt shot from 5 ft,2,30-21,,
1:03.0,,,30-21,,Shooting foul by A. Davis (drawn by T. Duncan)
1:03.0,,,30-22,1,T. Duncan makes free throw 1 of 2
1:03.0,,,30-22,,K. Leonard enters the game for D. Green
1:03.0,A. Ajinca enters the game for A. Davis,,30-22,,
1:03.0,,,30-23,1,T. Duncan makes free throw 2 of 2
0:39.0,R. Anderson misses 3-pt shot from 24 ft,,30-23,,
0:38.0,,,30-23,,Defensive rebound by Team
0:37.0,,,30-23,,B. Diaw enters the game for T. Duncan
0:28.0,,,30-23,,Turnover by B. Diaw (traveling)
0:11.0,J. Fredette misses 3-pt shot from 23 ft,,30-23,,
0:09.0,,,30-23,,Defensive rebound by A. Daye
0:00.0,,,30-23,,C. Joseph misses 2-pt shot from 3 ft
0:00.0,,,30-23,,Offensive rebound by B. Diaw
0:00.0,,,30-23,,B. Diaw misses 2-pt shot at rim
0:00.0,Defensive rebound by R. Anderson,,30-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Anderson misses 2-pt shot from 12 ft,,30-23,,
11:41.0,,,30-23,,Defensive rebound by K. Leonard
11:29.0,,,30-26,3,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard)
11:14.0,,,30-26,,Personal foul by C. Joseph (drawn by A. Rivers)
11:00.0,A. Ajinca makes 2-pt shot from 14 ft (assist by J. Salmons),2,32-26,,
10:40.0,,,32-29,3,M. Ginobili makes 3-pt shot from 23 ft
10:21.0,A. Rivers misses 3-pt shot from 22 ft,,32-29,,
10:21.0,,,32-29,,Defensive rebound by Team
10:21.0,Loose ball foul by A. Ajinca (drawn by A. Baynes),,32-29,,
10:21.0,,,32-29,,J. Ayres enters the game for A. Baynes
10:05.0,,,32-31,2,M. Ginobili makes 2-pt shot from 2 ft
9:37.0,J. Fredette makes 2-pt shot from 17 ft,2,34-31,,
9:23.0,,,34-31,,C. Joseph misses 2-pt shot from 3 ft
9:22.0,,,34-31,,Offensive rebound by J. Ayres
9:20.0,Shooting block foul by A. Ajinca (drawn by K. Leonard),,34-31,,
9:20.0,,,34-31,,K. Leonard misses free throw 1 of 2
9:20.0,,,34-31,,Offensive rebound by Team
9:20.0,,,34-31,,A. Baynes enters the game for J. Ayres
9:20.0,,,34-31,,T. Parker enters the game for M. Ginobili
9:20.0,,,34-32,1,K. Leonard makes free throw 2 of 2
8:59.0,R. Anderson misses 2-pt shot from 13 ft,,34-32,,
8:58.0,,,34-32,,Defensive rebound by K. Leonard
8:50.0,,,34-32,,C. Joseph misses 3-pt shot from 23 ft
8:48.0,,,34-32,,Offensive rebound by K. Leonard
8:38.0,,,34-32,,K. Leonard misses 2-pt shot from 13 ft
8:37.0,Defensive rebound by A. Ajinca,,34-32,,
8:29.0,R. Anderson makes 3-pt shot from 23 ft,3,37-32,,
8:29.0,,,37-32,,San Antonio full timeout
8:29.0,T. Evans enters the game for J. Salmons,,37-32,,
8:29.0,O. Asik enters the game for A. Ajinca,,37-32,,
8:03.0,,,37-34,2,A. Baynes makes 2-pt shot at rim (assist by T. Parker)
7:53.0,A. Rivers makes 2-pt shot from 7 ft,2,39-34,,
7:53.0,,,39-34,,Shooting block foul by C. Joseph (drawn by A. Rivers)
7:53.0,,,39-34,,D. Green enters the game for C. Joseph
7:53.0,E. Gordon enters the game for J. Fredette,,39-34,,
7:53.0,A. Rivers makes free throw 1 of 1,1,40-34,,
7:28.0,,,40-36,2,T. Parker makes 2-pt shot from 16 ft
7:06.0,R. Anderson makes 3-pt shot from 25 ft (assist by O. Asik),3,43-36,,
6:46.0,,,43-36,,A. Daye misses 2-pt shot from 5 ft
6:44.0,,,43-36,,Offensive rebound by A. Daye
6:44.0,,,43-36,,A. Daye misses 2-pt shot from 5 ft
6:42.0,,,43-36,,Offensive rebound by A. Baynes
6:38.0,,,43-36,,Offensive foul by A. Daye
6:38.0,,,43-36,,Turnover by A. Daye (offensive foul)
6:38.0,J. Holiday enters the game for A. Rivers,,43-36,,
6:23.0,Turnover by T. Evans (lost ball; steal by D. Green),,43-36,,
6:16.0,,,43-36,,T. Parker misses 2-pt shot from 2 ft
6:15.0,,,43-36,,Offensive rebound by A. Baynes
6:15.0,,,43-38,2,A. Baynes makes 2-pt shot from 2 ft
6:07.0,R. Anderson misses 3-pt shot from 24 ft,,43-38,,
6:06.0,,,43-38,,Defensive rebound by K. Leonard
5:59.0,,,43-38,,A. Daye misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by O. Asik,,43-38,,
5:57.0,New Orleans full timeout,,43-38,,
5:57.0,A. Davis enters the game for R. Anderson,,43-38,,
5:57.0,,,43-38,,T. Duncan enters the game for A. Daye
5:39.0,E. Gordon misses 2-pt shot from 17 ft,,43-38,,
5:38.0,,,43-38,,Defensive rebound by T. Duncan
5:18.0,,,43-38,,T. Duncan misses 2-pt shot from 11 ft
5:16.0,,,43-38,,Offensive rebound by K. Leonard
5:16.0,,,43-40,2,K. Leonard makes 2-pt shot at rim
5:05.0,E. Gordon makes 2-pt shot from 16 ft (assist by J. Holiday),2,45-40,,
4:54.0,Personal foul by O. Asik (drawn by T. Duncan),,45-40,,
4:54.0,,,45-40,,M. Ginobili enters the game for K. Leonard
4:41.0,,,45-42,2,T. Parker makes 2-pt shot from 19 ft
4:20.0,Turnover by A. Davis (traveling),,45-42,,
4:20.0,,,45-42,,B. Diaw enters the game for A. Baynes
3:59.0,,,45-42,,Shooting foul by T. Evans (drawn by M. Ginobili)
3:59.0,,,45-42,,M. Ginobili misses free throw 1 of 2
3:59.0,,,45-42,,Offensive rebound by Team
3:59.0,,,45-43,1,M. Ginobili makes free throw 2 of 2
3:49.0,Turnover by J. Holiday (lost ball),,45-43,,
3:32.0,,,45-43,,T. Duncan misses 2-pt shot from 7 ft
