time,Washington,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Kaman (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. C. Kaman (N. Hilario gains possession)
11:45.0,N. Hilario misses 2-pt shot from 14 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by C. Kaman
11:26.0,,,0-0,,L. Aldridge misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by P. Pierce,,0-0,,
11:19.0,P. Pierce makes 3-pt shot from 27 ft (assist by J. Wall),3,3-0,,
11:01.0,,,3-0,,Shooting foul by B. Beal (drawn by D. Lillard)
11:01.0,,,3-1,1,D. Lillard makes free throw 1 of 2
11:01.0,,,3-2,1,D. Lillard makes free throw 2 of 2
10:48.0,P. Pierce makes 2-pt shot from 15 ft (assist by N. Hilario),2,5-2,,
10:21.0,,,5-2,,W. Matthews misses 2-pt shot from 19 ft
10:20.0,,,5-2,,Offensive rebound by C. Kaman
10:17.0,,,5-2,,C. Kaman misses 2-pt shot from 5 ft
10:16.0,Defensive rebound by N. Hilario,,5-2,,
10:11.0,M. Gortat misses 2-pt shot from 2 ft,,5-2,,
10:10.0,,,5-2,,Defensive rebound by C. Kaman
10:04.0,,,5-2,,D. Lillard misses 3-pt shot from 30 ft
10:03.0,Defensive rebound by M. Gortat,,5-2,,
9:55.0,N. Hilario makes 2-pt shot from 7 ft (assist by J. Wall),2,7-2,,
9:34.0,,,7-2,,L. Aldridge misses 2-pt shot from 20 ft
9:33.0,Defensive rebound by P. Pierce,,7-2,,
9:24.0,J. Wall makes 2-pt shot from 19 ft (assist by N. Hilario),2,9-2,,
9:05.0,,,9-2,,W. Matthews misses 2-pt shot from 2 ft
9:03.0,,,9-2,,Offensive rebound by C. Kaman
9:03.0,,,9-2,,C. Kaman misses 2-pt shot at rim
9:02.0,Defensive rebound by M. Gortat,,9-2,,
8:58.0,J. Wall makes 2-pt shot from 20 ft,2,11-2,,
8:39.0,,,11-2,,D. Lillard misses 2-pt shot from 22 ft
8:38.0,Defensive rebound by P. Pierce,,11-2,,
8:31.0,J. Wall misses 2-pt shot from 18 ft,,11-2,,
8:30.0,,,11-2,,Defensive rebound by C. Kaman
8:22.0,,,11-2,,W. Matthews misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by N. Hilario,,11-2,,
8:16.0,B. Beal makes 2-pt shot at rim,2,13-2,,
8:16.0,,,13-2,,Portland full timeout
7:56.0,,,13-4,2,L. Aldridge makes 2-pt shot from 11 ft
7:42.0,B. Beal makes 2-pt shot from 21 ft (assist by P. Pierce),2,15-4,,
7:30.0,,,15-6,2,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard)
7:17.0,N. Hilario makes 2-pt shot from 1 ft (assist by B. Beal),2,17-6,,
7:03.0,,,17-6,,L. Aldridge misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by P. Pierce,,17-6,,
6:55.0,B. Beal misses 3-pt shot from 25 ft,,17-6,,
6:53.0,,,17-6,,Defensive rebound by W. Matthews
6:44.0,,,17-8,2,D. Lillard makes 2-pt shot from 14 ft (assist by A. Crabbe)
6:29.0,N. Hilario makes 2-pt shot from 19 ft (assist by P. Pierce),2,19-8,,
6:03.0,,,19-10,2,L. Aldridge makes 2-pt shot from 10 ft
5:46.0,Shooting foul by L. Aldridge (drawn by N. Hilario),,19-10,,
5:46.0,N. Hilario makes free throw 1 of 2,1,20-10,,
5:46.0,,,20-10,,T. Robinson enters the game for C. Kaman
5:46.0,,,20-10,,S. Blake enters the game for W. Matthews
5:46.0,N. Hilario misses free throw 2 of 2,,20-10,,
5:45.0,,,20-10,,Defensive rebound by L. Aldridge
5:27.0,,,20-12,2,L. Aldridge makes 2-pt shot from 15 ft
5:13.0,N. Hilario misses 2-pt shot from 14 ft,,20-12,,
5:12.0,,,20-12,,Defensive rebound by D. Lillard
5:03.0,,,20-12,,T. Robinson misses 2-pt shot from 16 ft
5:02.0,Defensive rebound by M. Gortat,,20-12,,
4:59.0,Shooting foul by A. Crabbe (drawn by J. Wall),,20-12,,
4:59.0,J. Wall makes free throw 1 of 2,1,21-12,,
4:59.0,,,21-12,,W. Barton enters the game for A. Crabbe
4:59.0,R. Butler enters the game for B. Beal,,21-12,,
4:59.0,J. Wall makes free throw 2 of 2,1,22-12,,
4:47.0,,,22-12,,D. Lillard misses 2-pt shot from 17 ft (block by N. Hilario)
4:43.0,Defensive rebound by P. Pierce,,22-12,,
4:36.0,P. Pierce makes 2-pt shot from 21 ft,2,24-12,,
4:17.0,,,24-14,2,L. Aldridge makes 2-pt shot from 12 ft
3:55.0,P. Pierce misses 2-pt shot from 9 ft (block by W. Barton),,24-14,,
