time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. G. Dieng (R. Kelly gains possession),,,,Jump ball: T. Black vs. G. Dieng (R. Kelly gains possession)
11:44.0,W. Johnson misses 3-pt shot from 22 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by A. Payne
11:28.0,,,0-0,,A. Wiggins misses 2-pt shot from 2 ft
11:27.0,,,0-0,,Offensive rebound by G. Dieng
11:08.0,,,0-3,3,Z. LaVine makes 3-pt shot from 25 ft (assist by G. Dieng)
10:49.0,J. Lin misses 3-pt shot from 25 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by A. Payne
10:39.0,Personal foul by W. Johnson (drawn by L. Brown),,0-3,,
10:34.0,,,0-3,,G. Dieng misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by R. Kelly,,0-3,,
10:20.0,T. Black misses 2-pt shot from 5 ft,,0-3,,
10:19.0,,,0-3,,Defensive rebound by A. Payne
10:12.0,,,0-3,,Turnover by Z. LaVine (bad pass; steal by R. Kelly)
10:04.0,J. Clarkson makes 2-pt shot at rim (assist by J. Lin),2,2-3,,
9:42.0,,,2-3,,Z. LaVine misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by R. Kelly,,2-3,,
9:31.0,J. Clarkson misses 2-pt shot from 6 ft (block by G. Dieng),,2-3,,
9:30.0,Offensive rebound by Team,,2-3,,
9:27.0,R. Kelly makes 2-pt shot from 14 ft (assist by W. Johnson),2,4-3,,
9:14.0,,,4-3,,A. Payne misses 2-pt shot from 11 ft (block by R. Kelly)
9:12.0,,,4-3,,Offensive rebound by A. Wiggins
9:11.0,,,4-5,2,A. Wiggins makes 2-pt shot from 1 ft
8:59.0,R. Kelly misses 3-pt shot from 25 ft,,4-5,,
8:58.0,,,4-5,,Defensive rebound by L. Brown
8:39.0,,,4-7,2,Z. LaVine makes 2-pt shot from 14 ft
8:14.0,W. Johnson makes 2-pt shot from 14 ft,2,6-7,,
7:55.0,,,6-7,,A. Wiggins misses 2-pt shot from 16 ft
7:54.0,Defensive rebound by T. Black,,6-7,,
7:46.0,J. Clarkson misses 2-pt shot from 4 ft,,6-7,,
7:45.0,Offensive rebound by T. Black,,6-7,,
7:44.0,T. Black makes 2-pt shot at rim,2,8-7,,
7:22.0,,,8-9,2,G. Dieng makes 2-pt shot from 14 ft
7:10.0,,,8-9,,Personal block foul by L. Brown (drawn by J. Lin)
7:05.0,Turnover by J. Lin (lost ball; steal by A. Wiggins),,8-9,,
6:47.0,,,8-9,,Shooting foul by T. Black (drawn by A. Wiggins)
6:47.0,,,8-10,1,A. Wiggins makes free throw 1 of 2
