time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Favors (J. Nelson gains possession),,,,Jump ball: T. Chandler vs. D. Favors (J. Nelson gains possession)
11:46.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by T. Chandler)
11:20.0,E. Kanter misses 2-pt shot from 6 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by D. Nowitzki
11:09.0,,,0-4,2,M. Ellis makes 2-pt shot from 2 ft (assist by T. Chandler)
10:50.0,T. Burke misses 3-pt shot from 24 ft,,0-4,,
10:49.0,,,0-4,,Defensive rebound by T. Chandler
10:40.0,,,0-6,2,T. Chandler makes 2-pt shot at rim (assist by J. Nelson)
10:18.0,A. Burks makes 2-pt shot from 17 ft,2,2-6,,
10:07.0,,,2-9,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis)
9:48.0,D. Favors makes 2-pt shot from 1 ft,2,4-9,,
9:37.0,,,4-11,2,T. Chandler makes 2-pt shot at rim (assist by C. Parsons)
9:33.0,Utah full timeout,,4-11,,
9:26.0,,,4-11,,Personal foul by C. Parsons (drawn by G. Hayward)
9:18.0,G. Hayward makes 2-pt shot from 20 ft (assist by D. Favors),2,6-11,,
8:56.0,,,6-13,2,M. Ellis makes 2-pt shot from 19 ft (assist by J. Nelson)
8:35.0,G. Hayward misses 3-pt shot from 24 ft,,6-13,,
8:34.0,,,6-13,,Defensive rebound by T. Chandler
8:29.0,,,6-13,,Shooting foul by D. Favors (drawn by M. Ellis)
8:29.0,,,6-14,1,M. Ellis makes free throw 1 of 2
8:29.0,,,6-15,1,M. Ellis makes free throw 2 of 2
8:20.0,T. Burke misses 2-pt shot from 12 ft,,6-15,,
8:19.0,Offensive rebound by D. Favors,,6-15,,
8:17.0,D. Favors makes 2-pt shot at rim,2,8-15,,
8:04.0,,,8-18,3,J. Nelson makes 3-pt shot from 22 ft (assist by M. Ellis)
7:52.0,T. Burke makes 3-pt shot from 25 ft (assist by A. Burks),3,11-18,,
7:45.0,Personal block foul by A. Burks (drawn by M. Ellis),,11-18,,
7:45.0,T. Booker enters the game for E. Kanter,,11-18,,
7:38.0,,,11-20,2,D. Nowitzki makes 2-pt shot from 22 ft (assist by M. Ellis)
7:19.0,Turnover by D. Favors (lost ball; steal by D. Nowitzki),,11-20,,
7:11.0,Personal foul by A. Burks (drawn by J. Nelson),,11-20,,
7:11.0,R. Hood enters the game for A. Burks,,11-20,,
7:11.0,E. Kanter enters the game for T. Booker,,11-20,,
7:05.0,,,11-20,,Turnover by J. Nelson (bad pass; steal by T. Burke)
7:00.0,T. Burke makes 2-pt shot at rim,2,13-20,,
6:49.0,,,13-20,,C. Parsons misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by E. Kanter,,13-20,,
6:36.0,E. Kanter misses 2-pt shot from 17 ft,,13-20,,
6:35.0,,,13-20,,Defensive rebound by J. Nelson
6:16.0,,,13-22,2,D. Nowitzki makes 2-pt shot from 12 ft
5:59.0,D. Favors misses 2-pt shot from 11 ft,,13-22,,
5:58.0,,,13-22,,Defensive rebound by T. Chandler
5:51.0,,,13-24,2,T. Chandler makes 2-pt shot at rim (assist by J. Nelson)
5:42.0,Turnover by T. Burke (bad pass),,13-24,,
5:42.0,,,13-24,,A. Aminu enters the game for D. Nowitzki
5:32.0,,,13-24,,C. Parsons misses 2-pt shot from 1 ft
5:31.0,,,13-24,,Offensive rebound by C. Parsons
5:31.0,,,13-24,,C. Parsons misses 2-pt shot from 1 ft
