time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,,,0-0,,M. Williams misses 2-pt shot from 9 ft
12:00.0,Jump ball: E. Brand vs. A. Jefferson (M. Williams gains possession),,,,Jump ball: E. Brand vs. A. Jefferson (M. Williams gains possession)
11:37.0,Defensive rebound by M. Muscala,,0-0,,
11:21.0,D. Schroder makes 2-pt shot from 1 ft (assist by M. Muscala),2,2-0,,
11:01.0,,,2-0,,Shooting foul by K. Bazemore (drawn by J. Taylor)
11:01.0,,,2-1,1,J. Taylor makes free throw 1 of 2
11:01.0,,,2-2,1,J. Taylor makes free throw 2 of 2
10:50.0,E. Brand makes 2-pt shot from 16 ft (assist by D. Schroder),2,4-2,,
10:32.0,,,4-4,2,G. Henderson makes 2-pt shot from 15 ft
10:12.0,K. Bazemore misses 3-pt shot from 23 ft,,4-4,,
10:11.0,,,4-4,,Defensive rebound by M. Williams
9:58.0,,,4-4,,M. Williams misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by K. Bazemore,,4-4,,
9:41.0,E. Brand misses 2-pt shot from 13 ft,,4-4,,
9:39.0,,,4-4,,Defensive rebound by G. Henderson
9:25.0,,,4-6,2,G. Henderson makes 2-pt shot from 20 ft
8:56.0,D. Schroder misses 2-pt shot from 16 ft,,4-6,,
8:55.0,,,4-6,,Defensive rebound by K. Walker
8:42.0,,,4-6,,K. Walker misses 2-pt shot from 12 ft
8:40.0,Defensive rebound by K. Bazemore,,4-6,,
8:23.0,J. Jenkins makes 3-pt shot from 22 ft (assist by D. Schroder),3,7-6,,
8:04.0,,,7-6,,J. Taylor misses 3-pt shot from 26 ft
8:03.0,Defensive rebound by E. Brand,,7-6,,
7:57.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,10-6,,
7:36.0,,,10-6,,J. Taylor misses 3-pt shot from 22 ft
7:35.0,Defensive rebound by J. Jenkins,,10-6,,
7:18.0,M. Muscala makes 2-pt shot from 17 ft (assist by D. Schroder),2,12-6,,
7:17.0,,,12-6,,Charlotte full timeout
7:17.0,S. Mack enters the game for K. Bazemore,,12-6,,
7:17.0,P. Antic enters the game for M. Muscala,,12-6,,
6:57.0,,,12-6,,A. Jefferson misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by D. Schroder,,12-6,,
6:40.0,D. Schroder misses 2-pt shot from 12 ft,,12-6,,
6:39.0,,,12-6,,Defensive rebound by A. Jefferson
6:32.0,,,12-6,,Shooting foul by P. Antic (drawn by K. Walker)
6:32.0,,,12-7,1,K. Walker makes free throw 1 of 2
6:32.0,,,12-8,1,K. Walker makes free throw 2 of 2
6:14.0,Shooting foul by K. Walker (drawn by D. Schroder),,12-8,,
6:14.0,D. Schroder makes free throw 1 of 2,1,13-8,,
6:14.0,D. Schroder makes free throw 2 of 2,1,14-8,,
6:02.0,Personal foul by P. Antic (drawn by G. Henderson),,14-8,,
5:54.0,,,14-10,2,J. Taylor makes 2-pt shot at rim (assist by G. Henderson)
5:29.0,J. Jenkins misses 3-pt shot from 25 ft,,14-10,,
5:29.0,Offensive rebound by Team,,14-10,,
5:29.0,Turnover by Team (shot clock),,14-10,,
5:14.0,,,14-13,3,K. Walker makes 3-pt shot from 26 ft (assist by G. Henderson)
4:57.0,S. Mack misses 2-pt shot from 1 ft,,14-13,,
4:57.0,,,14-13,,Defensive rebound by A. Jefferson
4:49.0,,,14-13,,K. Walker misses 2-pt shot at rim
4:47.0,,,14-13,,Offensive rebound by A. Jefferson
4:46.0,,,14-13,,A. Jefferson misses 2-pt shot at rim
4:44.0,,,14-13,,Offensive rebound by A. Jefferson
4:44.0,,,14-15,2,A. Jefferson makes 2-pt shot from 2 ft
4:30.0,D. Schroder misses 2-pt shot from 19 ft,,14-15,,
4:29.0,,,14-15,,Defensive rebound by G. Henderson
4:26.0,,,14-17,2,K. Walker makes 2-pt shot at rim (assist by G. Henderson)
4:26.0,,,14-17,,Shooting foul by J. Jenkins (drawn by K. Walker)
4:26.0,Atlanta full timeout,,14-17,,
4:26.0,M. Muscala enters the game for E. Brand,,14-17,,
4:26.0,T. Sefolosha enters the game for D. Schroder,,14-17,,
4:26.0,,,14-17,,B. Biyombo enters the game for J. Taylor
4:26.0,,,14-17,,P. Hairston enters the game for A. Jefferson
4:26.0,,,14-18,1,K. Walker makes free throw 1 of 1
4:15.0,,,14-18,,Personal foul by G. Henderson (drawn by J. Jenkins)
4:09.0,S. Mack misses 3-pt shot from 27 ft,,14-18,,
4:08.0,,,14-18,,Defensive rebound by M. Williams
3:51.0,,,14-21,3,G. Henderson makes 3-pt shot from 23 ft (assist by K. Walker)
3:35.0,Turnover by M. Muscala (lost ball; steal by P. Hairston),,14-21,,
3:29.0,,,14-21,,K. Walker misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by P. Antic,,14-21,,
3:10.0,J. Jenkins makes 2-pt shot from 20 ft (assist by S. Mack),2,16-21,,
2:50.0,,,16-21,,M. Williams misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by P. Antic,,16-21,,
2:38.0,T. Sefolosha misses 2-pt shot from 19 ft,,16-21,,
2:37.0,,,16-21,,Defensive rebound by B. Biyombo
2:26.0,,,16-23,2,G. Henderson makes 2-pt shot from 1 ft (assist by K. Walker)
2:15.0,M. Muscala makes 2-pt shot at rim (assist by S. Mack),2,18-23,,
2:02.0,,,18-25,2,M. Williams makes 2-pt shot from 19 ft (assist by K. Walker)
1:42.0,S. Mack misses 2-pt shot from 5 ft (block by B. Biyombo),,18-25,,
1:42.0,Offensive rebound by Team,,18-25,,
1:42.0,K. Bazemore enters the game for J. Jenkins,,18-25,,
1:42.0,,,18-25,,L. Stephenson enters the game for M. Williams
1:42.0,,,18-25,,M. Williams enters the game for G. Henderson
1:42.0,,,18-25,,J. Maxiell enters the game for K. Walker
1:39.0,M. Muscala misses 2-pt shot from 19 ft,,18-25,,
1:38.0,,,18-25,,Defensive rebound by J. Maxiell
1:28.0,,,18-27,2,P. Hairston makes 2-pt shot at rim
1:10.0,K. Bazemore makes 2-pt shot from 19 ft,2,20-27,,
0:53.0,,,20-27,,L. Stephenson misses 2-pt shot from 20 ft
0:52.0,,,20-27,,Offensive rebound by B. Biyombo
0:45.0,,,20-27,,L. Stephenson misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by S. Mack,,20-27,,
0:34.0,K. Bazemore makes 3-pt shot from 26 ft (assist by S. Mack),3,23-27,,
0:14.0,,,23-27,,J. Maxiell misses 2-pt shot from 10 ft
0:13.0,Defensive rebound by T. Sefolosha,,23-27,,
0:02.0,,,23-27,,Personal take foul by M. Williams (drawn by S. Mack)
0:01.0,K. Bazemore misses 3-pt shot from 28 ft,,23-27,,
0:00.0,Offensive rebound by Team,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by K. Bazemore (lost ball),,23-27,,
11:21.0,,,23-27,,B. Biyombo misses 2-pt shot from 5 ft
11:19.0,Defensive rebound by E. Brand,,23-27,,
11:09.0,E. Brand makes 2-pt shot from 1 ft (assist by S. Mack),2,25-27,,
10:46.0,,,25-27,,B. Biyombo misses 2-pt shot from 9 ft
10:44.0,Defensive rebound by A. Daye,,25-27,,
10:32.0,S. Mack makes 3-pt shot from 26 ft (assist by K. Bazemore),3,28-27,,
10:23.0,Personal foul by A. Daye (drawn by B. Biyombo),,28-27,,
10:23.0,D. Schroder enters the game for S. Mack,,28-27,,
10:23.0,J. Jenkins enters the game for T. Sefolosha,,28-27,,
10:14.0,,,28-29,2,J. Maxiell makes 2-pt shot from 1 ft (assist by M. Williams)
9:58.0,J. Jenkins misses 2-pt shot from 19 ft,,28-29,,
9:56.0,,,28-29,,Defensive rebound by B. Biyombo
9:54.0,,,28-29,,Shooting foul by K. Bazemore (drawn by L. Stephenson)
9:54.0,,,28-30,1,L. Stephenson makes free throw 1 of 2
9:54.0,,,28-30,,L. Stephenson misses free throw 2 of 2
9:53.0,Defensive rebound by K. Bazemore,,28-30,,
9:43.0,D. Schroder makes 3-pt shot from 26 ft (assist by K. Bazemore),3,31-30,,
9:29.0,,,31-33,3,P. Hairston makes 3-pt shot from 26 ft (assist by J. Maxiell)
9:16.0,E. Brand misses 2-pt shot from 16 ft,,31-33,,
9:15.0,,,31-33,,Defensive rebound by P. Hairston
9:08.0,,,31-35,2,L. Stephenson makes 2-pt shot from 2 ft
8:56.0,J. Jenkins misses 3-pt shot from 25 ft,,31-35,,
8:55.0,,,31-35,,Defensive rebound by L. Stephenson
8:43.0,,,31-37,2,B. Biyombo makes 2-pt shot from 2 ft (assist by J. Maxiell)
8:43.0,,,31-37,,Shooting foul by E. Brand (drawn by B. Biyombo)
8:43.0,Official timeout,,31-37,,
8:43.0,,,31-38,1,B. Biyombo makes free throw 1 of 1
8:31.0,Turnover by D. Schroder (bad pass),,31-38,,
8:16.0,,,31-40,2,L. Stephenson makes 2-pt shot from 15 ft
8:01.0,D. Schroder makes 3-pt shot from 27 ft (assist by A. Daye),3,34-40,,
7:41.0,,,34-42,2,P. Hairston makes 2-pt shot from 11 ft (assist by L. Stephenson)
7:31.0,,,34-42,,Personal foul by L. Stephenson (drawn by E. Brand)
7:31.0,T. Sefolosha enters the game for K. Bazemore,,34-42,,
7:26.0,J. Jenkins misses 2-pt shot from 17 ft,,34-42,,
7:24.0,,,34-42,,Defensive rebound by J. Maxiell
7:11.0,,,34-45,3,P. Hairston makes 3-pt shot from 28 ft (assist by J. Maxiell)
6:54.0,,,34-45,,Personal foul by J. Maxiell (drawn by A. Daye)
6:54.0,,,34-45,,K. Walker enters the game for M. Williams
6:54.0,M. Muscala enters the game for E. Brand,,34-45,,
6:49.0,M. Muscala misses 2-pt shot from 2 ft (block by J. Maxiell),,34-45,,
6:47.0,Offensive rebound by D. Schroder,,34-45,,
6:40.0,D. Schroder misses 2-pt shot from 19 ft,,34-45,,
6:39.0,,,34-45,,Defensive rebound by L. Stephenson
6:35.0,,,34-45,,L. Stephenson misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by M. Muscala,,34-45,,
6:27.0,J. Jenkins makes 3-pt shot from 23 ft (assist by D. Schroder),3,37-45,,
6:08.0,,,37-45,,K. Walker misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by A. Daye,,37-45,,
6:01.0,J. Jenkins makes 3-pt shot from 26 ft (assist by D. Schroder),3,40-45,,
5:51.0,,,40-45,,Charlotte full timeout
5:51.0,P. Antic enters the game for A. Daye,,40-45,,
5:51.0,,,40-45,,G. Henderson enters the game for B. Biyombo
5:51.0,,,40-45,,M. Williams enters the game for P. Hairston
5:51.0,,,40-45,,J. Taylor enters the game for J. Maxiell
5:51.0,,,40-45,,A. Jefferson enters the game for L. Stephenson
5:38.0,,,40-45,,G. Henderson misses 2-pt shot from 8 ft
5:36.0,Defensive rebound by M. Muscala,,40-45,,
5:17.0,J. Jenkins misses 2-pt shot from 17 ft,,40-45,,
5:16.0,,,40-45,,Defensive rebound by A. Jefferson
4:57.0,,,40-45,,K. Walker misses 2-pt shot from 2 ft (block by M. Muscala)
4:56.0,Defensive rebound by M. Muscala,,40-45,,
4:39.0,D. Schroder misses 2-pt shot from 2 ft (block by A. Jefferson),,40-45,,
4:39.0,Offensive rebound by Team,,40-45,,
4:39.0,S. Mack enters the game for D. Schroder,,40-45,,
4:34.0,M. Muscala misses 2-pt shot from 17 ft,,40-45,,
4:32.0,Offensive rebound by T. Sefolosha,,40-45,,
4:28.0,M. Muscala makes 2-pt shot at rim (assist by S. Mack),2,42-45,,
3:58.0,,,42-47,2,M. Williams makes 2-pt shot from 16 ft (assist by A. Jefferson)
3:38.0,,,42-47,,Personal foul by G. Henderson (drawn by J. Jenkins)
3:38.0,,,42-47,,B. Roberts enters the game for G. Henderson
3:38.0,K. Bazemore enters the game for J. Jenkins,,42-47,,
3:28.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by M. Muscala),3,45-47,,
3:14.0,,,45-47,,Shooting foul by T. Sefolosha (drawn by M. Williams)
3:14.0,,,45-48,1,M. Williams makes free throw 1 of 2
3:14.0,Atlanta full timeout,,45-48,,
3:14.0,,,45-49,1,M. Williams makes free throw 2 of 2
2:51.0,M. Muscala makes 2-pt shot from 18 ft (assist by T. Sefolosha),2,47-49,,
2:35.0,,,47-49,,M. Williams misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by Team,,47-49,,
2:35.0,J. Jenkins enters the game for T. Sefolosha,,47-49,,
2:23.0,S. Mack makes 2-pt shot from 9 ft (assist by M. Muscala),2,49-49,,
2:12.0,,,49-52,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
1:56.0,Shooting foul by B. Roberts (drawn by K. Bazemore),,49-52,,
1:56.0,K. Bazemore makes free throw 1 of 2,1,50-52,,
1:56.0,K. Bazemore makes free throw 2 of 2,1,51-52,,
1:35.0,,,51-54,2,J. Taylor makes 2-pt shot at rim
1:21.0,Turnover by M. Muscala (bad pass),,51-54,,
1:06.0,,,51-57,3,M. Williams makes 3-pt shot from 25 ft (assist by B. Roberts)
0:54.0,M. Muscala misses 2-pt shot from 16 ft,,51-57,,
0:54.0,Offensive rebound by Team,,51-57,,
0:54.0,,,51-57,,Loose ball foul by B. Roberts (drawn by K. Bazemore)
0:54.0,K. Bazemore misses free throw 1 of 2,,51-57,,
0:54.0,Offensive rebound by Team,,51-57,,
0:54.0,T. Sefolosha enters the game for S. Mack,,51-57,,
0:54.0,K. Bazemore makes free throw 2 of 2,1,52-57,,
0:44.0,,,52-57,,K. Walker misses 2-pt shot from 1 ft
0:42.0,Defensive rebound by K. Bazemore,,52-57,,
0:30.0,P. Antic misses 3-pt shot from 27 ft,,52-57,,
0:28.0,Offensive rebound by M. Muscala,,52-57,,
0:08.0,T. Sefolosha misses 3-pt shot from 22 ft,,52-57,,
0:06.0,,,52-57,,Defensive rebound by J. Taylor
0:01.0,,,52-57,,K. Walker misses 3-pt shot from 27 ft
0:00.0,,,52-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by E. Brand (bad pass),,52-57,,
11:31.0,,,52-57,,J. Taylor misses 3-pt shot from 22 ft
11:29.0,,,52-57,,Offensive rebound by K. Walker
11:24.0,,,52-59,2,J. Taylor makes 2-pt shot from 2 ft (assist by A. Jefferson)
11:07.0,K. Bazemore misses 2-pt shot from 17 ft,,52-59,,
11:05.0,,,52-59,,Defensive rebound by K. Walker
10:57.0,,,52-59,,K. Walker misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by E. Brand,,52-59,,
10:42.0,K. Bazemore makes 3-pt shot from 26 ft (assist by J. Jenkins),3,55-59,,
10:26.0,,,55-59,,A. Jefferson misses 2-pt shot from 2 ft
10:25.0,Defensive rebound by M. Muscala,,55-59,,
10:07.0,K. Bazemore misses 2-pt shot at rim,,55-59,,
10:06.0,Offensive rebound by M. Muscala,,55-59,,
10:02.0,J. Jenkins misses 3-pt shot from 26 ft,,55-59,,
10:00.0,,,55-59,,Defensive rebound by A. Jefferson
9:53.0,,,55-61,2,G. Henderson makes 2-pt shot from 1 ft
9:41.0,E. Brand makes 2-pt shot from 6 ft (assist by D. Schroder),2,57-61,,
9:24.0,,,57-61,,A. Jefferson misses 2-pt shot at rim (block by E. Brand)
9:23.0,Defensive rebound by D. Schroder,,57-61,,
9:18.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,59-61,,
9:03.0,,,59-61,,Shooting foul by K. Bazemore (drawn by K. Walker)
9:03.0,,,59-61,,K. Walker misses free throw 1 of 2
9:03.0,,,59-61,,Offensive rebound by Team
9:03.0,,,59-62,1,K. Walker makes free throw 2 of 2
8:49.0,Turnover by D. Schroder (bad pass; steal by M. Williams),,59-62,,
8:44.0,,,59-64,2,G. Henderson makes 2-pt shot at rim (assist by K. Walker)
8:29.0,D. Schroder misses 2-pt shot from 1 ft,,59-64,,
8:28.0,Offensive rebound by E. Brand,,59-64,,
8:26.0,E. Brand misses 2-pt shot at rim (block by A. Jefferson),,59-64,,
8:24.0,Offensive rebound by D. Schroder,,59-64,,
8:22.0,D. Schroder makes 2-pt shot from 11 ft,2,61-64,,
8:09.0,,,61-67,3,G. Henderson makes 3-pt shot from 23 ft (assist by K. Walker)
