time,Milwaukee,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. L. Sanders (B. Knight gains possession),,,,Jump ball: T. Chandler vs. L. Sanders (B. Knight gains possession)
11:47.0,J. Parker misses 2-pt shot from 7 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by T. Chandler
11:36.0,,,0-0,,C. Parsons misses 3-pt shot from 22 ft
11:36.0,,,0-0,,Offensive rebound by D. Nowitzki
11:30.0,,,0-0,,Shooting foul by G. Antetokounmpo (drawn by D. Nowitzki)
11:30.0,,,0-1,1,D. Nowitzki makes free throw 1 of 2
11:30.0,,,0-2,1,D. Nowitzki makes free throw 2 of 2
11:18.0,O. Mayo misses 2-pt shot from 8 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by T. Chandler
11:17.0,,,0-2,,Turnover by T. Chandler (bad pass)
11:07.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Chandler),,0-2,,
10:44.0,,,0-2,,J. Nelson misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by L. Sanders,,0-2,,
10:20.0,Shooting foul by J. Nelson (drawn by B. Knight),,0-2,,
10:20.0,B. Knight makes free throw 1 of 3,1,1-2,,
10:20.0,B. Knight makes free throw 2 of 3,1,2-2,,
10:20.0,B. Knight makes free throw 3 of 3,1,3-2,,
10:03.0,,,3-4,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Nelson)
9:50.0,O. Mayo misses 2-pt shot from 17 ft,,3-4,,
9:49.0,Offensive rebound by L. Sanders,,3-4,,
9:49.0,L. Sanders makes 2-pt shot from 1 ft,2,5-4,,
9:37.0,,,5-6,2,J. Nelson makes 2-pt shot from 3 ft
9:30.0,Shooting foul by J. Nelson (drawn by B. Knight),,5-6,,
9:30.0,B. Knight makes free throw 1 of 2,1,6-6,,
9:30.0,,,6-6,,D. Harris enters the game for J. Nelson
9:30.0,B. Knight makes free throw 2 of 2,1,7-6,,
9:12.0,,,7-6,,Shooting foul by B. Knight (drawn by C. Parsons)
9:12.0,,,7-6,,C. Parsons misses free throw 1 of 2
9:12.0,,,7-6,,Offensive rebound by Team
9:12.0,,,7-6,,C. Parsons misses free throw 2 of 2
9:11.0,Defensive rebound by G. Antetokounmpo,,7-6,,
8:55.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,7-6,,
8:54.0,,,7-6,,Defensive rebound by D. Nowitzki
8:47.0,,,7-8,2,M. Ellis makes 2-pt shot from 20 ft
8:34.0,B. Knight misses 3-pt shot from 24 ft,,7-8,,
8:33.0,,,7-8,,Defensive rebound by T. Chandler
8:14.0,,,7-10,2,C. Parsons makes 2-pt shot from 8 ft
7:47.0,Turnover by Team (shot clock),,7-10,,
7:30.0,,,7-10,,D. Harris misses 2-pt shot from 3 ft (block by L. Sanders)
7:28.0,Defensive rebound by L. Sanders,,7-10,,
7:24.0,L. Sanders makes 2-pt shot at rim (assist by B. Knight),2,9-10,,
7:23.0,Violation by Team (jump ball),,9-10,,
7:11.0,,,9-12,2,D. Nowitzki makes 2-pt shot from 8 ft (assist by T. Chandler)
6:48.0,J. Parker misses 2-pt shot from 13 ft,,9-12,,
6:47.0,,,9-12,,Defensive rebound by C. Parsons
6:42.0,,,9-12,,Turnover by M. Ellis (bad pass; steal by J. Parker)
6:37.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,11-12,,
6:34.0,,,11-12,,Dallas full timeout
6:34.0,,,11-12,,J. Crowder enters the game for D. Nowitzki
6:18.0,,,11-15,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Crowder)
6:07.0,,,11-15,,Personal foul by J. Crowder (drawn by G. Antetokounmpo)
6:03.0,Turnover by J. Parker (lost ball; steal by M. Ellis),,11-15,,
5:59.0,,,11-17,2,C. Parsons makes 2-pt shot from 2 ft (assist by M. Ellis)
5:40.0,J. Parker misses 2-pt shot from 7 ft (block by J. Crowder),,11-17,,
5:38.0,,,11-17,,Defensive rebound by M. Ellis
5:26.0,,,11-19,2,J. Crowder makes 2-pt shot from 16 ft
5:05.0,L. Sanders misses 2-pt shot from 4 ft,,11-19,,
5:03.0,,,11-19,,Defensive rebound by T. Chandler
4:59.0,,,11-21,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Ellis)
4:42.0,B. Knight misses 2-pt shot from 5 ft (block by T. Chandler),,11-21,,
4:42.0,Offensive rebound by Team,,11-21,,
4:42.0,,,11-21,,B. Wright enters the game for T. Chandler
4:42.0,J. Dudley enters the game for J. Parker,,11-21,,
4:36.0,O. Mayo misses 2-pt shot from 3 ft (block by M. Ellis),,11-21,,
4:34.0,,,11-21,,Defensive rebound by J. Crowder
4:30.0,,,11-21,,J. Crowder misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
4:28.0,Defensive rebound by O. Mayo,,11-21,,
4:23.0,O. Mayo misses 2-pt shot from 2 ft (block by B. Wright),,11-21,,
4:23.0,,,11-21,,Defensive rebound by Team
4:08.0,,,11-24,3,M. Ellis makes 3-pt shot from 24 ft
3:54.0,J. Dudley makes 2-pt shot from 4 ft (assist by L. Sanders),2,13-24,,
