time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Noel (R. Covington gains possession),,,,Jump ball: T. Mozgov vs. N. Noel (R. Covington gains possession)
11:40.0,I. Smith misses 3-pt shot from 23 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Smith
11:23.0,,,0-2,2,K. Love makes 2-pt shot from 7 ft (assist by L. James)
11:23.0,,,0-2,,Shooting foul by N. Noel (drawn by K. Love)
11:23.0,,,0-2,,K. Love misses free throw 1 of 1
11:22.0,Defensive rebound by N. Noel,,0-2,,
11:07.0,I. Smith misses 2-pt shot from 8 ft,,0-2,,
11:05.0,Offensive rebound by F. Aldemir,,0-2,,
11:05.0,F. Aldemir makes 2-pt shot at rim,2,2-2,,
10:47.0,,,2-2,,K. Love misses 3-pt shot from 24 ft
10:46.0,,,2-2,,Offensive rebound by T. Mozgov
10:39.0,,,2-2,,Turnover by T. Mozgov (step out of bounds)
10:26.0,,,2-2,,Violation by J. Smith (kicked ball)
10:19.0,I. Smith misses 2-pt shot at rim,,2-2,,
10:18.0,,,2-2,,Defensive rebound by K. Irving
10:02.0,,,2-2,,L. James misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by F. Aldemir,,2-2,,
9:54.0,R. Covington makes 3-pt shot from 25 ft,3,5-2,,
9:42.0,Personal foul by F. Aldemir (drawn by T. Mozgov),,5-2,,
9:30.0,,,5-5,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving)
9:06.0,Turnover by J. Grant (bad pass),,5-5,,
8:54.0,,,5-5,,Turnover by L. James (bad pass; steal by I. Smith)
8:50.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,7-5,,
8:33.0,,,7-7,2,K. Irving makes 2-pt shot from 18 ft
8:19.0,N. Noel misses 2-pt shot at rim,,7-7,,
8:18.0,Offensive rebound by Team,,7-7,,
8:18.0,Turnover by N. Noel (traveling),,7-7,,
8:00.0,,,7-7,,L. James misses 2-pt shot from 10 ft
7:59.0,,,7-7,,Offensive rebound by K. Love
7:55.0,,,7-7,,J. Smith misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by F. Aldemir,,7-7,,
7:47.0,N. Noel misses 2-pt shot from 13 ft,,7-7,,
7:46.0,,,7-7,,Defensive rebound by K. Love
7:36.0,Personal foul by N. Noel (drawn by K. Irving),,7-7,,
7:28.0,,,7-9,2,L. James makes 2-pt shot at rim
7:16.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,9-9,,
7:00.0,,,9-11,2,L. James makes 2-pt shot at rim
6:42.0,N. Noel makes 2-pt shot from 14 ft,2,11-11,,
6:20.0,,,11-14,3,J. Smith makes 3-pt shot from 23 ft
6:08.0,I. Smith makes 2-pt shot from 8 ft,2,13-14,,
5:53.0,,,13-16,2,K. Irving makes 2-pt shot from 14 ft
5:52.0,Philadelphia full timeout,,13-16,,
5:35.0,R. Covington misses 3-pt shot from 28 ft,,13-16,,
5:34.0,Offensive rebound by I. Smith,,13-16,,
5:31.0,I. Smith misses 2-pt shot from 4 ft,,13-16,,
5:29.0,,,13-16,,Defensive rebound by K. Love
5:20.0,L. Mbah a Moute enters the game for J. Grant,,13-16,,
5:20.0,,,13-16,,I. Shumpert enters the game for L. James
5:13.0,,,13-16,,Turnover by K. Irving (lost ball; steal by F. Aldemir)
5:06.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,16-16,,
4:48.0,,,16-16,,K. Irving misses 2-pt shot from 6 ft
4:46.0,,,16-16,,Offensive rebound by K. Love
4:41.0,,,16-16,,T. Mozgov misses 2-pt shot from 4 ft
4:36.0,Defensive rebound by R. Covington,,16-16,,
4:27.0,R. Covington misses 2-pt shot from 6 ft (block by K. Love),,16-16,,
4:24.0,Offensive rebound by F. Aldemir,,16-16,,
4:11.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,18-16,,
3:43.0,,,18-16,,I. Shumpert misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by R. Covington,,18-16,,
3:28.0,Turnover by I. Smith (bad pass; steal by I. Shumpert),,18-16,,
