time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,T. Harris misses 3-pt shot from 24 ft
12:00.0,Jump ball: N. Noel vs. N. Vucevic (K. O'Quinn gains possession),,,,Jump ball: N. Noel vs. N. Vucevic (K. O'Quinn gains possession)
11:46.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:30.0,N. Noel misses 2-pt shot from 8 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by E. Payton
11:19.0,,,0-0,,K. O'Quinn misses 2-pt shot from 16 ft
11:18.0,,,0-0,,Offensive rebound by T. Harris
11:18.0,,,0-0,,T. Harris misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by R. Covington,,0-0,,
11:08.0,Turnover by L. Mbah a Moute (bad pass; steal by T. Harris),,0-0,,
10:55.0,,,0-0,,Shooting foul by N. Noel (drawn by E. Payton)
10:55.0,,,0-1,1,E. Payton makes free throw 1 of 2
10:55.0,,,0-1,,E. Payton misses free throw 2 of 2
10:54.0,Defensive rebound by N. Noel,,0-1,,
10:39.0,Turnover by J. Sampson (bad pass; steal by V. Oladipo),,0-1,,
10:25.0,,,0-3,2,K. O'Quinn makes 2-pt shot from 9 ft
10:04.0,,,0-3,,Def 3 sec tech foul by N. Vucevic
10:04.0,R. Covington makes technical free throw,1,1-3,,
9:59.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,3-3,,
9:49.0,Personal foul by J. Sampson (drawn by V. Oladipo),,3-3,,
9:43.0,,,3-5,2,V. Oladipo makes 2-pt shot from 21 ft
9:29.0,Turnover by J. Sampson (step out of bounds),,3-5,,
9:11.0,,,3-5,,T. Harris misses 2-pt shot from 6 ft
9:11.0,Defensive rebound by L. Mbah a Moute,,3-5,,
9:04.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,6-5,,
8:47.0,,,6-7,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
8:28.0,J. Sampson misses 2-pt shot from 4 ft (block by K. O'Quinn),,6-7,,
8:27.0,Offensive rebound by J. Sampson,,6-7,,
8:27.0,Jump ball: K. O'Quinn vs. J. Sampson (L. Mbah a Moute gains possession),,,,Jump ball: K. O'Quinn vs. J. Sampson (L. Mbah a Moute gains possession)
8:21.0,Turnover by M. Carter-Williams (lost ball),,6-7,,
7:56.0,,,6-7,,N. Vucevic misses 2-pt shot from 1 ft
7:56.0,Defensive rebound by N. Noel,,6-7,,
7:47.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,8-7,,
7:27.0,,,8-7,,E. Payton misses 2-pt shot from 5 ft
7:26.0,,,8-7,,Offensive rebound by K. O'Quinn
