time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Mozgov (D. Carroll gains possession),,,,Jump ball: A. Horford vs. T. Mozgov (D. Carroll gains possession)
11:38.0,P. Millsap misses 2-pt shot from 7 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by T. Mozgov
11:31.0,,,0-0,,L. James misses 2-pt shot from 18 ft
11:28.0,Defensive rebound by K. Bazemore,,0-0,,
11:10.0,J. Teague misses 2-pt shot from 17 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by T. Thompson
10:53.0,,,0-0,,T. Mozgov misses 2-pt shot from 19 ft
10:52.0,,,0-0,,Offensive rebound by M. Dellavedova
10:47.0,,,0-0,,Shooting foul by J. Teague (drawn by M. Dellavedova)
10:47.0,,,0-1,1,M. Dellavedova makes free throw 1 of 2
10:47.0,,,0-2,1,M. Dellavedova makes free throw 2 of 2
10:26.0,A. Horford makes 2-pt shot from 15 ft,2,2-2,,
10:12.0,,,2-4,2,M. Dellavedova makes 2-pt shot from 12 ft
10:02.0,Shooting foul by T. Thompson (drawn by P. Millsap),,2-4,,
10:02.0,P. Millsap makes free throw 1 of 2,1,3-4,,
10:02.0,P. Millsap makes free throw 2 of 2,1,4-4,,
9:38.0,,,4-4,,M. Dellavedova misses 2-pt shot from 8 ft
9:36.0,Defensive rebound by P. Millsap,,4-4,,
9:27.0,J. Teague misses 3-pt shot from 25 ft,,4-4,,
9:27.0,Offensive rebound by A. Horford,,4-4,,
9:14.0,A. Horford makes 2-pt shot from 6 ft,2,6-4,,
8:57.0,,,6-4,,M. Dellavedova misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by K. Bazemore,,6-4,,
8:34.0,A. Horford makes 2-pt shot from 20 ft (assist by D. Carroll),2,8-4,,
8:14.0,,,8-4,,Turnover by T. Mozgov (bad pass; steal by K. Bazemore)
8:09.0,D. Carroll makes 2-pt shot at rim (assist by K. Bazemore),2,10-4,,
7:48.0,,,10-4,,L. James misses 2-pt shot from 11 ft
7:47.0,,,10-4,,Offensive rebound by L. James
7:41.0,,,10-4,,L. James misses 3-pt shot from 25 ft
7:40.0,,,10-4,,Offensive rebound by T. Mozgov
7:38.0,,,10-4,,T. Mozgov misses 2-pt shot at rim
7:36.0,,,10-4,,Offensive rebound by L. James
7:35.0,,,10-4,,L. James misses 2-pt shot from 1 ft
7:33.0,,,10-4,,Offensive rebound by T. Mozgov
7:33.0,,,10-4,,T. Mozgov misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by P. Millsap,,10-4,,
7:27.0,,,10-4,,Personal foul by M. Dellavedova (drawn by A. Horford)
7:20.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,12-4,,
7:19.0,,,12-4,,Cleveland full timeout
6:59.0,,,12-7,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
6:30.0,D. Carroll misses 3-pt shot from 24 ft,,12-7,,
6:29.0,,,12-7,,Defensive rebound by I. Shumpert
6:18.0,,,12-7,,L. James misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by P. Millsap,,12-7,,
6:08.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague),2,14-7,,
5:52.0,,,14-7,,Turnover by M. Dellavedova (bad pass; steal by K. Bazemore)
5:48.0,Shooting foul by I. Shumpert (drawn by P. Millsap),,14-7,,
5:48.0,P. Millsap makes free throw 1 of 2,1,15-7,,
5:48.0,S. Mack enters the game for K. Bazemore,,15-7,,
5:48.0,M. Scott enters the game for A. Horford,,15-7,,
5:48.0,,,15-7,,J. Smith enters the game for M. Dellavedova
5:48.0,,,15-7,,J. Jones enters the game for T. Mozgov
5:48.0,P. Millsap makes free throw 2 of 2,1,16-7,,
5:36.0,,,16-7,,J. Smith misses 3-pt shot from 26 ft
5:36.0,,,16-7,,Offensive rebound by Team
5:36.0,Loose ball foul by M. Scott (drawn by T. Thompson),,16-7,,
5:28.0,,,16-7,,L. James misses 2-pt shot from 1 ft
5:26.0,Defensive rebound by M. Scott,,16-7,,
5:21.0,Shooting foul by J. Smith (drawn by S. Mack),,16-7,,
5:21.0,S. Mack misses free throw 1 of 2,,16-7,,
5:21.0,Offensive rebound by Team,,16-7,,
5:21.0,S. Mack misses free throw 2 of 2,,16-7,,
5:20.0,,,16-7,,Defensive rebound by L. James
5:01.0,,,16-10,3,J. Smith makes 3-pt shot from 26 ft (assist by J. Jones)
4:50.0,J. Teague makes 3-pt shot from 25 ft,3,19-10,,
4:24.0,,,19-13,3,I. Shumpert makes 3-pt shot from 26 ft (assist by J. Jones)
4:14.0,Shooting foul by I. Shumpert (drawn by J. Teague),,19-13,,
4:14.0,J. Teague makes free throw 1 of 2,1,20-13,,
4:14.0,,,20-13,,M. Dellavedova enters the game for I. Shumpert
4:14.0,,,20-13,,S. Marion enters the game for L. James
4:14.0,J. Teague makes free throw 2 of 2,1,21-13,,
3:53.0,,,21-13,,M. Dellavedova misses 2-pt shot from 13 ft
3:52.0,Defensive rebound by S. Mack,,21-13,,
3:41.0,D. Carroll misses 2-pt shot from 2 ft,,21-13,,
3:38.0,,,21-13,,Defensive rebound by S. Marion
3:28.0,,,21-15,2,J. Smith makes 2-pt shot at rim
3:28.0,,,21-15,,Shooting foul by S. Mack (drawn by J. Smith)
3:28.0,D. Schroder enters the game for J. Teague,,21-15,,
3:28.0,K. Bazemore enters the game for D. Carroll,,21-15,,
3:28.0,A. Horford enters the game for P. Millsap,,21-15,,
3:28.0,,,21-15,,J. Smith misses free throw 1 of 1
3:27.0,Defensive rebound by M. Scott,,21-15,,
3:12.0,S. Mack misses 3-pt shot from 27 ft,,21-15,,
3:11.0,,,21-15,,Defensive rebound by Team
3:11.0,,,21-15,,T. Mozgov enters the game for T. Thompson
3:01.0,,,21-15,,Shooting foul by K. Bazemore (drawn by J. Jones)
3:01.0,,,21-16,1,J. Jones makes free throw 1 of 3
3:01.0,,,21-17,1,J. Jones makes free throw 2 of 3
3:01.0,Atlanta full timeout,,21-17,,
3:01.0,,,21-18,1,J. Jones makes free throw 3 of 3
2:43.0,S. Mack makes 3-pt shot from 26 ft (assist by D. Schroder),3,24-18,,
2:19.0,,,24-18,,M. Dellavedova misses 2-pt shot from 6 ft
2:15.0,,,24-18,,Offensive rebound by T. Mozgov
2:12.0,,,24-18,,J. Jones misses 2-pt shot from 17 ft
2:12.0,Defensive rebound by M. Scott,,24-18,,
1:52.0,D. Schroder misses 3-pt shot from 25 ft,,24-18,,
1:51.0,,,24-18,,Defensive rebound by S. Marion
1:37.0,,,24-18,,S. Marion misses 2-pt shot from 14 ft
1:34.0,,,24-18,,Offensive rebound by J. Smith
1:32.0,,,24-18,,J. Jones misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by M. Scott,,24-18,,
1:21.0,D. Schroder misses 2-pt shot from 1 ft (block by J. Smith),,24-18,,
1:19.0,,,24-18,,Defensive rebound by S. Marion
1:08.0,,,24-21,3,M. Dellavedova makes 3-pt shot from 29 ft (assist by J. Jones)
0:47.0,K. Bazemore misses 2-pt shot from 15 ft,,24-21,,
0:46.0,,,24-21,,Defensive rebound by J. Jones
0:34.0,,,24-21,,S. Marion misses 2-pt shot from 4 ft
0:32.0,Defensive rebound by A. Horford,,24-21,,
0:25.0,K. Bazemore misses 2-pt shot from 2 ft,,24-21,,
0:25.0,,,24-21,,Defensive rebound by Team
0:25.0,P. Millsap enters the game for M. Scott,,24-21,,
0:25.0,,,24-21,,L. James enters the game for S. Marion
0:25.0,,,24-21,,T. Thompson enters the game for T. Mozgov
0:03.0,,,24-21,,L. James misses 2-pt shot from 4 ft
0:02.0,,,24-21,,Offensive rebound by L. James
0:02.0,,,24-21,,L. James misses 2-pt shot from 4 ft
0:01.0,,,24-21,,Offensive rebound by L. James
0:01.0,,,24-21,,L. James misses 2-pt shot from 4 ft
0:00.0,Defensive rebound by P. Millsap,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-21,,L. James misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by K. Bazemore,,24-21,,
11:27.0,J. Teague misses 2-pt shot from 9 ft,,24-21,,
11:26.0,,,24-21,,Defensive rebound by J. Smith
11:17.0,,,24-21,,M. Dellavedova misses 3-pt shot from 27 ft
11:16.0,Defensive rebound by K. Bazemore,,24-21,,
11:05.0,P. Millsap misses 2-pt shot from 5 ft,,24-21,,
11:04.0,,,24-21,,Defensive rebound by Team
11:04.0,,,24-21,,I. Shumpert enters the game for J. Jones
10:50.0,,,24-21,,Turnover by M. Dellavedova (bad pass; steal by P. Millsap)
10:46.0,Turnover by P. Millsap (bad pass; steal by L. James),,24-21,,
10:38.0,,,24-24,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by L. James)
10:24.0,A. Horford misses 2-pt shot from 11 ft,,24-24,,
10:22.0,,,24-24,,Defensive rebound by J. Smith
10:12.0,,,24-24,,Shooting foul by A. Horford (drawn by T. Thompson)
10:12.0,,,24-24,,T. Thompson misses free throw 1 of 2
10:12.0,,,24-24,,Offensive rebound by Team
10:12.0,D. Carroll enters the game for S. Mack,,24-24,,
10:12.0,,,24-24,,T. Thompson misses free throw 2 of 2
10:11.0,Defensive rebound by K. Bazemore,,24-24,,
9:58.0,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Teague),3,27-24,,
9:34.0,,,27-24,,Turnover by L. James (bad pass; steal by K. Bazemore)
9:16.0,A. Horford makes 2-pt shot from 9 ft (assist by K. Bazemore),2,29-24,,
8:57.0,,,29-24,,M. Dellavedova misses 2-pt shot from 6 ft
8:55.0,Defensive rebound by J. Teague,,29-24,,
8:50.0,J. Teague misses 2-pt shot from 21 ft,,29-24,,
8:50.0,,,29-24,,Defensive rebound by Team
8:50.0,Loose ball foul by A. Horford (drawn by M. Dellavedova),,29-24,,
8:50.0,Official timeout,,29-24,,
8:50.0,M. Scott enters the game for A. Horford,,29-24,,
8:32.0,,,29-24,,J. Smith misses 2-pt shot from 14 ft
8:29.0,Defensive rebound by M. Scott,,29-24,,
8:19.0,J. Teague makes 2-pt shot at rim (assist by M. Scott),2,31-24,,
8:05.0,,,31-24,,Shooting foul by J. Teague (drawn by L. James)
8:05.0,,,31-25,1,L. James makes free throw 1 of 2
8:05.0,,,31-25,,J. Jones enters the game for M. Dellavedova
8:05.0,,,31-26,1,L. James makes free throw 2 of 2
7:42.0,D. Carroll makes 2-pt shot from 4 ft (assist by J. Teague),2,33-26,,
7:31.0,,,33-26,,I. Shumpert misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by J. Teague,,33-26,,
7:22.0,D. Carroll misses 2-pt shot from 7 ft,,33-26,,
7:19.0,,,33-26,,Defensive rebound by L. James
7:04.0,,,33-28,2,L. James makes 2-pt shot from 6 ft
6:51.0,Offensive charge foul by M. Scott,,33-28,,
6:51.0,Turnover by M. Scott (offensive foul),,33-28,,
6:51.0,S. Mack enters the game for K. Bazemore,,33-28,,
6:51.0,A. Horford enters the game for P. Millsap,,33-28,,
6:34.0,,,33-28,,L. James misses 2-pt shot from 6 ft (block by D. Carroll)
6:32.0,Defensive rebound by A. Horford,,33-28,,
6:26.0,,,33-28,,Personal foul by J. Smith (drawn by M. Scott)
6:20.0,S. Mack makes 3-pt shot from 25 ft,3,36-28,,
5:53.0,,,36-30,2,L. James makes 2-pt shot from 1 ft (assist by J. Jones)
5:45.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,38-30,,
5:23.0,,,38-30,,L. James misses 2-pt shot from 2 ft
5:22.0,,,38-30,,Offensive rebound by Team
5:22.0,,,38-30,,Cleveland full timeout
5:22.0,,,38-30,,T. Mozgov enters the game for T. Thompson
5:22.0,K. Bazemore enters the game for J. Teague,,38-30,,
5:11.0,,,38-32,2,J. Smith makes 2-pt shot at rim (assist by L. James)
4:53.0,D. Carroll misses 2-pt shot from 15 ft,,38-32,,
4:52.0,,,38-32,,Defensive rebound by L. James
4:45.0,,,38-32,,J. Smith misses 3-pt shot from 28 ft
4:44.0,,,38-32,,Offensive rebound by J. Jones
4:22.0,,,38-32,,L. James misses 2-pt shot from 6 ft
4:22.0,,,38-32,,Offensive rebound by T. Mozgov
4:22.0,,,38-32,,Shooting foul by M. Scott (drawn by T. Mozgov)
4:22.0,,,38-33,1,T. Mozgov makes free throw 1 of 2
4:22.0,P. Millsap enters the game for M. Scott,,38-33,,
4:22.0,,,38-33,,T. Mozgov misses free throw 2 of 2
4:21.0,Defensive rebound by D. Carroll,,38-33,,
4:10.0,Turnover by S. Mack (bad pass; steal by L. James),,38-33,,
4:06.0,,,38-35,2,L. James makes 2-pt shot at rim
3:58.0,K. Bazemore misses 3-pt shot from 24 ft,,38-35,,
3:57.0,Offensive rebound by P. Millsap,,38-35,,
3:47.0,A. Horford makes 2-pt shot from 1 ft (assist by S. Mack),2,40-35,,
3:29.0,,,40-38,3,J. Jones makes 3-pt shot from 25 ft (assist by L. James)
3:26.0,,,40-38,,Personal foul by I. Shumpert (drawn by S. Mack)
3:26.0,,,40-38,,M. Dellavedova enters the game for I. Shumpert
3:13.0,A. Horford misses 2-pt shot from 6 ft (block by T. Mozgov),,40-38,,
3:11.0,,,40-38,,Defensive rebound by J. Smith
3:07.0,,,40-38,,Shooting foul by D. Carroll (drawn by L. James)
3:07.0,,,40-39,1,L. James makes free throw 1 of 2
3:07.0,,,40-40,1,L. James makes free throw 2 of 2
3:03.0,Offensive foul by K. Bazemore,,40-40,,
3:03.0,Turnover by K. Bazemore (offensive foul),,40-40,,
2:53.0,,,40-42,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
2:51.0,Atlanta full timeout,,40-42,,
2:51.0,J. Teague enters the game for S. Mack,,40-42,,
2:31.0,D. Carroll makes 3-pt shot from 26 ft (assist by J. Teague),3,43-42,,
2:04.0,,,43-42,,J. Jones misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by A. Horford,,43-42,,
1:57.0,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford),2,45-42,,
1:30.0,,,45-44,2,J. Smith makes 2-pt shot from 16 ft
1:18.0,J. Teague makes 3-pt shot from 25 ft,3,48-44,,
0:58.0,,,48-47,3,M. Dellavedova makes 3-pt shot from 27 ft
0:38.0,A. Horford misses 2-pt shot from 13 ft,,48-47,,
0:37.0,,,48-47,,Defensive rebound by J. Jones
0:34.0,A. Horford ejected from game,,48-47,,
0:34.0,M. Scott enters the game for A. Horford,,48-47,,
0:34.0,,,48-47,,Technical foul by M. Dellavedova
0:34.0,J. Teague makes technical free throw,1,49-47,,
0:34.0,,,49-47,,M. Dellavedova misses flagrant free throw 1 of 2
0:34.0,,,49-47,,Offensive rebound by Team
0:34.0,,,49-48,1,M. Dellavedova makes flagrant free throw 2 of 2
0:34.0,,,49-48,,T. Thompson enters the game for T. Mozgov
0:25.0,,,49-48,,J. Smith misses 3-pt shot from 23 ft (block by K. Bazemore)
0:23.0,Defensive rebound by P. Millsap,,49-48,,
0:07.0,J. Teague misses 3-pt shot from 26 ft,,49-48,,
0:05.0,,,49-48,,Defensive rebound by L. James
0:02.0,,,49-48,,Turnover by M. Dellavedova (step out of bounds)
0:02.0,Atlanta full timeout,,49-48,,
0:02.0,,,49-48,,S. Marion enters the game for J. Smith
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-48,,Offensive charge foul by L. James
11:47.0,,,49-48,,Turnover by L. James (offensive foul)
11:30.0,Shooting foul by T. Thompson (drawn by K. Bazemore),,49-48,,
