time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Davis (E. Gordon gains possession),,,,Jump ball: D. Cousins vs. A. Davis (E. Gordon gains possession)
11:40.0,,,0-0,,A. Davis misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by D. Cousins,,0-0,,
11:30.0,D. Cousins misses 2-pt shot from 3 ft,,0-0,,
11:28.0,Offensive rebound by D. Cousins,,0-0,,
11:28.0,D. Cousins makes 2-pt shot from 2 ft,2,2-0,,
11:06.0,,,2-0,,E. Gordon misses 2-pt shot from 5 ft (block by D. Cousins)
11:03.0,Defensive rebound by R. McCallum,,2-0,,
10:59.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. McCallum),2,4-0,,
10:44.0,,,4-0,,Turnover by O. Asik (bad pass)
10:35.0,R. Gay misses 3-pt shot from 26 ft,,4-0,,
10:34.0,,,4-0,,Defensive rebound by O. Asik
10:28.0,,,4-2,2,T. Evans makes 2-pt shot from 1 ft
10:13.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. McCallum),2,6-2,,
9:54.0,,,6-2,,A. Davis misses 2-pt shot from 9 ft (block by D. Cousins)
9:50.0,Defensive rebound by B. McLemore,,6-2,,
9:45.0,O. Casspi makes 2-pt shot from 2 ft,2,8-2,,
9:29.0,,,8-4,2,E. Gordon makes 2-pt shot from 1 ft
9:16.0,D. Cousins misses 2-pt shot from 20 ft,,8-4,,
9:15.0,,,8-4,,Defensive rebound by A. Davis
8:56.0,,,8-4,,A. Davis misses 2-pt shot from 13 ft
8:55.0,Defensive rebound by D. Cousins,,8-4,,
8:48.0,B. McLemore misses 3-pt shot from 24 ft (block by A. Davis),,8-4,,
8:45.0,,,8-4,,Defensive rebound by Q. Pondexter
8:38.0,,,8-4,,E. Gordon misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by R. Gay,,8-4,,
8:34.0,Shooting foul by E. Gordon (drawn by B. McLemore),,8-4,,
8:34.0,B. McLemore makes free throw 1 of 2,1,9-4,,
8:34.0,B. McLemore misses free throw 2 of 2,,9-4,,
8:33.0,,,9-4,,Defensive rebound by O. Asik
8:17.0,,,9-4,,Q. Pondexter misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by B. McLemore,,9-4,,
8:09.0,B. McLemore misses 2-pt shot from 3 ft,,9-4,,
8:08.0,,,9-4,,Defensive rebound by A. Davis
7:52.0,Personal foul by D. Cousins (drawn by A. Davis),,9-4,,
7:49.0,,,9-4,,Offensive foul by E. Gordon
7:49.0,,,9-4,,Turnover by E. Gordon (offensive foul)
7:30.0,O. Casspi misses 2-pt shot from 3 ft,,9-4,,
7:29.0,,,9-4,,Defensive rebound by T. Evans
7:20.0,,,9-4,,Shooting foul by R. Gay (drawn by O. Asik)
7:20.0,,,9-4,,O. Asik misses free throw 1 of 2
7:20.0,,,9-4,,Offensive rebound by Team
7:20.0,,,9-4,,D. Cunningham enters the game for E. Gordon
7:20.0,,,9-4,,O. Asik misses free throw 2 of 2
7:19.0,Defensive rebound by D. Cousins,,9-4,,
7:07.0,R. McCallum misses 3-pt shot from 24 ft,,9-4,,
7:06.0,,,9-4,,Defensive rebound by D. Cunningham
6:56.0,,,9-4,,T. Evans misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by R. Gay,,9-4,,
6:45.0,R. Gay misses 2-pt shot from 7 ft,,9-4,,
6:44.0,,,9-4,,Defensive rebound by D. Cunningham
6:39.0,,,9-6,2,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans)
6:13.0,Turnover by R. Gay (bad pass; steal by Q. Pondexter),,9-6,,
6:05.0,,,9-6,,Turnover by T. Evans (bad pass)
5:50.0,D. Cousins makes 2-pt shot from 21 ft (assist by R. McCallum),2,11-6,,
5:28.0,,,11-8,2,T. Evans makes 2-pt shot from 17 ft
