time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: A. Bogut vs. A. Len (E. Bledsoe gains possession)
11:35.0,,,0-2,2,M. Morris makes 2-pt shot from 15 ft
11:21.0,,,0-2,,Personal foul by B. Knight (drawn by S. Curry)
11:14.0,K. Thompson misses 2-pt shot from 15 ft,,0-2,,
11:11.0,Offensive rebound by H. Barnes,,0-2,,
11:04.0,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes),3,3-2,,
10:40.0,,,3-2,,Turnover by E. Bledsoe (lost ball; steal by A. Bogut)
10:36.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,5-2,,
10:13.0,,,5-2,,A. Len misses 2-pt shot from 4 ft
10:11.0,Defensive rebound by S. Curry,,5-2,,
10:05.0,S. Curry makes 2-pt shot at rim,2,7-2,,
9:38.0,,,7-2,,Turnover by Team (shot clock)
9:30.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,10-2,,
9:14.0,,,10-2,,B. Knight misses 2-pt shot from 5 ft (block by K. Thompson)
9:11.0,,,10-2,,Offensive rebound by B. Knight
9:08.0,,,10-2,,Turnover by M. Morris (bad pass)
9:04.0,K. Thompson misses 3-pt shot from 23 ft,,10-2,,
9:02.0,,,10-2,,Defensive rebound by P. Tucker
8:53.0,,,10-4,2,B. Knight makes 2-pt shot from 16 ft
8:40.0,D. Green misses 3-pt shot from 24 ft,,10-4,,
8:39.0,Offensive rebound by Team,,10-4,,
8:30.0,D. Green misses 3-pt shot from 24 ft,,10-4,,
8:28.0,,,10-4,,Defensive rebound by A. Len
8:12.0,,,10-4,,B. Knight misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by A. Bogut,,10-4,,
8:00.0,S. Curry makes 2-pt shot from 17 ft,2,12-4,,
7:41.0,,,12-6,2,P. Tucker makes 2-pt shot from 6 ft
7:32.0,K. Thompson misses 2-pt shot from 15 ft,,12-6,,
7:29.0,,,12-6,,Defensive rebound by M. Morris
7:19.0,,,12-6,,A. Len misses 2-pt shot from 15 ft
7:17.0,Defensive rebound by D. Green,,12-6,,
7:11.0,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson),2,14-6,,
6:48.0,,,14-6,,P. Tucker misses 2-pt shot from 2 ft (block by A. Bogut)
6:48.0,,,14-6,,Offensive rebound by Team
6:48.0,,,14-6,,Phoenix full timeout
6:44.0,,,14-8,2,A. Len makes 2-pt shot from 16 ft (assist by M. Morris)
6:14.0,S. Curry misses 3-pt shot from 27 ft,,14-8,,
6:12.0,,,14-8,,Defensive rebound by E. Bledsoe
6:09.0,,,14-8,,M. Morris misses 2-pt shot from 12 ft
6:08.0,Defensive rebound by Team,,14-8,,
6:02.0,,,14-8,,Personal foul by M. Morris (drawn by S. Curry)
6:02.0,A. Iguodala enters the game for H. Barnes,,14-8,,
5:56.0,K. Thompson misses 2-pt shot from 14 ft,,14-8,,
5:54.0,,,14-8,,Defensive rebound by M. Morris
5:40.0,,,14-8,,Shooting foul by A. Iguodala (drawn by P. Tucker)
5:40.0,,,14-9,1,P. Tucker makes free throw 1 of 2
5:40.0,,,14-9,,P. Tucker misses free throw 2 of 2
5:39.0,Defensive rebound by D. Green,,14-9,,
5:32.0,K. Thompson misses 2-pt shot from 21 ft,,14-9,,
5:30.0,Offensive rebound by S. Curry,,14-9,,
5:27.0,Turnover by S. Curry (traveling),,14-9,,
