time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. A. Jefferson (M. Chalmers gains possession),,,,Jump ball: C. Bosh vs. A. Jefferson (M. Chalmers gains possession)
11:43.0,,,0-0,,Turnover by C. Bosh (bad pass; steal by A. Jefferson)
11:28.0,A. Jefferson makes 2-pt shot from 3 ft (assist by G. Henderson),2,2-0,,
11:28.0,,,2-0,,Violation by C. Bosh (def goaltending)
11:11.0,,,2-2,2,C. Bosh makes 2-pt shot from 8 ft
10:56.0,A. Jefferson makes 2-pt shot from 8 ft,2,4-2,,
10:44.0,,,4-2,,C. Bosh misses 2-pt shot from 14 ft
10:43.0,Defensive rebound by L. Stephenson,,4-2,,
10:36.0,Turnover by K. Walker (lost ball; steal by S. Brown),,4-2,,
10:17.0,,,4-4,2,M. Chalmers makes 2-pt shot from 20 ft
10:02.0,L. Stephenson misses 2-pt shot from 2 ft (block by M. Chalmers),,4-4,,
10:01.0,,,4-4,,Defensive rebound by L. Deng
9:55.0,,,4-6,2,M. Chalmers makes 2-pt shot at rim (assist by L. Deng)
9:34.0,K. Walker makes 2-pt shot from 8 ft,2,6-6,,
9:20.0,,,6-6,,L. Deng misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by A. Jefferson,,6-6,,
9:09.0,K. Walker misses 3-pt shot from 24 ft,,6-6,,
9:08.0,,,6-6,,Defensive rebound by S. Williams
8:59.0,Personal foul by K. Walker (drawn by S. Brown),,6-6,,
8:48.0,,,6-6,,C. Bosh misses 2-pt shot from 18 ft
8:47.0,Defensive rebound by L. Stephenson,,6-6,,
8:36.0,G. Henderson makes 2-pt shot from 19 ft,2,8-6,,
8:24.0,Personal foul by G. Henderson (drawn by L. Deng),,8-6,,
8:10.0,,,8-8,2,M. Chalmers makes 2-pt shot from 7 ft
7:56.0,Shooting foul by S. Williams (drawn by A. Jefferson),,8-8,,
7:56.0,A. Jefferson misses free throw 1 of 2,,8-8,,
7:56.0,Offensive rebound by Team,,8-8,,
7:56.0,A. Jefferson makes free throw 2 of 2,1,9-8,,
7:43.0,,,9-10,2,L. Deng makes 2-pt shot from 20 ft (assist by M. Chalmers)
7:27.0,L. Stephenson misses 3-pt shot from 24 ft,,9-10,,
7:26.0,,,9-10,,Defensive rebound by C. Bosh
7:20.0,,,9-12,2,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers)
7:15.0,Charlotte full timeout,,9-12,,
7:15.0,,,9-12,,S. Napier enters the game for M. Chalmers
7:08.0,M. Williams misses 2-pt shot from 21 ft,,9-12,,
7:07.0,,,9-12,,Defensive rebound by S. Williams
6:56.0,,,9-12,,Offensive foul by S. Napier
6:56.0,,,9-12,,Turnover by S. Napier (offensive foul)
6:43.0,G. Henderson misses 3-pt shot from 23 ft,,9-12,,
6:42.0,,,9-12,,Defensive rebound by S. Williams
6:30.0,,,9-12,,S. Brown misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by A. Jefferson,,9-12,,
6:15.0,M. Williams makes 2-pt shot from 20 ft (assist by G. Henderson),2,11-12,,
5:55.0,,,11-12,,S. Napier misses 2-pt shot from 17 ft
5:54.0,Defensive rebound by G. Henderson,,11-12,,
5:43.0,L. Stephenson misses 3-pt shot from 25 ft,,11-12,,
5:42.0,,,11-12,,Defensive rebound by S. Williams
5:31.0,,,11-14,2,L. Deng makes 2-pt shot at rim
5:10.0,G. Henderson misses 2-pt shot from 18 ft,,11-14,,
5:09.0,,,11-14,,Defensive rebound by Team
5:09.0,C. Zeller enters the game for M. Williams,,11-14,,
4:56.0,,,11-16,2,L. Deng makes 2-pt shot from 12 ft
4:42.0,G. Henderson makes 3-pt shot from 22 ft (assist by L. Stephenson),3,14-16,,
4:34.0,,,14-16,,Miami full timeout
4:34.0,,,14-16,,C. Andersen enters the game for L. Deng
4:34.0,,,14-16,,M. Chalmers enters the game for S. Williams
4:34.0,G. Neal enters the game for L. Stephenson,,14-16,,
4:22.0,,,14-16,,Turnover by C. Bosh (traveling)
