time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. M. Plumlee (G. Dragic gains possession),,,,Jump ball: J. Hill vs. M. Plumlee (G. Dragic gains possession)
11:34.0,M. Morris misses 2-pt shot from 14 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by J. Hill
11:20.0,Personal foul by E. Bledsoe (drawn by J. Lin),,0-0,,
11:07.0,,,0-0,,K. Bryant misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by M. Plumlee,,0-0,,
10:57.0,M. Morris misses 2-pt shot from 18 ft,,0-0,,
10:53.0,Offensive rebound by M. Plumlee,,0-0,,
10:53.0,M. Plumlee misses 2-pt shot from 1 ft,,0-0,,
10:51.0,Offensive rebound by M. Plumlee,,0-0,,
10:44.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,2-0,,
10:20.0,,,2-0,,J. Lin misses 2-pt shot at rim (block by E. Bledsoe)
10:17.0,Defensive rebound by M. Morris,,2-0,,
10:07.0,Offensive foul by M. Morris,,2-0,,
10:07.0,Turnover by M. Morris (offensive foul),,2-0,,
9:50.0,,,2-0,,C. Boozer misses 2-pt shot from 15 ft
9:49.0,Defensive rebound by M. Plumlee,,2-0,,
9:40.0,M. Morris misses 2-pt shot at rim (block by J. Hill),,2-0,,
9:36.0,Offensive rebound by M. Plumlee,,2-0,,
9:36.0,M. Plumlee misses 2-pt shot from 1 ft,,2-0,,
9:35.0,Offensive rebound by M. Morris,,2-0,,
9:30.0,M. Morris misses 3-pt shot from 23 ft,,2-0,,
9:28.0,,,2-0,,Defensive rebound by W. Johnson
9:22.0,,,2-0,,Shooting foul by G. Dragic (drawn by W. Johnson)
9:22.0,,,2-1,1,W. Johnson makes free throw 1 of 2
9:22.0,,,2-2,1,W. Johnson makes free throw 2 of 2
8:58.0,M. Morris makes 3-pt shot from 24 ft (assist by M. Morris),3,5-2,,
8:42.0,,,5-2,,K. Bryant misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by M. Morris,,5-2,,
8:28.0,M. Morris misses 2-pt shot from 12 ft,,5-2,,
8:19.0,,,5-2,,Defensive rebound by C. Boozer
8:14.0,,,5-4,2,C. Boozer makes 2-pt shot from 2 ft (assist by J. Lin)
7:52.0,Turnover by E. Bledsoe (bad pass; steal by J. Hill),,5-4,,
7:44.0,,,5-4,,J. Hill misses 2-pt shot from 11 ft
7:42.0,Defensive rebound by M. Morris,,5-4,,
7:36.0,E. Bledsoe misses 2-pt shot from 3 ft,,5-4,,
7:33.0,,,5-4,,Defensive rebound by J. Hill
7:21.0,Personal block foul by M. Plumlee (drawn by J. Lin),,5-4,,
7:16.0,,,5-7,3,J. Lin makes 3-pt shot from 22 ft (assist by W. Johnson)
7:00.0,,,5-7,,Personal foul by C. Boozer (drawn by G. Dragic)
6:56.0,Shooting foul by W. Johnson (drawn by M. Morris),,5-7,,
6:56.0,M. Morris makes free throw 1 of 2,1,6-7,,
6:56.0,M. Morris makes free throw 2 of 2,1,7-7,,
6:43.0,,,7-9,2,J. Lin makes 2-pt shot from 1 ft (assist by K. Bryant)
6:40.0,G. Dragic misses 3-pt shot from 22 ft,,7-9,,
6:40.0,,,7-9,,Defensive rebound by W. Johnson
6:38.0,,,7-9,,Turnover by W. Johnson (bad pass)
6:28.0,E. Bledsoe makes 2-pt shot at rim,2,9-9,,
6:13.0,,,9-9,,Shooting foul by E. Bledsoe (drawn by J. Lin)
6:13.0,,,9-10,1,J. Lin makes free throw 1 of 2
6:13.0,I. Thomas enters the game for E. Bledsoe,,9-10,,
6:13.0,,,9-10,,J. Lin misses free throw 2 of 2
6:10.0,Defensive rebound by M. Morris,,9-10,,
5:53.0,M. Morris misses 2-pt shot at rim,,9-10,,
5:50.0,,,9-10,,Defensive rebound by J. Hill
5:48.0,,,9-10,,Shooting foul by M. Plumlee (drawn by J. Hill)
5:48.0,,,9-10,,LA Lakers full timeout
5:48.0,A. Len enters the game for M. Plumlee,,9-10,,
5:48.0,,,9-10,,J. Hill misses free throw 1 of 2
5:48.0,,,9-10,,Offensive rebound by Team
5:48.0,,,9-10,,J. Hill misses free throw 2 of 2
5:47.0,Defensive rebound by A. Len,,9-10,,
5:32.0,M. Morris makes 2-pt shot from 12 ft (assist by G. Dragic),2,11-10,,
5:24.0,,,11-10,,K. Bryant misses 2-pt shot from 11 ft
5:19.0,Defensive rebound by A. Len,,11-10,,
5:12.0,G. Dragic makes 2-pt shot from 1 ft,2,13-10,,
4:56.0,,,13-10,,W. Johnson misses 2-pt shot from 15 ft
4:55.0,Defensive rebound by M. Morris,,13-10,,
4:45.0,M. Morris makes 2-pt shot at rim (assist by I. Thomas),2,15-10,,
