time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. P. Gasol (D. Wade gains possession),,,,Jump ball: C. Bosh vs. P. Gasol (D. Wade gains possession)
11:36.0,C. Andersen misses 2-pt shot from 1 ft (block by J. Noah),,0-0,,
11:33.0,Offensive rebound by C. Andersen,,0-0,,
11:33.0,C. Andersen makes 2-pt shot from 2 ft,2,2-0,,
11:19.0,,,2-0,,D. Rose misses 2-pt shot from 12 ft
11:18.0,,,2-0,,Offensive rebound by P. Gasol
11:18.0,,,2-2,2,P. Gasol makes 2-pt shot from 2 ft
10:52.0,Turnover by M. Chalmers (lost ball),,2-2,,
10:40.0,,,2-2,,Turnover by D. Rose (bad pass; steal by C. Bosh)
10:35.0,C. Bosh misses 2-pt shot from 1 ft (block by J. Noah),,2-2,,
10:31.0,,,2-2,,Defensive rebound by T. Snell
10:28.0,,,2-4,2,T. Snell makes 2-pt shot from 1 ft
10:14.0,Turnover by D. Wade (bad pass),,2-4,,
9:54.0,,,2-6,2,D. Rose makes 2-pt shot from 1 ft
9:32.0,C. Bosh misses 2-pt shot from 15 ft,,2-6,,
9:31.0,,,2-6,,Defensive rebound by Team
9:14.0,,,2-6,,J. Butler misses 2-pt shot from 1 ft
9:13.0,Defensive rebound by C. Andersen,,2-6,,
9:05.0,C. Bosh misses 2-pt shot from 22 ft,,2-6,,
9:04.0,,,2-6,,Defensive rebound by P. Gasol
8:52.0,,,2-6,,D. Rose misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by C. Bosh,,2-6,,
8:40.0,M. Chalmers makes 2-pt shot from 3 ft,2,4-6,,
8:20.0,,,4-6,,Turnover by P. Gasol (lost ball)
8:08.0,D. Wade makes 2-pt shot from 1 ft (assist by L. Deng),2,6-6,,
7:51.0,Personal foul by C. Andersen (drawn by P. Gasol),,6-6,,
7:45.0,,,6-6,,P. Gasol misses 2-pt shot from 19 ft
7:44.0,Defensive rebound by M. Chalmers,,6-6,,
7:42.0,D. Wade makes 2-pt shot from 2 ft (assist by M. Chalmers),2,8-6,,
7:20.0,,,8-6,,J. Butler misses 2-pt shot from 22 ft
7:19.0,Defensive rebound by C. Andersen,,8-6,,
7:10.0,C. Bosh makes 2-pt shot from 16 ft (assist by L. Deng),2,10-6,,
6:57.0,,,10-6,,T. Snell misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by C. Andersen,,10-6,,
6:39.0,C. Bosh misses 2-pt shot from 12 ft,,10-6,,
6:38.0,,,10-6,,Defensive rebound by J. Noah
6:31.0,,,10-6,,D. Rose misses 2-pt shot from 1 ft
6:30.0,,,10-6,,Offensive rebound by P. Gasol
6:26.0,,,10-9,3,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol)
6:11.0,C. Bosh makes 2-pt shot from 18 ft (assist by D. Wade),2,12-9,,
